0.292768533024725;	0.000873512963523;	0.000289251705485;	0.000981584967981;	0.363995739019155;	0.448162101347997;	0.075135076629548;	0.000438714398728;	0.000439778524223;	0.000341194525179;	0.000363238558239;	0.000329850749218;	0.000350989687096;	0.019566386855882;	0.022123382955028;	0.023952594959995;	0.021444937751429;	0.024108745578853;	0.026985005634804;	0.029222628568862;	0.029434237175608;	0.027085513297330;	0.029301061046808;	0.031828933124510;	0.034444003353882;	0.037249982401695;	0.040631431102314;	0.043459549279882;	0.047274934039248;	0.049425756437846;	0.053501583143606;	0.057320408640159;	0.062565587371531;	0.066741393034776;	0.066210759492008;	0.068748458767305;	0.071088183876268;	0.076514121475266;	0.080269154514640;	0.082678173634540;	0.085674743846366;	0.088758901037654;	0.097642720288069;	0.097774710957152;	0.107953333812740;	0.118018125284550;	0.138195523057453;	0.207125531871122;	0.276243100383725;	0.425377913994349
0.292768533024725;	0.000873512963523;	0.000289251705485;	0.000981584967981;	0.363995739019155;	0.448162101347997;	0.075135076629548;	0.000438714398728;	0.000439778524223;	0.000341194525179;	0.000363238558239;	0.000329850749218;	0.000350989687096;	0.019566386855882;	0.022123382955028;	0.023952594959995;	0.021444937751429;	0.024108745578853;	0.026985005634804;	0.029222628568862;	0.029434237175608;	0.027085513297330;	0.029301061046808;	0.031828933124510;	0.034444003353882;	0.037249982401695;	0.040631431102314;	0.043459549279882;	0.047274934039248;	0.049425756437846;	0.053501583143606;	0.057320408640159;	0.062565587371531;	0.066741393034776;	0.066210759492008;	0.068748458767305;	0.071088183876268;	0.076514121475266;	0.080269154514640;	0.082678173634540;	0.085674743846366;	0.088758901037654;	0.097642720288069;	0.097774710957152;	0.107953333812740;	0.118018125284550;	0.138195523057453;	0.207125531871122;	0.276243100383725;	0.481069345420121
0.292768533024725;	0.000873512963523;	0.000289251705485;	0.000981584967981;	0.363995739019155;	0.448162101347997;	0.075135076629548;	0.000438714398728;	0.000439778524223;	0.000341194525179;	0.000363238558239;	0.000329850749218;	0.000350989687096;	0.019566386855882;	0.022123382955028;	0.023952594959995;	0.021444937751429;	0.024108745578853;	0.026985005634804;	0.029222628568862;	0.029434237175608;	0.027085513297330;	0.029301061046808;	0.031828933124510;	0.034444003353882;	0.037314818147497;	0.040848106254549;	0.043857668227734;	0.047889448649716;	0.050263590681673;	0.054596483986624;	0.058685448583616;	0.064204799879696;	0.068650849610425;	0.068293412973051;	0.071098164250145;	0.073695532147785;	0.079483516678548;	0.083592637229742;	0.086309848219541;	0.089718878025830;	0.093269289691575;	0.102837668402493;	0.103553034611958;	0.114740129666267;	0.125993453970005;	0.148012884541781;	0.219681823658757;	0.291724432556845;	0.506998132096184
0.304577549025603;	0.009848356877682;	0.014449274592723;	0.011211634197184;	0.369666813151234;	0.456632232484427;	0.078905517522449;	0.005573508577555;	0.004655711186431;	0.005659920514486;	0.004831816469475;	0.005543874259646;	0.004932976820546;	0.021367858906115;	0.024186689741264;	0.026207662373135;	0.023494127155301;	0.026449125318732;	0.029620681556471;	0.032108512050371;	0.032393666790702;	0.029872599910191;	0.032388363913290;	0.035243257666282;	0.038200448148737;	0.041439876073434;	0.045399538795216;	0.048820097468212;	0.053351881476291;	0.056133099868522;	0.061033613353777;	0.065723730633238;	0.071979488137179;	0.077135677610008;	0.077105925706444;	0.080636818392624;	0.083949198798169;	0.090893101182984;	0.096229859151845;	0.100085069045777;	0.105039985664990;	0.110452186776514;	0.122707680572745;	0.125592029348397;	0.140146419666500;	0.154030577037299;	0.180244090911418;	0.256835341347249;	0.333411120103845;	0.531848183954131
0.376904430433911;	0.022980044551140;	0.035199622590000;	0.026874266844297;	0.378314108666113;	0.468602051820379;	0.084867553576353;	0.016740085782456;	0.012287841178574;	0.014059614507374;	0.012098317274664;	0.014152275695426;	0.012713980647549;	0.026006871694522;	0.029428293390038;	0.031892746794731;	0.028669269457655;	0.032266759146939;	0.036115557057616;	0.039181983715962;	0.039650707580883;	0.036716519467962;	0.039880264700389;	0.043457537797985;	0.047180714527031;	0.051223073420032;	0.056105805673442;	0.060376604452218;	0.065941806734888;	0.069585602850258;	0.075718230297534;	0.081536157680463;	0.089366829322185;	0.095940948073583;	0.096511013432503;	0.101236482813219;	0.105508971133455;	0.113952666923461;	0.120521391683323;	0.124817447870463;	0.129995286371416;	0.135525979135070;	0.148135723728335;	0.150367346238723;	0.165203103167909;	0.178848298866221;	0.206080114896638;	0.283353847227909;	0.360980170716844;	0.558993024061701
0.460520372488220;	0.043194238025157;	0.063681986419488;	0.050295671638018;	0.393116627485260;	0.486287167519175;	0.094179875297709;	0.031360265148015;	0.028284769147955;	0.029947798043328;	0.027385067502847;	0.025711509536446;	0.023078096425208;	0.034635598493374;	0.039056847292030;	0.042269190234199;	0.038007074506044;	0.042559170775029;	0.047471545125566;	0.051443755992422;	0.052201317290912;	0.048529882112161;	0.052545683265954;	0.057095663242498;	0.061843335813420;	0.066930115618110;	0.073044090639744;	0.078299039873296;	0.084999826013200;	0.089505865231792;	0.096881978797576;	0.103216853814539;	0.112154268349902;	0.119265550095483;	0.119334425598691;	0.123947395742547;	0.127630542682404;	0.136110632696902;	0.142894523792935;	0.146867841488609;	0.151838163106914;	0.157434297076469;	0.170553653033467;	0.172978925356617;	0.188827540959050;	0.202847150737008;	0.231651555491300;	0.309996726413136;	0.389532053175331;	0.588849538113726
0.544047530528994;	0.149567613793545;	0.097110511130912;	0.084081986162002;	0.414464864042737;	0.510379856327300;	0.108621753689496;	0.052602736747056;	0.045698381452053;	0.052843126233812;	0.049799401644103;	0.050130134921846;	0.047896256748916;	0.046211467709854;	0.051747831194546;	0.055763621502515;	0.051671685798816;	0.057171672415869;	0.063244679876221;	0.068156520249828;	0.069137417832424;	0.064301166981202;	0.068907889480015;	0.074189336647208;	0.079698015222600;	0.085495420149285;	0.092488869853123;	0.098268247803263;	0.105601731169575;	0.110567115425711;	0.118758749561826;	0.125183152482110;	0.135101019249257;	0.142773813203074;	0.142658327526567;	0.147551752623079;	0.150424784637391;	0.159425703873332;	0.166895490802352;	0.170951414394737;	0.176123752023046;	0.182162542155244;	0.196052460579312;	0.198915805568982;	0.215888185759057;	0.230173074174408;	0.260523779491678;	0.339585191419332;	0.421160484906843;	0.622216754688306
0.610996972677206;	0.365865840865598;	0.277973927269747;	0.120657792491714;	0.445119846839518;	0.540434742343750;	0.129534818104745;	0.081017333048406;	0.075229232536623;	0.083098506428972;	0.078194526297231;	0.074592517728079;	0.071362852299315;	0.078013115357520;	0.086218341231153;	0.092899775345855;	0.067931632046844;	0.074415892957945;	0.081817152705082;	0.087913710900629;	0.088918030022333;	0.082614879243838;	0.087593161713280;	0.093489862504463;	0.099714879691519;	0.106278445353912;	0.114384659914441;	0.120965949147643;	0.129277083849219;	0.135187381597671;	0.144737013978588;	0.151600175330948;	0.163015720773522;	0.171615172572609;	0.171766551359953;	0.177175625685832;	0.177146819910564;	0.186777031277800;	0.195157609686735;	0.199398508564507;	0.204864783415460;	0.211485441960725;	0.226271430179902;	0.229799648769980;	0.248074720649277;	0.262544543260926;	0.294561804674316;	0.374205585912290;	0.458328899249309;	0.659965358113521
0.654049957045117;	0.490466561247245;	0.488771338858092;	0.302692455517330;	0.477539688653953;	0.576979889122042;	0.157120728856067;	0.116812383796852;	0.105949996033867;	0.118829240439197;	0.111923105485209;	0.115193175899118;	0.109438530204463;	0.101781757245500;	0.111107037905651;	0.118629508397747;	0.111219043885160;	0.117809331158318;	0.127540793753969;	0.135148388838875;	0.115068757430515;	0.107858241105167;	0.113620912806164;	0.120806220330721;	0.128415327114715;	0.136351762120866;	0.146449872877968;	0.154403605002527;	0.164287661205519;	0.171730952634673;	0.183260752505944;	0.190663000399480;	0.204173486692294;	0.213816248607537;	0.214577368791755;	0.220447497484629;	0.211880360002673;	0.222288318640218;	0.231895194855538;	0.236424000987011;	0.242276941174784;	0.249607694757025;	0.265434838229906;	0.269797133971818;	0.289499650569418;	0.303812637837109;	0.337488138440039;	0.417403700191485;	0.504529975959571;	0.703429710539794
0.680025356234540;	0.564917767649678;	0.582081747697494;	0.447987010024849;	0.771021739056544;	0.612496664221323;	0.192818377029294;	0.159200820845244;	0.149940975486902;	0.162693986080760;	0.155184974406233;	0.151711702980742;	0.144314173761190;	0.146732961378858;	0.158093920611296;	0.164298329118900;	0.144513821045827;	0.151610521172852;	0.163041470416326;	0.172027478015599;	0.169035453985921;	0.160133779764385;	0.164711667097133;	0.172341517530995;	0.180341319246520;	0.188653142767635;	0.200528368869139;	0.209062161764192;	0.219911049705761;	0.228253388394903;	0.241260033344920;	0.248328362739393;	0.263548585984265;	0.273410025307889;	0.274220751288894;	0.279753699015257;	0.261522604823354;	0.272604110906838;	0.283610658756200;	0.288269880129284;	0.294443888280428;	0.302444397727514;	0.319376098065409;	0.324657821548376;	0.345815412336784;	0.359333357188275;	0.394494511022303;	0.474192689137549;	0.564715116307568;	0.754227593411268
0.696185181945060;	0.633931404630522;	0.645032459766269;	0.528505611808537;	0.871439111100772;	0.767521850802052;	0.236284013412513;	0.210809568696720;	0.196664838401882;	0.212600179567341;	0.202099027676285;	0.201072020731081;	0.192447062349496;	0.189029207132883;	0.201944602273883;	0.210746116688444;	0.195637313947797;	0.202351971082384;	0.215240192324910;	0.225275528459114;	0.216388202042360;	0.205200723925972;	0.209619372749352;	0.218012856833588;	0.226968124442003;	0.236264956511989;	0.249927660738672;	0.259457397608209;	0.271532078243031;	0.281168110316709;	0.295950676807889;	0.303049696899402;	0.320101649692982;	0.330794455447017;	0.331645669279541;	0.337442851202638;	0.328221735057884;	0.339489504534167;	0.351563787452167;	0.355351177278938;	0.361409797538465;	0.369705065239194;	0.387379857431511;	0.393207648294465;	0.415428069919980;	0.426546694335552;	0.462546433472175;	0.540952229996429;	0.633388972190114;	0.814458209879497
0.711422451434227;	0.658349456158588;	0.709586771847525;	0.597323475284184;	0.930898002939634;	0.820411939091073;	0.559570656894111;	0.557054390677693;	0.267894848733463;	0.289941311737421;	0.260210693385911;	0.258429982213324;	0.243647861308775;	0.241459770042829;	0.255953918606306;	0.267891799954970;	0.247475443519805;	0.254068028422062;	0.268372911622881;	0.279593970889119;	0.277147830437501;	0.261679598723359;	0.265475233869005;	0.274180179635641;	0.283832369163577;	0.293879002837512;	0.308988522205012;	0.319177173509881;	0.332096410078944;	0.342735497855199;	0.358950644828050;	0.365633938807616;	0.384063858432975;	0.395281461838422;	0.395568732290078;	0.401377893594194;	0.395194215644474;	0.406817599384192;	0.419831163253262;	0.421240697032128;	0.427179063679429;	0.435725995356005;	0.453715806225395;	0.459900138121648;	0.482542218608718;	0.494575749078277;	0.531077983530807;	0.607270271782108;	0.698415799448430;	0.870869378660907
0.726974317382991;	0.679589267345525;	0.731589794153122;	0.626246972799873;	0.981789921224320;	0.870014208429728;	0.616731792866423;	0.615935997548714;	0.577440677993359;	0.613173173701366;	0.363204269435537;	0.369037074364948;	0.310918137360173;	0.309415454280043;	0.326629412188086;	0.342625982907601;	0.308081439862241;	0.314718404273698;	0.330578754593782;	0.343193077821292;	0.345327510673061;	0.321203168056261;	0.324605169581048;	0.333739268926318;	0.344077610769799;	0.354809346546600;	0.371177073545476;	0.381987852104829;	0.395596437810767;	0.407134247315791;	0.424373127901641;	0.430799190457608;	0.450122163710157;	0.461579525412326;	0.460975166028693;	0.466808931507834;	0.464060817978277;	0.475566794925395;	0.488990008639960;	0.485025213786178;	0.490684651481985;	0.499048089650798;	0.516625477891174;	0.523030450569395;	0.545097714731296;	0.561285363736666;	0.596763663190143;	0.668481068940996;	0.755429631553278;	0.913948877964265
0.743192578265555;	0.701388527064246;	0.753188683672586;	0.654724922579472;	0.988605516555417;	0.910934016711234;	0.687923655365371;	0.688303063856916;	0.638761259056264;	0.670807422506037;	0.635769329286579;	0.650885364776977;	0.438203853041522;	0.443847189912691;	0.465345836118684;	0.484739003899375;	0.389547749002160;	0.397359072774131;	0.415204586123187;	0.429544968004841;	0.436130949068566;	0.390053033291954;	0.393422415767743;	0.403168016126929;	0.414222807899497;	0.425609396966436;	0.442986428980298;	0.454379441937303;	0.468497201004332;	0.480748722700262;	0.498479619192004;	0.504906172888008;	0.524480942676928;	0.535904773497409;	0.533894897997285;	0.539833611858812;	0.539928213151758;	0.551124415465691;	0.564493124514190;	0.550046316528731;	0.555506482061007;	0.563657790686133;	0.580525132113571;	0.587170932933315;	0.608322835395136;	0.623950736656420;	0.657174705118812;	0.722490218318537;	0.803004808651448;	0.943571517303582
0.759974112656736;	0.723762196078414;	0.774890212896419;	0.682975571380326;	0.993316513680519;	0.927045278743215;	0.748286458511148;	0.749448258572844;	0.716867223758540;	0.743624432138590;	0.696008087593139;	0.707431430962758;	0.677141186161359;	0.688706276965000;	0.701836194645772;	0.709757483989027;	0.535348860075060;	0.546889042448045;	0.565540352127337;	0.579778475695322;	0.586483021466305;	0.481509633471196;	0.485779449295054;	0.496457525174518;	0.508171466354674;	0.520053096692369;	0.537757929484093;	0.549535881235417;	0.563765085685756;	0.576093365997414;	0.593162414989829;	0.600170799555191;	0.618698197525563;	0.629552764380111;	0.625105754977991;	0.631210132525029;	0.633508372953413;	0.644121154367609;	0.656534611843102;	0.622081251084450;	0.627535223461502;	0.635494127460106;	0.651342038921614;	0.658153450212945;	0.677770429018064;	0.692456524190062;	0.722439601262337;	0.779421395894435;	0.849215959399393;	0.963565735591187
0.777195675084819;	0.746495553610449;	0.796486067848739;	0.710931778993497;	0.996238152656841;	0.942821597242352;	0.772599020798695;	0.778208820085738;	0.778475950140503;	0.800610256472078;	0.771661891109879;	0.778328273280209;	0.735561857082285;	0.744206638239375;	0.756103531134817;	0.764201443837307;	0.734668155725337;	0.745595093404654;	0.757120230333123;	0.763772925892933;	0.762442981772720;	0.628033741919795;	0.634934505962630;	0.646355958748846;	0.657465341823682;	0.668437295902598;	0.683869193313589;	0.694761067656871;	0.707553480665882;	0.717610100630272;	0.730814646154870;	0.739363607991795;	0.753564544933505;	0.762230630834173;	0.752948821195111;	0.758843690054912;	0.762007619230074;	0.771134282227324;	0.780451295290352;	0.710268879385951;	0.715918301249987;	0.723395033661581;	0.737523776586005;	0.744107429666442;	0.760847671300512;	0.774001541946530;	0.798349746783054;	0.843526607811822;	0.896648975718641;	0.977341985522463
0.794723410488533;	0.769367489779787;	0.817736017928581;	0.738442635275853;	0.997987062934816;	0.956010204642907;	0.799104426780752;	0.808441157385016;	0.808190646293637;	0.829607533904496;	0.827657848525758;	0.830961634262012;	0.806807238962369;	0.811709190726550;	0.821237664899250;	0.828429848749994;	0.789795615688341;	0.798300032386649;	0.808652868717053;	0.814768057386541;	0.815275056535627;	0.788216135574270;	0.794718195028445;	0.803091868061931;	0.809744971618517;	0.816187244857499;	0.825638589567127;	0.832535036187018;	0.840831769165906;	0.846019367839241;	0.852959464788907;	0.860297653130508;	0.868135890967077;	0.872761472568086;	0.857934624989776;	0.861804249324057;	0.863742254136768;	0.869738048599756;	0.875021287317595;	0.827997373680866;	0.833940711771893;	0.840045164434890;	0.851114327119817;	0.856526341365293;	0.867976016216179;	0.878653534348952;	0.893478494830463;	0.921579324894464;	0.949440840450812;	0.987337936667521
0.812394188455581;	0.792127401633034;	0.838407252563433;	0.765334382289640;	0.998978465352619;	0.966939752446043;	0.823801395645833;	0.836105186658297;	0.838718902415575;	0.858719173240374;	0.855812820719900;	0.858735978894424;	0.857382639158400;	0.859870744974121;	0.867412496697598;	0.873556391350343;	0.852763318785308;	0.858169492835630;	0.866385091957491;	0.871218459492658;	0.872606708951400;	0.839697480990570;	0.844490672975875;	0.851516043710025;	0.857136412225094;	0.862547204348222;	0.870878528987558;	0.876743581442425;	0.883684770368775;	0.888399081778200;	0.894381326212671;	0.900048367566108;	0.906663457398779;	0.910378060148805;	0.895497410327254;	0.898783207742745;	0.900952866020817;	0.905810399363114;	0.910428399942060;	0.914290905218667;	0.918627871169529;	0.922193186142719;	0.929041290614271;	0.932241695364500;	0.938363255702358;	0.945122737521326;	0.952178438283941;	0.966635431957765;	0.978708853380738;	0.995579901021908
0.830031266451509;	0.814510752599553;	0.858276194056889;	0.791413336852306;	0.999504645596435;	0.975699662248731;	0.847031627437175;	0.861494238385797;	0.865729810360165;	0.884149063180797;	0.883421918508296;	0.885772194782370;	0.883426989488343;	0.885693837699591;	0.892588824466757;	0.898371257867070;	0.895419085498538;	0.898845372168677;	0.905378238991196;	0.909147298690250;	0.910874428316185;	0.894128902171932;	0.896942973901914;	0.902091505847674;	0.906165564274618;	0.910059700118573;	0.916579219062100;	0.920950403543669;	0.926043477948648;	0.929798163149465;	0.934279506004198;	0.938091116510266;	0.942975214088438;	0.945503259226610;	0.933809699866132;	0.936237612580038;	0.938033575588850;	0.941398911864112;	0.944961471943667;	0.944782956929625;	0.948083139629631;	0.950855176262191;	0.955688568607525;	0.958311657181963;	0.962483014763867;	0.966924208659632;	0.971321190991533;	0.979694801639673;	0.987363210605632;	0.998488683530412
0.847450432068764;	0.836251715180501;	0.877135822587138;	0.816458177920564;	0.999763559033429;	0.982498484360609;	0.868581281344269;	0.884413518825592;	0.889731678214285;	0.906382696088621;	0.906799332235451;	0.908724884645920;	0.908111072038931;	0.909989823928214;	0.916011022437299;	0.921187966953990;	0.918000572401916;	0.920972580450805;	0.926760891048913;	0.930077587613385;	0.932036051673576;	0.929041420868824;	0.930707318198953;	0.934538639393463;	0.937515873892390;	0.940343980728589;	0.945413075208238;	0.948677664068978;	0.952430918710837;	0.955328808385531;	0.958642284784603;	0.961270489491092;	0.964839496619815;	0.966565534899724;	0.962887702930245;	0.964527704345697;	0.965804794786784;	0.967873668709214;	0.970435699812062;	0.970836365550454;	0.973006736919299;	0.974845331118852;	0.977653976002593;	0.979519897008753;	0.981773015826059;	0.984048321808103;	0.986035831803460;	0.989371270485233;	0.993343157805636;	0.999282709859350
0.864450793310670;	0.857073823662023;	0.894800249403830;	0.840237267860840;	0.999881615975322;	0.987600871292118;	0.888335947887816;	0.904799611422371;	0.910658198517552;	0.925440161480573;	0.926620533025056;	0.928201508292136;	0.928424932850509;	0.930019908690850;	0.935187191546310;	0.939703114603865;	0.938192526363850;	0.940623033437863;	0.945514898745928;	0.948299878353015;	0.950258411242859;	0.947245331797888;	0.948687941157618;	0.951933315705478;	0.954432177611486;	0.956789487652731;	0.960968014774033;	0.963638327856917;	0.966656406824781;	0.968979414576566;	0.971586425766132;	0.973659755074321;	0.976412783082619;	0.977739812405131;	0.979240386067910;	0.980315528934675;	0.981224542774018;	0.982494214035823;	0.984243469031019;	0.984655489535594;	0.986056200330890;	0.987240758303433;	0.988875159717616;	0.990103104966561;	0.991323116573940;	0.992498358347897;	0.993389908415302;	0.994669081269009;	0.996644532025161;	0.999649304148015
