0.293009491638816;	0.000840770221471;	0.000272458596280;	0.000941170842387;	0.363836552608031;	0.448718945611976;	0.075616394363832;	0.000411000703842;	0.000410912129335;	0.000317589766622;	0.000337990830151;	0.000306955184047;	0.000326592336493;	0.019574077146673;	0.022143850431821;	0.023979022497389;	0.021467687620616;	0.024151374992204;	0.027044029741440;	0.029294496764953;	0.029510691366306;	0.027161070413643;	0.029402185687722;	0.031951660624179;	0.034588902563989;	0.037419320640768;	0.040830200484726;	0.043684915463110;	0.047529456511324;	0.049700868860241;	0.053808619977143;	0.057650022855345;	0.062929453651233;	0.067126638300458;	0.066603330249397;	0.069142073436471;	0.071488155097734;	0.076931362903726;	0.080702422858515;	0.083131850580270;	0.086135900703945;	0.089250705776670;	0.098212734923448;	0.098438471349421;	0.108833793973238;	0.119167914414294;	0.139830167670357;	0.209188681820616;	0.278443906451063;	0.427523369661088
0.303564354071756;	0.008796574669859;	0.010528087934205;	0.009990519976811;	0.368694060384647;	0.456237394509185;	0.078780700099100;	0.004736602798408;	0.003904678228828;	0.004724693858347;	0.003982126155266;	0.004538369335013;	0.003979526300098;	0.020199163363680;	0.022840346631980;	0.024718835004946;	0.022119454260463;	0.024877921190593;	0.027841215418954;	0.030143544392329;	0.030355328669448;	0.027931898748530;	0.030233373961834;	0.032844975455320;	0.035542334506303;	0.038435408090800;	0.041918422374158;	0.044835697618663;	0.048757614311716;	0.050975196485810;	0.055156621147682;	0.059075775642109;	0.064440877015850;	0.068706457206131;	0.068164661817275;	0.070750190160448;	0.073126143348894;	0.078650518026460;	0.082479769067027;	0.084928243068792;	0.087987375082990;	0.091158707738495;	0.100238702631053;	0.100504834430832;	0.111040794794876;	0.121501896609631;	0.142368940499199;	0.211987097600119;	0.281302267437795;	0.475481286754157
0.307173841424747;	0.011343859877424;	0.019657723748659;	0.012341702001971;	0.370155351810928;	0.457845022637441;	0.079712548443664;	0.005935790846934;	0.004886990390624;	0.005887570688487;	0.004962084996648;	0.005620223272422;	0.004922594947219;	0.021307577298219;	0.024054858753277;	0.025990816189964;	0.023229693770724;	0.026093173826415;	0.029153519124692;	0.031521859726246;	0.031711137996028;	0.029156372852094;	0.031531721783229;	0.034218074208627;	0.036985227742166;	0.039997980788218;	0.043677697360303;	0.046797530911664;	0.050965543221118;	0.053393256316123;	0.057845328552305;	0.062039263469949;	0.067698372612788;	0.072228292018930;	0.071769947075776;	0.074587079945922;	0.077164322778493;	0.083030473181797;	0.087174343709157;	0.089853777680808;	0.093257176687585;	0.096821009488293;	0.106529680616336;	0.107269664218151;	0.118716639983158;	0.130191799901254;	0.152691372573901;	0.224700146014359;	0.296491590302400;	0.498731444991089
0.372440749067275;	0.021899114932977;	0.033344850270927;	0.024803022620707;	0.376635608327585;	0.466849341041777;	0.083961562845779;	0.013936469363235;	0.009524185612692;	0.011543571140954;	0.009763782820468;	0.011063744671813;	0.009729906745202;	0.023987681633018;	0.027048039256000;	0.029195430047048;	0.026100725499030;	0.029289141506330;	0.032679499191475;	0.035313113475287;	0.035542661335693;	0.032715022094933;	0.035389331647767;	0.038401673743234;	0.041505166747931;	0.044875482597079;	0.048973731087095;	0.052476909593553;	0.057114529880300;	0.059905100901952;	0.064883570800313;	0.069595966021396;	0.075922499865545;	0.081062658522845;	0.080813485200835;	0.084213812555274;	0.087339992068622;	0.094159037229656;	0.099303590535147;	0.102859879820778;	0.107465315231828;	0.112493297616634;	0.124367498164223;	0.126798103960047;	0.140997566057793;	0.154581910010387;	0.180599805015057;	0.256785884949149;	0.332578540626957;	0.521248105179295
0.434035555832906;	0.036799866658532;	0.052989121370391;	0.040978320106110;	0.386887022839576;	0.479077165323055;	0.090306345474080;	0.024510894200419;	0.020434427381049;	0.019955335536966;	0.017071852107385;	0.019440212602447;	0.017299567082877;	0.029155395133543;	0.032799310592655;	0.035359455715238;	0.031669943889842;	0.035447076164044;	0.039468231937202;	0.042626541758212;	0.042984256632531;	0.039678897383273;	0.042908117274432;	0.046546209431165;	0.050311881398019;	0.054373786410393;	0.059280217202171;	0.063502708350482;	0.069019042420172;	0.072529278106527;	0.078558929232460;	0.084168131728930;	0.091820673859232;	0.098114336370961;	0.098285779654408;	0.102616535251666;	0.106466221291640;	0.114494427509027;	0.120654088235289;	0.124552500548733;	0.129324337202019;	0.134472439705544;	0.146712443861167;	0.148660901659958;	0.163227567743263;	0.176694248483704;	0.203732897190837;	0.280683156478696;	0.357537053601884;	0.546062698938369
0.504950621941946;	0.058675296936104;	0.081706841976727;	0.065145030474992;	0.401698270959221;	0.496694115638148;	0.099763571190038;	0.038284273821596;	0.034863135091765;	0.038361404615408;	0.035317765526049;	0.030495228695237;	0.027230682475917;	0.037732272351017;	0.042268863992918;	0.045481575987916;	0.040765592477568;	0.045357565227359;	0.050310309576179;	0.054249948200518;	0.054820440595729;	0.050767951080901;	0.054692732056975;	0.059142102142461;	0.063767007648051;	0.068704892234668;	0.074662402261826;	0.079705125446660;	0.086177765022796;	0.090414523912311;	0.097515480856389;	0.103536624642920;	0.112167034446739;	0.118940222100162;	0.118683656441557;	0.122939742174065;	0.126318148668143;	0.134432404781765;	0.140826043525397;	0.144469255370734;	0.149084711877991;	0.154318345940478;	0.167046775115801;	0.169175793792701;	0.184676969130672;	0.198505719890555;	0.226999404183073;	0.304996907401375;	0.383594849069716;	0.573273243530679
0.571608948140429;	0.245412624607822;	0.114371712324453;	0.097836400238627;	0.423299760739786;	0.519764006412757;	0.114556887656500;	0.059863598121045;	0.051017409995556;	0.058779970905281;	0.055058983054541;	0.055962651241791;	0.053243055730824;	0.049040011694895;	0.054566727762351;	0.058480154123296;	0.053591419810240;	0.058983546077753;	0.064951112473031;	0.069707721427745;	0.070441995373333;	0.065284729544028;	0.069698421198413;	0.074777083434826;	0.080066535259345;	0.085633405584956;	0.092386473765472;	0.097907192097615;	0.104962448423100;	0.109629631717026;	0.117487483102459;	0.123602495418553;	0.133126613152169;	0.140409376644668;	0.139962872137015;	0.144457610354368;	0.147202914411679;	0.155789074147106;	0.162793987436182;	0.166493491824553;	0.171273457707683;	0.176891331655331;	0.190316282134804;	0.192816559487772;	0.209341102808067;	0.223425021036187;	0.253341844956451;	0.332046867992443;	0.412454968161716;	0.603772922233439
0.625213961057381;	0.407785492275614;	0.352771057899093;	0.134799355481898;	0.453175941155002;	0.548444110571680;	0.134961645593755;	0.086884342515303;	0.080725363371726;	0.088191594605362;	0.082428154045024;	0.077952817546832;	0.074142534932984;	0.080599780668387;	0.088488790180736;	0.094806684019899;	0.068978928330367;	0.075193978490427;	0.082311476375244;	0.088077078060589;	0.088817001276528;	0.082274545827664;	0.087006260826292;	0.092628385223712;	0.098553045680219;	0.104794604203917;	0.112527137347545;	0.118737085372159;	0.126637031973323;	0.132107328500554;	0.141141473769452;	0.147596992302000;	0.158411427735917;	0.166474203037883;	0.166163699917307;	0.171059864140727;	0.171559968338211;	0.180682934973532;	0.188464330483403;	0.192278550651396;	0.197278460961538;	0.203381207354703;	0.217588760448909;	0.220640770808141;	0.238330267837980;	0.252602729418514;	0.284047587432303;	0.363335196660626;	0.445997836774478;	0.638096634135046
0.660090516826926;	0.507009024616073;	0.512126198022168;	0.338606450225576;	0.486433415569907;	0.583066116621530;	0.161673472591568;	0.121250525822194;	0.109373893242738;	0.122057715959155;	0.114467233298712;	0.117244531074294;	0.110852067282180;	0.102505325505381;	0.111453119738436;	0.118575430997889;	0.110670638503927;	0.116829256891641;	0.126070561141228;	0.133172506177938;	0.112709357770085;	0.105152833033804;	0.110492253467220;	0.117158152201318;	0.124222861518207;	0.131599112848969;	0.140989282001980;	0.148320538561618;	0.157517585955485;	0.164254249929253;	0.174963807857839;	0.181806287335978;	0.194394589889291;	0.203338751660438;	0.203432542185838;	0.208689329581287;	0.202667306598509;	0.212445631863703;	0.221262919584852;	0.225267461541268;	0.230549965039744;	0.237237989838914;	0.252334953897744;	0.256069029412788;	0.275020946620200;	0.289191105649766;	0.322157544815093;	0.401737085183236;	0.487046689668495;	0.677368426019329
0.682566898511387;	0.572981483799813;	0.590329134602624;	0.458865366724080;	0.790850127288290;	0.617939216993164;	0.196127488036032;	0.161852870771528;	0.151899197369904;	0.164049357536374;	0.155874064531769;	0.151771113980569;	0.143864631426312;	0.145653932268850;	0.156446672910425;	0.162091528990583;	0.142024960991571;	0.148646137707639;	0.159482463255407;	0.167869033592321;	0.163948178045040;	0.154777588927314;	0.158950136899560;	0.166026359890631;	0.173447911718034;	0.181170019750523;	0.192271685243302;	0.200162751130966;	0.210303789467509;	0.217914710393523;	0.230067274573425;	0.236620940871727;	0.250900210047403;	0.260059193710117;	0.260269664872114;	0.265194130843462;	0.245792689975518;	0.256137400305450;	0.266140361836183;	0.270211033111999;	0.275706906598141;	0.282950903153998;	0.298979230976081;	0.303469982018480;	0.323718659056352;	0.337258376824419;	0.371636030489503;	0.451106576299284;	0.539466220129546;	0.722976140748788
