0.458883952380306;	0.000157598836232;	0.000018821009897;	0.000142611387409;	0.174666713523641;	0.310423130068585;	0.037647649082557;	0.000026398702999;	0.000023355023783;	0.000017310955021;	0.000017369719176;	0.000016590925048;	0.000017007414705;	0.054386619006391;	0.062251261708977;	0.067135580002440;	0.059307865282693;	0.068091033758162;	0.076272257288971;	0.081836538204499;	0.080668003782935;	0.073059564139121;	0.079515499098641;	0.086140208965142;	0.092352853129390;	0.098956770194345;	0.106910604758497;	0.113735642737412;	0.123042423160274;	0.127675840692852;	0.136745846964453;	0.147296481417842;	0.158806288505243;	0.167878679969945;	0.165351648791347;	0.170492593757653;	0.175162376695168;	0.186873198697930;	0.194239663093723;	0.199226793219979;	0.208084673475224;	0.218109641766482;	0.242607949228608;	0.250314717501904;	0.281817177519729;	0.314964801604541;	0.370811019042377;	0.493589653537375;	0.581411940363753;	0.739151090782614
0.610517106763187;	0.101283478433132;	0.131175058586139;	0.115288786826063;	0.240839618941825;	0.406570632118960;	0.081248569904935;	0.059584764827437;	0.048927186405475;	0.061914602494701;	0.051988619398283;	0.060202631802992;	0.052686314556308;	0.063105466346537;	0.071962718444929;	0.077461139292509;	0.068528906222837;	0.078308007416618;	0.087423675584243;	0.093646663902487;	0.092354380941371;	0.083755611662065;	0.090882154728622;	0.098196620075119;	0.105051663236285;	0.112318648865713;	0.121060101293027;	0.128546010829212;	0.138698384654268;	0.143847944486875;	0.153763828013744;	0.165173205523221;	0.177660317369897;	0.187502015448921;	0.184747923824879;	0.190398614020305;	0.195347159000389;	0.207940805458734;	0.215982174858617;	0.221186887229969;	0.230745359524302;	0.241571555386455;	0.267490423430796;	0.275872752589640;	0.308952757473869;	0.343254276854785;	0.400764051653286;	0.524683755696108;	0.612410286113563;	0.767599871617427
0.651515559480789;	0.132940669366259;	0.162785649859477;	0.144316168600958;	0.260035759047658;	0.426054762035805;	0.093800367269984;	0.075608440256890;	0.062265201022586;	0.077673402536228;	0.065475518801622;	0.075049020597599;	0.065808661131856;	0.078443934080287;	0.088759549998732;	0.095069331189483;	0.084107048121505;	0.095257151789516;	0.105634170285964;	0.112673666444536;	0.110982067703398;	0.100636678354671;	0.108533121120110;	0.116630373820625;	0.124178852825046;	0.132133759105632;	0.141705969461246;	0.149808777138668;	0.160789439144320;	0.166327428517431;	0.177027917787410;	0.189164193709709;	0.202533645562939;	0.212961844683497;	0.209553514712676;	0.215457068628840;	0.220336543986545;	0.233568371191216;	0.242019431892456;	0.247055083270537;	0.257002473201688;	0.268322876477529;	0.295387297118747;	0.304198023063409;	0.338534635104626;	0.373554013819449;	0.432201574780210;	0.556436107177120;	0.643405124978847;	0.790724491354677
0.697857093041405;	0.184188298804655;	0.208329792307076;	0.186731597269910;	0.289877688019254;	0.453493804851997;	0.112901116245756;	0.099358673366582;	0.081941954714554;	0.100358724018391;	0.084847324486226;	0.095980161206407;	0.084235655043768;	0.096642889862864;	0.108535169082516;	0.115712143589739;	0.102395652826125;	0.114983362588167;	0.126711101431990;	0.134636022949049;	0.132503087122228;	0.120180412757574;	0.128872293442752;	0.137796027227180;	0.146083335235291;	0.154768435683909;	0.165230191783087;	0.173986305945457;	0.185836533586179;	0.191813779509058;	0.203359874181845;	0.216231246985959;	0.230538501941816;	0.241583551400777;	0.237463167865143;	0.243632802245551;	0.248382212430166;	0.262236270590154;	0.271085584038958;	0.275820895364479;	0.286064989354540;	0.297759080093108;	0.325725918826638;	0.334771424993501;	0.370068074702538;	0.405499541808962;	0.464873704689105;	0.588722880103220;	0.674413406091489;	0.815101176529596
0.740460916298293;	0.252043579432210;	0.269112860760749;	0.238980826228708;	0.327991915467208;	0.485957842519694;	0.137858354233889;	0.129409834415351;	0.107013646527805;	0.128757593548428;	0.109151006930178;	0.121816872634020;	0.106969813675152;	0.119494459148020;	0.133124990167274;	0.141212384782706;	0.124958829499118;	0.139061703876723;	0.152234017321186;	0.161089565915608;	0.158371713339838;	0.143649032319438;	0.153116988682810;	0.162861568334727;	0.171872583528822;	0.181263487840691;	0.192604769100857;	0.201968871997680;	0.214638968000498;	0.221006193965518;	0.233342737394279;	0.246836252628651;	0.261990141394851;	0.273534521913159;	0.268498262927241;	0.274818884464393;	0.279252208191698;	0.293597177465468;	0.302754652561438;	0.307029337817411;	0.317531855678003;	0.329578146139893;	0.358380214827074;	0.367682935528677;	0.403856731310458;	0.439587157207497;	0.499471940192273;	0.622428285709081;	0.706490287607675;	0.839769584979857
0.778510667743379;	0.342479300934865;	0.345129253514443;	0.303617157557131;	0.377494466494461;	0.523836950639077;	0.170483169743213;	0.167406925995343;	0.138395358722410;	0.163857090759184;	0.139040275315533;	0.153638924665479;	0.134934959249801;	0.147634684021161;	0.163107406106975;	0.172094599150826;	0.152255025649593;	0.167886794332953;	0.182541743731488;	0.192331467535812;	0.188851938851153;	0.171268718565029;	0.181453786563242;	0.191974788813819;	0.201658009764993;	0.211695671771365;	0.223866311766263;	0.233770412302421;	0.247186258718228;	0.253891275195841;	0.266949980865650;	0.280992409850531;	0.296930375712561;	0.308927541536662;	0.302857390219909;	0.309332295999020;	0.313388425827418;	0.328212902730561;	0.337677446791181;	0.341378793406753;	0.352135689091270;	0.364514218620700;	0.394048672969298;	0.403570471023286;	0.440433566235715;	0.476239192119048;	0.536300622371381;	0.657699966443386;	0.739631646956479;	0.864459745424356
0.808730745427301;	0.440132299487618;	0.441166132303591;	0.382776092810541;	0.441442624719047;	0.567634061366678;	0.211885348311618;	0.214340113789103;	0.177768185598394;	0.206801684882011;	0.175274421883875;	0.191827827497571;	0.168083316759251;	0.182171373691103;	0.199547159010264;	0.209377738185070;	0.185007054997306;	0.202137315342860;	0.218274082233221;	0.228977737884094;	0.224524732676749;	0.203563506147118;	0.214404090516946;	0.225657339942588;	0.235966811309707;	0.246604745489833;	0.259569881443835;	0.269973769234582;	0.284088472548251;	0.291111891006016;	0.304849626402516;	0.319387504448903;	0.336042707900424;	0.348432459392873;	0.341161043735825;	0.347754156420505;	0.351378158272499;	0.366610417386285;	0.376327255318918;	0.379269034530697;	0.390222279698876;	0.402860286790280;	0.432959557197979;	0.442629332196788;	0.479940896963267;	0.515548524993822;	0.575377596518109;	0.694459955752039;	0.773664849542221;	0.888796694966584
0.830611897608801;	0.535497402420543;	0.537091716228552;	0.480301678144883;	0.523522188501792;	0.618084063018365;	0.264201705876443;	0.272120230051475;	0.225659138434722;	0.258216534188071;	0.219102824841539;	0.237952685697248;	0.207735041071106;	0.222741244007083;	0.241842130291033;	0.252165275119700;	0.224370656657448;	0.242905360455711;	0.260464978956130;	0.272008145460057;	0.266355054774959;	0.241407851850853;	0.252830893188965;	0.264756998018569;	0.275628604755909;	0.286792977841800;	0.300474438891905;	0.311292624028516;	0.326001423163072;	0.333269007151054;	0.347568635362482;	0.362483147827000;	0.379705528623314;	0.392363254317706;	0.383635990254037;	0.390269535370089;	0.393597014204850;	0.409123929703489;	0.418997138102111;	0.420936552819763;	0.431998524905415;	0.444788107580717;	0.475223740604477;	0.484933381186924;	0.522379944889172;	0.557463696660103;	0.616558767238014;	0.732427342843992;	0.808162667034247;	0.912341400310750
0.844541601010492;	0.641693212439314;	0.625990372023913;	0.577754376177075;	0.629657671340449;	0.675970288959469;	0.330782324357236;	0.343713705868485;	0.284068557033140;	0.319751969159559;	0.271238507094504;	0.291847762397909;	0.254504294753999;	0.271435770733929;	0.292140847443748;	0.302681522290290;	0.269102113178919;	0.288938159975405;	0.307653040626470;	0.319838262362380;	0.315182672646886;	0.285416742065432;	0.297257616822797;	0.309684719743659;	0.320951524051799;	0.332474185875042;	0.346669317346442;	0.357732560777855;	0.372835711617268;	0.380197467260454;	0.394842691753421;	0.409967157742790;	0.427499833785564;	0.440253795663053;	0.429725627687720;	0.436309429744322;	0.440076170918188;	0.455736831458540;	0.465616119879021;	0.466245853116152;	0.477297709873569;	0.490093229631035;	0.520564907907171;	0.530167009881451;	0.567354424703061;	0.601547795735578;	0.659316548331674;	0.770954088498566;	0.842304249412886;	0.934443863059490
0.853767418726564;	0.770215750027225;	0.727724457987232;	0.673633956497422;	0.728575813982089;	0.742978564422404;	0.415879721081398;	0.433042763275540;	0.355566208892804;	0.393899329150728;	0.332807219962906;	0.355406873659460;	0.309264383322608;	0.327614264487645;	0.349545345192651;	0.361427911106534;	0.321176453600269;	0.342151462481245;	0.361738026851773;	0.374353471985977;	0.369458473269061;	0.333879480073256;	0.346148030795717;	0.358953290388836;	0.370531652108375;	0.382336559524752;	0.396837774106913;	0.408052817777608;	0.423388499753249;	0.430748645373898;	0.445532545045291;	0.460760071023314;	0.478322880909644;	0.491048205011658;	0.478356969546418;	0.484866815698251;	0.490138313015988;	0.505745737354005;	0.515433446682342;	0.514399504610286;	0.525307609518738;	0.537941530764651;	0.568079362058882;	0.577390560048777;	0.613845745993117;	0.646790463386332;	0.702556204158205;	0.808839252746050;	0.874706848307105;	0.954095504317460
0.862137713621031;	0.817422291461920;	0.854148916016412;	0.781955871665396;	0.829119082364416;	0.804912582586567;	0.524956117509474;	0.544764455333427;	0.444048704555064;	0.484028841523071;	0.406423303733030;	0.430774385293112;	0.372820303034984;	0.392615560175485;	0.415275794624190;	0.428608141576114;	0.379688508110199;	0.401544486167437;	0.421590138329690;	0.434317737303769;	0.430870128786110;	0.388338397865061;	0.400970028016323;	0.413977301217143;	0.425714972588357;	0.437649365746870;	0.452188920421298;	0.463394232673574;	0.478727549754970;	0.485933645483320;	0.500573012209304;	0.515733415273767;	0.532976008079881;	0.545471033622030;	0.530191459499737;	0.536550540022034;	0.542729357844323;	0.558114527017771;	0.567413440837091;	0.564395675692712;	0.575053719206413;	0.587373525757138;	0.616776962641940;	0.625624352700062;	0.660834179582050;	0.692144311700029;	0.745189679406731;	0.844954192203942;	0.904188255086225;	0.969853790855979
0.870918447623314;	0.829273204439137;	0.896818972076862;	0.824368150527305;	0.955057901913124;	0.867022251903501;	0.624910209230634;	0.642425141019752;	0.552705617108427;	0.592055643701145;	0.495076506692995;	0.520534018682521;	0.447401030022535;	0.468518678459336;	0.491187918138533;	0.505102292756390;	0.445366205036482;	0.467754928168717;	0.487747174153519;	0.500197091636705;	0.498354098584683;	0.447621362547126;	0.460488473009624;	0.473503370365008;	0.485127057187843;	0.496895570445657;	0.511109110969309;	0.522064659845302;	0.537056793571613;	0.543863113988311;	0.557881837539889;	0.572808242796715;	0.589208998175998;	0.601079608237570;	0.582735115524272;	0.588782097122921;	0.595516275646816;	0.610249722197439;	0.618800042197684;	0.613424213575350;	0.623648980066109;	0.635258620295609;	0.663254016806454;	0.671440263248088;	0.704448961349676;	0.737614791933176;	0.787160991189027;	0.879185307347753;	0.930795062849261;	0.981241020360780
0.879960010622613;	0.842937860195733;	0.905245166480348;	0.839437991490363;	0.990517742184567;	0.937476001019239;	0.732670953130201;	0.745059073493714;	0.650983298859638;	0.684888553623051;	0.598364548281285;	0.623205617812836;	0.535109664861350;	0.556909473057443;	0.578458673454265;	0.591696864461415;	0.519811820022743;	0.542189376593268;	0.561411865052171;	0.573048689448021;	0.571977565206817;	0.512021405327863;	0.524959615960358;	0.537747327745897;	0.548934456207811;	0.560194853054752;	0.573668560158722;	0.584104900905448;	0.598378932721635;	0.604531677031841;	0.617437033990223;	0.631937294534767;	0.646970207902137;	0.657848437758157;	0.635942529419715;	0.641554015697929;	0.648490890219715;	0.662229905986389;	0.669765396035170;	0.662025502664233;	0.671713770735946;	0.682399201005043;	0.708533698651836;	0.715982669695110;	0.746297115961326;	0.777912467077368;	0.822656542920860;	0.905212512230782;	0.949171169570085;	0.988601802661321
0.889217257697173;	0.856665992832490;	0.914758638025739;	0.855590571928789;	0.993622575343518;	0.962534738551281;	0.871249153954485;	0.874204077672131;	0.757348508039328;	0.782760474872362;	0.691153921766754;	0.711617249325776;	0.632997920001796;	0.653933126776324;	0.672665203026905;	0.683724023227035;	0.603503463493767;	0.624999500715173;	0.642462625976514;	0.652575053179766;	0.651387338215360;	0.582491558329680;	0.595225987083195;	0.607426021030815;	0.617776375610841;	0.628125427341001;	0.640367365424474;	0.649956817623274;	0.663076118217842;	0.668311527797632;	0.679623260876025;	0.693413767952306;	0.706571896968845;	0.716136533415970;	0.690129093741594;	0.695203491785959;	0.701995596234745;	0.714488542234823;	0.720834749413756;	0.711369180552067;	0.720443437865769;	0.730105200262609;	0.754024267836826;	0.760667428232053;	0.787898136454784;	0.816747439660445;	0.856343322421981;	0.928720170417140;	0.964682532084892;	0.992328191705386
0.898608187189711;	0.870430181088636;	0.923956253357636;	0.870872677820010;	0.996138758647538;	0.970519767430092;	0.915523640055781;	0.916231931025770;	0.890986270487201;	0.903477396187119;	0.792235840027620;	0.806130932303088;	0.720549726058723;	0.737671952196273;	0.753013131043517;	0.762260998303260;	0.691722821699970;	0.710949490311487;	0.725573811326170;	0.733520238807157;	0.731744698391839;	0.658681335900502;	0.670748784146541;	0.681845932084639;	0.690879229213319;	0.699854143243088;	0.710327657949868;	0.718687494116226;	0.730162472614397;	0.734245961815854;	0.743544501414539;	0.756201182699379;	0.767049474839242;	0.775025639983359;	0.744368513960752;	0.748804531452634;	0.755111153400691;	0.766132710956023;	0.771190401723190;	0.761804144097870;	0.770121698908192;	0.778604356484281;	0.799851507380411;	0.805546680289792;	0.829187878861745;	0.854657830843099;	0.888507801362833;	0.949827796383246;	0.977633269560481;	0.994877763138303
0.908046050094566;	0.884073377683120;	0.932845281199801;	0.885419720751785;	0.997799113395518;	0.978051011456704;	0.926194925053623;	0.928310702629003;	0.933010382867260;	0.940893794167097;	0.917108847971071;	0.921452880128929;	0.816377712643350;	0.827863041428571;	0.839101412168432;	0.846403739785720;	0.769299402878418;	0.784646692790305;	0.796373666573737;	0.802651188507552;	0.801495142937457;	0.736153729953931;	0.746809021700433;	0.756213045301467;	0.763513931756466;	0.770733370733870;	0.779084130339530;	0.785888789765331;	0.795296688420422;	0.798207429655890;	0.805347719745062;	0.816251240881596;	0.824638520616142;	0.830883762985644;	0.795152837034561;	0.798866062389127;	0.804411474728409;	0.813771359273171;	0.817624895149294;	0.812216645589338;	0.819545240510759;	0.826646978341616;	0.844712399132557;	0.849319278061717;	0.868899570405461;	0.890423394050778;	0.918035614594406;	0.967682021834570;	0.987737758188996;	0.996642361139962
