0.298431077152124;	0.000000016557243;	0.000000000000505;	0.000000000763782;	0.248329866387265;	0.332013700052478;	0.038969665302857;	0.000000000003396;	0.000000000001266;	0.000000000000296;	0.000000000000177;	0.000000000000124;	0.000000000000080;	0.016375334648974;	0.018395946591992;	0.019812725156869;	0.018096839261411;	0.021049059532484;	0.024131739624685;	0.026465895938095;	0.027213148197633;	0.026081184171399;	0.029066087154031;	0.032773416942332;	0.035643792030164;	0.038345502274444;	0.042226845682246;	0.045015305555371;	0.048537970021589;	0.049990378807705;	0.052630915069021;	0.056537008040333;	0.059744379643789;	0.061134445059669;	0.061267207806678;	0.061981986696326;	0.062916057921910;	0.064565769364986;	0.066600937848518;	0.068389484067401;	0.072019351603233;	0.074724344679805;	0.082012076266759;	0.087389566720329;	0.095134936540832;	0.107496725246074;	0.119639563826587;	0.142826738773309;	0.195353146985605;	0.249101879262650
0.301700841660431;	0.001790649858158;	0.002303102352710;	0.001989687585299;	0.249538493788818;	0.333705327692825;	0.039817315226803;	0.001139455310916;	0.000933920377167;	0.001189468511615;	0.001000045410915;	0.001189428141271;	0.001050152065131;	0.016547241059268;	0.018590238225581;	0.020022825474751;	0.018289332663043;	0.021267952737155;	0.024376249172028;	0.026730813106496;	0.027481837502592;	0.026337266436194;	0.029344337809250;	0.033074386555599;	0.035965743799023;	0.038687512362325;	0.042590804754394;	0.045395937804118;	0.048937861677007;	0.050401041998589;	0.053059174542828;	0.056980459955701;	0.060205040500346;	0.061607499181827;	0.061735183082059;	0.062456116551014;	0.063389698692989;	0.065052396415012;	0.067097488409153;	0.068887788705945;	0.072528453078957;	0.075246762523513;	0.082558553211928;	0.087946855351487;	0.095717944477082;	0.108095673176406;	0.120262389187061;	0.143467033945290;	0.195993367600312;	0.250769186051983
0.302725172043361;	0.002358899665905;	0.426073437744185;	0.002515568844907;	0.249887014284425;	0.334070942742163;	0.040055516708479;	0.001439165510327;	0.001182644242756;	0.001485678519374;	0.001253422970705;	0.001474837712641;	0.001303808635100;	0.016847893738213;	0.018924060877872;	0.020378357241971;	0.018611492015140;	0.021627133811946;	0.024770572886431;	0.027151608619917;	0.027903401456547;	0.026734228887339;	0.029768182371345;	0.033525248873540;	0.036440422912083;	0.039185506140593;	0.043116134064376;	0.045941269931948;	0.049506504697315;	0.050982102897515;	0.053661222214444;	0.057598874622909;	0.060842678315235;	0.062257568124621;	0.062375018560540;	0.063100551903262;	0.064029435740295;	0.065705371015119;	0.067760786754009;	0.069550468003883;	0.073202816358841;	0.075937168607353;	0.083280258084785;	0.088686580458554;	0.096496059683146;	0.108902162190230;	0.121113330754491;	0.144361462292009;	0.196927787744678;	0.253157604780032
0.305184478373804;	0.003439963255042;	0.427156614979907;	0.097905722252656;	0.250540148813256;	0.334753819820475;	0.040496471698634;	0.002339377890507;	0.001637516875566;	0.002023360343565;	0.001713364569980;	0.001990510887561;	0.001762411168179;	0.017241359253501;	0.019359505764607;	0.020842079850179;	0.019033680189253;	0.022095599024857;	0.025284265624155;	0.027700655816828;	0.028456408790391;	0.027258143670148;	0.030327926505776;	0.034122239775217;	0.037071708805017;	0.039848890600982;	0.043814850526451;	0.046665563879039;	0.050260522955176;	0.051753390037773;	0.054460960900570;	0.058420240313871;	0.061693356166514;	0.063129452459846;	0.063240592266209;	0.063979511317551;	0.064909994252894;	0.066613385513164;	0.068716529373300;	0.070623987291663;	0.074426088345037;	0.077321359681371;	0.084843763203477;	0.090384657633137;	0.098367190034299;	0.110905078697193;	0.123272088194899;	0.146653859937902;	0.199358507839643;	0.258581491553676
0.307544039737065;	0.004901942988299;	0.428633965684702;	0.099159935259074;	0.305250598817733;	0.335821251816414;	0.041430453109552;	0.003856943346493;	0.003556514560391;	0.003805344372522;	0.003256769507932;	0.003809071813754;	0.003394215501654;	0.018047221952699;	0.020273340089791;	0.021838084500970;	0.019961324122739;	0.023145421004023;	0.026458261453879;	0.028978848701692;	0.029768532843729;	0.028524040868836;	0.031703937199943;	0.035615934527300;	0.038675296150256;	0.041559170568890;	0.045646122681563;	0.048593286665526;	0.052297842921955;	0.053867420898006;	0.056682568327996;	0.060735749260485;	0.064122827517332;	0.065647317549460;	0.065773867361486;	0.066578267318959;	0.067537769707557;	0.069335472468863;	0.071523008147601;	0.073439712655862;	0.077301339390798;	0.080281954495927;	0.087959211033190;	0.093623264572905;	0.101801094698779;	0.114499592979535;	0.127067690324432;	0.150608483698350;	0.203586315112432;	0.268774875573305
0.316373713488548;	0.010106983764481;	0.650252652678775;	0.183396771698823;	0.308818040311642;	0.364943223738250;	0.043326542921764;	0.006353024131508;	0.005315400854166;	0.006381954808498;	0.005728447527045;	0.005673343435741;	0.005082686377364;	0.019506110592408;	0.021882713229650;	0.023555565856184;	0.021537732969706;	0.024893267734074;	0.028384239275172;	0.031053248783676;	0.031886668790797;	0.030558986233971;	0.033893753619390;	0.037978895080281;	0.041202018424873;	0.044245949259203;	0.048520281506426;	0.051617261756266;	0.055493278604667;	0.057190854661472;	0.060178526139087;	0.064377154496589;	0.067946638677590;	0.069605556373420;	0.069768209214566;	0.070675675891944;	0.071678325668958;	0.073615662647156;	0.075957712833079;	0.077942583626878;	0.081947984430373;	0.085089564491797;	0.093016957174396;	0.098899005094140;	0.107363198420581;	0.120322802606109;	0.133169062154365;	0.156883054962962;	0.210399585786577;	0.285414045891848
0.324673240917687;	0.018965464363321;	0.705676647299394;	0.219478605306617;	0.360040454351083;	0.381068651491464;	0.098537349999358;	0.058809836022135;	0.008833834733956;	0.010424697411827;	0.009418023876201;	0.009999321050011;	0.009191259920852;	0.021883365982539;	0.024505879193745;	0.026357255758442;	0.024146415061273;	0.027768631797979;	0.031540537966556;	0.034441201096874;	0.035345136002580;	0.033877763912851;	0.037439064438270;	0.041783073111006;	0.045242066498489;	0.048510853056721;	0.053055671938107;	0.056359579017010;	0.060471939078697;	0.062344764323211;	0.065564960807692;	0.069964174171014;	0.073789085899866;	0.075627616854695;	0.075852819520199;	0.076911661646982;	0.077955992324770;	0.080079747114525;	0.082651483113172;	0.084739045553755;	0.088973521258225;	0.092348771301337;	0.100627780398624;	0.106860759862582;	0.115696755617535;	0.129045768397573;	0.142215685966792;	0.166029537755233;	0.220509789355089;	0.309016379047254
0.337786369327929;	0.033694034543858;	0.797704103368243;	0.285376299707470;	0.402536707659405;	0.408169369741042;	0.145139214963603;	0.104992129244159;	0.066811073474937;	0.067707047992228;	0.015121218941715;	0.015753028446849;	0.014599385904969;	0.026716684136751;	0.029803840624114;	0.032060798799026;	0.028107547804248;	0.032092679964352;	0.036256270276595;	0.039479606874425;	0.040494648769594;	0.038811521958595;	0.042673274945784;	0.047374784277723;	0.051149216030953;	0.054716033642840;	0.059635732466132;	0.063223481773424;	0.067658803019849;	0.069779359933055;	0.073311043963308;	0.077994521077063;	0.082168507962552;	0.084238349399853;	0.084578957310938;	0.085851611828006;	0.086855462218789;	0.089199264568892;	0.092083227476018;	0.094301975113100;	0.098866230873975;	0.102542070186798;	0.111264707990515;	0.118026067665306;	0.127285662954091;	0.141159696813281;	0.154637867649774;	0.178356650836591;	0.234450440955403;	0.334507933919420
0.353749509601207;	0.054517147585168;	0.857282626829066;	0.356116188164782;	0.451917225843796;	0.439141166015867;	0.197402035074215;	0.156963789649972;	0.127528562597534;	0.129193417192291;	0.082034395035086;	0.082902736004524;	0.022748006093278;	0.033286115126451;	0.036925370711312;	0.039907610827781;	0.035702607100859;	0.040210614646565;	0.045088021592547;	0.048887540248502;	0.047760659633002;	0.045774006229741;	0.050015221968961;	0.055192004117631;	0.059370365490548;	0.063313543921003;	0.068731153256016;	0.072689070360125;	0.077540728155727;	0.079990750337629;	0.083907370813446;	0.088961897465917;	0.093572560765697;	0.095901909585954;	0.096419343601586;	0.097955841980820;	0.098935804555321;	0.101518100827500;	0.104808573831503;	0.107184747855373;	0.112198132356702;	0.116228356288648;	0.125464525651310;	0.132971844716103;	0.142643673094045;	0.157414677343795;	0.171098497203548;	0.194359274456942;	0.253070480590114;	0.365833379831066
0.372710778669152;	0.082421850604782;	0.895313982810933;	0.430310566742677;	0.512144518117094;	0.474463962581595;	0.253492338646987;	0.213367523066255;	0.192205631823216;	0.194785126174250;	0.159928776318110;	0.161209687002487;	0.105407787819944;	0.113398694239561;	0.123175657836893;	0.050968790243041;	0.045633528165086;	0.050698891913924;	0.056398481479931;	0.060839307826857;	0.060582098562775;	0.058354429883768;	0.063108566795827;	0.069070196250381;	0.073869957279444;	0.078378001883539;	0.084641723819911;	0.089192874720159;	0.094715139787292;	0.097718400463829;	0.102231983040350;	0.107909006589902;	0.113233261374727;	0.115930952106674;	0.116928379558364;	0.118906574236760;	0.115000232348764;	0.117825899288464;	0.121640730783025;	0.124191453260815;	0.129813139498792;	0.134245220669674;	0.144033767459566;	0.152567418836718;	0.162523765506561;	0.176880055942037;	0.190441210997314;	0.212656992423944;	0.274614024315664;	0.413554335448467
