0.297114163459635;	0.000000002278462;	0.000000000000024;	0.000000000077193;	0.248739370983475;	0.331814797358717;	0.038785681258610;	0.000000000000166;	0.000000000000054;	0.000000000000010;	0.000000000000006;	0.000000000000004;	0.000000000000002;	0.016392378932040;	0.018414701592805;	0.019836472230972;	0.018125998763640;	0.021096826251931;	0.024205734006717;	0.026577639052564;	0.027369942869914;	0.026294378328619;	0.029377872616816;	0.033221195974770;	0.036258742629001;	0.039161292517057;	0.043313270173570;	0.046388013632979;	0.050244759335029;	0.052021244874846;	0.055073697216740;	0.059380293113975;	0.063002432415461;	0.064679195930925;	0.065180808391089;	0.065969414877498;	0.066847286788192;	0.068277757494478;	0.070153468471025;	0.071741304185755;	0.075032345667960;	0.077317242893987;	0.084237896481761;	0.089305958234822;	0.096599929159134;	0.108583940955250;	0.120210886952528;	0.142719179017470;	0.195131432851602;	0.248149342358239
0.300392369561763;	0.001786846379266;	0.002298058896781;	0.001984541055040;	0.249945824378064;	0.333502209103078;	0.039632311771578;	0.001137575691826;	0.000932277964220;	0.001187160455498;	0.000998044800534;	0.001187257987042;	0.001048239295373;	0.016564064063026;	0.018608775984009;	0.020046393695712;	0.018318395690525;	0.021315717418119;	0.024450378580969;	0.026842886715285;	0.027639214555915;	0.026551383983063;	0.029657480767306;	0.033524055820384;	0.036583231826915;	0.039506574302131;	0.043681319873588;	0.046773650044892;	0.050650553829166;	0.052438953217193;	0.055510139040059;	0.059832888296912;	0.063473164418294;	0.065163310639801;	0.065661736834708;	0.066457376324716;	0.067334760869779;	0.068777816654327;	0.070663048500318;	0.072251939415834;	0.075552537821032;	0.077849355757087;	0.084792078411756;	0.089869686594731;	0.097187660699885;	0.109186159399613;	0.120835704324960;	0.143360546565421;	0.195772457610487;	0.249819386497444
0.301419183099147;	0.002354321432268;	0.425078229998369;	0.002509651623041;	0.250293889355286;	0.333867408748371;	0.039870284130772;	0.001436889238926;	0.001180637835531;	0.001482917452040;	0.001251008636892;	0.001472254326641;	0.001301517574490;	0.016864344739787;	0.018942238676823;	0.020401630295287;	0.018640390542707;	0.021674878181573;	0.024844882215479;	0.027264139922644;	0.028061591836882;	0.026949638103047;	0.030083193268393;	0.033977474800576;	0.037061284262048;	0.040008858200544;	0.044211958492268;	0.047325425428740;	0.051226732940702;	0.053028970886628;	0.056122505226951;	0.060462741076918;	0.064123294825869;	0.065827007512533;	0.066317608911152;	0.067118901240675;	0.067991530896924;	0.069447259543281;	0.071342283637791;	0.072929712842546;	0.076240470705932;	0.078551631689362;	0.085523247382528;	0.090617372747730;	0.097971681317509;	0.109996834986841;	0.121689297199364;	0.144256547971878;	0.196708145210073;	0.252211214871925
0.303882336399493;	0.003434013247646;	0.426160052635431;	0.097830299319954;	0.250946205415905;	0.334549462629269;	0.040310831067311;	0.002334181802477;	0.001634858213199;	0.002019788777361;	0.001710208989753;	0.001987189026438;	0.001759442047855;	0.017257346738728;	0.019377234529884;	0.020864980143415;	0.019062360745677;	0.022143296628823;	0.025358762260253;	0.027813700578827;	0.028615541679837;	0.027475085409310;	0.030645162497941;	0.034577524628975;	0.037696628212815;	0.040677412930072;	0.044917058055853;	0.048057453429273;	0.051989783975976;	0.053811020036280;	0.056934645358693;	0.061297881265697;	0.064989118528347;	0.066715555801433;	0.067203186587674;	0.068019511992322;	0.068894025580351;	0.070376878718148;	0.072319947429935;	0.074027136402171;	0.077488278918680;	0.079959928491228;	0.087108064219655;	0.092334682797303;	0.099858207469918;	0.112011460072091;	0.123855909634795;	0.146553781659493;	0.199142811185745;	0.257641116711012
0.306246045877110;	0.004894508924722;	0.427635891800858;	0.099083109185381;	0.305462714905841;	0.335615597947892;	0.041243968020029;	0.003849568567717;	0.003548665931679;	0.003798930667525;	0.003251043434854;	0.003803025527033;	0.003388768527118;	0.018062321135827;	0.020290192435860;	0.021860251747046;	0.019989584145944;	0.023193079728676;	0.026533257880582;	0.029093168073797;	0.029929985286724;	0.028744771765545;	0.032026753886963;	0.036079011969282;	0.039310702361602;	0.042401254489181;	0.046765365591740;	0.050006139108547;	0.054051984824101;	0.055955106287666;	0.059191407865775;	0.063653043567297;	0.067462875314300;	0.069282756390873;	0.069796387623709;	0.070683738571953;	0.071588719958226;	0.073164975991299;	0.075191469468787;	0.076905014431393;	0.080419697498522;	0.082969942444498;	0.090263828571631;	0.095607480666892;	0.103317911675188;	0.115624852716755;	0.127663484517507;	0.150515498653429;	0.203376884588232;	0.267840253306622
0.315094240569000;	0.010092413108688;	0.649158486741308;	0.183261307571290;	0.309025134981549;	0.364688667066230;	0.043138550885346;	0.006341006816078;	0.005304875110238;	0.006369317982945;	0.005716037905306;	0.005665029328644;	0.005075093876909;	0.019519736042206;	0.021898151371981;	0.023576572014759;	0.021565328062840;	0.024940853409357;	0.028459952035959;	0.031169399996615;	0.032051472345788;	0.030785224134522;	0.034224608684908;	0.038453134864099;	0.041852400122939;	0.045107363816255;	0.049663817983064;	0.053060026515820;	0.057283004147798;	0.059321681660539;	0.062737876186323;	0.067351365152182;	0.071350329373881;	0.073311630695293;	0.073877254421012;	0.074875498736781;	0.075825210374279;	0.077539099588695;	0.079718962332450;	0.081497944677965;	0.085148504390739;	0.087849927289789;	0.095380382204035;	0.100933106026502;	0.108916777396500;	0.121474610509644;	0.133780808124230;	0.156799080643556;	0.210199276543828;	0.284474893252791
0.323410049479881;	0.018940153402631;	0.704652162842810;	0.219320258096762;	0.360083495766963;	0.380789785782234;	0.098158601197538;	0.058605709909431;	0.008816941289168;	0.010405140716742;	0.009398456276811;	0.009982593796538;	0.009174914061723;	0.021894928419781;	0.024519355137589;	0.026376682139407;	0.024173070174292;	0.027816194308368;	0.031617406970573;	0.034560160358215;	0.035515014035723;	0.034112313099809;	0.037781910118288;	0.042273787592107;	0.045914301666616;	0.049400155019270;	0.054233894692029;	0.057844584659414;	0.062311371482605;	0.064535329277527;	0.068193415771489;	0.073015603273661;	0.077278417593277;	0.079428068515152;	0.080079019866771;	0.081239208293181;	0.082231596014549;	0.084128297402281;	0.086536195151073;	0.088414959426682;	0.092284151618786;	0.095205607192918;	0.103069055821148;	0.108960827667552;	0.117297400550416;	0.130230891173031;	0.142845777560855;	0.165955053707057;	0.220321432756951;	0.308030976411446
0.336549838529482;	0.033653227168140;	0.796844439471800;	0.285180146797828;	0.402459045806656;	0.407851260932410;	0.144613720728027;	0.104632439351393;	0.066582014902066;	0.067481123874575;	0.015090250032005;	0.015727441576276;	0.014573766683361;	0.026719913784677;	0.029808847596391;	0.032072051719599;	0.028133101894046;	0.032140401360222;	0.036334839076042;	0.039602393155854;	0.040671294120867;	0.039057137968746;	0.043031889399590;	0.047886930713832;	0.051849570968481;	0.055640865627457;	0.060857784861474;	0.064761490178181;	0.069560192287609;	0.072044138050062;	0.076024684696572;	0.081140841304514;	0.085762537463115;	0.088153673520584;	0.088950670941723;	0.090338042934574;	0.091287155184442;	0.093397945071368;	0.096115720653493;	0.098123164267440;	0.102309418340631;	0.105513916236710;	0.113797741468178;	0.120203648714941;	0.128938848429065;	0.142380708540865;	0.155284714800943;	0.178289305181200;	0.234275932377396;	0.333441270733349
0.352545760492866;	0.054459625318223;	0.856623013701473;	0.355885277921434;	0.451713744768783;	0.438783405242284;	0.196725931214191;	0.156442830441155;	0.127095184977288;	0.128763096376613;	0.081777104213245;	0.082655177521152;	0.022707605216495;	0.033280384684456;	0.036921350357192;	0.039909936422093;	0.035719675488174;	0.040251728029574;	0.045162010107052;	0.049008677063691;	0.047945582342921;	0.046033125760700;	0.050392820010088;	0.055729644183692;	0.060103777827127;	0.064279721213698;	0.070003777589765;	0.074287801030201;	0.079512623623938;	0.082339671829565;	0.086716626207844;	0.092214243637002;	0.097282609167118;	0.099943594673319;	0.100955333690285;	0.102621520210936;	0.103542962062457;	0.105884157157598;	0.109005959775659;	0.111170242158369;	0.115791699301230;	0.119329808197926;	0.128100517649537;	0.135236459930608;	0.144352938296328;	0.158672268197143;	0.171758587929101;	0.194295916750696;	0.252912848170046;	0.364672059751409
0.371545726470956;	0.082349331636437;	0.894840541908057;	0.430053673196462;	0.511813129298179;	0.474068292047736;	0.252673689322900;	0.212690583410400;	0.191575302619006;	0.194158042520185;	0.159428712693867;	0.160724120590469;	0.105119507329979;	0.113152070755301;	0.122939898740629;	0.050957588780125;	0.045640332552739;	0.050731807036436;	0.056466316319285;	0.060957205037511;	0.060769893743252;	0.058623826199772;	0.063504200656346;	0.069635222779220;	0.074641717393996;	0.079394926080745;	0.085978907432621;	0.090872285248063;	0.096784194122233;	0.100187225666041;	0.105181222332689;	0.111324050960435;	0.117126633744671;	0.120181384315308;	0.121735707048823;	0.123880258175436;	0.119781855399038;	0.122353768880096;	0.125995332683391;	0.128335607376402;	0.133549104635005;	0.137463984772545;	0.146757588356093;	0.154902298786457;	0.164266686947899;	0.178155747236285;	0.191096485333081;	0.212585260523811;	0.274466057293423;	0.412299723148543
