0.096365010790472;	0.062098281905915;	0.032093095317749;	0.027795619004232;
0.098606362730036;	0.064460476224636;	0.033386873104510;	0.028657957071710;
0.100042416401818;	0.065835519948989;	0.034134685663491;	0.029183343285586;
0.101235697673154;	0.066987201960547;	0.034760901619551;	0.029622391474684;
0.102262572241177;	0.067924691277413;	0.035269406315985;	0.029990486684072;
0.103203930743153;	0.068744846323615;	0.035714101282272;	0.030321689315390;
0.104065874252753;	0.069453053391518;	0.036098111601619;	0.030618079749110;
0.106670354966425;	0.071904589785016;	0.038255501175173;	0.047946651038905;
0.107438650588752;	0.072523561641902;	0.038592906458261;	0.048226830633162;
0.108182255059276;	0.073112121759871;	0.038914673524473;	0.048502593399804;
0.108972616496413;	0.073715616277864;	0.039244580660141;	0.048783881029627;
0.109710023437747;	0.074273317702882;	0.039551994972052;	0.049064755182291;
0.110437991278840;	0.074808807772986;	0.039849555617351;	0.049370909041683;
0.111192483203279;	0.075356676475952;	0.040153516292304;	0.049675824278170;
0.111919433382675;	0.075886999687003;	0.040448807781126;	0.049958270675688;
0.112689716665433;	0.076455429430924;	0.040766156726171;	0.050259264552481;
0.116292447234411;	0.083350195534213;	0.055957443123872;	0.053887752056826;
0.117126156947811;	0.084042014754934;	0.056337676543630;	0.054266986085031;
0.117955212898973;	0.084722367495223;	0.056758395981283;	0.054621185806401;
0.118777747947153;	0.085364997515898;	0.057146696955758;	0.054979377617710;
0.119645734937764;	0.086022020034922;	0.057554739564051;	0.055409481537001;
0.120490982758015;	0.086644844485179;	0.057935073128300;	0.055796615018575;
0.121337860011725;	0.087301940547814;	0.058340567056251;	0.056181546045816;
0.122254007300914;	0.087970437970213;	0.058745058587100;	0.056637902642956;
0.123192354964035;	0.088704508577170;	0.059198018752248;	0.057109476748143;
0.124118762087863;	0.089370763352675;	0.059598623275779;	0.057548302559599;
0.125079317721529;	0.090128537581008;	0.060061782508144;	0.058076445521067;
0.126115679740165;	0.090901248314646;	0.060609187826899;	0.058608636369307;
0.127180937526120;	0.091748715460525;	0.061180161344260;	0.059171676589282;
0.128160162166361;	0.092488167086189;	0.061677804989215;	0.059736189626309;
0.129300500125159;	0.093357322867905;	0.062243233914943;	0.060330155626514;
0.130385665201711;	0.094180352349545;	0.062786532544886;	0.060956036842828;
0.131540262940858;	0.095096326620420;	0.063423091034579;	0.061612684777363;
0.132755996870117;	0.096019210470358;	0.064057041830632;	0.062320280494139;
0.133992306633352;	0.097003622877693;	0.064752887431358;	0.063050029827411;
0.135219605674987;	0.097961612879130;	0.065408713224557;	0.063796411673997;
0.136608715446912;	0.099052031207798;	0.066145793183064;	0.064617836062351;
0.137899860037322;	0.100096216987498;	0.066900593260183;	0.065427888641376;
0.139337034212326;	0.101242227520170;	0.067731190416823;	0.066328448427138;
0.140796821880664;	0.102407031709647;	0.068571762804466;	0.067231383579971;
0.142262086793560;	0.103606479974951;	0.069461358919243;	0.068205501003908;
0.143905049551772;	0.104934252797915;	0.070440282885872;	0.069225196368406;
0.145507183683772;	0.106228904968019;	0.071404786951058;	0.070284830245770;
0.147135028576957;	0.107582245037804;	0.072417902582727;	0.071374374534424;
0.148940983486933;	0.109038823223365;	0.073514471560501;	0.072546339873896;
0.150758144615792;	0.110531697874744;	0.074647438195254;	0.073766290290504;
0.152580955950715;	0.112076797838652;	0.075820375154937;	0.075045909313735;
0.154564973818045;	0.113694559271306;	0.077059745330630;	0.076370857400585;
0.156658881059875;	0.115416205108461;	0.078376803677285;	0.077799638635389;
0.158610577923300;	0.117114680592909;	0.079703183962706;	0.079231048735442;
0.160832615954523;	0.118951950954715;	0.081142910466989;	0.080774347569949;
0.163151790237550;	0.120898860644649;	0.082643000492782;	0.082414976864607;
0.165396875767857;	0.122854752347752;	0.084205402572249;	0.084071044412325;
0.167866474271718;	0.124917949565100;	0.085831816723647;	0.085849466510942;
0.170448786528391;	0.127115443850438;	0.087570094024244;	0.087714318391892;
0.172969712824825;	0.129321073425116;	0.089340455504275;	0.089628495696278;
0.175711469182460;	0.131668080156100;	0.091239628678485;	0.091714385322077;
0.178592056894832;	0.134148926082316;	0.093237550160061;	0.093869963134972;
0.181446603101766;	0.136671709266156;	0.095298528549119;	0.096120811650269;
0.184490768106575;	0.139302123670990;	0.097458636401752;	0.098468308935606;
0.187684507041308;	0.142101419477814;	0.099754833823957;	0.100930075235279;
0.190913037647192;	0.145017124438480;	0.102188924713920;	0.103508200257665;
0.194410292447726;	0.148076208283969;	0.104714417981016;	0.106225823291101;
0.197922327672568;	0.151181286297895;	0.107355743165307;	0.109054588393776;
0.201547878988407;	0.154466319766686;	0.110146509846439;	0.111991144395721;
0.205472255766413;	0.157979852636029;	0.113111981793513;	0.115155790581746;
0.209574624515869;	0.161627926986373;	0.116203565013245;	0.118436299838884;
0.213577369439518;	0.165277342633510;	0.119356061237768;	0.121819556663385;
0.218055209077548;	0.169311698974149;	0.122833661344261;	0.125510650635336;
0.222556685924932;	0.173405302526541;	0.126371571119229;	0.129296560198020;
0.227058019040003;	0.177598208154922;	0.130070138743430;	0.133229385680570;
0.232040831539606;	0.182096179383531;	0.134016858957761;	0.137473336986907;
0.237199000304574;	0.186838422575454;	0.138201950913836;	0.141832194271085;
0.242172579576951;	0.191616331475931;	0.142486171900942;	0.146337932850213;
0.247689162328990;	0.196755009927008;	0.147048063178453;	0.151201953562726;
0.253535191932946;	0.202146758165484;	0.151876019078820;	0.156280981804844;
0.259471495212761;	0.207630820561910;	0.156835854640720;	0.161487697883710;
0.265379949405275;	0.213314000769497;	0.162022238236660;	0.166921320682584;
0.271873901898506;	0.219425614776292;	0.167574129748163;	0.172675031049068;
0.278473537529738;	0.225728508243274;	0.173366763573276;	0.178669059826726;
0.284913229735621;	0.232069097947149;	0.179270235242315;	0.184829574550949;
0.292009253591188;	0.238831484376868;	0.185594110255298;	0.191339427939989;
0.299580285809366;	0.246108875541636;	0.192511930084909;	0.198286268927668;
0.307332932368814;	0.253615915598885;	0.199631277838142;	0.205535428769668;
0.314868951553091;	0.261150205522436;	0.206814946572394;	0.212974673291437;
0.323275595393602;	0.269241612352503;	0.214430858056055;	0.220788326467735;
0.331722471662928;	0.277511995665214;	0.222358511575674;	0.228908337244952;
0.340494689511147;	0.286072400103750;	0.230627533670247;	0.237386540228585;
0.349149591728006;	0.294806080576719;	0.239170242585126;	0.246118548583248;
0.358570171266989;	0.304157114665044;	0.248287973192989;	0.255351949667233;
0.368271859532361;	0.313769533641050;	0.257616531248183;	0.264934455783777;
0.378202408305328;	0.323736339838084;	0.267460507832855;	0.274785862115436;
0.387924339555679;	0.333725452329530;	0.277432513388317;	0.284836687020134;
0.398157874906325;	0.344152200024903;	0.287903731331995;	0.295359613973085;
0.409001526318837;	0.355022777259365;	0.298770118497969;	0.306329209063946;
0.420050309061407;	0.366192943923672;	0.309996499406588;	0.317680702440062;
0.431269495783152;	0.377686524198342;	0.321598048542813;	0.329391901098481;
0.442012651892577;	0.389101491633636;	0.333365808133300;	0.341233380242164;
0.453731037644330;	0.401149721610848;	0.345664821860067;	0.353594888737966;
0.465563221995431;	0.413442016747122;	0.358395696684879;	0.366263933803155;
0.477405618532398;	0.425881295293311;	0.371422036239005;	0.379040074836503;
0.489229679666796;	0.438408137398589;	0.384572968562932;	0.392116146936410;
0.500454178998880;	0.450814683385667;	0.397783123408052;	0.405320853580363;
0.512626501557623;	0.463763720812997;	0.411483661901991;	0.418979487801233;
0.523974994065444;	0.476367898810078;	0.425110324595378;	0.432566067619385;
0.535579753573994;	0.489167628666243;	0.439034834303566;	0.446375955600675;
0.546968573412436;	0.501693406428749;	0.452885286282196;	0.460141345902108;
0.558266815025416;	0.514224356058138;	0.466791368797348;	0.473910992434138;
0.569576102580740;	0.526750186474388;	0.480711515378549;	0.487661371479494;
0.581017135766793;	0.539387583566607;	0.494778297202427;	0.501283911463981;
0.592367437246511;	0.552001382784964;	0.508914694627494;	0.514866065866155;
0.603502411894204;	0.564361580859323;	0.522671559285211;	0.528234305718151;
0.614417782092522;	0.576507690656089;	0.536194757056221;	0.541457626602881;
0.625108231763370;	0.588463356411907;	0.549582486379013;	0.554428899463571;
0.635524217949183;	0.600179952929357;	0.562705641275343;	0.567222349734670;
0.646049393286997;	0.611866453714858;	0.575761724072859;	0.579897180178879;
0.656284335103142;	0.623247604207394;	0.588473287178996;	0.592302484247023;
0.666332642273355;	0.634407383889311;	0.600991471670062;	0.604475025044475;
0.676078104285076;	0.645270244150041;	0.613226415588268;	0.616319969881406;
0.685568269815494;	0.655884500209014;	0.625125938764977;	0.627851149662382;
0.694790412186135;	0.666189450168709;	0.636667157804625;	0.639039964821126;
0.703738764026149;	0.676231720271741;	0.647955423668558;	0.649965308956250;
0.712327984357288;	0.685923708182230;	0.658890308017804;	0.660553599255535;
0.720881324706674;	0.695403332594913;	0.669442148209469;	0.670791905797043;
0.729116750628866;	0.704542449284947;	0.679635433740515;	0.680687921262364;
0.737061780296015;	0.713375327016818;	0.689514409856329;	0.690321822438330;
0.744661238778975;	0.721823808095012;	0.698973807347060;	0.699358680373420;
0.751982310872590;	0.729949481972899;	0.708053359659654;	0.708159253150880;
0.759095984844180;	0.737806524068739;	0.716796411804663;	0.716644068526484;
0.765958885579660;	0.745379201858276;	0.725161860401478;	0.724835756916886;
0.772598900789252;	0.752704937540103;	0.733244432812174;	0.732918169348624;
0.779105974425388;	0.759858400813180;	0.741128124414933;	0.741162361668679;
0.785328033456208;	0.766749835803180;	0.748724812953637;	0.749070276322388;
0.791622086646468;	0.773534677548722;	0.756122718787166;	0.756749506620298;
0.797835940097253;	0.780229039565715;	0.763360163687810;	0.764322033305973;
0.803626849473020;	0.786503120898175;	0.770124053182857;	0.769718184919668;
0.809490287226061;	0.792854420368183;	0.776937084836134;	0.776724525364166;
0.815437417192516;	0.799283733764070;	0.783857721749683;	0.785136729552127;
0.821018804981958;	0.805337203757789;	0.790409720443374;	0.791625848556331;
0.826472616265404;	0.811227004068643;	0.796774922828641;	0.797901200223020;
0.831764547719067;	0.816953285941646;	0.802921671289439;	0.803524388119005;
0.837067752930333;	0.822680804772813;	0.809042027732599;	0.809990235620496;
0.842232677834085;	0.828282188990061;	0.815065842434405;	0.816059674085323;
0.847264121430249;	0.833738229158717;	0.820952778343754;	0.821900902991997;
0.852213225575301;	0.839098895797846;	0.826717279902296;	0.827490933948546;
0.857090195388609;	0.844395106434977;	0.832408698223797;	0.833154449231723;
0.861917425956392;	0.849639587563192;	0.838041764508017;	0.838701204774221;
0.866654383982778;	0.854825240619509;	0.843592871732625;	0.844371016603616;
0.871565401416171;	0.860067631075090;	0.849162458708557;	0.849894179307303;
0.876427092058439;	0.865251895557974;	0.854670619188438;	0.855283244895686;
0.881270755624239;	0.870436782706583;	0.860177210334204;	0.860886198003521;
0.886056070463011;	0.875560141068375;	0.865615406124002;	0.866231932188338;
0.890761960268555;	0.880601068603654;	0.870979573729153;	0.871698764747646;
0.895417859361203;	0.885593741337999;	0.876290240800903;	0.877003110013172;
0.900031224470546;	0.890542572062465;	0.881576961777509;	0.882258091296823;
0.904588439190181;	0.895411219294788;	0.886713095093124;	0.887436570762349;
0.909110738861426;	0.900272796148690;	0.891886420454829;	0.892617828111376;
0.913593126227523;	0.905115940573543;	0.897092658877735;	0.897757000381298;
0.917999440061851;	0.909816419755603;	0.902053229516909;	0.902785307862354;
0.922382339417404;	0.914528958966263;	0.907061875381893;	0.907834447534214;
0.926741448187833;	0.919253601099142;	0.912214777312770;	0.912851921645327;
0.930963371736263;	0.923721641389877;	0.916968156181580;	0.917742548561553;
0.935315940534908;	0.928433075113137;	0.921913333913319;	0.922723018934128;
0.939687197404031;	0.933244779574847;	0.927212822894251;	0.927802004596878;
0.943806825881170;	0.937662011067018;	0.931856657024989;	0.932574765591832;
0.947995167749815;	0.942211591998719;	0.936707758394743;	0.937434013901122;
0.952134218677283;	0.946762687766828;	0.941632711774819;	0.942265004751761;
0.956217429948230;	0.951249218287414;	0.946481270382790;	0.947036751085912;
0.960290024457301;	0.955738010636814;	0.951315020481947;	0.951829022973008;
0.964430447666001;	0.960445982302528;	0.956650700381544;	0.956726206433215;
0.968336478067397;	0.964884237521644;	0.961666509585622;	0.961356149101396;
0.972010932244841;	0.968977896332927;	0.966174910035865;	0.965731752702750;
0.975452354491839;	0.972753847537645;	0.970194187844668;	0.969849887652925;
0.978844912881662;	0.976496314312513;	0.974184547155006;	0.973936127873308;
0.982207647093351;	0.980310398883213;	0.978457231347145;	0.978000421423318;
0.985250661755633;	0.983715693718178;	0.982164015141656;	0.981705374013867;
0.988068518638404;	0.986890738045614;	0.985650427603665;	0.985172851623542;
0.990577548412238;	0.989729984409596;	0.988775008377673;	0.988303366725723;
0.992733092053179;	0.992095253338090;	0.991369298472571;	0.990991379205419;
0.994628002093887;	0.994176933280626;	0.993640627685086;	0.993371307940781;
0.996319342795653;	0.996010153558059;	0.995641688710442;	0.995446856479005;
0.997668496095548;	0.997472324181086;	0.997235841568106;	0.997110319395451;
0.998664470801184;	0.998550682376185;	0.998409286648739;	0.998342209113850;
0.999346427742646;	0.999294017193843;	0.999229601801905;	0.999194810900949;
0.999728666578551;	0.999707568975665;	0.999681608983184;	0.999668366523513;
0.999911147173510;	0.999904588846388;	0.999896397857428;	0.999892216397308;
0.999977629885627;	0.999975958384038;	0.999973839563752;	0.999973022054512;
0.999995773604686;	0.999995424830183;	0.999994967090098;	0.999994870172697;
0.999999535862847;	0.999999493845602;	0.999999442561403;	0.999999452013919;
0.999999968214779;	0.999999964825646;	0.999999960134698;	0.999999961959252;
0.999999998082225;	0.999999997816968;	0.999999997431714;	0.999999997539935;
0.999999999858275;	0.999999999832907;	0.999999999792691;	0.999999999835434;
0.999999999983363;	0.999999999981612;	0.999999999979164;	0.999999999980226;
0.999999999990733;	0.999999999990135;	0.999999999989353;	0.999999999988955;
0.999999999993378;	0.999999999992965;	0.999999999992418;	0.999999999992148;
0.999999999995512;	0.999999999995243;	0.999999999994887;	0.999999999994661;
0.999999999997252;	0.999999999997087;	0.999999999996869;	0.999999999996715;
0.999999999998645;	0.999999999998563;	0.999999999998458;	0.999999999998405;
0.999999999999577;	0.999999999999556;	0.999999999999529;	0.999999999999519;
1.000000000000000;	1.000000000000000;	1.000000000000000;	1.000000000000000;
