0.000000000000000;	0.077875844489653;	0.000000000000000;	0.000000000000000;
0.123972770311180;	0.118399554304161;	0.000000000000000;	0.000000000000000;
0.100620809068631;	0.102389748578159;	0.000000000000000;	0.000000000000000;
0.084354449659014;	0.083717825300219;	0.000000000000000;	0.000000000000000;
0.076128804347615;	0.068883046306175;	0.000000000000000;	0.000000000000000;
0.070323335435430;	0.057225608094839;	0.000000000000000;	0.000000000000000;
0.064206884989068;	0.049112184887561;	0.000000000000000;	0.001858042499955;
0.058829155624843;	0.045082872946827;	0.000000000000000;	0.003716084999910;
0.055101132932090;	0.041737064054637;	0.000000000000000;	0.001705282882377;
0.054872572287404;	0.039018297803127;	0.000000000000000;	0.001342630711191;
0.053388294794960;	0.035909447399163;	0.000000000000000;	0.001544097366947;
0.049785681595708;	0.031921874781306;	0.000000000000000;	0.003160050596207;
0.049176004207823;	0.029392906504648;	0.000000000000000;	0.004382287673639;
0.047388590082285;	0.027796001005976;	0.000000000000000;	0.003057117439016;
0.045676916875781;	0.027380878932601;	0.000000000000000;	0.002588406522427;
0.045225819684269;	0.030331649563410;	0.000000024389419;	0.003523851599417;
0.043589525425084;	0.035316980553254;	0.000000048778838;	0.005454526533967;
0.041919427856634;	0.035236497249161;	0.000000048235235;	0.004297571786724;
0.040826870759671;	0.030622673375961;	0.002176527840928;	0.003753430986985;
0.041167766013344;	0.027083542727050;	0.001940575392015;	0.005375510146859;
0.040938755082776;	0.024360847820385;	0.001925094264253;	0.006296058466279;
0.038479358965946;	0.024260107249959;	0.001849455886961;	0.004898186017289;
0.038589227125002;	0.023722192386539;	0.001702759284514;	0.005813366150466;
0.038988921674699;	0.024052498284092;	0.001709831108310;	0.007375335508250;
0.037920980958576;	0.022977639690959;	0.001568491850808;	0.006425640743163;
0.036651820436484;	0.022883954086102;	0.001447757230851;	0.007272090271606;
0.036955798077870;	0.022754300111315;	0.002513943700830;	0.008228227981381;
0.037466396670303;	0.022439608797321;	0.004862650440123;	0.007656989788428;
0.034605025318966;	0.022214629804965;	0.004054693001762;	0.008679896530800;
0.034941814900825;	0.021403801275430;	0.003631275257791;	0.008645058335202;
0.035334700306590;	0.022051138982129;	0.003500459998544;	0.008836352936294;
