0.000000000000000;	0.048273063614096;	0.023294231322085;	0.020210487802832;
0.037793357937434;	0.035982181029692;	0.019419367686483;	0.013853686933003;
0.031165674877322;	0.029787062809040;	0.016090302705126;	0.011487122730758;
0.025622612836534;	0.023752616896993;	0.012858635154478;	0.009368044215868;
0.022200347170836;	0.019514115814955;	0.010603188601923;	0.007983693635453;
0.019823685044705;	0.016488226972121;	0.009003823480014;	0.007018125760501;
0.027263011907561;	0.022855653149020;	0.013752188229822;	0.012859143188119;
0.024115348180641;	0.019747812915696;	0.011844476929492;	0.011567987421304;
0.015302761385558;	0.011964287708600;	0.006640276810751;	0.005730524227036;
0.015073174829780;	0.011496965663309;	0.006401587129895;	0.005595503404418;
0.014573530881514;	0.010891601165609;	0.006102123746699;	0.005476735330951;
0.013613284931550;	0.010007459325923;	0.005661128665252;	0.005453694348388;
0.013339478446426;	0.009644162365335;	0.005474652720854;	0.005466026577644;
0.012917887369135;	0.009320656588106;	0.005299545323660;	0.005168163614000;
0.012700163729662;	0.009227154166351;	0.005259863287725;	0.005021884617384;
0.020403258174286;	0.017085110838093;	0.010423836916112;	0.009203302177861;
0.020425052709133;	0.018572490530923;	0.011199483086788;	0.010272030726080;
0.012589896534316;	0.010030433043494;	0.005930779429907;	0.005487420879980;
0.012213400811237;	0.009530849330495;	0.005896232840612;	0.005252534464353;
0.012194642318152;	0.009221730001094;	0.005707152949953;	0.005521782094512;
0.012014922783805;	0.008856059972706;	0.005505081926436;	0.005559550959565;
0.011489604027237;	0.008582805440769;	0.005325204566988;	0.005186680504246;
0.011574927904682;	0.008610230454248;	0.005314507152596;	0.005372436029143;
0.011806274214512;	0.008803680267249;	0.005423469720553;	0.005702258878478;
0.011496106964571;	0.008506871839196;	0.005228440736126;	0.005468631876888;
0.011257787512459;	0.008363893139731;	0.005122178506973;	0.005544823990486;
0.011506450619592;	0.008694141711674;	0.005716797214899;	0.005870887873213;
0.011742544889295;	0.008895163364916;	0.006124323458808;	0.005907462870820;
0.011035067154264;	0.008414024943673;	0.005654564033261;	0.005836427409120;
0.011065661557831;	0.008279480492580;	0.005480560889438;	0.005822049059635;
0.011311412142626;	0.008479479823757;	0.005557395881482;	0.005944334541669;
0.011000378013115;	0.008400342754759;	0.005664697959541;	0.006006719707746;
0.011270102746832;	0.008609362311597;	0.005913023215770;	0.006179723654886;
0.011299423029593;	0.008637309552582;	0.005970597930013;	0.006290244892259;
0.010982655711027;	0.008514204517511;	0.005878649418030;	0.006246825851180;
0.011267260401799;	0.008676283772342;	0.005873309963776;	0.006411921154774;
0.011186674982366;	0.008762556629115;	0.006083284278331;	0.006465227038979;
0.011005654955762;	0.008678586685675;	0.006212949895556;	0.006522689268070;
0.011348617087851;	0.008880375608939;	0.006335652029270;	0.006676838882762;
0.011083941109724;	0.008777286274015;	0.006310811599323;	0.006699150834477;
0.011366682260373;	0.009058146977431;	0.006583445739958;	0.006892040651601;
0.011534886389253;	0.009135277773619;	0.006666532739572;	0.006972192781708;
0.011107048736238;	0.008916826188739;	0.006543604633554;	0.006952841373979;
0.011408812850551;	0.009151225058599;	0.006738051309575;	0.007085281561176;
0.011693130012773;	0.009321296037041;	0.006916678418355;	0.007266121421371;
0.011359804785635;	0.009281683402049;	0.006917690886447;	0.007332069450597;
0.011490723942819;	0.009355172711845;	0.006990638686719;	0.007404878308371;
0.011941501651303;	0.009574711308538;	0.007183928705742;	0.007586561946681;
0.011445742426479;	0.009488414110213;	0.007190782036989;	0.007623500270883;
0.011409440306942;	0.009481855552481;	0.007256899538725;	0.007669481332180;
0.012067265139138;	0.009844216239423;	0.007490390459692;	0.007964003515821;
0.011732860698424;	0.009828706858570;	0.007547765206861;	0.007989431761207;
0.011720565440143;	0.009799063983997;	0.007603913939231;	0.008056319543291;
0.012186678961807;	0.010068664619157;	0.007776662465850;	0.008294524826587;
0.011914579484790;	0.010077095332527;	0.007850877358101;	0.008337517732572;
0.011882559618262;	0.010082179980464;	0.007938136455086;	0.008530332276730;
0.012307088106488;	0.010361069589579;	0.008168603884967;	0.008786146107236;
0.012157037966264;	0.010405670277103;	0.008245189316263;	0.008850948909895;
0.012099985382962;	0.010377982944881;	0.008299456244999;	0.008955140406057;
0.012397513596539;	0.010591463809146;	0.008486263310772;	0.009095615893938;
0.012356634643083;	0.010794517023374;	0.008718805285346;	0.009246517940121;
0.012515266416380;	0.010932356730831;	0.008861436713721;	0.009427993241383;
0.012649158535118;	0.010936242273823;	0.008942191834620;	0.009588800271593;
0.012468186528141;	0.010971207613848;	0.009096172557674;	0.009676965209822;
0.012752977758203;	0.011304293515300;	0.009345125134680;	0.009944804914765;
0.013136262143845;	0.011544835256524;	0.009537059145585;	0.010230072154471;
0.012843473550655;	0.011397321718863;	0.009525900186794;	0.010290266230390;
0.012976689240874;	0.011597454726027;	0.009776165689219;	0.010586569052728;
0.013329090821028;	0.011906623650608;	0.010044804273111;	0.010848515879111;
0.012940863665066;	0.011759557864343;	0.010038629761008;	0.010841050121184;
0.013167673099548;	0.011934361606946;	0.010270745708283;	0.011125535208925;
0.013646466190426;	0.012292588596969;	0.010589368377581;	0.011369317058362;
0.013195487680684;	0.012272281330763;	0.010695144731517;	0.011356121375537;
0.013202059866394;	0.012371142877389;	0.010826223795843;	0.011611593277676;
0.013852711289336;	0.012728685749970;	0.011140502168241;	0.011938442147860;
0.013910113042499;	0.012736704444758;	0.011260146107958;	0.011964882853325;
0.013542156588740;	0.012668258285452;	0.011316957821657;	0.011993111587168;
0.013696205238623;	0.012943958003467;	0.011604490148173;	0.012215000460668;
0.014006151302747;	0.013197195173198;	0.011887332079695;	0.012429749243881;
0.013503147146753;	0.013020267029883;	0.011887068551423;	0.012463885743156;
0.013546745599411;	0.013057337141265;	0.012037204730260;	0.012581779298448;
0.014205743433579;	0.013529878669392;	0.012613706647028;	0.012930442599424;
0.014363643479163;	0.013797251102404;	0.012973264133451;	0.013208262502270;
0.013876590197856;	0.013598823286909;	0.012824391026966;	0.013238389035216;
0.013971304057308;	0.013661332805506;	0.012853833987597;	0.013302433940868;
0.014309844785308;	0.013847595211668;	0.013076132992882;	0.013444971609399;
0.014145350422867;	0.013783716170783;	0.013194791226729;	0.013551229031674;
0.013864522278548;	0.013713344854754;	0.013267797528071;	0.013601572914180;
0.013895634141376;	0.013861906769965;	0.013482314489496;	0.013729426890813;
