0.111840854204610;	0.073992115749280;	0.040571079643581;	0.035324376737227;
0.114778198771905;	0.076972828905653;	0.042254683922822;	0.036471556004807;
0.116665079969615;	0.078738182103041;	0.043238161439904;	0.037168442825724;
0.118232055337833;	0.080224364694422;	0.044065666083962;	0.037751222475035;
0.119579696503717;	0.081443099725529;	0.044739215157320;	0.038237296822481;
0.120808649350508;	0.082511825083610;	0.045326796808861;	0.038670587044488;
0.121926478883117;	0.083434393737404;	0.045831013526361;	0.039053521544432;
0.125481094486564;	0.086801599446335;	0.048817151499588;	0.060253821344467;
0.126469887185825;	0.087610538955184;	0.049259470955649;	0.060615242001196;
0.127422936709418;	0.088378148474374;	0.049678984883817;	0.060965598896387;
0.128429831973966;	0.089159914064078;	0.050104779682686;	0.061320342259945;
0.129364201219984;	0.089877887209368;	0.050497440125567;	0.061673131562466;
0.130279451364524;	0.090562367862273;	0.050874189126465;	0.062068219575664;
0.131230081314580;	0.091259580315336;	0.051256637018319;	0.062453564239565;
0.132134914382822;	0.091927325643945;	0.051623248383152;	0.062800253530457;
0.133086838140256;	0.092637963890770;	0.052014907532968;	0.063169302834168;
0.138230716285245;	0.101873957984710;	0.071096479650009;	0.068299072057461;
0.139294487548669;	0.102791622519096;	0.071604229225637;	0.068799025301792;
0.140339270271193;	0.103677182647263;	0.072149172724335;	0.069249740872626;
0.141354202548007;	0.104487576228237;	0.072635339220990;	0.069696915392275;
0.142416507640295;	0.105304865173229;	0.073139571357658;	0.070252408766692;
0.143442211515713;	0.106071004969184;	0.073603368613236;	0.070730670297528;
0.144473423168734;	0.106883473531275;	0.074100508045792;	0.071204802300537;
0.145580158371440;	0.107701424446963;	0.074592857100555;	0.071785812066201;
0.146716239399612;	0.108604282200626;	0.075147533487947;	0.072377217658568;
0.147828814450356;	0.109414917241575;	0.075630937436244;	0.072916780259084;
0.148990608710341;	0.110348990201840;	0.076199852324124;	0.073594799595209;
0.150234411462289;	0.111292387870054;	0.076869819293528;	0.074259415405374;
0.151512734638138;	0.112329008312201;	0.077569121279757;	0.074965357571539;
0.152685432384966;	0.113230814340065;	0.078178478265785;	0.075686917309142;
0.154040633182131;	0.114283462515058;	0.078863870327082;	0.076421164925352;
0.155329223151971;	0.115279799591749;	0.079524624209407;	0.077216290460004;
0.156703493672343;	0.116393111518480;	0.080302001764763;	0.078040031833299;
0.158141522283740;	0.117509343008174;	0.081075835774258;	0.078936252847791;
0.159604735402562;	0.118702622572429;	0.081927618210582;	0.079856125901039;
0.161052792722259;	0.119859057773157;	0.082726864246132;	0.080801954540276;
0.162684126483214;	0.121171485290421;	0.083621915577213;	0.081833709488098;
0.164202906828627;	0.122432025219857;	0.084543616203666;	0.082859930652359;
0.165888749079159;	0.123812809237802;	0.085558843006569;	0.084000449755269;
0.167593908561206;	0.125213865163486;	0.086590045535332;	0.085139620368274;
0.169311920462401;	0.126664984488526;	0.087692096444535;	0.086383619401760;
0.171222148025364;	0.128255833925889;	0.088886683738828;	0.087665809150214;
0.173080657131392;	0.129804444190182;	0.090064018680600;	0.089008102534415;
0.174973189807257;	0.131430309105019;	0.091311311908257;	0.090390231077222;
0.177055430037383;	0.133165922528472;	0.092650721808204;	0.091866546945848;
0.179147267314738;	0.134941570062535;	0.094028398826600;	0.093405070162690;
0.181248766338492;	0.136784977113880;	0.095464059327608;	0.095026038673051;
