0.026871257746313;	0.006881567784198;	0.006379201623928;	0.006054436100153;	0.005842317741321;	0.005647698196244;	0.005502157519928;	0.004605828134864;	0.004851526549103;	0.004918612007703;	0.004808881488645;	0.004759254663924;	0.004350878267422;	0.004010724505421;	0.004297178948903;	0.004240351524192;	0.004206289018139;	0.003673096149032;	0.003778828385333;	0.003888313232739;	0.003925570753740;	0.003449444604700;	0.003584576375969;	0.003607202865889;	0.003496450398546;	0.003290008730586;	0.003375483879648;	0.003336565835268;	0.003131956891801;	0.003229268307799;	0.003007462119194;	0.002907247084903;	0.002866672947082;	0.002832349764049;	0.002762243376355;	0.002737686772466;	0.002667975391149;	0.002647241665377;	0.002582576992455;	0.002554877206200;	0.002512779697876;	0.002469119925626;	0.002445619490690;	0.002412893442517;	0.002344148880521;	0.002352138146092;	0.002300232507303;	0.002249611063814;	0.002258057980757;	0.002201393983576
0.035243136115786;	0.010691589448433;	0.009796751002472;	0.009216166189924;	0.008830618289010;	0.008486344160187;	0.008226091255912;	0.007904116178953;	0.007454261849838;	0.007253586113783;	0.007078005890013;	0.006982425233291;	0.006364310750831;	0.005850214219435;	0.006251102212169;	0.006153537521594;	0.006090496735689;	0.005307439208734;	0.005449566491917;	0.005573255112064;	0.005583139349930;	0.004928272325728;	0.005080477952983;	0.005119711286502;	0.004937870185135;	0.004648229307152;	0.004752575771397;	0.004692925092861;	0.004397919755878;	0.004598916141050;	0.004509220255394;	0.004375500901325;	0.004287928471305;	0.004080942884435;	0.003906175235498;	0.003849651622269;	0.003748924410028;	0.003716426330718;	0.003622268882562;	0.003579563704199;	0.003517170607833;	0.003452908375801;	0.003416760842713;	0.003368182355131;	0.003269672443874;	0.003278051796215;	0.003203113644984;	0.003130078528715;	0.003139357600751;	0.003058007115581
0.042947071598481;	0.014223309114181;	0.012998025512846;	0.012205126114163;	0.011674759580669;	0.011199493921793;	0.010837097383581;	0.026837052296361;	0.019085359305809;	0.014735558910234;	0.013981927546702;	0.010744493014234;	0.008444037023184;	0.007598098268259;	0.008186819836890;	0.008055272391292;	0.007966996141876;	0.006937505613720;	0.007118296915903;	0.007263181572586;	0.007254714252652;	0.006417312484961;	0.006594857344895;	0.006649668787622;	0.006398623685951;	0.006021694623530;	0.006146865484410;	0.006066561632591;	0.005682616646741;	0.005908368087017;	0.005779436132547;	0.005594199019538;	0.005522859933053;	0.005431473535295;	0.005310736946620;	0.005317810270808;	0.005174890037439;	0.005002361329634;	0.004719667435741;	0.004599110487627;	0.004521123919945;	0.004435205573612;	0.004385474701570;	0.004320514041157;	0.004191803580436;	0.004200748160519;	0.004103534042765;	0.004008543135990;	0.004018723927680;	0.003913002695719
0.048645746025204;	0.017669383286936;	0.016134145253909;	0.015126664332177;	0.014452027361522;	0.013849662470118;	0.013395110199286;	0.028956014792894;	0.021273948078955;	0.017092339054492;	0.017285069550960;	0.016087759425046;	0.023648811540614;	0.029915628174343;	0.020863024521014;	0.017127899850292;	0.010914260165791;	0.008446461997211;	0.008682765972225;	0.008856429659120;	0.008826590333242;	0.007819259680490;	0.008017390852301;	0.008087539381296;	0.007771587229749;	0.007314379058296;	0.007459897861991;	0.007361900359078;	0.006895378648988;	0.007140935084077;	0.006977404564322;	0.006757570294523;	0.006670501917025;	0.006563822257301;	0.006413779686056;	0.006404993416927;	0.006265843359347;	0.006196535265275;	0.006056182033645;	0.005973964927412;	0.005887391554151;	0.005723805875406;	0.005457607686726;	0.005243887624423;	0.005081429386262;	0.005091179313585;	0.004972429277753;	0.004856002376517;	0.004866373645454;	0.004742502475252
0.083062631470765;	0.029544053025225;	0.026972584407828;	0.025307755809707;	0.024194003092088;	0.023199785711827;	0.022451704543838;	0.036515806500592;	0.029179337764463;	0.025073444161571;	0.025064573242611;	0.023768527101422;	0.030644231864950;	0.036389926570240;	0.028154919869606;	0.027786201217813;	0.026907906000384;	0.037995441450209;	0.034111710950023;	0.029446916425991;	0.021143150714046;	0.013968028076099;	0.013807884883877;	0.013814226071054;	0.013305214399464;	0.012539807297119;	0.012812474271337;	0.012662648805657;	0.011874199227939;	0.012316548608041;	0.012044990252178;	0.011619880318305;	0.011384819791426;	0.011151083905652;	0.010868309139309;	0.010824491259834;	0.010579530212923;	0.010481023636197;	0.010241823750815;	0.010108645490119;	0.009975392357579;	0.009826546590748;	0.009733755463280;	0.009568827041884;	0.009341132955603;	0.009381750326029;	0.009012274505452;	0.008557082930817;	0.008530416407797;	0.008308145465551
0.098016218693355;	0.038055030983977;	0.034634142672381;	0.032431690424539;	0.030954783185671;	0.029637614862061;	0.028646711061177;	0.057386194057960;	0.042898237200425;	0.034320405102682;	0.033254996647548;	0.029890985281252;	0.035795985622144;	0.040923050860266;	0.032590614085359;	0.032197731840301;	0.031264453938534;	0.041754990256648;	0.037894275278122;	0.034833539683785;	0.034015322122588;	0.042731439801202;	0.039486126982998;	0.037063864531721;	0.034743438480660;	0.026655386449049;	0.018181432839844;	0.015743960729071;	0.014687977074680;	0.015208953689362;	0.014848536518962;	0.014385854514013;	0.014202947307602;	0.013989886145015;	0.013667721989043;	0.013652047759956;	0.013342344409187;	0.013143742498857;	0.012749649633886;	0.012494564217374;	0.012277570208098;	0.012082267010487;	0.011980017525360;	0.011789861437324;	0.011496736724061;	0.011539206426728;	0.011293730974800;	0.011050128568183;	0.011080462497647;	0.010857340548531
0.111639782836131;	0.048561291173940;	0.042952706526520;	0.040194203370469;	0.038353025031676;	0.036716378924148;	0.035496190055153;	0.062907275530222;	0.048907808892533;	0.041161013636872;	0.041290629180699;	0.038957435872272;	0.052463335678951;	0.063732048989570;	0.047764838536454;	0.046535190249505;	0.043311224268322;	0.053478401178366;	0.045328092602740;	0.040079683329033;	0.039045039214948;	0.047322141993524;	0.044211494577954;	0.041972242311888;	0.044363601476535;	0.047614393584849;	0.045055439506784;	0.045285436399977;	0.048947588068073;	0.043802688319565;	0.034632731107797;	0.022367453150023;	0.018326192454667;	0.018217612753910;	0.018018247152604;	0.018008092524328;	0.017648778038714;	0.017511526097537;	0.017164739543304;	0.017004067392452;	0.016851224521825;	0.016666823589090;	0.016572083347860;	0.016300521344095;	0.015861624408158;	0.015803119322424;	0.015415607171564;	0.015101192804265;	0.015194307422565;	0.014893347751340
0.153047281860117;	0.070345598060206;	0.062266782239772;	0.056384863831655;	0.053607465904819;	0.051245385630833;	0.049480085318104;	0.081496551420819;	0.063849471822647;	0.053618878745003;	0.053061371979225;	0.050370006122949;	0.062700280698147;	0.073020512209140;	0.057862034760736;	0.057017715754398;	0.055272269312903;	0.075400462805661;	0.068095104024704;	0.062286845675879;	0.060729024002415;	0.077328526417255;	0.069387647782246;	0.058322960702086;	0.055085235094025;	0.055031256043617;	0.051645574424999;	0.051598147401507;	0.055095101889368;	0.052768939717334;	0.053847529872426;	0.054923368216229;	0.054969981590158;	0.054897743926274;	0.055971055481472;	0.048434653169141;	0.031489544162267;	0.022648208003189;	0.021680238275837;	0.021384519362044;	0.021099715507808;	0.020776691508261;	0.020596529186040;	0.020246864198902;	0.019742355674352;	0.019814726046822;	0.019398278144331;	0.018991185524237;	0.019056873338948;	0.018653980136522
0.174668453259225;	0.089389274916963;	0.080298061232958;	0.073938894783322;	0.068294649937082;	0.063841253096485;	0.061459141515178;	0.097950783504576;	0.078591914821391;	0.067640846344509;	0.067378497964734;	0.063839649765109;	0.081741850622709;	0.096200515025661;	0.073639726425688;	0.070721759785716;	0.065805275602097;	0.084553421039913;	0.076340976989486;	0.070021507359109;	0.068233991345433;	0.084030561892193;	0.078001606511557;	0.073769483816257;	0.078350589553961;	0.084713305702109;	0.079815375983826;	0.080076271047238;	0.086984094751270;	0.075684150128751;	0.068617409289346;	0.064528865901186;	0.061841181339724;	0.060942727959410;	0.061932469503754;	0.061421905498334;	0.062634739022579;	0.062344136091758;	0.063474187822759;	0.063534399311996;	0.062198659862667;	0.049736511060921;	0.033956571826968;	0.028045198854697;	0.025593396248471;	0.025424697800372;	0.024894921614201;	0.024359007077849;	0.024459617087292;	0.023970170102690
0.219062133044426;	0.119444128354250;	0.107727135715620;	0.099323498335582;	0.093606892954448;	0.088519996146118;	0.083512811294171;	0.120994729942505;	0.098400707221757;	0.085361031386153;	0.084157304205009;	0.079858026945383;	0.096238205073331;	0.109930784566231;	0.088904241489957;	0.087558988154861;	0.084980310453463;	0.112348958069203;	0.102166106962493;	0.094004711811666;	0.091569153557887;	0.113353845908221;	0.103472076785984;	0.094791096587198;	0.095936075779852;	0.098988308774752;	0.090607866272175;	0.089143757248725;	0.096006465769578;	0.091250463797662;	0.093444314891664;	0.095700405873448;	0.095957767472694;	0.095846937947904;	0.097735062305109;	0.094616782044083;	0.090969125425373;	0.081636645583402;	0.075302194210665;	0.071690432380927;	0.070541322032282;	0.070357644587908;	0.070523075860046;	0.070623965332582;	0.071825669861242;	0.071191539991771;	0.069243470643605;	0.060635935442468;	0.046518938071469;	0.034629256481771
