0.125206502608964;	0.081187620554932;	0.044249887059717;	0.039041933626745;
0.083911910532821;	0.074388037155466;	0.038671508295768;	0.028995327654259;
0.069145269049184;	0.062636810360592;	0.032495062918387;	0.024146777325904;
0.057108791099093;	0.051066380424393;	0.026400928919682;	0.019714957937677;
0.049640124397624;	0.042717285708838;	0.021996474177036;	0.016678059826074;
0.044150113707532;	0.036385625998677;	0.018671901743597;	0.014415473068340;
0.060201907185197;	0.050353522950068;	0.028624118812915;	0.026055940259681;
0.052850969830075;	0.044018653286527;	0.024712023373616;	0.023661530466591;
0.033507031719910;	0.026789345839090;	0.013722259866547;	0.011543803795470;
0.032757003559009;	0.025526388534760;	0.013055705104900;	0.011000344902724;
0.031366764433246;	0.023879679222973;	0.012214396662511;	0.010648346182266;
0.028957625236667;	0.021649416529387;	0.011130453523305;	0.010828876480207;
0.028228028264296;	0.020559823685872;	0.010598799114449;	0.010902144091066;
0.027017825625142;	0.019514822460079;	0.010028668891689;	0.009776806914707;
0.026035017391389;	0.018963185105581;	0.009732098088332;	0.009218247533392;
0.042802025121441;	0.034691065595899;	0.019124989615125;	0.017146573204418;
0.044554193649149;	0.041808407656363;	0.023700000757872;	0.021889260611677;
0.026532129078497;	0.022458595825927;	0.012252949862781;	0.011195325138235;
0.024984738235067;	0.020250977915531;	0.011425871842178;	0.010155770793740;
0.024349486977610;	0.018742725339990;	0.010592799276772;	0.010795170418847;
0.023639204931948;	0.017516087170268;	0.009953816342976;	0.010728808555987;
0.022435820666516;	0.016913821033430;	0.009554031590552;	0.009581520795739;
0.022474076558282;	0.016824426989909;	0.009500153400109;	0.010208577510103;
0.022771291222324;	0.017092067038932;	0.009673590760101;	0.011030066571906;
0.022022706182286;	0.016396887863521;	0.009228164208879;	0.010204642996854;
0.021515315289837;	0.016179642468446;	0.009078170203022;	0.010590991301761;
0.021930988252130;	0.016782162564872;	0.010296185774258;	0.011401272967234;
0.022171694205369;	0.016951218086141;	0.010988279802601;	0.011195335316259;
0.020748995966664;	0.016097735003092;	0.010180111905215;	0.011357248020249;
0.020640618244971;	0.015691509036160;	0.009784537987142;	0.011174436787148;
0.020895208460288;	0.015954441717757;	0.009847888782927;	0.011345551401615;
0.020271981515924;	0.015832001207455;	0.010100094987881;	0.011644430590678;
0.020675691193501;	0.016194660333046;	0.010600127673460;	0.011948053293669;
0.020596723831437;	0.016192529391290;	0.010747449534812;	0.012236467649659;
0.019902624194580;	0.015953088201735;	0.010568937115835;	0.012173586043362;
0.020256518275144;	0.016165898535755;	0.010482243519824;	0.012474843393178;
0.019993415662944;	0.016314982117243;	0.010869767853815;	0.012578419749486;
0.019598129816477;	0.016118619209404;	0.011180925196315;	0.012812251552820;
0.020057437823378;	0.016410474390757;	0.011457754476273;	0.013069233260182;
0.019528819268809;	0.016287659547260;	0.011559371950963;	0.013251688145806;
0.019892540745653;	0.016734378045330;	0.012003549627525;	0.013602422348627;
0.019949855558736;	0.016652618043741;	0.011989489433483;	0.013654195371473;
0.019146293597784;	0.016308293249288;	0.011882805501161;	0.013786390346910;
0.019515691399511;	0.016644890962161;	0.012229705320791;	0.013972645153240;
0.019782753476889;	0.016746241815372;	0.012410419035734;	0.014259015504691;
0.019133883869232;	0.016743841645594;	0.012456927556569;	0.014523209382908;
0.019197057463183;	0.016760798979895;	0.012594236625899;	0.014618673436173;
0.019714743002138;	0.016896349310429;	0.012789901205684;	0.014842903936240;
0.018801991979372;	0.016824424255041;	0.012856031974658;	0.015045409901986;
0.018613785261278;	0.016738832295755;	0.013023574540309;	0.015133217896399;
0.019451297028674;	0.017120749665677;	0.013267910933072;	0.015573852776330;
0.018790921860796;	0.017120634778730;	0.013407014652801;	0.015657326172014;
0.018604727551618;	0.016914624311509;	0.013482533878142;	0.015749446627749;
0.019116683600596;	0.017157346101140;	0.013660818620271;	0.016076229828211;
0.018542506390977;	0.017157945657350;	0.013800678918316;	0.016149766818738;
0.018343690084985;	0.017044632152440;	0.013939635031287;	0.016552633000644;
0.018794407710980;	0.017316408729400;	0.014269633105574;	0.016898695191024;
0.018385843865397;	0.017300576628564;	0.014338654425113;	0.016931285893039;
0.018125230565987;	0.017098741434190;	0.014398242653401;	0.017045716284668;
0.018354765043120;	0.017242051149390;	0.014619216355140;	0.017070335915630;
0.018135277562937;	0.017522245615239;	0.015001078609784;	0.017220882949478;
0.018169824329850;	0.017548046784852;	0.015140843469016;	0.017371985064644;
0.018139258667025;	0.017292307584639;	0.015198711821065;	0.017466071041388;
0.017706885928238;	0.017248963766323;	0.015458674475543;	0.017445427344383;
0.017910220474917;	0.017596614823645;	0.015709718781006;	0.017636471516985;
0.018231315176027;	0.017708608249703;	0.015859494170608;	0.017800222114511;
0.017617135083069;	0.017305277199972;	0.015766458080816;	0.017630506709551;
0.017616910486593;	0.017433624733997;	0.016097988571021;	0.017852503944093;
0.017879198285459;	0.017645759344708;	0.016354885523064;	0.017938920169679;
0.017145812785667;	0.017254643118015;	0.016235845700789;	0.017686615987031;
0.017262877414281;	0.017284902127339;	0.016489647551950;	0.017869380995302;
0.017698899565265;	0.017548716291350;	0.016806838070895;	0.017874917492834;
0.016905123744072;	0.017387707764213;	0.016831795311642;	0.017575199883383;
0.016725959351889;	0.017296771145584;	0.016807798753670;	0.017705041195136;
0.017364802010337;	0.017468829039105;	0.017050278510496;	0.017832963171970;
0.017229088900146;	0.017202367221544;	0.017045986019230;	0.017525349078741;
0.016544995032756;	0.016904518903476;	0.016908214897786;	0.017261872397299;
0.016558244383594;	0.017057564681624;	0.017078811048865;	0.017239709159540;
0.016783265269009;	0.017140471348310;	0.017241992531628;	0.017192171297140;
0.015965703894556;	0.016700606357001;	0.016993504035366;	0.016947937178726;
0.015836242642920;	0.016483929356670;	0.016945516158229;	0.016772298105710;
0.016488141810329;	0.016831085282444;	0.017546774005213;	0.016894510666801;
0.016517108013822;	0.016948208383708;	0.017757875014139;	0.016953430340558;
0.015705610360670;	0.016449956023370;	0.017135571016868;	0.016685532771390;
0.015655965019705;	0.016272766275721;	0.016788637577504;	0.016447927482489;
0.015942956715484;	0.016266770854273;	0.016781454742757;	0.016339393112426;
0.015605996883502;	0.015984898223927;	0.016672457567942;	0.016225966933314;
0.015086733530915;	0.015690283712382;	0.016454916678102;	0.016032588848017;
0.014981403144488;	0.015684242171946;	0.016427549473107;	0.015951731591042;
0.015262896420402;	0.015734679211480;	0.016302676547592;	0.015948800423778;
0.015029412146912;	0.015542099336084;	0.016123569654809;	0.015735474056011;
0.014375923603449;	0.015159823834587;	0.015889786791266;	0.015403789356970;
0.013980401772265;	0.014836261930063;	0.015613963848687;	0.015239399040166;
0.014209978064056;	0.014816128257708;	0.015549759459095;	0.015251849039665;
0.014186927952285;	0.014696556671851;	0.015363996448733;	0.015185185672245;
0.013826527875293;	0.014499842295532;	0.015168859875647;	0.015050070793652;
0.012982074099096;	0.014043634579201;	0.014844757172399;	0.014738377855561;
0.012723754377169;	0.013777745727190;	0.014628478653075;	0.014525722821730;
0.012862612264852;	0.013705815468911;	0.014585300176120;	0.014419695442126;
0.012365856680959;	0.013339668463531;	0.014395891364194;	0.014056313204606;
0.011818804879954;	0.012901700720186;	0.014020704615188;	0.013701088808104;
0.010936710044800;	0.012345040138796;	0.013520982758601;	0.013366023461510;
0.010641562023201;	0.012030634972375;	0.013239001579991;	0.013106622577315;
0.010227143241064;	0.011596245600174;	0.012893888430345;	0.012739949208210;
0.009504012046273;	0.011013320904426;	0.012451927058265;	0.012257315508206;
0.009086373006941;	0.010450467107148;	0.012016215453735;	0.011791087019989;
0.008554294101757;	0.009853635507096;	0.011484314008855;	0.011246362395760;
0.008147039799833;	0.009411584830721;	0.011004847190444;	0.010731488457592;
0.007845942072559;	0.009027511142527;	0.010578559265922;	0.010171533673610;
