0.119442081427366;	0.080163177636677;	0.045700318480625;	0.040091880521385;
0.075217885059719;	0.066808510581740;	0.038360466910104;	0.028269665462618;
0.062002850747643;	0.055990369604467;	0.032153180940825;	0.023498857385014;
0.050998538974757;	0.045448703694375;	0.025982892338226;	0.019107181524661;
0.044007977583784;	0.037888822422775;	0.021504400803731;	0.016081942577142;
0.038874289711726;	0.032206972226046;	0.018146136627011;	0.013842413323850;
0.054355484393027;	0.045709446217318;	0.027967591098255;	0.024970649636257;
0.047430738891528;	0.039674771892464;	0.024012657102750;	0.022419183561529;
0.029272982632806;	0.023573292738771;	0.013220766868638;	0.010951378275857;
0.028541508304788;	0.022470570307693;	0.012554319146313;	0.010446528599706;
0.027262505513520;	0.021020382574010;	0.011720490250216;	0.010092089047316;
0.025122179316530;	0.019063929186366;	0.010662222740483;	0.010209619305429;
0.024459330810072;	0.018154018339385;	0.010150421400187;	0.010262376594524;
0.023408114870760;	0.017248533331487;	0.009612370417430;	0.009231374201714;
0.022560296535305;	0.016750293163458;	0.009339552055026;	0.008716008899351;
0.037918806061639;	0.031036289399650;	0.018361405898826;	0.016308123300359;
0.040035612454518;	0.037415100700328;	0.022942313783992;	0.020803517027583;
0.023334190282159;	0.019828394736199;	0.011820548899104;	0.010584815693202;
0.021875212826364;	0.017910572967866;	0.010962840435673;	0.009601154880111;
0.021218871312645;	0.016610012975154;	0.010145063204501;	0.010154938674394;
0.020537651515062;	0.015561043002130;	0.009516344083383;	0.010073361690547;
0.019522305051894;	0.014985603721329;	0.009131957512071;	0.009012932640743;
0.019564278721574;	0.014937141766542;	0.009091428414895;	0.009579394222987;
0.019832011714171;	0.015183097896761;	0.009263268849665;	0.010338655101939;
0.019175204629235;	0.014572052335606;	0.008838628404865;	0.009574946827145;
0.018754237379710;	0.014360141074418;	0.008692713965930;	0.009905647125426;
0.019152210379593;	0.014969862197686;	0.009812533810128;	0.010672228127443;
0.019368391668435;	0.015177562157450;	0.010435427854367;	0.010498539231489;
0.018151685774519;	0.014351740543450;	0.009667140470535;	0.010605340679251;
0.018026620371547;	0.013994348270390;	0.009288301257540;	0.010426927411443;
0.018252781971918;	0.014213291405052;	0.009353516066965;	0.010576314759727;
0.017760482491463;	0.014116225574599;	0.009582170107802;	0.010842652129109;
0.018121051618669;	0.014455991617556;	0.010034805684252;	0.011122607479692;
0.018058130135513;	0.014461471934671;	0.010157500034775;	0.011376016575742;
0.017488684595227;	0.014219800936576;	0.009986706499043;	0.011302656448007;
