0.000000000000000;	0.067700482493427;	0.038522839202513;	0.034604228495041;
0.100881217863347;	0.079480314878817;	0.043768289666095;	0.035401752809659;
0.083767585552580;	0.067525190057039;	0.037134971368306;	0.029735506403033;
0.070160876101554;	0.056284791811586;	0.030892479234163;	0.024775217446269;
0.062210926816116;	0.048574440399568;	0.026596159713691;	0.021562854538054;
0.056407884870778;	0.042673227408548;	0.023310251000569;	0.019148621419047;
0.072059566346595;	0.056519146133853;	0.034223266130424;	0.034465683885907;
0.064775727885900;	0.050610065494707;	0.030350182829695;	0.031540217978706;
0.044287895548568;	0.032822942429765;	0.017911331060414;	0.015630916970019;
0.043625204263122;	0.031764478385882;	0.017302350570498;	0.015061464011942;
0.042128687141362;	0.030265005527221;	0.016472520987722;	0.014606556394315;
0.039267966594323;	0.027921299647431;	0.015235169975996;	0.014442859773925;
0.038342987598016;	0.026768302395640;	0.014621295777382;	0.014363806151703;
0.036803347217131;	0.025558498869336;	0.013918624429631;	0.013256345254799;
0.035840354789966;	0.024996563573170;	0.013582713273427;	0.012714091870679;
0.055169377549033;	0.043724737536592;	0.026224950562121;	0.022716134004420;
0.055674163502241;	0.047901408722555;	0.029410862393733;	0.026170330754053;
0.035560256973824;	0.027138259912247;	0.015383207525892;	0.014238988004164;
0.034077387399827;	0.025433366435332;	0.014691421340345;	0.013308752365536;
0.033799175992505;	0.024445412300284;	0.014076494656292;	0.013862003225027;
0.033160209405990;	0.023396575619873;	0.013500171557190;	0.013768323122462;
0.031505355583012;	0.022689251942738;	0.013041550137647;	0.012698348003875;
0.031592185894499;	0.022586232701418;	0.012981931681376;	0.013228491014334;
0.032121875244003;	0.022985742155244;	0.013232281579710;	0.013956719713338;
0.031126872142445;	0.022140435965029;	0.012699244992936;	0.013192745147900;
0.030424930580196;	0.021873457709165;	0.012535742081343;	0.013489885705066;
0.030983147268145;	0.022503577791448;	0.013671673155208;	0.014243397493601;
0.031407901721609;	0.022746410833309;	0.014295979773010;	0.014191493014726;
0.029416366723467;	0.021744945765385;	0.013470998203728;	0.014134155249072;
0.029418617534874;	0.021405482527736;	0.013153233274333;	0.014018151782966;
0.029928720975657;	0.021853056264876;	0.013349133584923;	0.014321743764020;
0.028926607557202;	0.021556903695408;	0.013456839939813;	0.014472596406849;
0.029563310042029;	0.022088427242086;	0.014019898826995;	0.014888748135998;
0.029545544004294;	0.022131995081748;	0.014204689144665;	0.015190352687573;
0.028520778498311;	0.021803097120225;	0.014010098416606;	0.015089353692569;
0.029140875342001;	0.022228535944068;	0.014097179068233;	0.015517823202234;
0.028773770686639;	0.022380428069560;	0.014451997373318;	0.015650572463114;
0.028149593471722;	0.022033824917346;	0.014631878378113;	0.015833706393971;
0.028910440286173;	0.022505959173627;	0.014995216940017;	0.016229344988146;
