0.000000000000000;	0.000001505197747;	0.000002397211348;	0.000001683714551;
0.136177859638545;	0.089194143386084;	0.000000000000000;	0.000000000000000;
0.111738976103585;	0.078461947166814;	0.000000000000000;	0.000000000000000;
0.094460371172510;	0.065829711017354;	0.000000000000000;	0.000000000000000;
0.086033209663852;	0.055831078563597;	0.000000000000000;	0.000000000000000;
0.080302584323823;	0.047806429660422;	0.000000000000000;	0.000000000000000;
0.074332947519219;	0.042064883662036;	0.000000000000000;	0.001574882629400;
0.068911502262573;	0.039087139467641;	0.000000000000000;	0.003149765258799;
0.064878797914258;	0.036546474110930;	0.000000000000000;	0.001364229940184;
0.064860484935946;	0.034863780854980;	0.000000000000000;	0.001035116592196;
0.063369983376022;	0.032982381541734;	0.000000000000000;	0.001158727264335;
0.059559097688446;	0.030139530508216;	0.000000000000000;	0.002223804240506;
0.058808821549633;	0.028243208462551;	0.000000000000000;	0.003123889089929;
0.056832735923561;	0.027029758993653;	0.000000000000000;	0.002300062953263;
0.055621694645097;	0.026830131252788;	0.000000000000000;	0.001971316845429;
0.055792493208006;	0.028356122777484;	0.000000020238121;	0.002621644384995;
0.054143054484657;	0.030705822046931;	0.000000040476241;	0.003976950652755;
0.052155285182641;	0.030790002148150;	0.000000040025089;	0.003253355314584;
0.050995803103484;	0.028395784599857;	0.001512700864570;	0.002893545882736;
0.051757903749471;	0.026630850706869;	0.001354694416659;	0.003964536531782;
0.051704408521928;	0.024861121840677;	0.001370761361684;	0.004642322910683;
0.048614399260976;	0.025119553735470;	0.001334302574127;	0.003792849355840;
0.048978573770945;	0.024626561867826;	0.001249574343332;	0.004440515398150;
0.049833451528614;	0.025052198523836;	0.001269731526739;	0.005437543490428;
0.048583492065875;	0.024041879360721;	0.001175184894243;	0.004914134118225;
0.047101833272067;	0.024059950986948;	0.001105851514734;	0.005550245509113;
0.047726564248228;	0.023994805411375;	0.001898493668111;	0.006218017459055;
0.048665348375143;	0.023816863285650;	0.003556577669273;	0.005923992627911;
0.045001044409280;	0.024028304447432;	0.003036170168331;	0.006656551376688;
0.045616265343946;	0.023383105975220;	0.002790892708957;	0.006710685608767;
0.046454413522831;	0.024176134574604;	0.002736280062650;	0.006935170437719;
0.044241886154498;	0.024148216309873;	0.003186483178682;	0.007566459449140;
0.045230130183340;	0.024610855658371;	0.003770455124769;	0.007839090996239;
0.045194913635049;	0.024577692326266;	0.004074993859386;	0.008317151654972;
0.043076916225066;	0.025013213713507;	0.004070210836577;	0.008556915815479;
0.044191876156922;	0.025720894941017;	0.003813265770451;	0.009045993658520;
0.043086213662483;	0.026303563249500;	0.004276120133097;	0.009250931409950;
0.041952224221798;	0.025591577570574;	0.005049691499293;	0.009796372870705;
0.043393364882542;	0.025959425935537;	0.005269725557391;	0.010100350582619;
0.041598076928861;	0.026173545247838;	0.005432316410216;	0.010622652933552;
0.042204110868021;	0.027122657449106;	0.005886045171479;	0.011053609379316;
0.042902561122579;	0.026832676182869;	0.006169853562082;	0.011280272987319;
0.040332057307301;	0.026736268708032;	0.006309220795081;	0.012014637642688;
