0.000000000000000;	0.090822110273567;	0.085422855850991;	0.052890943445733;
0.072877626944746;	0.067304429873244;	0.034040031329761;	0.024835437250922;
0.059943924482796;	0.056459873057784;	0.028487529211016;	0.020622239822722;
0.049316273742184;	0.045649410838610;	0.022948720163516;	0.016730871651749;
0.042642462428270;	0.037784873709307;	0.018923645769327;	0.014046103439826;
0.037765357131061;	0.031875028753357;	0.015918873873870;	0.012067581316025;
0.052186222210688;	0.044391753607341;	0.024595155789632;	0.021835096727513;
0.045560118423831;	0.038511263288851;	0.021051647767468;	0.019776967234796;
0.028456295523828;	0.023141329084431;	0.011543275254003;	0.009639709677970;
0.027799655965175;	0.021970469810087;	0.010953396533247;	0.009186669034010;
0.026598504597977;	0.020467561969405;	0.010218642999958;	0.008910089845222;
0.024530160520332;	0.018483811666705;	0.009290746373219;	0.009160493280640;
0.023930351907565;	0.017532876175865;	0.008846639875601;	0.009281168790265;
0.022933521499728;	0.016656769351581;	0.008386190034883;	0.008281733777519;
0.022097316764755;	0.016207850983657;	0.008158356896053;	0.007793480363340;
0.036686600397043;	0.029932089483074;	0.016114964459495;	0.014600757350720;
0.038283118063766;	0.036773309534365;	0.020165417338768;	0.018905372595070;
0.022580393701987;	0.019554693685685;	0.010454991230752;	0.009559774609727;
0.021254584393249;	0.017519367275515;	0.009778964174527;	0.008656546464078;
0.020691765896765;	0.016110718578770;	0.009041482532213;	0.009297167464914;
0.020085410675229;	0.015003607628400;	0.008486950444211;	0.009288125271139;
0.019085169224873;	0.014490069754119;	0.008143789775202;	0.008240547743788;
0.019133731415334;	0.014430406530628;	0.008100445016192;	0.008818696091320;
0.019386408880437;	0.014669607355744;	0.008252988008262;	0.009604108160646;
0.018765632939019;	0.014073128330855;	0.007872199788256;	0.008857638903236;
0.018334374584946;	0.013876043289006;	0.007727165090219;	0.009209507918184;
0.018699840679970;	0.014428879008592;	0.008861711932792;	0.009958856097647;
0.018922799571148;	0.014595897813095;	0.009541311591062;	0.009758334220404;
0.017712431312562;	0.013827499856543;	0.008781961732830;	0.009928208144726;
0.017621075053753;	0.013457862316599;	0.008410898251250;	0.009766783447373;
0.017839246959446;	0.013687195908071;	0.008454818277635;	0.009905945112397;
0.017331258007765;	0.013602396774687;	0.008711500191476;	0.010194143585419;
0.017682214153936;	0.013912570103532;	0.009163835426907;	0.010454793205884;
0.017614427523446;	0.013909390982011;	0.009290199516649;	0.010714587194413;
0.017040133408376;	0.013709123011737;	0.009126743247364;	0.010659979057901;
0.017350346260814;	0.013884347322681;	0.009022522898309;	0.010919717271773;
0.017133808480696;	0.014025251083866;	0.009391082152283;	0.011006281577837;
0.016814115137872;	0.013871814508384;	0.009700478111391;	0.011216448668721;
0.017215647117911;	0.014123276090006;	0.009943736124174;	0.011432153977922;
0.016771732961681;	0.014020569508449;	0.010050024348257;	0.011586359921481;
0.017104421395806;	0.014416842243889;	0.010449764580413;	0.011887193235243;
0.017165811326550;	0.014349022781809;	0.010425237210105;	0.011926542965805;
0.016489565394356;	0.014053343673773;	0.010333119038645;	0.012036157102803;
0.016827545904992;	0.014355325724881;	0.010654415692902;	0.012189150894661;
0.017071387336293;	0.014448097118067;	0.010810285013198;	0.012432799242455;
0.016527861824806;	0.014445714032767;	0.010839099987944;	0.012650175986372;
0.016603850697738;	0.014471666661289;	0.010975086099341;	0.012723119956698;
0.017074760216940;	0.014599203975999;	0.011150844802742;	0.012911174987182;
0.016296092826180;	0.014533453555270;	0.011194030205097;	0.013068186841608;
0.016152581551318;	0.014470862271875;	0.011354970862595;	0.013131055583227;
0.016908714943992;	0.014815194681356;	0.011567009145212;	0.013504704732997;
0.016351979617108;	0.014815947870133;	0.011682272509191;	0.013555647366853;
0.016215848042917;	0.014649921065903;	0.011757157935409;	0.013622407035810;
0.016691572196860;	0.014873147337739;	0.011908785140581;	0.013893969203999;
0.016213140598916;	0.014879788855838;	0.012030833752180;	0.013937054064349;
0.016062742685294;	0.014791210545673;	0.012153250302746;	0.014266543113081;
0.016489177831781;	0.015043475037621;	0.012444294267527;	0.014552014875062;
0.016159652976541;	0.015039560347814;	0.012500248750593;	0.014561998421585;
0.015959583743885;	0.014878378555952;	0.012553153578753;	0.014645012131500;
0.016198299742330;	0.015023612886282;	0.012752476816243;	0.014659781448872;
