0.026871257746313;	0.006881567784198;	0.006379201623928;	0.006054436100153;	0.005842317741321;	0.005647698196244;	0.005502157519928;	0.004605828134864;	0.004851526549103;	0.004918612007703;	0.004808881488645;	0.004759254663924;	0.004350878267422;	0.004010724505421;	0.004297178948903;	0.004240351524192;	0.004206289018139;	0.003673096149032;	0.003778828385333;	0.003888313232739;	0.003925570753740;	0.003449444604700;	0.003584576375969;	0.003607202865889;	0.003496450398546;	0.003290008730586;	0.003375483879648;	0.003336565835268;	0.003131956891801;	0.003229268307799;	0.003007462119194;	0.002907247084903;	0.002866672947082;	0.002832349764049;	0.002762243376355;	0.002737686772466;	0.002667975391149;	0.002647241665377;	0.002582576992455;	0.002554877206200;	0.002512779697876;	0.002469119925626;	0.002445619490690;	0.002412893442517;	0.002344148880521;	0.002352138146092;	0.002300232507303;	0.002249611063814;	0.002258057980757;	0.002201393983576;	0.002169655873008;	0.002175183184973;	0.002111931122139;	0.002091899399562;	0.002098083770106;	0.002041566126829;	0.002020323091310;	0.002022708000313;	0.001973944429039;	0.001965527960644;	0.001953306189605;	0.001916343345658;	0.001902200445389;	0.001899786411042;	0.001860603316286;	0.001858196385827;	0.001844677889301;	0.001820420182245;	0.001811914258678;	0.001805294734520;	0.001783523568086;	0.001774943498745;	0.001769039263793;	0.001748969184566;	0.001740457183789;	0.001746826419768;	0.001720528558070;	0.001714407544440;	0.001721678754679;	0.001708168621930;	0.001693648033948;	0.001698902093789;	0.001696204668354;	0.001683226246022;	0.001683511996597;	0.001690330561075;	0.001677984693233;	0.001674431464925;	0.001683093456197;	0.001684481094587;	0.001676162923810;	0.001676773165171;	0.001684535087619;	0.001685421014274;	0.001680742808217;	0.001686210209639;	0.001694561742231;	0.001695158164611;	0.001696996176811;	0.001702342150122;	0.001711963030192;	0.001722135962967;	0.001720143798096;	0.001728565657185;	0.001739768981567;	0.001753981441387;	0.001758497242177;	0.001767252862682;	0.001777711914601;	0.001790626909461;	0.001809327327164;	0.001815654508236;	0.001829595696103;	0.001844583758275;	0.001860184728226;	0.001878467640696;	0.001895935512400;	0.001908865068623;	0.001927934627503;	0.001946756922888
0.027473833905574;	0.007124765050975;	0.006594761398584;	0.006251975490725;	0.006027581986341;	0.005822573979427;	0.005669104162688;	0.004743136844873;	0.004993885304264;	0.005060473420002;	0.004945283749296;	0.004892203185270;	0.004470686542213;	0.004119583276372;	0.004412127333408;	0.004352397288220;	0.004316236542877;	0.003768163994836;	0.003875799511974;	0.003986441161249;	0.004022427082169;	0.003536095880991;	0.003672517257370;	0.003696419944382;	0.003581817283979;	0.003370790958811;	0.003457714717622;	0.003417836518500;	0.003207975267175;	0.003323713132444;	0.003096667261278;	0.002971350880439;	0.002936952228098;	0.002902814443264;	0.002830921700608;	0.002805704329297;	0.002734050252123;	0.002712567283646;	0.002646111489690;	0.002617429986294;	0.002574055896576;	0.002529133098032;	0.002504812920805;	0.002471109427499;	0.002400563948224;	0.002408553812822;	0.002355227521413;	0.002303225862091;	0.002311719311549;	0.002253526231087;	0.002220892224289;	0.002226443842902;	0.002161547984330;	0.002140926448353;	0.002147168601733;	0.002089212234279;	0.002067338325045;	0.002069642164207;	0.002019610012484;	0.002010838261616;	0.001998195144126;	0.001960283081870;	0.001945724024988;	0.001943160855870;	0.001903033087134;	0.001900555898711;	0.001886758247816;	0.001862010935917;	0.001853376158912;	0.001846673577252;	0.001824479776753;	0.001815766517577;	0.001809772931257;	0.001789302578084;	0.001780654860507;	0.001787237867870;	0.001760391613786;	0.001754209863033;	0.001761756295338;	0.001748003984982;	0.001733016811048;	0.001738250106410;	0.001735338907698;	0.001721918512933;	0.001722075189190;	0.001728893430541;	0.001716104855626;	0.001712312599626;	0.001721006233284;	0.001722250495371;	0.001713585805461;	0.001714162591077;	0.001722096116827;	0.001722939326757;	0.001717981271173;	0.001723392532018;	0.001731745400528;	0.001732164613357;	0.001733847201225;	0.001739104545103;	0.001748723763625;	0.001758895868104;	0.001756626014337;	0.001764975679553;	0.001776161016150;	0.001790408001408;	0.001794748116564;	0.001803412008306;	0.001813776555364;	0.001826196661283;	0.001844454514836;	0.001850118673171;	0.001863512383285;	0.001877842145017;	0.001892762584959;	0.001910374971269;	0.001927087051169;	0.001939197349030;	0.001957533417818;	0.001975649630931
0.029128813462538;	0.007801000236995;	0.007195861429364;	0.006804523169638;	0.006547141836735;	0.006314034790572;	0.006139087186227;	0.005130233406469;	0.005395726368894;	0.005461742624855;	0.005331954966899;	0.005269823331510;	0.004811617970763;	0.004429997985274;	0.004740654372031;	0.004673155948619;	0.004631393396196;	0.004040959325036;	0.004154254587208;	0.004267889579078;	0.004299911430856;	0.003784120247843;	0.003923961464183;	0.003951232783712;	0.003825320055139;	0.003600898127086;	0.003691641734627;	0.003648782028591;	0.003423873932899;	0.003585774738802;	0.003355265011183;	0.003168691094664;	0.003137886760842;	0.003102348238152;	0.003025197927911;	0.002997927707933;	0.002920754563537;	0.002897149347723;	0.002825605801605;	0.002794217893922;	0.002747263239784;	0.002698763781617;	0.002672167392899;	0.002635692248541;	0.002560017522881;	0.002568014783715;	0.002510670508178;	0.002454765436847;	0.002463376704257;	0.002400876785277;	0.002365696052873;	0.002371270659867;	0.002301729448928;	0.002279413943742;	0.002285765588924;	0.002223721440052;	0.002200058811233;	0.002202127556141;	0.002148511963341;	0.002138755096786;	0.002124923892892;	0.002084303109853;	0.002068534941364;	0.002065518279376;	0.002022659739828;	0.002019890545721;	0.002005177866759;	0.001978898446681;	0.001969747543895;	0.001962656863119;	0.001939119750274;	0.001929886157377;	0.001923509600691;	0.001901778766680;	0.001892611851826;	0.001899645570316;	0.001871136304051;	0.001864634168337;	0.001872775229325;	0.001858199629660;	0.001841868193120;	0.001846999019963;	0.001843456695597;	0.001828768398315;	0.001828515488918;	0.001835291745288;	0.001821243201496;	0.001816749960182;	0.001825490478125;	0.001826304574484;	0.001816659044156;	0.001817095839824;	0.001825421302389;	0.001826106923110;	0.001820415357174;	0.001825707774236;	0.001834101815311;	0.001834074780997;	0.001835373455308;	0.001840435561197;	0.001850100540285;	0.001860325934042;	0.001857352926437;	0.001865574750846;	0.001876782264532;	0.001891200906398;	0.001895133866211;	0.001903622627668;	0.001913825959071;	0.001925513044341;	0.001943284260238;	0.001947852278591;	0.001960525189834;	0.001973960869284;	0.001987980297358;	0.002004786401923;	0.002020548836153;	0.002031542031083;	0.002049070605699;	0.002066464939575
0.031181073052863;	0.008684851421583;	0.007991245211815;	0.007545394684129;	0.007251359015966;	0.006985864834709;	0.006785915260274;	0.005665912085069;	0.005954482295111;	0.006024157817618;	0.005878382864544;	0.005807323131767;	0.005300168235866;	0.004878107189869;	0.005218710228928;	0.005142532601406;	0.005094552073000;	0.004443259143445;	0.004565841298261;	0.004682301879024;	0.004706936465562;	0.004146844336433;	0.004290346876850;	0.004321132551212;	0.004177220754876;	0.003931819307144;	0.004026487083496;	0.003978077729705;	0.003731109560930;	0.003927296034498;	0.003751079759334;	0.003512130968718;	0.003425499765937;	0.003382056318469;	0.003297659946272;	0.003266535127750;	0.003181519721240;	0.003154954121794;	0.003076182935935;	0.003041406741796;	0.002989621975947;	0.002936104793598;	0.002906571766905;	0.002866197941836;	0.002783160603846;	0.002791230314603;	0.002728281914782;	0.002666931199032;	0.002675661603304;	0.002607242108485;	0.002568443079703;	0.002573823685137;	0.002497802810798;	0.002472992641503;	0.002479227242317;	0.002411362915750;	0.002385190883598;	0.002386928141368;	0.002328332027359;	0.002317330372039;	0.002301882090206;	0.002257350936616;	0.002239736090861;	0.002235941027034;	0.002188947191434;	0.002185281354103;	0.002168606565454;	0.002139365448855;	0.002128653238203;	0.002120167979535;	0.002093910598672;	0.002083134829963;	0.002075479895750;	0.002051236181641;	0.002040555142071;	0.002047329328072;	0.002015815808389;	0.002007983566129;	0.002015823675345;	0.001999145163652;	0.001980640816456;	0.001985245008212;	0.001980536369057;	0.001963836542131;	0.001962623546082;	0.001968980722210;	0.001953001931521;	0.001947264838965;	0.001955707601303;	0.001955664393171;	0.001944541720689;	0.001944425476990;	0.001952651949800;	0.001952815507598;	0.001946377957766;	0.001951674552464;	0.001960279311368;	0.001959886573369;	0.001960910397464;	0.001965958080369;	0.001975912388089;	0.001986466187198;	0.001982918707585;	0.001991318458705;	0.002002889873587;	0.002017881823662;	0.002021673075434;	0.002030306535755;	0.002040788521107;	0.002055106927413;	0.002076235624640;	0.002083243732347;	0.002098961221048;	0.002115703611739;	0.002133090151692;	0.002153505356773;	0.002172912543453;	0.002187195865436;	0.002208554313191;	0.002229798025200
0.033202708854097;	0.009641240437640;	0.008859439528572;	0.008358613617138;	0.008027903355516;	0.007729715312829;	0.007504699977860;	0.006240063798390;	0.006561990507759;	0.006654868051574;	0.006492863051144;	0.006413372227733;	0.005852432948423;	0.005385933853429;	0.005761840029396;	0.005677030809113;	0.005623108112493;	0.004903294331356;	0.005037221691870;	0.005156119993380;	0.005171518536354;	0.004560196778396;	0.004707179099694;	0.004741278661014;	0.004576289716558;	0.004306505712252;	0.004404998116248;	0.004349741418603;	0.004077395170844;	0.004275863448160;	0.004197145246939;	0.003986902787762;	0.003801132640903;	0.003702487932638;	0.003600809421574;	0.003566756784542;	0.003472644451688;	0.003442340302028;	0.003355157896322;	0.003316381253263;	0.003258903026255;	0.003199517675539;	0.003166448440396;	0.003121390702426;	0.003029812729291;	0.003037589729175;	0.002968046939339;	0.002900323325087;	0.002908825969967;	0.002833588563211;	0.002790485176844;	0.002795318638782;	0.002711944133367;	0.002684081874297;	0.002689836996000;	0.002615321870113;	0.002586104355522;	0.002587144135685;	0.002522814958998;	0.002510165186019;	0.002492629400942;	0.002443521110366;	0.002423555693310;	0.002418532497081;	0.002366675089850;	0.002361586664510;	0.002342355871699;	0.002309486970728;	0.002296638784937;	0.002286179669585;	0.002256565423942;	0.002243701276752;	0.002234276587271;	0.002206966689967;	0.002194275763804;	0.002200334345328;	0.002165266058889;	0.002155570737244;	0.002162980336155;	0.002144626027075;	0.002124825403038;	0.002129827303326;	0.002124856128916;	0.002106996067388;	0.002105720489905;	0.002112635579476;	0.002095591968281;	0.002089516386404;	0.002098671435590;	0.002098749010738;	0.002087020376152;	0.002087121136579;	0.002095975320713;	0.002096402988128;	0.002090180456256;	0.002096571452268;	0.002106548938015;	0.002106884142493;	0.002108759756324;	0.002115002709866;	0.002126556299344;	0.002138799569089;	0.002135993524799;	0.002146289474312;	0.002160027513499;	0.002177502612980;	0.002182944876040;	0.002193638282484;	0.002206545303004;	0.002226459971032;	0.002254087051451;	0.002266235567479;	0.002287973326162;	0.002311395360418;	0.002335686969240;	0.002363453180436;	0.002390340300554;	0.002411396680813;	0.002440274566362;	0.002468811195479
0.035537039243989;	0.010834094652539;	0.009923687505582;	0.009334451399482;	0.008942726144667;	0.008592428489329;	0.008326891653874;	0.009224938060036;	0.007809809295037;	0.007327729599492;	0.007160609218141;	0.007063545794137;	0.006437936898535;	0.005917967487756;	0.006323803240526;	0.006224858410067;	0.006160502389831;	0.005367845204776;	0.005510977231459;	0.005634912412229;	0.005643558334005;	0.004982177505981;	0.005134715767981;	0.005174206425777;	0.004989018442605;	0.004695596412048;	0.004799961381049;	0.004739137116568;	0.004441005530665;	0.004642259655089;	0.004551229971261;	0.004415631686311;	0.004338000841065;	0.004154583023212;	0.003955827182540;	0.003884210037434;	0.003784306678681;	0.003752744111118;	0.003658364555657;	0.003616024284594;	0.003553910573147;	0.003489658069087;	0.003454022468544;	0.003405854163902;	0.003307138536737;	0.003316691039936;	0.003242037172760;	0.003169182095857;	0.003179550177339;	0.003098158464309;	0.003052035913006;	0.003058394494813;	0.002967890171926;	0.002938441744138;	0.002945949997725;	0.002865342848029;	0.002834322811485;	0.002836525514293;	0.002767055316990;	0.002754045376180;	0.002735846176202;	0.002683147692661;	0.002662441436889;	0.002658234536246;	0.002602783579174;	0.002598916712163;	0.002579572607324;	0.002545316760837;	0.002533097829059;	0.002523747059071;	0.002493284610981;	0.002481197476191;	0.002472735164858;	0.002444542097417;	0.002432487515404;	0.002441273848787;	0.002404405809583;	0.002395877915629;	0.002406470389557;	0.002388366182609;	0.002368568919635;	0.002376418460814;	0.002373114623051;	0.002355420457301;	0.002356312788688;	0.002366253064349;	0.002349350167406;	0.002344775372544;	0.002357278617224;	0.002359543232021;	0.002348281959074;	0.002350309341567;	0.002362585066905;	0.002364976257625;	0.002359108042188;	0.002367459544502;	0.002379886989294;	0.002381539208785;	0.002384914478799;	0.002393182264265;	0.002407447305554;	0.002422464690839;	0.002420280850620;	0.002432728992270;	0.002449115770664;	0.002469745384204;	0.002476729429123;	0.002489713446044;	0.002504997560792;	0.002521480953887;	0.002545999875384;	0.002553387589443;	0.002571537563063;	0.002590822392442;	0.002611085886584;	0.002635219124778;	0.002658817001981;	0.002677553243366;	0.002704887783888;	0.002731965669767
0.038003836925465;	0.012131588354585;	0.011113891207536;	0.010454930458626;	0.010018938018374;	0.009631440322191;	0.009342773672755;	0.025193962665834;	0.016145415323387;	0.009008591390647;	0.008022615460625;	0.007958671097215;	0.007263091698231;	0.006680052504779;	0.007142523388209;	0.007034050119024;	0.006965208888304;	0.006071871804490;	0.006236177983837;	0.006373618795154;	0.006378232712602;	0.005639348525591;	0.005808579860206;	0.005860655731143;	0.005654683650945;	0.005331636400862;	0.005453754656269;	0.005390522736020;	0.005056178699815;	0.005275481721077;	0.005166354325472;	0.005015819748864;	0.004972691490361;	0.004906505283979;	0.004784465148984;	0.004624236167366;	0.004356489640713;	0.004312833740300;	0.004207912740767;	0.004160747244230;	0.004088577006881;	0.004014658846816;	0.003973352394569;	0.003915984756536;	0.003799996401513;	0.003808604179853;	0.003719798570849;	0.003633812819112;	0.003643705960655;	0.003548986910396;	0.003494465420253;	0.003500215138095;	0.003395883516597;	0.003360569779697;	0.003367293264413;	0.003273703611751;	0.003236704417689;	0.003237453780643;	0.003156392020481;	0.003140367275115;	0.003118298036946;	0.003056698368786;	0.003031609799667;	0.003025072714135;	0.002959820380562;	0.002953028631423;	0.002928758430085;	0.002887488662987;	0.002871296537566;	0.002857774171906;	0.002820302984747;	0.002803894402496;	0.002791960741722;	0.002757660717301;	0.002741678824789;	0.002749103661678;	0.002705149437211;	0.002692775476928;	0.002701236137958;	0.002676874896048;	0.002650665629913;	0.002655347236400;	0.002647593163221;	0.002623663111253;	0.002620348284984;	0.002627274434988;	0.002604396672432;	0.002595126765178;	0.002604763446584;	0.002603309554947;	0.002588463403044;	0.002588487595837;	0.002599399669972;	0.002599830590946;	0.002591780372338;	0.002599562634783;	0.002611915491906;	0.002612338675673;	0.002614893788555;	0.002623109143206;	0.002638151766953;	0.002654331259453;	0.002651992541092;	0.002666149664831;	0.002684895344579;	0.002708649572097;	0.002717782109188;	0.002733763886401;	0.002752698391913;	0.002774615178664;	0.002805167974201;	0.002816189393292;	0.002839874238873;	0.002866243793633;	0.002893431478903;	0.002924812528921;	0.002954479696915;	0.002975631750573;	0.003007200963998;	0.003039191494860
0.042841343804484;	0.014156708351701;	0.012936762896725;	0.012148826244902;	0.011621967183927;	0.011150051329288;	0.010789639990921;	0.026798136185458;	0.019049491875863;	0.014660056521960;	0.013666030584747;	0.010443415722498;	0.008383420774423;	0.007569966551350;	0.008148216500835;	0.008017564230776;	0.007930436808628;	0.006906495359544;	0.007087370232115;	0.007232665332396;	0.007225321091696;	0.006391319579521;	0.006568930274095;	0.006623755720354;	0.006374241748730;	0.005999036304354;	0.006124255909029;	0.006044491718852;	0.005661859738458;	0.005887172634952;	0.005757995552121;	0.005572772050142;	0.005502192895808;	0.005412217454977;	0.005292531785730;	0.005301080333253;	0.005150673128795;	0.004961771632735;	0.004693828841880;	0.004583185321856;	0.004504885466550;	0.004419303456505;	0.004369711713166;	0.004304993439188;	0.004176788083190;	0.004185597765417;	0.004088581029722;	0.003993801633132;	0.004003851062122;	0.003898368940640;	0.003837489399596;	0.003842574912098;	0.003725921190210;	0.003686378158126;	0.003693311149047;	0.003589819927919;	0.003548698344390;	0.003549339630691;	0.003460440051926;	0.003442067392555;	0.003417255558190;	0.003349485259623;	0.003321739618142;	0.003314741597203;	0.003244001985552;	0.003237652185277;	0.003211816218318;	0.003167376695614;	0.003150407325547;	0.003136926887104;	0.003097203871218;	0.003080348089496;	0.003068059463007;	0.003031436736404;	0.003014924191168;	0.003024375796687;	0.002977839889230;	0.002966546325716;	0.002978566712361;	0.002954542795809;	0.002928553250456;	0.002936568802427;	0.002930815239579;	0.002907294811574;	0.002906736246157;	0.002917244858790;	0.002894632026556;	0.002887192226341;	0.002900735879599;	0.002901566007502;	0.002885376572827;	0.002885671001988;	0.002898874742038;	0.002900181627446;	0.002891772730090;	0.002900831677133;	0.002914860349931;	0.002915527271617;	0.002918191104727;	0.002926881846110;	0.002942989015267;	0.002957554007383;	0.002950921719445;	0.002964014593292;	0.002982264955893;	0.003005820936243;	0.003012873735402;	0.003027497210783;	0.003045893434667;	0.003068910903919;	0.003102091023870;	0.003114405876253;	0.003139680764232;	0.003166423563090;	0.003194933596487;	0.003228610561996;	0.003261152499340;	0.003286807929276;	0.003365962998094;	0.003447204530097
0.045715475426374;	0.015931975083779;	0.014528392083255;	0.013621605398101;	0.013015232439748;	0.012480716864647;	0.012075710484168;	0.027868550056978;	0.020144243821180;	0.015948130961149;	0.016170106271463;	0.015044401178210;	0.020083288470168;	0.019016151763139;	0.009891504076527;	0.008934692591904;	0.008783697252644;	0.007659837828386;	0.007855640078022;	0.008003815991445;	0.007979193846912;	0.007060920872102;	0.007243862214295;	0.007306729696726;	0.007027828934793;	0.006619567862526;	0.006753784403437;	0.006664297941618;	0.006237898679147;	0.006468134270528;	0.006327127175154;	0.006136945672578;	0.006070879203269;	0.005983613097990;	0.005844146453315;	0.005838679695760;	0.005719126152401;	0.005666211803301;	0.005559633353389;	0.005366992722002;	0.005104416554134;	0.004940815489711;	0.004877408244505;	0.004813188624353;	0.004672174025699;	0.004683658001812;	0.004575096726021;	0.004470033793138;	0.004483017215551;	0.004366888656965;	0.004298807824790;	0.004305352688908;	0.004176695836880;	0.004132943980679;	0.004140962098990;	0.004025706617422;	0.003980054237967;	0.003980799965813;	0.003880925689407;	0.003860958551924;	0.003833193006920;	0.003756973423572;	0.003725634559990;	0.003717058718078;	0.003636303924037;	0.003627354035297;	0.003597028500035;	0.003545871385452;	0.003525672839558;	0.003509202817186;	0.003463306760386;	0.003443193165690;	0.003428259728697;	0.003385672269547;	0.003365425953642;	0.003373724195068;	0.003318194915564;	0.003301330261062;	0.003310392610598;	0.003288680424663;	0.003265470957180;	0.003280975551361;	0.003281370012637;	0.003263462336948;	0.003271835349605;	0.003293773595787;	0.003279063519342;	0.003282161109173;	0.003310015973570;	0.003324419664028;	0.003320466696298;	0.003335637467703;	0.003364492874035;	0.003380318353585;	0.003385355296535;	0.003411320922632;	0.003446003355991;	0.003466349550939;	0.003491468960451;	0.003524672930562;	0.003567635335915;	0.003653345596240;	0.003736292778979;	0.003838772727244;	0.003947472255015;	0.004063495799234;	0.004156357290220;	0.004259212046371;	0.004366456226307;	0.004479370376706;	0.004609733990519;	0.004711032508897;	0.004832209797615;	0.004956279298277;	0.005085692442530;	0.005224726797848;	0.005363349619130;	0.005489210713006;	0.005560136384243;	0.005633422587503
0.049517194349942;	0.018128548310816;	0.016547249132183;	0.015505481739252;	0.014807823628044;	0.014185240434632;	0.013716011784361;	0.029220520032246;	0.021548662856185;	0.017365868058855;	0.017549316651451;	0.016360778068692;	0.023900497289858;	0.030223074206219;	0.021625617818982;	0.019313907720728;	0.012843482080849;	0.009343496103954;	0.009027954478776;	0.009156282403454;	0.009141108280784;	0.008108103467789;	0.008322337015351;	0.008405343122377;	0.008083715274120;	0.007613003156242;	0.007768315386819;	0.007670993340978;	0.007191243388821;	0.007450720386749;	0.007281357870277;	0.007058263143059;	0.006969663098063;	0.006862030142095;	0.006708703267327;	0.006706263951753;	0.006572322399955;	0.006510466348192;	0.006368471055383;	0.006289204844909;	0.006246120878204;	0.006180577746397;	0.005899452951126;	0.005612634468308;	0.005411198184467;	0.005434484869369;	0.005325958096117;	0.005214188180431;	0.005237512710861;	0.005117543773405;	0.005102521133820;	0.005172856752303;	0.005077859517246;	0.005086663043905;	0.005159966513460;	0.005077053543686;	0.005079914663852;	0.005141665474186;	0.005071682868008;	0.005102780440549;	0.005123990079068;	0.005077985053859;	0.005090593942411;	0.005134322735718;	0.005079534706763;	0.005124230007777;	0.005137093094622;	0.005118683618558;	0.005143346575931;	0.005172739269770;	0.005157367840968;	0.005179107607243;	0.005211161297162;	0.005200361319048;	0.005222496935588;	0.005288785555119;	0.005254953075006;	0.005281709222785;	0.005349004634381;	0.005314102804819;	0.005270554961127;	0.005288678713319;	0.005282330345530;	0.005243757124662;	0.005247640111874;	0.005272724261788;	0.005238141227424;	0.005231730620002;	0.005264127173283;	0.005273977498362;	0.005255330581765;	0.005268168074825;	0.005303562276465;	0.005316724911839;	0.005312194933355;	0.005339935286205;	0.005370464989429;	0.005374898629535;	0.005383202989207;	0.005402038813773;	0.005433774524970;	0.005470419281743;	0.005471270701162;	0.005504842865011;	0.005547615138463;	0.005600282179760;	0.005630473457794;	0.005676917240816;	0.005730152002373;	0.005794531820248;	0.005873413857578;	0.005908435988790;	0.005969052253932;	0.006034826185590;	0.006104222966426;	0.006183859751480;	0.006261373443242;	0.006323839262197;	0.006406395693833;	0.006494749647124
