0.120589029542908;	0.081268741893247;	0.046990342122885;	0.041383660440903;
0.081855697255839;	0.071234696475577;	0.041359901920608;	0.031011045619528;
0.067559086830109;	0.059830837328383;	0.034754077987580;	0.025825430295085;
0.055723432755035;	0.048810066496105;	0.028236287614633;	0.021085516510884;
0.048267057541688;	0.040955237122747;	0.023525640831054;	0.017837497140186;
0.042771906966059;	0.035019638268154;	0.019969948388874;	0.015417618254909;
0.059267872399315;	0.049434438239774;	0.030614030815952;	0.027789343425901;
0.051919470517624;	0.043118741908626;	0.026429971522584;	0.025004877981599;
0.032375354621667;	0.025851383185749;	0.014676213761013;	0.012230012980152;
0.031588459292071;	0.024696185124959;	0.013963320967807;	0.011670013551493;
0.030196725890663;	0.023160770321226;	0.013063525842258;	0.011265322036470;
0.027850952733363;	0.021054059566670;	0.011904228367172;	0.011327242876272;
0.027106484744193;	0.020062675008234;	0.011335614026148;	0.011345610645610;
0.025924313066676;	0.019053360790788;	0.010725849082021;	0.010238229919898;
0.024990592588250;	0.018492083456638;	0.010408661057040;	0.009679279786443;
0.041710844822380;	0.034054814843727;	0.020392494202898;	0.018020637898787;
0.043901171515137;	0.040554793609602;	0.025251319993044;	0.022751374863725;
0.025766808289207;	0.021633616065899;	0.013006708279705;	0.011664081973956;
0.024179439158323;	0.019619502261542;	0.012060924370011;	0.010598571944743;
0.023483744944352;	0.018268890219497;	0.011189257145111;	0.011145437918833;
0.022740039559365;	0.017153202088946;	0.010508757094510;	0.011026689055017;
0.021602587561684;	0.016517940079789;	0.010087186829069;	0.009907510637947;
0.021637745744944;	0.016453573711795;	0.010039239344138;	0.010498692292758;
0.021934304493481;	0.016718855675384;	0.010225092505210;	0.011277062172273;
0.021198533664024;	0.016046272542307;	0.009758170227816;	0.010466832113068;
0.020732705255697;	0.015819641003559;	0.009608436980736;	0.010814152061135;
0.021162501810303;	0.016460806122141;	0.010774866246718;	0.011615675835458;
0.021390397816981;	0.016672070680689;	0.011403939505704;	0.011442184278457;
0.020045793145644;	0.015788029926618;	0.010604369215590;	0.011536240832506;
0.019910506620525;	0.015411057121782;	0.010211144130839;	0.011345890964739;
0.020161643247838;	0.015652050509956;	0.010290693404388;	0.011516440017733;
0.019599505895430;	0.015527563612248;	0.010512762863377;	0.011784094352007;
0.019994535095114;	0.015900708562836;	0.010995212143324;	0.012091937505567;
0.019926449068284;	0.015907903073454;	0.011129976149316;	0.012361509391386;
0.019285086507756;	0.015638215196932;	0.010948606883503;	0.012280764150203;
0.019622471946612;	0.015834858819234;	0.010889359478290;	0.012569618494237;
0.019401938843278;	0.015969872726204;	0.011254079501639;	0.012671886774682;
0.019035146304225;	0.015806216185632;	0.011520086543919;	0.012883890568569;
0.019473329357403;	0.016107651526650;	0.011795811372964;	0.013143262292879;
0.018993452864965;	0.015975216908468;	0.011880378135115;	0.013302897986811;
0.019361299910240;	0.016409562400341;	0.012320548667838;	0.013654432305795;
0.019405865777218;	0.016346960207578;	0.012300108308812;	0.013701215194993;
0.018660668724403;	0.015992656860268;	0.012176783539367;	0.013797146829950;
0.019022744420101;	0.016328906668112;	0.012519543245790;	0.013991202448798;
0.019272950359022;	0.016451471455538;	0.012692285311681;	0.014268140068371;
0.018696860137746;	0.016401438859345;	0.012735783852235;	0.014500894903329;
0.018757063939158;	0.016434195170549;	0.012862566992393;	0.014593302141419;
0.019233818333810;	0.016606269441857;	0.013051353064810;	0.014818085610403;
0.018416163701345;	0.016479852314995;	0.013105809202845;	0.014986953902573;
0.018241944300791;	0.016409864333795;	0.013250674049422;	0.015065048433232;
0.019028169003431;	0.016814940355304;	0.013506048965297;	0.015503394594141;
0.018440063237152;	0.016772499843279;	0.013631662947605;	0.015569009113095;
0.018258248993781;	0.016597461770849;	0.013682643456232;	0.015646883289866;
0.018740968279786;	0.016855727874189;	0.013865605962779;	0.015968262840492;
0.018229826814610;	0.016820609282692;	0.013991788883306;	0.016026464891102;
0.018047346307180;	0.016728211978209;	0.014110815215347;	0.016395509557318;
0.018478859220681;	0.017018814808262;	0.014432974740639;	0.016737179956957;
0.018114387496894;	0.016978235803568;	0.014493337683272;	0.016758773921523;
0.017866376695154;	0.016799283858537;	0.014530562740528;	0.016854792207899;
0.018086117448917;	0.016954786219365;	0.014741022916418;	0.016888576222163;
0.017917160753667;	0.017198038568171;	0.015108220545618;	0.017035919795196;
0.017954040459042;	0.017236363549983;	0.015236963287402;	0.017179153074268;
0.017907883859784;	0.017034021676625;	0.015268753579847;	0.017260992269800;
0.017518832576385;	0.016984434721166;	0.015496899128230;	0.017235974885228;
0.017734813848004;	0.017307767219301;	0.015753196211044;	0.017429166434821;
0.018036912931956;	0.017442290696267;	0.015898947277690;	0.017593128792757;
0.017453465975286;	0.017055231287290;	0.015779510916057;	0.017412474326708;
0.017468783328676;	0.017190844876011;	0.016089625979452;	0.017627726975890;
0.017726244844975;	0.017410138828180;	0.016339255059626;	0.017723700141199;
0.017035583384301;	0.017019680092994;	0.016196835705700;	0.017464145322467;
0.017148783524834;	0.017080124283973;	0.016428923283727;	0.017643093442856;
0.017566294780848;	0.017361107974102;	0.016736750708434;	0.017671506840715;
0.016840398506357;	0.017163981946711;	0.016742333620090;	0.017375219414968;
0.016675960858402;	0.017076392604459;	0.016715323008975;	0.017491545084685;
0.017270314569361;	0.017296434137629;	0.016950580466381;	0.017636118159193;
0.017127174729775;	0.017068650479040;	0.016922171096713;	0.017345037161188;
0.016488666119062;	0.016757333035978;	0.016771713424556;	0.017079695972102;
0.016516937019964;	0.016900205781092;	0.016939483145382;	0.017070113541696;
0.016730112076480;	0.017004277812800;	0.017094800872896;	0.017040357164086;
0.015958743379456;	0.016556882806285;	0.016833868970966;	0.016786353210736;
0.015826729011782;	0.016368405922200;	0.016773257011366;	0.016620317824069;
0.016448492364748;	0.016763227012967;	0.017346305293866;	0.016773286145949;
0.016489705826735;	0.016884146380568;	0.017549791479213;	0.016841590315779;
0.015719099423957;	0.016359210702626;	0.016951141616570;	0.016558769613927;
0.015662329778173;	0.016185203936784;	0.016627905738913;	0.016333154394586;
0.015923231647361;	0.016208075034784;	0.016624970115101;	0.016244558711313;
0.015598427039954;	0.015943910126942;	0.016506302910173;	0.016130149316749;
0.015108235061907;	0.015644572242604;	0.016289217898361;	0.015935404781174;
0.015015840916858;	0.015632575102491;	0.016269337637841;	0.015864067422599;
0.015278312059305;	0.015693028059922;	0.016168602485411;	0.015872924123355;
0.015053151512059;	0.015503878241311;	0.015995246070776;	0.015667974927795;
0.014431548248840;	0.015117704882799;	0.015754807072328;	0.015338140272883;
0.014048674057165;	0.014799335139365;	0.015483637717023;	0.015169651773903;
0.014258016534176;	0.014802427493602;	0.015430998201483;	0.015190238123641;
0.014229722597734;	0.014690939315031;	0.015259444198497;	0.015126559436775;
0.013889351114428;	0.014485646960298;	0.015071615916404;	0.014989473848129;
0.013088306048666;	0.014014336184270;	0.014743114460425;	0.014668847157466;
0.012832628592974;	0.013757868487011;	0.014528534801076;	0.014458391563893;
0.012953033983028;	0.013709557587646;	0.014487624081958;	0.014363270375517;
0.012471715929384;	0.013350954725326;	0.014286165249632;	0.014004450524571;
0.011938632619680;	0.012913165102677;	0.013910649627968;	0.013646549981071;
0.011093238565175;	0.012339370763548;	0.013412232728422;	0.013295365155171;
0.010798653256914;	0.012032465546298;	0.013131329491186;	0.013036272718498;
0.010385301507568;	0.011611071989171;	0.012781797412596;	0.012670606563295;
0.009677609000139;	0.011030783576348;	0.012330175275718;	0.012184108717828;
0.009248961631603;	0.010494876819060;	0.011886135468497;	0.011720342425811;
0.008712619751851;	0.009911653909520;	0.011350964371003;	0.011177642706775;
0.008302635363866;	0.009470569902732;	0.010876799203752;	0.010669823540301;
0.007993268741218;	0.009090165465308;	0.010455187489008;	0.010124312212779;
0.007660017062185;	0.008714420826275;	0.010059152762242;	0.009586007698981;
0.007221455820569;	0.008219501388083;	0.009472202585814;	0.009033335975234;
0.006769430312598;	0.007693565768990;	0.008820307732609;	0.008482312360823;
0.006349438595133;	0.007227756856495;	0.008292353213844;	0.007961075555232;
0.005940397338038;	0.006784425852685;	0.007785600657699;	0.007470529157972;
0.005659508034761;	0.006423715116765;	0.007340298141016;	0.007059702236974;
0.005390088523807;	0.006068853564227;	0.006903466789732;	0.006656590241659;
0.005061689863065;	0.005689748856840;	0.006468184810521;	0.006254463281131;
0.004750569740569;	0.005339022412742;	0.006080387832625;	0.005868038565385;
0.004447433321821;	0.005009106504422;	0.005690129808388;	0.005492263780713;
0.004170626677358;	0.004698142348548;	0.005312732616069;	0.005138680146550;
0.003904847919291;	0.004403884836925;	0.004980451012016;	0.004818981323808;
0.003632242539820;	0.004115740952232;	0.004667804869427;	0.004517074615722;
0.003429028718347;	0.003858956437555;	0.004351414291241;	0.004218831968378;
0.003240274319336;	0.003615919809794;	0.004053455915499;	0.003937337169116;
0.003011733145340;	0.003366435939075;	0.003782936098617;	0.003685871289354;
0.002788864903828;	0.003120368347172;	0.003513823465869;	0.003395655678240;
0.002580818187149;	0.002885060485064;	0.003247806195309;	0.003130865872295;
0.002406966702177;	0.002681513777373;	0.003009443947583;	0.002922827492431;
0.002245585121003;	0.002493862702808;	0.002782351269860;	0.002716242466696;
0.002092570286193;	0.002321276627643;	0.002577676259588;	0.002554725520349;
0.001968003853986;	0.002177651311417;	0.002413274071914;	0.002471900305786;
0.001837697065883;	0.002037790476832;	0.002255945074599;	0.002358558782131;
0.001745838265507;	0.001916919633419;	0.002110016571116;	0.002200016732777;
0.001686636297530;	0.001827645205634;	0.001992574249834;	0.002081947073708;
0.001555129541537;	0.001692732175209;	0.001837535896116;	0.001662762467291;
0.001453520422431;	0.001589163082727;	0.001721720420027;	0.001560134366661;
0.001419738392587;	0.001552005700625;	0.001683114704248;	0.001884770002300;
0.001323646392555;	0.001449779056901;	0.001583161048379;	0.001722202975917;
0.001208417334016;	0.001323842058675;	0.001450556145235;	0.001430623183845;
0.001123261458384;	0.001229121783217;	0.001341152546233;	0.001268887029435;
0.001060406336557;	0.001159510134329;	0.001257244492713;	0.001233420108565;
0.001003609429449;	0.001097821589943;	0.001190590355308;	0.001226085080658;
0.000936601712407;	0.001025828518794;	0.001117023465397;	0.001115782619464;
0.000879724003369;	0.000962085552894;	0.001046366746868;	0.001026056424343;
0.000832901793036;	0.000910530116024;	0.000986901616927;	0.000970838069512;
0.000793305386825;	0.000867650972821;	0.000938358101271;	0.000931245253691;
0.000754816596076;	0.000828888543803;	0.000893757447846;	0.000900035737546;
0.000736968143873;	0.000802524759256;	0.000860583484056;	0.000870200291287;
0.000721167475961;	0.000775950724951;	0.000830209760153;	0.000821694989732;
0.000688579347023;	0.000742942949145;	0.000796370862261;	0.000797135030295;
0.000655007630376;	0.000708691484576;	0.000760316575805;	0.000761366237179;
0.000618299008852;	0.000669551401199;	0.000719495461689;	0.000721108559454;
0.000583908240583;	0.000632989494094;	0.000681069524497;	0.000687292545219;
0.000553081296441;	0.000600203339073;	0.000647178983890;	0.000645239760686;
0.000523127372826;	0.000566872382799;	0.000608865994668;	0.000610034521112;
0.000495118567782;	0.000537367284832;	0.000576475489147;	0.000579580157093;
0.000469412587299;	0.000512452528972;	0.000554945205781;	0.000552021797249;
0.000441999941673;	0.000480811450591;	0.000518640802135;	0.000519133425668;
0.000417086678267;	0.000452798294093;	0.000486075079504;	0.000491328848472;
0.000396926937303;	0.000433917576852;	0.000472980317992;	0.000468993840404;
0.000371962051738;	0.000402999140084;	0.000439022255913;	0.000441296022092;
0.000357398271969;	0.000387502548040;	0.000414608476404;	0.000423338161342;
0.000350165373392;	0.000387439081311;	0.000421464538589;	0.000414553761308;
0.000323875252751;	0.000356180399312;	0.000387379208411;	0.000385461441332;
0.000303345963234;	0.000331504948691;	0.000355200572351;	0.000360904110606;
0.000292537278280;	0.000323597040491;	0.000351268085682;	0.000349273849074;
0.000277069868537;	0.000308327164211;	0.000336951252756;	0.000332364872812;
0.000262985023957;	0.000293497006298;	0.000320505262617;	0.000317444069080;
0.000252522315666;	0.000286750045161;	0.000320673524325;	0.000306341078705;
0.000232253915330;	0.000267061123743;	0.000305413568064;	0.000281747110953;
0.000203613386177;	0.000231070550399;	0.000259754466409;	0.000247518522154;
0.000178997205204;	0.000199598556826;	0.000217702364341;	0.000218862332983;
0.000162350087246;	0.000180418704942;	0.000194141117264;	0.000199903857418;
0.000150421476014;	0.000169960277394;	0.000187536186675;	0.000185923809408;
0.000130026288531;	0.000147765818143;	0.000164400737178;	0.000161515195898;
0.000106962910625;	0.000121169268160;	0.000133729758971;	0.000133886757273;
0.000085597314051;	0.000097121444500;	0.000107472602655;	0.000107883954452;
0.000064538752988;	0.000071839177672;	0.000079152405898;	0.000081503144273;
0.000049452387111;	0.000054254746177;	0.000059396622127;	0.000062532693679;
0.000038934893417;	0.000042379862965;	0.000046244784441;	0.000048643819795;
0.000028068704499;	0.000030342322719;	0.000033046772631;	0.000034698912261;
0.000017906611658;	0.000019298523173;	0.000020939780336;	0.000022090434327;
0.000010439307553;	0.000011242409296;	0.000012230896410;	0.000012846517813;
0.000005134436382;	0.000005492927938;	0.000005938080452;	0.000006238179159;
0.000002149513744;	0.000002284028475;	0.000002448885691;	0.000002566110923;
0.000000730668936;	0.000000771693543;	0.000000822406926;	0.000000859722487;
0.000000194346259;	0.000000204806402;	0.000000217892991;	0.000000226328695;
0.000000041105417;	0.000000043527324;	0.000000046706285;	0.000000048082678;
0.000000005109851;	0.000000005453307;	0.000000005869930;	0.000000005884951;
0.000000000392952;	0.000000000423774;	0.000000000465689;	0.000000000458870;
0.000000000027560;	0.000000000030204;	0.000000000033931;	0.000000000034041;
0.000000000002317;	0.000000000002603;	0.000000000003047;	0.000000000002702;
0.000000000000173;	0.000000000000193;	0.000000000000220;	0.000000000000210;
0.000000000000052;	0.000000000000057;	0.000000000000062;	0.000000000000066;
0.000000000000030;	0.000000000000033;	0.000000000000036;	0.000000000000038;
0.000000000000020;	0.000000000000022;	0.000000000000024;	0.000000000000026;
0.000000000000013;	0.000000000000013;	0.000000000000015;	0.000000000000016;
0.000000000000007;	0.000000000000007;	0.000000000000008;	0.000000000000008;
0.000000000000003;	0.000000000000003;	0.000000000000003;	0.000000000000003;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
