0.000000000000000;	0.073542086604216;	0.041537706198031;	0.037140797942755;
0.099068526388493;	0.080857751365956;	0.043936020428227;	0.034781727318996;
0.082050498331252;	0.068525237857896;	0.037178844723155;	0.029140514462408;
0.068418946903406;	0.056758354404032;	0.030720930504834;	0.024133551894560;
0.060286959366840;	0.048533787990571;	0.026191075064742;	0.020820723662588;
0.054318437172039;	0.042239012526871;	0.022729465177464;	0.018328371647055;
0.070995582597497;	0.056879115137835;	0.033909203535942;	0.033051474353343;
0.063333539925162;	0.050552381092860;	0.029824264083657;	0.030170586142194;
0.042164561456827;	0.032049868551010;	0.017223691256276;	0.014854952648636;
0.041415000302309;	0.030858196563541;	0.016551303830669;	0.014249483294871;
0.039867518497519;	0.029226718593626;	0.015663907982763;	0.013796697008745;
0.037031155944086;	0.026809858925490;	0.014412191825998;	0.013732285292205;
0.036118240086926;	0.025612823362619;	0.013787131664120;	0.013687120992074;
0.034610631749790;	0.024388750689402;	0.013085029282871;	0.012518231946730;
0.033567381050410;	0.023778741265937;	0.012729056856052;	0.011934043537805;
0.052981284579002;	0.042281742955864;	0.024723850655451;	0.021645442235489;
0.054000648415347;	0.047680774143977;	0.028659789719926;	0.025787734217726;
0.033581599557870;	0.026497874496191;	0.014903605981505;	0.013728578504627;
0.031978006283280;	0.024526511166402;	0.014099759485958;	0.012694769734233;
0.031518705344148;	0.023285050890397;	0.013351439957682;	0.013273161585034;
0.030798207670427;	0.022107240841650;	0.012708600893535;	0.013160866438289;
0.029234610169349;	0.021400502658426;	0.012246640433590;	0.012019261198411;
0.029289238030305;	0.021284428115804;	0.012180709533260;	0.012604586325675;
0.029738856170213;	0.021640083503805;	0.012406746728184;	0.013379350596309;
0.028783457516613;	0.020808407316272;	0.011878560931587;	0.012560178926223;
0.028123714028260;	0.020549313074965;	0.011716471384792;	0.012906548878598;
0.028641812163926;	0.021188230652773;	0.012925172603893;	0.013706370967655;
0.028992992712136;	0.021399464936130;	0.013582713853351;	0.013591476528370;
0.027139641642158;	0.020418570646432;	0.012740286081659;	0.013616502835474;
0.027082481114703;	0.020030366451967;	0.012376378274150;	0.013462984852941;
0.027498413945251;	0.020413689665040;	0.012524116835113;	0.013725070615800;
0.026598806120691;	0.020171238394462;	0.012689646372598;	0.013939282640926;
0.027156851424913;	0.020652799731536;	0.013246290861304;	0.014327662893571;
