0.000000000000000;	0.092746744584910;	0.086531312017493;	0.052960820759330;
0.003150914966069;	0.003109683802806;	0.000000000000000;	0.000000000000000;
0.002591593657003;	0.002598895837800;	0.000000000000000;	0.000000000000000;
0.002430132629588;	0.002017512832393;	0.000000000000000;	0.000000000000000;
0.002231608122731;	0.001663072690082;	0.000000000000000;	0.000000000000000;
0.002325341421462;	0.001412552748906;	0.000000000000000;	0.000000000000000;
0.002082601150637;	0.007318295371773;	0.000000000000000;	0.001346354772992;
0.002053858038644;	0.011615636749999;	0.000000000000000;	0.002692709545984;
0.001984437956694;	0.015204305854755;	0.000000000000000;	0.001262376525041;
0.002189639838404;	0.018611593490417;	0.000000000000000;	0.001006009733900;
0.002022176612912;	0.022123417956105;	0.000000000000000;	0.001159340581839;
0.002103206716587;	0.020953729399334;	0.000000000000000;	0.002387932662094;
0.002067244053591;	0.020258716112529;	0.000000000000000;	0.003274652933566;
0.002116143263308;	0.019981063690908;	0.000000000000000;	0.002309796932238;
0.002218123359197;	0.020081427069516;	0.000000000000000;	0.001953206321429;
0.002199204114210;	0.020533797371522;	0.000000017628221;	0.002631313705855;
0.002170384487510;	0.021134011690734;	0.000000035256443;	0.004049683689349;
0.002185980475393;	0.021582771516439;	0.000000034863557;	0.003192273087775;
0.002218064787689;	0.021209225537653;	0.001677806660866;	0.002768076643622;
0.002417403498682;	0.019995921677879;	0.001512240476414;	0.003918695887467;
0.002357312751664;	0.018566810983188;	0.001506787599907;	0.004582591112626;
0.002284928904009;	0.018286052793964;	0.001432225531525;	0.003601015465059;
0.002572217417021;	0.018413857791204;	0.001304653097905;	0.004213272754201;
0.002497991251903;	0.018818122254971;	0.001319373880628;	0.005142442699169;
0.002637471394278;	0.018250099454411;	0.001217296018830;	0.004446624974200;
0.002511224651470;	0.018386574093570;	0.001115488573292;	0.005042830892901;
0.002879568551027;	0.018264086523616;	0.001943705959297;	0.005669233879351;
0.002799363185537;	0.018442085977023;	0.003729437493866;	0.005300079111843;
0.002640731831888;	0.018282444362403;	0.003018747910706;	0.006062697215642;
0.003055256974606;	0.017485278321927;	0.002638285901218;	0.006038298960770;
0.002937952660088;	0.017998016790185;	0.002539109395322;	0.006190824293819;
0.002974182747072;	0.018053344912300;	0.002992789982649;	0.006785422612880;
0.003265265736634;	0.018265012242102;	0.003489668539887;	0.006994453383397;
0.003164505860691;	0.018315696550134;	0.003670522626319;	0.007465400902483;
0.003171970928461;	0.018551253341459;	0.003614527457950;	0.007656879695471;
0.003572477925594;	0.018900119959254;	0.003323901277451;	0.008056668789218;
0.003240078453099;	0.018980818090028;	0.003807952123117;	0.008192054111304;
0.003620649953784;	0.019017876084941;	0.004564436681328;	0.008642906243268;
0.003670056550597;	0.019185457405551;	0.004481006259693;	0.008838805890122;
0.003568486522152;	0.019378247116748;	0.004384102104242;	0.009244733822673;
0.004054122970437;	0.019794052537206;	0.004946242581689;	0.009579436921917;
0.003934010335801;	0.019591068108092;	0.005394730462661;	0.009706857906992;
0.003839246881774;	0.019836264694779;	0.005323164970359;	0.010297120907535;
0.004405218623916;	0.020158395736039;	0.005531390991659;	0.010442805940504;
0.004301889357268;	0.020216644869160;	0.006033533029558;	0.010843982629484;
0.004147096637446;	0.020708676950064;	0.006165175808561;	0.011489655134944;
0.004703744190842;	0.020600936694753;	0.006256063764387;	0.011693399281847;
0.004854116316412;	0.020650676289640;	0.006655116554878;	0.011954433350688;
0.004201122653435;	0.021195641956610;	0.006837074699282;	0.012589643565095;
0.005074438438047;	0.021119955121296;	0.007128986136948;	0.012876926312580;
0.005191175645848;	0.021451670079867;	0.007467402322813;	0.013373605502617;
0.004730511140312;	0.021958340901793;	0.007703416287838;	0.013774256569145;
0.005399920830404;	0.021608071886020;	0.008073749313281;	0.014143264622838;
0.005509677748293;	0.021853544321490;	0.008235286524168;	0.014616344309378;
0.005122654014913;	0.022285806139276;	0.008512290578092;	0.015008403574265;
0.005717907209937;	0.022151705647015;	0.009009068334555;	0.015911951622331;
0.005909797915870;	0.022373182295557;	0.009403201132650;	0.016417392472224;
0.005564716270696;	0.022635859477577;	0.009645056065337;	0.016732643753414;
0.006055501041436;	0.022324086513328;	0.010028807851063;	0.017238441242040;
0.006205827861011;	0.022569177879258;	0.010430507896501;	0.017324899144796;
0.005927074230814;	0.023289482280264;	0.011014357457369;	0.017693441734107;
0.006675993815917;	0.023169944297643;	0.011382450975009;	0.018125087517217;
0.006472580588730;	0.022506663217843;	0.011856746771542;	0.018576030629288;
0.006386539822296;	0.022668311789945;	0.012612127605076;	0.018838980524273;
0.006976017510292;	0.023341441393390;	0.012947937042368;	0.019207546626262;
0.007243260052251;	0.023224859117939;	0.013268349465654;	0.019605497777656;
0.006661570611343;	0.022820331702298;	0.013644305969836;	0.019832643396820;
0.007603932740991;	0.022971680433467;	0.014337732059856;	0.020405270879491;
0.007351056586169;	0.023106389660773;	0.014833348590307;	0.020632648874237;
0.006954913918569;	0.022759277314503;	0.015192588563645;	0.020744215184647;
0.008045420438224;	0.022414303369241;	0.015913040030461;	0.021252920974996;
0.008001477538654;	0.022555758053208;	0.016511422177995;	0.021207651629872;
0.006985561773124;	0.022934280495425;	0.016970021515003;	0.021129130328207;
0.008164238553098;	0.022845066988679;	0.017218712813065;	0.021748950927115;
0.008551049580496;	0.022422339083468;	0.017761144870924;	0.021907075417878;
0.008539121382784;	0.021549610625412;	0.018266969543613;	0.021580713642393;
0.007792888590803;	0.021416276985576;	0.018537744208512;	0.021569805307662;
0.008845365895023;	0.021751388051900;	0.018965438013909;	0.021602782982562;
0.008670236854382;	0.021546217512257;	0.019425959105995;	0.021490445097081;
0.007790225165188;	0.021186819283281;	0.019611933130604;	0.021561243987913;
0.008983543101499;	0.020405202281243;	0.019972106406000;	0.021377398829656;
0.009346774755644;	0.019973048510410;	0.021204813856685;	0.021173425041187;
0.009308375498257;	0.019974646780664;	0.021804377355632;	0.021217008745803;
0.008273673643283;	0.019780175376402;	0.021075174130455;	0.021240443252108;
0.009888415944351;	0.019424499767522;	0.020571795983429;	0.020823695235072;
0.009549269856031;	0.018864933533163;	0.020681235491827;	0.020400414559154;
0.009667518387554;	0.018220665436782;	0.020922951578033;	0.020288764730537;
0.008790300239210;	0.017812340477360;	0.020882630771651;	0.020051757149240;
0.009847862511843;	0.017680977957909;	0.020891595430011;	0.019718143212238;
0.010018624722782;	0.017425549486028;	0.020489736545346;	0.019410435109720;
0.009900025152620;	0.016967242648229;	0.020277368742234;	0.018883004839137;
0.009040353252178;	0.016416437770728;	0.020194314506896;	0.018324018567284;
0.009606178417783;	0.015845352283991;	0.019839613531434;	0.018025622005717;
0.010186912028394;	0.015333129024555;	0.019557897230807;	0.017696802674031;
0.010210399462312;	0.014943701644348;	0.019037165252319;	0.017350901400391;
0.009870592795748;	0.014706956705969;	0.018553517214522;	0.016998109480908;
0.008471505696843;	0.014256951733851;	0.018098582079363;	0.016566168595802;
0.009904326356814;	0.013707913951429;	0.017647402055637;	0.016081258240802;
0.009635728880777;	0.013213041973960;	0.017340139037028;	0.015599060482476;
0.009243017508494;	0.012635157890711;	0.017070878207463;	0.014959070388546;
0.008879121262085;	0.012122505679049;	0.016421667866838;	0.014441811501885;
0.007349485633046;	0.011742990398679;	0.015615762435185;	0.014162168388322;
0.008803890060662;	0.011260667505170;	0.015058164297189;	0.013755156915774;
0.007117788087650;	0.010624853848954;	0.014541748604987;	0.013247637840159;
0.007306035135594;	0.009989890568119;	0.014034910686020;	0.012719324144155;
0.007084527683943;	0.009097841277433;	0.013540256338329;	0.012144245906759;
0.006790799264862;	0.008386944684391;	0.012914416313400;	0.011527529245712;
0.006739771967810;	0.007964990913665;	0.012250592107845;	0.010884688925166;
0.006820482202321;	0.007559003692338;	0.011675762232453;	0.010120705191370;
0.006623494524496;	0.007171378803057;	0.011189976255019;	0.009397193426842;
0.006439861435693;	0.006762416373492;	0.010419276114885;	0.008788007427327;
0.006211612294846;	0.006360368221792;	0.009560676825408;	0.008230416693630;
0.005998803686413;	0.005969657121596;	0.008939167712376;	0.007670158663019;
0.005737322663111;	0.005626065897962;	0.008337214968504;	0.007163360785806;
0.005998015969724;	0.005316551208785;	0.007780142565766;	0.006727731296027;
0.005802541286749;	0.005001670511945;	0.007247465950778;	0.006306283364564;
0.005730746851719;	0.004682809994982;	0.006758259478956;	0.005921297257141;
0.005512630132224;	0.004390006025461;	0.006356137190345;	0.005542787136783;
0.005362991911285;	0.004170484666591;	0.005922104492197;	0.005182016070266;
0.005276169097506;	0.003962285985131;	0.005494489439804;	0.004851718124217;
0.005094624549531;	0.003743758980585;	0.005158121330573;	0.004566511985130;
0.004847493532494;	0.003533335150348;	0.004867037799508;	0.004310033601900;
0.005053307285715;	0.003348953684734;	0.004516757232189;	0.004033481658471;
0.004869456975228;	0.003161947355631;	0.004203787341566;	0.003778097503781;
0.004699718384801;	0.002953559836145;	0.003973821090011;	0.003581244464862;
0.004531232156060;	0.002755843954614;	0.003737945631403;	0.003301890857034;
0.004382448695488;	0.002569973115761;	0.003482850269232;	0.003056923872869;
0.004342277399912;	0.002408908511505;	0.003234780067028;	0.002887042529121;
0.004219550478356;	0.002274423079203;	0.002987171250207;	0.002704415975966;
0.004089717016277;	0.002145756147416;	0.002767181852631;	0.002590178004661;
0.004030448074453;	0.002018219151083;	0.002590136361136;	0.002594159397272;
0.003817944132339;	0.001909254701009;	0.002424966952207;	0.002541182475769;
0.004078765741044;	0.001805646801673;	0.002270395245781;	0.002367073738747;
0.004030776906915;	0.001718855275624;	0.002130084678351;	0.002242604882096;
0.003848447638400;	0.001652569184887;	0.002005423870508;	0.001492034633360;
0.003710923749413;	0.001576854337986;	0.001883124031026;	0.001403850300417;
0.003558676006607;	0.001480593588764;	0.001780934246225;	0.002130428055661;
0.003444538444446;	0.001375381126056;	0.001699641754327;	0.001908509166479;
0.003384425409569;	0.001275517880263;	0.001599864911300;	0.001476539114739;
0.003309272957744;	0.001204062257161;	0.001482213261715;	0.001240475745858;
0.003206565005881;	0.001146202613255;	0.001361051382903;	0.001234969287420;
0.003116810610890;	0.001081091242506;	0.001280283719609;	0.001300687715920;
0.003062699257383;	0.001016057097588;	0.001222446108380;	0.001158362150631;
0.003055645018035;	0.000962628630342;	0.001153199528385;	0.001047475134240;
0.003033374946360;	0.000922873674059;	0.001095312697360;	0.000995538859201;
0.003033900116183;	0.000891354527216;	0.001044354306968;	0.000967094223027;
0.002949052705785;	0.000869393107066;	0.000983333544167;	0.000953330301692;
0.003205429071860;	0.000843000597401;	0.000945494685845;	0.000926430597144;
0.003167908887908;	0.000809654365262;	0.000924591759792;	0.000854416449593;
0.003081272040466;	0.000778256577175;	0.000889768923392;	0.000840435361826;
0.003064739597895;	0.000743237079086;	0.000849631057047;	0.000806053676012;
0.002975025580540;	0.000709591560050;	0.000803617841567;	0.000767098590892;
0.002927238798477;	0.000676897925843;	0.000761154360623;	0.000740286771069;
0.002887655879924;	0.000642220306409;	0.000728341762011;	0.000689645770195;
0.002878081720598;	0.000611951363222;	0.000681424321891;	0.000653776793213;
0.002802405143254;	0.000586620017196;	0.000643627493221;	0.000625422286915;
0.002747131378303;	0.000559982565517;	0.000632295328391;	0.000597564080075;
0.002756748082409;	0.000531168310213;	0.000590964980289;	0.000565599282778;
0.002697910893624;	0.000508413662099;	0.000551093137738;	0.000542202999506;
0.002664941539405;	0.000480608952402;	0.000553745295575;	0.000518195782570;
0.002738971923658;	0.000465566799593;	0.000518613060927;	0.000495686911600;
0.002720179434653;	0.000467074424155;	0.000479825730882;	0.000483438610973;
0.002667666888956;	0.000450765940415;	0.000506413866009;	0.000471362757723;
0.002442460579954;	0.000420263070043;	0.000473151119134;	0.000447177920580;
0.001828648939709;	0.000396816415405;	0.000427349216616;	0.000424297499249;
0.001247274765965;	0.000374767968234;	0.000432822201700;	0.000401847618730;
0.000792000417094;	0.000343196288427;	0.000419686252040;	0.000370060890856;
0.000404092750247;	0.000308421095891;	0.000392940253692;	0.000339858310424;
0.000128088060045;	0.000265983319442;	0.000392785857724;	0.000299195157059;
0.000094966751507;	0.000208888268347;	0.000358823766197;	0.000243992524969;
0.000066372514416;	0.000151562325975;	0.000261809905641;	0.000193512101702;
0.000046243032712;	0.000110268436790;	0.000172794821989;	0.000150639222682;
0.000040586017611;	0.000086722952455;	0.000120775415122;	0.000116960098627;
0.000036670676340;	0.000069996303757;	0.000100330698812;	0.000090228369257;
0.000026012991781;	0.000050800787960;	0.000072584801083;	0.000064764535693;
0.000016615300846;	0.000033423074194;	0.000046799501821;	0.000043219163272;
0.000009885984923;	0.000020319920655;	0.000028973642977;	0.000026818606072;
0.000005997989330;	0.000010462832422;	0.000015689544947;	0.000015542497044;
0.000003678869120;	0.000005927927140;	0.000008906020289;	0.000009403276682;
0.000002278337402;	0.000003461843205;	0.000005321626827;	0.000005611508158;
0.000001201012380;	0.000001780443478;	0.000002816676558;	0.000002973075041;
0.000000531806291;	0.000000806279419;	0.000001288274105;	0.000001388183572;
0.000000210693315;	0.000000325228692;	0.000000561952584;	0.000000592173775;
0.000000073082417;	0.000000113257536;	0.000000196363086;	0.000000210567325;
0.000000022868616;	0.000000036129438;	0.000000062317304;	0.000000067033211;
0.000000006386031;	0.000000010014382;	0.000000017434605;	0.000000018845330;
0.000000001546049;	0.000000002435672;	0.000000004322064;	0.000000004577909;
0.000000000321324;	0.000000000513011;	0.000000000994281;	0.000000001003154;
0.000000000043155;	0.000000000076283;	0.000000000138894;	0.000000000127866;
0.000000000004107;	0.000000000006730;	0.000000000013967;	0.000000000012102;
0.000000000000385;	0.000000000000628;	0.000000000001368;	0.000000000001274;
0.000000000000046;	0.000000000000070;	0.000000000000174;	0.000000000000121;
0.000000000000006;	0.000000000000008;	0.000000000000016;	0.000000000000015;
0.000000000000002;	0.000000000000003;	0.000000000000004;	0.000000000000005;
0.000000000000001;	0.000000000000001;	0.000000000000002;	0.000000000000002;
0.000000000000000;	0.000000000000001;	0.000000000000001;	0.000000000000001;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000001;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
