0.180445848017442;	0.198894091513959;	0.000000092035810;	0.000000082326764;	0.000006956915843;	0.000004367322199;	0.000001089606983;	0.104162718082033;	0.110648170066910;	0.092058002772294;	0.106851705066082;	0.000015639923477;	0.000007074695999;	0.000006997176000;	0.000008024217106;	0.000013208016068;	0.000032278325045;	0.000039619755146;	0.000047874526535;	0.000070628516957;	0.000075502258922;	0.000126862956772;	0.000209132908325;	0.000186231333915;	0.000221100087612;	0.000466556797708;	0.000725753726290;	0.000683799727747;	0.000904183198257;	0.001424068978714;	0.001904769198343;	0.002998206185064;	0.003277849241210;	0.003429894054411;	0.004700433193833;	0.006803639367073;	0.008962254336607;	0.012198074050962;	0.015385463021340;	0.018681134762449;	0.022361736212476;	0.025618575413133;	0.027087787816313;	0.031167415447431;	0.036547250812402;	0.043298560750556;	0.051555266447428;	0.058812613984884;	0.068448803450772;	0.076367018502195;	0.084426727823923;	0.094245960154654;	0.105729947361748;	0.118226512612156;	0.130913821192297;	0.144438429975340;	0.157302766427138;	0.170525869619275;	0.191109606660314;	0.202411123750234;	0.216730035149340;	0.231900821433992;	0.245956766231397;	0.258681448234421;	0.273436387290982;	0.284298366362730;	0.299391710498774;	0.315816069424753;	0.331097319722543;	0.347841529494055;	0.364366697571449;	0.380783312489489;	0.397866253177303;	0.412873070126539;	0.436309568027564;	0.462121454474844;	0.498485156021473;	0.530948701683766;	0.757197923341625;	0.000000000013233
0.180445848017442;	0.198894091513959;	0.000000092035810;	0.000000082326764;	0.000006956915843;	0.000004367322199;	0.000001089606983;	0.104162718082033;	0.110648170066910;	0.092058002772294;	0.106851705066082;	0.000015639923477;	0.000007074695999;	0.000006997176000;	0.000008024217106;	0.000013208016068;	0.000032278325045;	0.000039619755146;	0.000047874526535;	0.000070628516957;	0.000075502258922;	0.000126862956772;	0.000209132908325;	0.000186231333915;	0.000221100087612;	0.000466556797708;	0.000725753726290;	0.000683799727747;	0.000904183198257;	0.001424068978714;	0.001904769198343;	0.002998206185064;	0.003277849241210;	0.003429894054411;	0.004700433193833;	0.006803639367073;	0.008962254336607;	0.012198074050962;	0.015385463021340;	0.018681134762449;	0.022361736212476;	0.025618575413133;	0.027087787816313;	0.031167415447431;	0.036547250812402;	0.043298560750556;	0.051555266447428;	0.058812613984884;	0.068448803450772;	0.076367018502195;	0.084426727823923;	0.094245960154654;	0.105729947361748;	0.118226512612156;	0.130913821192297;	0.144438429975340;	0.157302766427138;	0.170525869619275;	0.191109606660314;	0.202411123750234;	0.216730035149340;	0.231900821433992;	0.245956766231397;	0.258681448234421;	0.273436387290982;	0.284298366362730;	0.299391710498774;	0.315816069424753;	0.331097319722543;	0.347841529494055;	0.364366697571449;	0.380783312489489;	0.397866253177303;	0.412873070126539;	0.436309568027564;	0.462121454474844;	0.498485156021473;	0.530948701683766;	0.757197923341625;	0.000000000040096
0.180445848017442;	0.198894091513959;	0.000000092035810;	0.000000082326764;	0.000006956915843;	0.000004367322199;	0.000001089606983;	0.104162718082033;	0.110648170066910;	0.092058002772294;	0.106851705066082;	0.000015639923477;	0.000007074695999;	0.000006997176000;	0.000008024217106;	0.000013208016068;	0.000032278325045;	0.000039619755146;	0.000047874526535;	0.000070628516957;	0.000075502258922;	0.000126862956772;	0.000209132908325;	0.000186231333915;	0.000221100087612;	0.000466556797708;	0.000725753726290;	0.000683799727747;	0.000904183198257;	0.001424068978714;	0.001904769198343;	0.002998206185064;	0.003277849241210;	0.003429894054411;	0.004700433193833;	0.006803639367073;	0.008962254336607;	0.012198074050962;	0.015385463021340;	0.018681134762449;	0.022361736212476;	0.025618575413133;	0.027087787816313;	0.031167415447431;	0.036547250812402;	0.043298560750556;	0.051555266447428;	0.058812613984884;	0.068448803450772;	0.076367018502195;	0.084426727823923;	0.094245960154654;	0.105729947361748;	0.118226512612156;	0.130913821192297;	0.144438429975340;	0.157302766427138;	0.170525869619275;	0.191109606660314;	0.202411123750234;	0.216730035149340;	0.231900821433992;	0.245956766231397;	0.258681448234421;	0.273436387290982;	0.284298366362730;	0.299391710498774;	0.315816069424753;	0.331097319722543;	0.347841529494055;	0.364366697571449;	0.380783312489489;	0.397866253177303;	0.412873070126539;	0.436346948853392;	0.462328708246545;	0.498869493033605;	0.531497667737789;	0.757567185683910;	0.000000000112083
0.180445848017442;	0.198894091513959;	0.000000092035810;	0.000000082326764;	0.000006956915843;	0.000004367322199;	0.000001089606983;	0.104162718082033;	0.110648170066910;	0.092058002772294;	0.106851705066082;	0.000015639923477;	0.000007074695999;	0.000006997176000;	0.000008024217106;	0.000013208016068;	0.000032278325045;	0.000039619755146;	0.000047874526535;	0.000070628516957;	0.000075502258922;	0.000126862956772;	0.000209132908325;	0.000186231333915;	0.000221100087612;	0.000466556797708;	0.000725753726290;	0.000683799727747;	0.000904183198257;	0.001424068978714;	0.001904769198343;	0.002998206185064;	0.003277849241210;	0.003429894054411;	0.004700433193833;	0.006803639367073;	0.008962254336607;	0.012198074050962;	0.015385463021340;	0.018681134762449;	0.022361736212476;	0.025618575413133;	0.027087787816313;	0.031167415447431;	0.036547250812402;	0.043298560750556;	0.051555266447428;	0.058812613984884;	0.068714165101197;	0.077072009065514;	0.085578465404196;	0.095781816272336;	0.107515166069127;	0.120216973761924;	0.133083824362551;	0.146766943251381;	0.159763610111515;	0.173100939803640;	0.192549907946274;	0.203965231142523;	0.218412717395377;	0.233712857813108;	0.247897862200102;	0.260757607794895;	0.275653977363721;	0.286638816816996;	0.301875959033390;	0.318450083255212;	0.333889977664887;	0.350794645931062;	0.367488096424532;	0.384088530260905;	0.401369566467948;	0.416604254982084;	0.440288967552602;	0.466471438854943;	0.503158079028305;	0.535932412589223;	0.760074561569391;	0.000000000447749
0.180445848017442;	0.198894091513959;	0.000000092035810;	0.000000082326764;	0.000006956915843;	0.000004367322199;	0.000001089606983;	0.104162718082033;	0.110648170066910;	0.092058002772294;	0.106851705066082;	0.000015639923477;	0.000007074695999;	0.000007387689822;	0.000009723928803;	0.000017482247966;	0.000043297632157;	0.000053364004250;	0.000066164437033;	0.000094405135411;	0.000101746195764;	0.000167172367165;	0.000267316349625;	0.000239553119036;	0.000282748349008;	0.000575605184497;	0.000875327809093;	0.000825986247083;	0.001081886311814;	0.001677737221998;	0.002223225038587;	0.003437391513799;	0.003746772257350;	0.003912945388659;	0.005311015089927;	0.007601821656239;	0.009935119718609;	0.013399189239300;	0.016789806357332;	0.020269082050504;	0.024136032127091;	0.027550553039809;	0.029039585074805;	0.033293309989469;	0.038896145014388;	0.045896881571732;	0.054431641372460;	0.061932372676534;	0.072037675533617;	0.080523561755677;	0.089177965800679;	0.099589774369171;	0.111587185151887;	0.124565921767646;	0.137709573789613;	0.151678055055342;	0.164953992421877;	0.178576530990539;	0.197219926686920;	0.208833199834665;	0.223539869497566;	0.239112847486985;	0.253579231681531;	0.266740989892658;	0.281955209330879;	0.293224183508051;	0.308820327527409;	0.325787168059611;	0.341664614595383;	0.359041614690919;	0.376272007927514;	0.393524648302565;	0.411599722265881;	0.427853586834492;	0.452670653443055;	0.480075654879525;	0.518040476444187;	0.552124353823872;	0.769763685537442;	0.000000000775878
0.184407851645405;	0.202658654212185;	0.000000731178310;	0.000000300073727;	0.000118568928142;	0.000067649260078;	0.000017386097898;	0.104174858317332;	0.110658670994163;	0.092067565053407;	0.106863475641341;	0.020013008591522;	0.000038450701168;	0.000035068596850;	0.000035697475614;	0.000051217683205;	0.000096394930544;	0.000106305422022;	0.000126560180030;	0.000163644222410;	0.000172990595993;	0.000263957334292;	0.000399036755073;	0.000356497547618;	0.000410797617268;	0.000789682917138;	0.001159217465400;	0.001091517833669;	0.001403652260045;	0.002123463778619;	0.002772907533366;	0.004184112323946;	0.004537264135680;	0.004720671669261;	0.006324618664975;	0.008917568406881;	0.011533606622612;	0.015370785934406;	0.019102681599855;	0.022901901792936;	0.027101891746162;	0.030808134985039;	0.032352203509670;	0.036920126301751;	0.042932400156479;	0.050398816792216;	0.059459692719225;	0.067436091330901;	0.078024587489128;	0.086859745955982;	0.095853109070687;	0.106671438252171;	0.119148239658339;	0.132622765380539;	0.146262401707039;	0.160745337513325;	0.174527076807668;	0.188672183864775;	0.206659328907006;	0.218670667414230;	0.233903063029899;	0.250040442716101;	0.265112999399727;	0.278957110430946;	0.294933901675701;	0.306961796071121;	0.323556406454105;	0.341689467535446;	0.358904292779812;	0.377701546700826;	0.396304330593255;	0.414659049398643;	0.433473933169904;	0.450120224528676;	0.474622202361802;	0.500942128927302;	0.537286521541068;	0.569317579468777;	0.778312746525633;	0.000000003351718
0.232657903642240;	0.206648295758761;	0.000006389266928;	0.000002058304664;	0.004766610244938;	0.002636507851109;	0.000109059883564;	0.104232724107860;	0.110695595769237;	0.092101980135988;	0.106895466325258;	0.025722083126872;	0.014590401164143;	0.000093531470580;	0.000094652410736;	0.000127370625268;	0.000205289791193;	0.000213804984857;	0.000247153980958;	0.000303057197398;	0.000317501052121;	0.000451287739287;	0.000654510750853;	0.000582359959493;	0.000651364051229;	0.001183648481270;	0.001676279965245;	0.001571619813069;	0.001975767575768;	0.002903543668693;	0.003723992526094;	0.005463528425855;	0.005876258730127;	0.006070538587929;	0.007998393921445;	0.011063578308585;	0.014115079289661;	0.018527892405864;	0.022786071486740;	0.027083099038578;	0.031803204812987;	0.035961546579783;	0.037567436450268;	0.042592622879399;	0.049217736876819;	0.057387296026114;	0.067246020627768;	0.075940715283908;	0.087296649298942;	0.096724249614991;	0.106297384006150;	0.117782876017866;	0.131018782721758;	0.145276682541735;	0.159708817312670;	0.175024656765913;	0.189635373108950;	0.204654499205091;	0.222415303918900;	0.235183754626914;	0.251384626599737;	0.268526595481525;	0.284596290501596;	0.299378601771675;	0.316077980348992;	0.328306189642860;	0.344987869249326;	0.362894186054731;	0.379536305823411;	0.397404056961013;	0.414805871386698;	0.432026790371459;	0.449804186593634;	0.465531785916020;	0.489085133188045;	0.514498744212147;	0.550019487678566;	0.581223842453708;	0.784395412304940;	0.000000005304543
0.449828503003079;	0.214332486296930;	0.000040668506488;	0.000012217195964;	0.005885849058938;	0.007411673865633;	0.004671242217151;	0.104457460480594;	0.110817305554120;	0.092218626631242;	0.106985187149181;	0.030852213835840;	0.027244774674954;	0.025701700027839;	0.000834317183961;	0.001290544945979;	0.000414847337820;	0.000417005425645;	0.000466954401523;	0.000553766845055;	0.000576552606947;	0.000767866997124;	0.001084333905265;	0.000960521738663;	0.001042265225846;	0.001808942198807;	0.002489067891744;	0.002323142570795;	0.002857840485853;	0.004089690496829;	0.005158561560443;	0.007382040873229;	0.007868439454314;	0.008057731528358;	0.010439562883375;	0.014160172323655;	0.017806152085902;	0.023006677421632;	0.027986448077724;	0.032974014980143;	0.038417670989044;	0.043197248971312;	0.044846472810135;	0.050442588349419;	0.057861156023327;	0.066947458923732;	0.077847329879965;	0.087464003858536;	0.099831277403099;	0.110065587695099;	0.120432858751553;	0.132798914550825;	0.146994279391496;	0.162200650533594;	0.177534786771590;	0.193706518333068;	0.209001273285867;	0.224551123981946;	0.242072958417284;	0.254783765598449;	0.270904485752903;	0.287758110194716;	0.303373408203040;	0.317589577760742;	0.333645527360814;	0.345158829111858;	0.361278079633802;	0.378684569922914;	0.394914801050827;	0.412424944309697;	0.429510897054880;	0.446471764077610;	0.464009390217604;	0.479539778613605;	0.502737609483811;	0.527676841280004;	0.562643043480054;	0.593096364076411;	0.790408645169098;	0.000000023357154
0.602961629608779;	0.224708652381072;	0.000214017243399;	0.000061979300818;	0.006568678332144;	0.009393316239852;	0.007004269845722;	0.111437987503362;	0.111546659484756;	0.093053470687441;	0.107209286372159;	0.033396897143556;	0.033899635767635;	0.039004523817478;	0.031595550908171;	0.035647819335419;	0.008207061549418;	0.000746012754582;	0.000808272467620;	0.000981602442989;	0.001017798359204;	0.001270247943661;	0.001760504376020;	0.001552046084228;	0.001635582554373;	0.002731271078903;	0.003672385478841;	0.003411772248339;	0.004112677545448;	0.005748597615553;	0.007144447444689;	0.010014975975847;	0.010576656011985;	0.010726050479129;	0.013678592646033;	0.018212335099074;	0.022578770623098;	0.028734634615817;	0.034587360237944;	0.040417002359833;	0.046741134781772;	0.052257335705013;	0.053869875719023;	0.060038827862815;	0.068298265957415;	0.078351036147620;	0.090325125842134;	0.100819763912080;	0.114123237868595;	0.125028992510086;	0.135982860659505;	0.148889847962248;	0.163541772737086;	0.179074558893668;	0.194599351647509;	0.210852375788074;	0.226065531945899;	0.241459841955967;	0.258717743164646;	0.271125336101183;	0.287089956891742;	0.303800099262790;	0.319316128527627;	0.333481135041415;	0.349462017864468;	0.360764290448425;	0.376784923209360;	0.394091072754011;	0.410221715180494;	0.427583063426697;	0.444468581799698;	0.461227365400488;	0.478546407577906;	0.493879271598169;	0.516710939703407;	0.541170867606328;	0.575584877443919;	0.605217546682798;	0.796453646069796;	0.000000035685685
0.717424497343062;	0.242157592095107;	0.001016313091422;	0.000296368718062;	0.009457607225000;	0.012225421131146;	0.008545348350578;	0.114042343503240;	0.118453415986428;	0.099918376237577;	0.109670774804576;	0.034631123203967;	0.036664129021427;	0.044664194729075;	0.044774251191418;	0.051434829001740;	0.043689025973417;	0.018237461504398;	0.019197524146036;	0.001570348990725;	0.001617395877277;	0.002051569522598;	0.002800795308995;	0.002458461323300;	0.002497002890357;	0.004025595568098;	0.005303893736643;	0.004904088209694;	0.005802605820650;	0.007936204748857;	0.009728637981657;	0.013393779862054;	0.014012557522473;	0.014063437548371;	0.017665782202779;	0.023107502178602;	0.028250892291579;	0.035430343716082;	0.042203965632423;	0.048915452310306;	0.056144045066459;	0.062374556501703;	0.063781019432699;	0.070364658458893;	0.079307533061187;	0.090114427970259;	0.102891880546410;	0.113970128035231;	0.127890341736497;	0.139203992862816;	0.150509863757081;	0.163768299856868;	0.178785064187467;	0.194636675172483;	0.210445863218491;	0.226965375661564;	0.242374325492083;	0.257936266275248;	0.275141956273060;	0.287501691241721;	0.303532070483045;	0.320274441850437;	0.335816922298623;	0.350007040491638;	0.365941526577305;	0.377033945623882;	0.392938964549463;	0.410121523472451;	0.426134424299025;	0.443332399655365;	0.460012865108269;	0.476570195418172;	0.493671375490650;	0.508807598687330;	0.531263458354945;	0.555229052857985;	0.589070837730312;	0.617753267115680;	0.802573625335916;	0.000000158469878
