0.179139659090868;	0.217704413584434;	0.000000033455360;	0.000000012718848;	0.000006995275769;	0.000004383891992;	0.000001093776309;	0.104328220919254;	0.110755063652362;	0.092100608726989;	0.106852981703579;	0.000015684937343;	0.000007089055941;	0.000007015311516;	0.000008041271698;	0.000013233860962;	0.000032331586119;	0.000039678127408;	0.000047931876984;	0.000070704030432;	0.000075569892099;	0.000126958438088;	0.000209267840551;	0.000186335617251;	0.000221220806184;	0.000466794890019;	0.000726101590607;	0.000684119655234;	0.000904588534824;	0.001424637765015;	0.001905431018635;	0.002999059538862;	0.003278610826228;	0.003430475833911;	0.004700926128286;	0.006803969668820;	0.008962305440241;	0.012197848287629;	0.015385240462918;	0.018680979616218;	0.022362256682425;	0.025621536778120;	0.027095148259866;	0.031182005469390;	0.036573430359320;	0.043342970044079;	0.051626834383470;	0.058919334917137;	0.068605728349644;	0.076583241322937;	0.084720854711431;	0.094640878623703;	0.106252803099941;	0.118908271305554;	0.131788326404769;	0.145544791151862;	0.158679730539258;	0.172217087904660;	0.193164099987251;	0.204923117931265;	0.219723530150953;	0.235433453040465;	0.250118186581670;	0.263532201886245;	0.279078163149380;	0.290906282967182;	0.307081412679785;	0.324660719998111;	0.341268495574490;	0.359764348353522;	0.378446144781267;	0.397342240420819;	0.417203398807964;	0.439103941343152;	0.468458263736298;	0.501681102952047;	0.543435750339701;	0.580225033212611;	0.889004789423176;	0.000069782300951
0.180272775385803;	0.219003330932943;	0.000000096588919;	0.000000034205264;	0.000018866576658;	0.000010846450825;	0.000002658490840;	0.104329530216743;	0.110756402711990;	0.092101733172402;	0.106854648511931;	0.000025449589099;	0.000011628354497;	0.000011130752855;	0.000012254175095;	0.000019205016596;	0.000043695001662;	0.000051787110368;	0.000062322749198;	0.000087900678615;	0.000093272757831;	0.000152936083475;	0.000245233115203;	0.000218018429292;	0.000256817221237;	0.000528460827418;	0.000808775944469;	0.000760543064722;	0.000997935657850;	0.001555189536981;	0.002066017208779;	0.003217126828003;	0.003507376036909;	0.003662453304019;	0.004990833869498;	0.007179706802581;	0.009416142017710;	0.012753935825401;	0.016029820709379;	0.019403154168246;	0.023161775235692;	0.026483573299630;	0.027957915590826;	0.032113738564274;	0.037593518687582;	0.044460737559502;	0.052851950298706;	0.060232766834253;	0.070020615196234;	0.078072192246493;	0.086277459873482;	0.096273185338920;	0.107962835013136;	0.120689717989743;	0.133631541796313;	0.147444339462295;	0.160625032065528;	0.174202458060762;	0.193826239933168;	0.205592147611201;	0.220405531863373;	0.236127463928891;	0.250822134620405;	0.264245616735623;	0.279800079037792;	0.291629939592138;	0.307811868452284;	0.325397779411591;	0.342012300971781;	0.360512253258178;	0.379196555663862;	0.398094552204561;	0.417955593288092;	0.439852337897031;	0.469192390901367;	0.502392687020300;	0.544109288038168;	0.580854399249212;	0.889167088272941;	0.000089405978604
0.182003564982170;	0.220528619298881;	0.000000320121167;	0.000000105986294;	0.000056207044399;	0.000029517215521;	0.000007112239429;	0.104332788380450;	0.110759233004624;	0.092104134063555;	0.106857667634395;	0.000041288886396;	0.000019272396930;	0.000017751880973;	0.000018677695757;	0.000027874255118;	0.000058504748699;	0.000066899841613;	0.000079754858647;	0.000108012349379;	0.000113704766463;	0.000181336952354;	0.000283494427208;	0.000251328382081;	0.000293166431906;	0.000588998752265;	0.000887785443836;	0.000832712836090;	0.001084048082785;	0.001672523891169;	0.002207529763990;	0.003404742990018;	0.003701109896907;	0.003855802571468;	0.005227566727398;	0.007479724959178;	0.009771540916863;	0.013180710682880;	0.016515966534612;	0.019939225805239;	0.023746123393793;	0.027104502157468;	0.028569866124442;	0.032763599724823;	0.038293401455501;	0.045214958692621;	0.053664754405177;	0.061090399668436;	0.070928875679871;	0.079012674256093;	0.087244975537380;	0.097270973738629;	0.108990617890269;	0.121742385299343;	0.134702414590439;	0.148529185078372;	0.161717056001745;	0.175297646123011;	0.195265582488199;	0.207028934423431;	0.221851903404943;	0.237580399401135;	0.252276630430209;	0.265699823451986;	0.281250519359883;	0.293061752658905;	0.309233456960747;	0.326806783103126;	0.343406951360968;	0.361885567387971;	0.380544166220070;	0.399415398549428;	0.419246829822475;	0.441108898179796;	0.470427575430828;	0.503695194057584;	0.545459928447038;	0.582232799953759;	0.889550430787404;	0.000113229301428
0.184167270959305;	0.222241073558801;	0.000001127094696;	0.000000356477314;	0.000180982408855;	0.000088268338555;	0.000021168195397;	0.104341943238845;	0.110766106096415;	0.092110112341144;	0.106864154450504;	0.020038555762723;	0.000034966263620;	0.000030923285970;	0.000030947024968;	0.000043846134319;	0.000083366088639;	0.000091505203466;	0.000107636974153;	0.000139452572392;	0.000145585558928;	0.000223878904397;	0.000339942841394;	0.000300456264517;	0.000345889955865;	0.000674545993939;	0.000997872547822;	0.000933286275726;	0.001202810525804;	0.001832318821716;	0.002399017463253;	0.003656063053792;	0.003960036996846;	0.004113660952160;	0.005541380140813;	0.007874461946510;	0.010237057049507;	0.013737034609952;	0.017148434384029;	0.020636449851702;	0.024506443544239;	0.027913697424499;	0.029368291576811;	0.033611735853034;	0.039207712369228;	0.046201393341270;	0.054729240038251;	0.062216532448803;	0.072327036146572;	0.080795695057528;	0.089414745263290;	0.099785557487936;	0.111747645068651;	0.124702766408416;	0.137839247159363;	0.151821929476046;	0.165136721499773;	0.178825381884356;	0.197889522658605;	0.209735208358789;	0.224664378508265;	0.240496575415924;	0.255291865988405;	0.268817369038007;	0.284471471075213;	0.296356705512154;	0.312627589974215;	0.330303014865785;	0.347011122158708;	0.365591615679498;	0.384351861102713;	0.403333108206416;	0.423278745318313;	0.445251990484782;	0.474643088945976;	0.507953475935120;	0.549687671891014;	0.586406723684195;	0.890704191167989;	0.000139780555459
0.187204016629299;	0.224173571915670;	0.000004063673886;	0.000001237833869;	0.004761951943287;	0.000272241148755;	0.000065618365188;	0.104367566552329;	0.110782645669659;	0.092124820911201;	0.106877852887221;	0.020096802049907;	0.000066508658139;	0.000056577593532;	0.000054497063455;	0.000074498772271;	0.000129266564365;	0.000137397625294;	0.000159920181263;	0.000200136047942;	0.000208425765964;	0.000307934977001;	0.000454971658586;	0.000402063635879;	0.000455781482751;	0.000857536492681;	0.001239705678743;	0.001157683697492;	0.001472855286682;	0.002204483129093;	0.002854705994380;	0.004271122399453;	0.004603991024592;	0.004763582886260;	0.006347857085835;	0.008909535387913;	0.011479467872270;	0.015250588341148;	0.018900622371080;	0.022603418752932;	0.026690192200435;	0.030276010146927;	0.031733512757551;	0.036161234582299;	0.042000329664306;	0.049266371251590;	0.058096805003862;	0.065841969080053;	0.076188497751747;	0.084811003222806;	0.093593440375973;	0.104178524868007;	0.116399012522695;	0.129617179603632;	0.143009659538644;	0.157250875074492;	0.170810049681605;	0.184742891025870;	0.203168045220319;	0.215163513043350;	0.230303108350118;	0.246352991672071;	0.261368598924046;	0.275128912962540;	0.291024197516718;	0.303106022270156;	0.319639641266944;	0.337600225382828;	0.354624571035195;	0.373535805985738;	0.392664340186829;	0.412095468535233;	0.432587811677516;	0.455214652645314;	0.485297887461808;	0.519337296867296;	0.561759774966302;	0.599077343099335;	0.894396096320879;	0.000183128849885
0.424480019497192;	0.229237614029901;	0.000014940336396;	0.000004422427270;	0.004804257617729;	0.006720743854668;	0.000211479723547;	0.104444151374145;	0.110826033545097;	0.092164476329022;	0.106911876127159;	0.028427254676650;	0.020158623692429;	0.000119235250791;	0.000109235834360;	0.000142605560858;	0.000221793753941;	0.000226142293499;	0.000256924782940;	0.000310127568746;	0.000320661187480;	0.000450281902865;	0.000646604738763;	0.000569745604865;	0.000632345272352;	0.001143658352168;	0.001612203850216;	0.001501397816198;	0.001879933960108;	0.002756540424872;	0.003524712280267;	0.005168512975293;	0.005539793403548;	0.005704028659921;	0.007510210257062;	0.010395125221811;	0.013259983155519;	0.017419954318522;	0.021420727950921;	0.025449876367679;	0.029873682617368;	0.033746836513279;	0.035229921074415;	0.039949215332881;	0.046178224537049;	0.053888305071751;	0.063219044471919;	0.071406473885498;	0.082210979574665;	0.091164414763525;	0.100264589739342;	0.111223197611398;	0.123874819555055;	0.137531615070196;	0.151356395839950;	0.166040393609455;	0.180024821957022;	0.194390557346253;	0.212299924943656;	0.224602273035102;	0.240160815865582;	0.256655341131248;	0.272144301086413;	0.286435608810091;	0.302916656802015;	0.315561070715423;	0.332851824315846;	0.351696094444089;	0.369732108893961;	0.389700069030643;	0.409824334257397;	0.430023462781392;	0.450978842794810;	0.473673728095074;	0.503242867019356;	0.536266785479866;	0.577146966992734;	0.612527034713955;	0.897702051204214;	0.000225079668247
0.463467336791327;	0.234717459401892;	0.000055628161857;	0.000016070909241;	0.006133399217959;	0.007589374943384;	0.005215778992319;	0.104666819591738;	0.110935494907643;	0.092267050058773;	0.106987203809687;	0.030852244511743;	0.026923494489644;	0.024420394081363;	0.000216306928876;	0.000272650839348;	0.000383316358766;	0.000378081756070;	0.000419970780314;	0.000494859423093;	0.000509861862009;	0.000681179717184;	0.000957858195179;	0.000841671952162;	0.000912977926658;	0.001591832516484;	0.002192469142824;	0.002035267444200;	0.002505439431790;	0.003596448003788;	0.004537774345759;	0.006519147730473;	0.006939220788591;	0.007098720464843;	0.009221848086426;	0.012566132707984;	0.015846822964492;	0.020556981602596;	0.025056867331944;	0.029556959339468;	0.034470551492169;	0.038761306323744;	0.040271060507816;	0.045390949527824;	0.052169723352932;	0.060512159926122;	0.070559557240198;	0.079381853988118;	0.090870164333435;	0.100348749157175;	0.109959730733330;	0.121499515054749;	0.134804756126348;	0.149128971896838;	0.163622460207475;	0.179003165295222;	0.193669213284163;	0.208746150978326;	0.226481009371829;	0.239372839241442;	0.255698338671843;	0.272983377944748;	0.289253573810428;	0.304276856826534;	0.321308033989300;	0.334067106617155;	0.351387629341361;	0.370008988504631;	0.387544620709147;	0.406714511882336;	0.425814310172949;	0.445039056381995;	0.465087916197853;	0.486883099837795;	0.515522997718426;	0.547696089706915;	0.587716108879836;	0.622179508871378;	0.900163309558379;	0.000296104118316
0.604735378326304;	0.243308346641123;	0.000208764632021;	0.000059038622952;	0.006531097763925;	0.009224297608504;	0.006896921525290;	0.111137897187908;	0.111210090177598;	0.092528900777589;	0.107157698125113;	0.033096877330341;	0.032835249553939;	0.036670065431200;	0.025674285218411;	0.028245307560778;	0.000661823148866;	0.000634867708801;	0.000688282383778;	0.000794827715509;	0.000816559014412;	0.001038225415806;	0.001436921633766;	0.001258990712921;	0.001333341004593;	0.002249531886774;	0.003036944987121;	0.002810159872157;	0.003402246558362;	0.004786876642342;	0.005964624828926;	0.008412693767033;	0.008889790959621;	0.009026870402244;	0.011570964939156;	0.015520316603245;	0.019341969285717;	0.024770047034630;	0.029924342971358;	0.035050347238998;	0.040617946308801;	0.045462339958367;	0.046979420704165;	0.052585070025368;	0.060054521163740;	0.069197475436862;	0.080153778383884;	0.089771574948884;	0.102135704193515;	0.112308918303556;	0.122600953442735;	0.134890638755318;	0.149008275745195;	0.164131557323363;	0.179382743190529;	0.195481585384941;	0.210717737743811;	0.226237557850651;	0.243793776642763;	0.256633858271123;	0.272898956611718;	0.289952572539081;	0.305855767538681;	0.320420387321162;	0.336920758241768;	0.349071720671249;	0.365911514826079;	0.384098171889970;	0.401265157270622;	0.420094653006509;	0.438873860791421;	0.457815865064243;	0.477587366559050;	0.499054236471722;	0.527227644748833;	0.558878654896560;	0.598243373392548;	0.631844499954921;	0.902617594649607;	0.000363453755298
0.704437367566847;	0.254235475465230;	0.000786897694611;	0.000218237144978;	0.009185936528716;	0.011796222244578;	0.007822280822939;	0.113619415280606;	0.117619106383016;	0.098913116632536;	0.107531150281034;	0.034323265813978;	0.036075995587512;	0.043096521032423;	0.040834638298903;	0.046265704489917;	0.031988077144044;	0.001041055206527;	0.001099745710280;	0.001273701756503;	0.001305547296422;	0.001574920255832;	0.002150656547170;	0.001878073727409;	0.001941784398950;	0.003177334405608;	0.004214025260128;	0.003886276360716;	0.004628339938062;	0.006390047070020;	0.007869180195495;	0.010919920226401;	0.011452388183485;	0.011534411345614;	0.014594458904778;	0.019276569773823;	0.023740409903616;	0.030021341585775;	0.035952411757760;	0.041827677737452;	0.048177389925027;	0.053669958580413;	0.055127276678114;	0.061219264237164;	0.069418750646701;	0.079404392382214;	0.091299331628464;	0.101682039907917;	0.114866594891500;	0.125632226503841;	0.136446475068050;	0.149222984559475;	0.163761053977222;	0.179196132471188;	0.194645447726557;	0.210850340776362;	0.226049897071274;	0.241466743402401;	0.258816172590670;	0.271403789188676;	0.287543390390715;	0.304475938027829;	0.320289801317358;	0.334801295792394;	0.351219716399499;	0.363160860480470;	0.379887003789241;	0.397954929194382;	0.415000368541717;	0.433654622941476;	0.452204892852970;	0.470911041412787;	0.490423830517339;	0.511562958315316;	0.539264592536874;	0.570394749589471;	0.609112111791476;	0.641802147413346;	0.905129953227556;	0.000478775081772
0.766300350296733;	0.309154013328400;	0.002972846338833;	0.000812655372669;	0.010187399869594;	0.013227600932574;	0.010846968901667;	0.115374701048283;	0.119939607347236;	0.101373598338095;	0.114781847001924;	0.035425049584576;	0.037639567244741;	0.045998987544306;	0.047496007600927;	0.054674604254137;	0.050814567217889;	0.037073676823302;	0.036589617165170;	0.001954751681909;	0.001992856796113;	0.002377279057931;	0.003206265614248;	0.002791179674811;	0.002801066860704;	0.004447888662795;	0.005799730559914;	0.005329171713667;	0.006247105172952;	0.008466936107738;	0.010307327276438;	0.014087539976792;	0.014658431887115;	0.014633853180611;	0.018278822514027;	0.023776978442223;	0.028934383405661;	0.036130593392899;	0.042884184759823;	0.049547698609722;	0.056706256112780;	0.062836362452941;	0.064097335858942;	0.070555968784864;	0.079369640357945;	0.090039786402542;	0.102669066712378;	0.113592864158980;	0.127353414621910;	0.138509821115714;	0.149666066509225;	0.162783077544792;	0.177669834476211;	0.193410241334124;	0.209130863724876;	0.225587553027808;	0.240970444194944;	0.256541560523056;	0.273834741220843;	0.286373784033709;	0.302567546558048;	0.319522556953370;	0.335351884358399;	0.349876855598954;	0.366242389848702;	0.377980388868323;	0.394587517024231;	0.412527502357113;	0.429447336432666;	0.447924877597567;	0.466250817741886;	0.484726491325496;	0.503981821498283;	0.524786367319272;	0.551994161805277;	0.582569959270464;	0.620594273303851;	0.652236661490445;	0.907723967626147;	0.000587169533251
