0.141848060799268;	0.211149104680508;	0.000000017744117;	0.000000007489338;	0.000002297932248;	0.000001616096156;	0.000000451948375;	0.713385689275112;	0.787830813785984;	0.633035142244634;	0.643283907809721;	0.000002320985130;	0.000001160822071;	0.000001034825960;	0.000001195804172;	0.000001969773279;	0.000004886884789;	0.000006412319805;	0.000007720084293;	0.000013034426002;	0.000014371400949;	0.000025618697222;	0.000048541002607;	0.000045067896532;	0.000058089052185;	0.000133637937354;	0.000225385652772;	0.000224873865550;	0.000307009855160;	0.000500821510611;	0.000698877180939;	0.001155761856168;	0.001282399535256;	0.001382834132962;	0.001951389177367;	0.002874218688920;	0.003879758698315;	0.005383092219895;	0.006880086852733;	0.008548725051500;	0.010452391164265;	0.012216057522538;	0.013227008068339;	0.015614514623080;	0.018780772569609;	0.022768880258219;	0.027567949541932;	0.031723951673356;	0.037442411600081;	0.042328682684876;	0.047454060433586;	0.053722109155139;	0.061178398653282;	0.069541046601436;	0.078286383272332;	0.087825105151138;	0.097226065138226;	0.107100498654017;	0.121914698686056;	0.131251953778713;	0.142714165643273;	0.154984046763895;	0.166812888293184;	0.177651513148458;	0.190304010322060;	0.200782118855767;	0.214703285833484;	0.229425100138091;	0.243394319206010;	0.259640570134932;	0.276271197008954;	0.293126362038918;	0.311185967971918;	0.331263335461353;	0.357920351601115;	0.388441539339465;	0.427482359535177;	0.464792086219811;	0.862171547637691;	0.000000382502188
0.141848066278433;	0.211149110961208;	0.000000017744422;	0.000000007489442;	0.000002297989655;	0.000001616127407;	0.000000451955942;	0.713385689281444;	0.787830813792459;	0.633035142250072;	0.643283907817782;	0.000002321032349;	0.000001160844022;	0.000001034845861;	0.000001195824544;	0.000001969802154;	0.000004886939738;	0.000006412378360;	0.000007720153882;	0.000013034509158;	0.000014371486554;	0.000025618822841;	0.000048541176522;	0.000045068049739;	0.000058089224316;	0.000133638235547;	0.000225386052554;	0.000224874235105;	0.000307010306551;	0.000500822141909;	0.000698877957473;	0.001155762910658;	0.001282400641477;	0.001382835254716;	0.001951390579250;	0.002874220505840;	0.003879760892894;	0.005383094908920;	0.006880089969674;	0.008548728543658;	0.010452395030427;	0.012216061691013;	0.013227012240349;	0.015614519128582;	0.018780777502363;	0.022768885663312;	0.027567955466122;	0.031723958024609;	0.037442418441932;	0.042328689884872;	0.047454067960734;	0.053722117048351;	0.061178406922342;	0.069541055215829;	0.078286392185412;	0.087825114336618;	0.097226074544945;	0.107100508254483;	0.121914701887899;	0.131251957013866;	0.142714168941147;	0.154984050119830;	0.166812891697157;	0.177651516598192;	0.190304013812878;	0.200782122354974;	0.214703289365527;	0.229425103702013;	0.243394322802480;	0.259640573751116;	0.276271200637104;	0.293126365676058;	0.311185971608232;	0.331263339078638;	0.357920355148738;	0.388441542777172;	0.427482362788173;	0.464792089258257;	0.862171548410116;	0.000000535673422
0.141848074647758;	0.211149118336494;	0.000000017745503;	0.000000007489789;	0.000002298170224;	0.000001616217693;	0.000000451977479;	0.713385689297199;	0.787830813806145;	0.633035142261682;	0.643283907832381;	0.000002321108943;	0.000001160880986;	0.000001034877879;	0.000001195855606;	0.000001969844075;	0.000004887011353;	0.000006412451440;	0.000007720238177;	0.000013034606411;	0.000014371585356;	0.000025618960177;	0.000048541361540;	0.000045068210813;	0.000058089400087;	0.000133638528286;	0.000225386434614;	0.000224874584090;	0.000307010722958;	0.000500822709294;	0.000698878641774;	0.001155763817898;	0.001282401578300;	0.001382836189678;	0.001951391723999;	0.002874221956612;	0.003879762611466;	0.005383096972638;	0.006880092320488;	0.008548731135893;	0.010452397856109;	0.012216064693586;	0.013227015199506;	0.015614522271060;	0.018780780886727;	0.022768889310436;	0.027567959396530;	0.031723962171792;	0.037442422833931;	0.042328694432683;	0.047454072639269;	0.053722121873274;	0.061178411892307;	0.069541060306124;	0.078286397363740;	0.087825119582510;	0.097226079825545;	0.107100513550379;	0.121914708847980;	0.131251963961578;	0.142714175935190;	0.154984057145593;	0.166812898730438;	0.177651523630042;	0.190304020826470;	0.200782129278436;	0.214703296239470;	0.229425110515002;	0.243394329545930;	0.259640580391204;	0.276271207152638;	0.293126372061837;	0.311185977850415;	0.331263345152053;	0.357923363365475;	0.388457940872115;	0.427512239754815;	0.464833844764123;	0.862185486405222;	0.000000693203986
0.141848085110658;	0.211149126616798;	0.000000017749405;	0.000000007491000;	0.000002298773603;	0.000001616501796;	0.000000452045450;	0.713385689341469;	0.787830813839381;	0.633035142290591;	0.643283907863749;	0.209136422084647;	0.000001160956876;	0.000001034941572;	0.000001195914936;	0.000001969921310;	0.000004887131574;	0.000006412570423;	0.000007720373005;	0.000013034758445;	0.000014371739520;	0.000025619165894;	0.000048541634503;	0.000045068448377;	0.000058089655038;	0.000133638941960;	0.000225386966954;	0.000224875070426;	0.000307011297248;	0.000500823482001;	0.000698879567735;	0.001155765033186;	0.001282402830372;	0.001382837436582;	0.001951393241480;	0.002874223865408;	0.003879764862522;	0.005383099662806;	0.006880095378858;	0.008548734507399;	0.010452401532724;	0.012216068606541;	0.013227019060383;	0.015614526372320;	0.018780785307982;	0.022768894080454;	0.027567964543973;	0.031723967617338;	0.037463946337829;	0.042386061084417;	0.047548099475460;	0.053847875634078;	0.061325006910421;	0.069704968975576;	0.078465584085062;	0.088017907033896;	0.097430247779306;	0.107314548660685;	0.122034619720874;	0.131381525441994;	0.142854593237344;	0.155135386715440;	0.166975125908830;	0.177825131725193;	0.190489472979792;	0.200977779762147;	0.214910824388068;	0.229644956113198;	0.243627130125184;	0.259886280867065;	0.276530129907481;	0.293399519257904;	0.311474154186185;	0.331566869395386;	0.358239963752770;	0.388785701303006;	0.427845751027357;	0.465171290759075;	0.862280021966103;	0.000000904561380
0.141848099795470;	0.211149135961098;	0.000000017763606;	0.000000007495262;	0.004580165193969;	0.000001617391432;	0.000000452260398;	0.713385689465375;	0.787830813919361;	0.633035142361716;	0.643283907929990;	0.209136422366307;	0.000001161109404;	0.000001054672321;	0.000001283733664;	0.000002205268725;	0.000005497441889;	0.000007206833037;	0.000008745372194;	0.000014505535008;	0.000016025717336;	0.000028138669843;	0.000052410917785;	0.000048618444061;	0.000062142919954;	0.000141075012334;	0.000235899275540;	0.000234888652126;	0.000319599430471;	0.000519048073823;	0.000722006462784;	0.001188383597636;	0.001317302965893;	0.001418709206783;	0.001997105980975;	0.002934504977623;	0.003953677520487;	0.005475130805719;	0.006988573533124;	0.008672496742225;	0.010591885647063;	0.012368896461592;	0.013381833338839;	0.015783415121957;	0.018968028234071;	0.022976956267058;	0.027799426085555;	0.031975943506120;	0.037733441161380;	0.042666888290094;	0.047841935472717;	0.054159645359322;	0.061659365778543;	0.070063074570696;	0.078847536441912;	0.088424504057849;	0.097860863288652;	0.107769658481747;	0.122423397703696;	0.131787337229217;	0.143282432963583;	0.155586349076586;	0.167449938622628;	0.178325453680584;	0.191016424316660;	0.201528277968082;	0.215490932343560;	0.230257330935540;	0.244275226855780;	0.260572414630222;	0.277258747707930;	0.294179329802920;	0.312315680840884;	0.332481909020980;	0.359234297298008;	0.389864172406004;	0.429006138771323;	0.466404358882608;	0.862638237444038;	0.000001130279587
0.166701833302908;	0.211456790035345;	0.000000029510184;	0.000000013144067;	0.004583473059607;	0.006421555448061;	0.000001077308819;	0.713386136456423;	0.787831170343744;	0.633035490200999;	0.643284436908663;	0.210011585743798;	0.209649565024639;	0.000002444451202;	0.000002623978501;	0.000004061655006;	0.000008437250277;	0.000010265490177;	0.000012129394611;	0.000018787908435;	0.000020515227544;	0.000034187569244;	0.000061169864744;	0.000056403720444;	0.000070561442980;	0.000155672387892;	0.000255850668489;	0.000253588167811;	0.000342391918294;	0.000551070052103;	0.000761924574171;	0.001243841979891;	0.001376135311312;	0.001478690814240;	0.002072991138810;	0.003033873222152;	0.004075120312623;	0.005626196192564;	0.007167229576477;	0.008877693011866;	0.010825040892071;	0.012626582567479;	0.013644582999112;	0.016071538393352;	0.019289774701525;	0.023337445617394;	0.028204025863569;	0.032420458779854;	0.038218895778876;	0.043182407265771;	0.048386833519582;	0.054739433206343;	0.062280203837719;	0.070726490890216;	0.079553744623450;	0.089175191339096;	0.098655084673493;	0.108608772511214;	0.123209491854595;	0.132608308638293;	0.144148728988898;	0.156501009134469;	0.168416454097610;	0.179350039031587;	0.192105344172085;	0.202680611782209;	0.216726256665471;	0.231589230165119;	0.245717252689610;	0.262129965040729;	0.278925675062256;	0.295931515918659;	0.314121069810865;	0.334299061978475;	0.361003388147331;	0.391533258882367;	0.430521537100617;	0.467724469874999;	0.862957792101548;	0.000001479042880
0.170595926066156;	0.211782859054920;	0.000000133166457;	0.000000058664057;	0.004721158790688;	0.006510541273547;	0.004963308298135;	0.713388265578038;	0.787832423049498;	0.633036741549152;	0.643285874171072;	0.210261477771462;	0.210356626806751;	0.253269027213301;	0.000005665617011;	0.000008251661698;	0.000014465842352;	0.000016475779419;	0.000018885970235;	0.000027410085671;	0.000029621287592;	0.000045895044809;	0.000078157534708;	0.000071439541152;	0.000086396476109;	0.000182620858210;	0.000292358417269;	0.000287585664012;	0.000383174689110;	0.000607505439112;	0.000831510665604;	0.001339608483637;	0.001476617675091;	0.001579811075249;	0.002199440569367;	0.003197480115880;	0.004273166526747;	0.005870533400774;	0.007454662868521;	0.009206929341299;	0.011198456799599;	0.013038487048289;	0.014062620597378;	0.016527006684783;	0.019796189708518;	0.023903053167333;	0.028837282477813;	0.033114656291353;	0.038978790059823;	0.043993707966078;	0.049248757807944;	0.055659174622886;	0.063265602055594;	0.071779804510707;	0.080675984959320;	0.090369922767125;	0.099921579897854;	0.109950701139642;	0.124532028643394;	0.133995421211759;	0.145617751083826;	0.158054891593202;	0.170054602983389;	0.181067307107666;	0.193882994225457;	0.204474071312502;	0.218525603191245;	0.233367990663750;	0.247446119857758;	0.263778152063464;	0.280469622714850;	0.297376593825577;	0.315474755840239;	0.335562567740412;	0.362175416058475;	0.392623106105001;	0.431530250423188;	0.468646197966251;	0.863190430152098;	0.000001825428718
0.185359881775611;	0.212419685599842;	0.000000761781915;	0.000000321921222;	0.004754511160548;	0.006676016977951;	0.005137978249765;	0.719765307071271;	0.787836560303257;	0.633040990454746;	0.643289915221951;	0.210511901244041;	0.210971595786156;	0.254553888556652;	0.261444210028778;	0.285117861211782;	0.000026165060800;	0.000028322016512;	0.000031332568406;	0.000043075985952;	0.000046118092148;	0.000065925631403;	0.000107082302582;	0.000096932465014;	0.000112437916371;	0.000225783582138;	0.000350140930894;	0.000341110052795;	0.000446354529899;	0.000693656406969;	0.000936811601108;	0.001483574875039;	0.001626430575966;	0.001728928003543;	0.002384078362235;	0.003433686086035;	0.004556334157577;	0.006216961989631;	0.007860048283475;	0.009670107411595;	0.011722853948865;	0.013615558682938;	0.014644627671781;	0.017155555352636;	0.020490484018416;	0.024674278218950;	0.029696504624841;	0.034051865070545;	0.040002089944276;	0.045086368156519;	0.050410101665927;	0.056896324677278;	0.064585462822814;	0.073181833381896;	0.082156706801690;	0.091925791147738;	0.101537789077193;	0.111614358877914;	0.126178604617974;	0.135640325414422;	0.147258628187349;	0.159673944783587;	0.171637799657801;	0.182604933269697;	0.195367895150377;	0.205899422241914;	0.219903880489719;	0.234704236551107;	0.248747227556843;	0.265047684580293;	0.281709887671234;	0.298591492311285;	0.316664982949291;	0.336723071871241;	0.363293240869162;	0.393693256765069;	0.432540550028413;	0.469574541340019;	0.863423850752433;	0.000002388301010
0.195830600236511;	0.213279008838734;	0.000003955193137;	0.000001615726778;	0.007180545778127;	0.008627916489222;	0.005227496655128;	0.720021989219033;	0.793989014339398;	0.639123893421631;	0.643300022453766;	0.210624552478083;	0.211322375519180;	0.255221877335327;	0.263030603766052;	0.287007281981116;	0.283331702410643;	0.000047505408401;	0.000050657717720;	0.000069763239974;	0.000074160114838;	0.000097620026406;	0.000152436202844;	0.000136663865411;	0.000151825076104;	0.000289282893457;	0.000434110134218;	0.000418540000772;	0.000536149381717;	0.000814070772428;	0.001082538104928;	0.001681147430819;	0.001830157238182;	0.001929303470074;	0.002629339265462;	0.003743281596684;	0.004923252066455;	0.006661175868212;	0.008376191245339;	0.010257346273930;	0.012385268443124;	0.014341173018541;	0.015369492374492;	0.017927920704774;	0.021333553311239;	0.025599712458654;	0.030714222967315;	0.035145396228601;	0.041177199345958;	0.046321207706434;	0.051697980893848;	0.058233435723137;	0.065965118231976;	0.074593404218461;	0.083588967176513;	0.093369570648859;	0.102978698649082;	0.113047086886368;	0.127591043872874;	0.137034301758792;	0.148648728835920;	0.161063842425731;	0.173034059096145;	0.184014490729650;	0.196791503942136;	0.207327109778776;	0.221348468334236;	0.236168291295996;	0.250233183946643;	0.266552568571798;	0.283232000734257;	0.300136281479197;	0.318237930271176;	0.338326950117737;	0.364926501817510;	0.395373109096488;	0.434265780216125;	0.471329160743699;	0.863923602656113;	0.000002932173669
0.202334096837856;	0.218801664487808;	0.000018798637798;	0.000007725547986;	0.007266270231212;	0.009152700417212;	0.007722490878457;	0.720899148977935;	0.794223284721663;	0.639373457430839;	0.649540956750284;	0.213421365846958;	0.211458199270385;	0.255539271277331;	0.263733654924477;	0.287904356295014;	0.285295416582718;	0.275430960871656;	0.267819167615174;	0.000106621554149;	0.000112418264385;	0.000147038346863;	0.000222399187682;	0.000197750058178;	0.000209311708313;	0.000379036422095;	0.000551039059152;	0.000526113419683;	0.000659331985381;	0.000976880151898;	0.001278350984864;	0.001945031415396;	0.002101530247446;	0.002195209378465;	0.002953294423085;	0.004149691167993;	0.005403253032845;	0.007240227737916;	0.009048030553853;	0.011021496842498;	0.013246294665045;	0.015282538558346;	0.016306482565506;	0.018921765383378;	0.022413750825604;	0.026778382946518;	0.032001857713891;	0.036522851476873;	0.042666494374795;	0.047911897887432;	0.053390317526414;	0.060031879576337;	0.067871234985405;	0.076605795493952;	0.085707032715318;	0.095595742513898;	0.105307494392766;	0.115478438957764;	0.129879346790624;	0.139394446022143;	0.151103220575236;	0.163614552736838;	0.175685708617537;	0.186775389763988;	0.199664334805860;	0.210295601413488;	0.224446650138715;	0.239411228907082;	0.253634960843454;	0.270110962660385;	0.286929623757452;	0.303946273518928;	0.322124785188929;	0.342238997224610;	0.368780487155660;	0.399102471072528;	0.437786598576285;	0.474535622880241;	0.864734688990029;	0.000003833323055
