0.165058005398815;	0.070307007061423;	0.047060079984270;	0.031444398522843;
0.034987852734424;	0.034443948075415;	0.016090700743554;	0.011767341289326;
0.028896500320292;	0.028504787578109;	0.013347481220084;	0.009787496829767;
0.023925381097775;	0.022680006501864;	0.010741180020000;	0.008052442199911;
0.020965440688568;	0.018584609596710;	0.008957759067411;	0.006947548493163;
0.018937360105176;	0.015674642037866;	0.007705891981106;	0.006184511404528;
0.025027655340519;	0.020790442817948;	0.011607449200279;	0.011412595461070;
0.022408624973289;	0.018077490380653;	0.010137000177877;	0.010398962590008;
0.014884291580735;	0.011384603146725;	0.005818896741051;	0.005170592367265;
0.014728057520280;	0.010946880564548;	0.005646293703595;	0.005072740215544;
0.014306112121925;	0.010395181211813;	0.005424695866924;	0.004984292522582;
0.013427046420600;	0.009577492739168;	0.005075435031118;	0.004962839153082;
0.013183115918779;	0.009236176141238;	0.004926847622955;	0.004970656951942;
0.012782929723267;	0.008948280951204;	0.004782801073376;	0.004739429307813;
0.012602320050783;	0.008890273521269;	0.004758062751951;	0.004624455376180;
0.019250641001463;	0.016136107136495;	0.009430050698310;	0.008297576224186;
0.019033029097934;	0.017254997382246;	0.009814787147069;	0.009063024979134;
0.012330386128266;	0.009526644484287;	0.005241052978984;	0.004961423222273;
0.012038568287176;	0.009112122250864;	0.005296381920639;	0.004787938084979;
0.012102228877806;	0.008868298058848;	0.005167921513196;	0.005029638836570;
0.011980169806642;	0.008530424090338;	0.005014912076162;	0.005079683546046;
0.011449435417274;	0.008295689424639;	0.004858787970034;	0.004776006157144;
0.011542040863492;	0.008322721433198;	0.004845005512455;	0.004928468666329;
0.011777988320713;	0.008513635333157;	0.004936066310245;	0.005211638491276;
0.011484816188297;	0.008229099497406;	0.004768790392536;	0.005028737374795;
0.011248864002022;	0.008101872681323;	0.004674786986419;	0.005094791413401;
0.011482460205338;	0.008376775780437;	0.005221677694562;	0.005366860213041;
0.011727930396006;	0.008548711522984;	0.005611062668162;	0.005410700340415;
0.011021529548971;	0.008128265568476;	0.005181915676555;	0.005347328888704;
0.011086762678501;	0.008006557764660;	0.005031057362864;	0.005351741827014;
0.011346963988782;	0.008217201469263;	0.005101423234594;	0.005472883252137;
0.011011594116001;	0.008134397292281;	0.005202026207174;	0.005520808875240;
0.011286552197395;	0.008325130365721;	0.005432885199045;	0.005681022504939;
0.011327022631104;	0.008352899193711;	0.005487793057950;	0.005783554620172;
0.010998811375338;	0.008256137649241;	0.005406209548365;	0.005751158969287;
0.011299904152419;	0.008429019973976;	0.005400792308344;	0.005911246674423;
0.011210145943726;	0.008513795193241;	0.005600983211347;	0.005962649719364;
0.011023007224341;	0.008415132382959;	0.005727077935288;	0.006013426405483;
0.011385096602504;	0.008610385711555;	0.005833706373584;	0.006161451714489;
0.011110931703018;	0.008518153733134;	0.005801045737293;	0.006186258757472;
0.011390737965101;	0.008790613284864;	0.006058108816754;	0.006365017989013;
0.011581230253083;	0.008868568444929;	0.006156744762166;	0.006450313723947;
0.011139095666674;	0.008669588449816;	0.006039788491747;	0.006440169109379;
0.011449975306347;	0.008898680312332;	0.006218308020616;	0.006568650727305;
0.011753799044202;	0.009059677125427;	0.006400690533089;	0.006744418915461;
0.011393195284030;	0.009049743941520;	0.006404295772923;	0.006814981348653;
0.011536779396234;	0.009122798499996;	0.006472765075175;	0.006893370409329;
0.012016696428003;	0.009324672829692;	0.006665229103626;	0.007070112248611;
0.011485674051325;	0.009278732777288;	0.006681715353834;	0.007120349690129;
0.011452864371697;	0.009271911032168;	0.006747181912145;	0.007174639251932;
0.012140259965783;	0.009616042436169;	0.006970281018221;	0.007457162570000;
0.011780674029574;	0.009635020631393;	0.007033632848331;	0.007498781866497;
0.011777988155235;	0.009602899630468;	0.007098149125420;	0.007576407462189;
0.012268131465261;	0.009866899660758;	0.007267199297439;	0.007813225837885;
0.011974620628276;	0.009906565807359;	0.007345771353997;	0.007873060465965;
0.011943586911611;	0.009912204997923;	0.007438694690660;	0.008074817040661;
0.012385935507425;	0.010183713876298;	0.007663164654387;	0.008332905668498;
0.012222393655276;	0.010255262513424;	0.007747712060588;	0.008417041806348;
0.012169676703413;	0.010230534764559;	0.007813223058441;	0.008540741175708;
0.012481300607102;	0.010444786871677;	0.008000629759396;	0.008694459825246;
0.012418086976685;	0.010674692523571;	0.008230423320082;	0.008861387082391;
0.012583201541242;	0.010817037493297;	0.008378345595139;	0.009062083734451;
0.012738849206027;	0.010809088039895;	0.008473828790073;	0.009251355928455;
0.012541716604674;	0.010861810441822;	0.008637409632682;	0.009374928825195;
0.012820946997653;	0.011213389547809;	0.008881882931059;	0.009673905080962;
0.013217562773704;	0.011447331936220;	0.009075439290764;	0.009986978453105;
0.012916959050576;	0.011310833821526;	0.009085573132477;	0.010069237876719;
0.013044669739143;	0.011517318593193;	0.009340745219606;	0.010360516672473;
0.013399708834275;	0.011831093266070;	0.009610958232951;	0.010618500435931;
0.012995855351049;	0.011707459022940;	0.009630149816835;	0.010640438924864;
0.013230025825139;	0.011873953180072;	0.009873359706159;	0.010936680356328;
0.013718464135862;	0.012225682741456;	0.010194442110998;	0.011168078173643;
0.013230594712667;	0.012250446988077;	0.010321802817026;	0.011162191019125;
0.013230073541267;	0.012363669839005;	0.010468404314734;	0.011429858987585;
0.013907548920556;	0.012694366198015;	0.010788425450153;	0.011754048058977;
0.013975845196509;	0.012691513225920;	0.010932813055198;	0.011792476367934;
0.013586321714793;	0.012653355953806;	0.011016393820437;	0.011845621380076;
0.013728308962702;	0.012945640061513;	0.011313846698498;	0.012073872999865;
0.014039991265060;	0.013188871640798;	0.011608664560325;	0.012288926442541;
0.013512267690464;	0.013038063652740;	0.011640265290019;	0.012350627912551;
0.013563106023203;	0.013066875670552;	0.011815314176440;	0.012478641089529;
0.014237575494737;	0.013501069091248;	0.012405765492429;	0.012810412129211;
0.014381581754380;	0.013768224455715;	0.012779038667537;	0.013087882637367;
0.013875460284464;	0.013606554347331;	0.012649813446913;	0.013146033735884;
0.013975953300585;	0.013671962029637;	0.012686432895341;	0.013213329878978;
0.014325543477252;	0.013833752290875;	0.012917392804599;	0.013347142911345;
0.014155604759857;	0.013763396208209;	0.013060353290335;	0.013464753907474;
0.013864107647168;	0.013707183747431;	0.013154220047141;	0.013529209681535;
0.013885906687470;	0.013862452544130;	0.013376028279298;	0.013657235997316;
0.014225389050514;	0.014052358258502;	0.013520879425174;	0.013832535633258;
0.014127703904665;	0.014037405896908;	0.013603591209180;	0.013829110136018;
0.013682476021089;	0.013868947836533;	0.013637863198859;	0.013723952909534;
0.013447262311542;	0.013734326753123;	0.013622889960934;	0.013741400450626;
0.013747413361106;	0.013836061568317;	0.013755518083970;	0.013885935011268;
0.013829376435385;	0.013851029767822;	0.013781786389246;	0.013962402956745;
0.013607485892420;	0.013797627325837;	0.013787371780732;	0.013975780691775;
0.012986760386455;	0.013540118133888;	0.013688614757872;	0.013846954549618;
0.012852648464257;	0.013419542487355;	0.013651262306506;	0.013778008187518;
0.013059699884225;	0.013453658665289;	0.013744146992934;	0.013783687752992;
0.012713583274109;	0.013244230519472;	0.013722077144951;	0.013573944543046;
0.012308828038948;	0.012962236776652;	0.013524676179312;	0.013365029631309;
0.011601894903201;	0.012577411082319;	0.013214027042203;	0.013187642626274;
0.011396539815686;	0.012378861985967;	0.013067148894061;	0.013052607738742;
0.011092362235994;	0.012076868508551;	0.012865875953700;	0.012825654195270;
0.010518672889687;	0.011658182336614;	0.012594170966114;	0.012515700012854;
0.010228349420696;	0.011252054861369;	0.012323156108817;	0.012214672972790;
0.009789879436670;	0.010797068408422;	0.011954405120661;	0.011832377427765;
0.009450440788264;	0.010467106325742;	0.011617519358013;	0.011463943534549;
0.009211536924428;	0.010180648012105;	0.011324680977233;	0.011050125234963;
0.008932529612354;	0.009894776749304;	0.011067242481161;	0.010651022389899;
0.008534042048997;	0.009489179745567;	0.010616833547223;	0.010242719249945;
0.008106216820300;	0.009032073561066;	0.010074603800560;	0.009810013182152;
0.007687771608273;	0.008606949099571;	0.009643091713490;	0.009369066239534;
0.007267265649296;	0.008190511591693;	0.009213577445236;	0.008933608964981;
0.006977145845472;	0.007835257777537;	0.008815545850595;	0.008549827055472;
0.006686215009471;	0.007464376746524;	0.008398526959272;	0.008143895153931;
0.006320056824456;	0.007056491868815;	0.007965203337861;	0.007722576061935;
0.005962578394260;	0.006665324338835;	0.007565774045424;	0.007296999915955;
0.005598327029976;	0.006287615496747;	0.007134486650962;	0.006866823352993;
0.005260979693768;	0.005920966497912;	0.006697821287445;	0.006451049823516;
0.004935565828752;	0.005566025165936;	0.006308330348011;	0.006070385530269;
0.004601283537848;	0.005216844464967;	0.005937735902749;	0.005709629682184;
0.004349523839175;	0.004896498599856;	0.005543729163691;	0.005338871748722;
0.004114941632287;	0.004590870514892;	0.005168012446446;	0.004983648500899;
0.003833018871387;	0.004282276338106;	0.004833453748979;	0.004672224312923;
0.003559866342794;	0.003979281401488;	0.004500283204120;	0.004309497942887;
0.003305815001011;	0.003691012674302;	0.004170555971687;	0.003983526093152;
0.003095072129028;	0.003442727017563;	0.003875395989283;	0.003732977061583;
0.002899569912668;	0.003216392078688;	0.003595292740452;	0.003483450418913;
0.002708506764261;	0.003005115275843;	0.003342325279316;	0.003291528730720;
0.002548175578332;	0.002822101831120;	0.003136196840751;	0.003198902517235;
0.002383235617273;	0.002646105393774;	0.002939135667144;	0.003059781786951;
0.002269336855930;	0.002490354367113;	0.002751351562516;	0.002854239798174;
