0.159977516432300;	0.085318386776448;	0.072226095483647;	0.046696639242598;
0.059658047576164;	0.087384394715021;	0.000000000000000;	0.000000000000000;
0.048634283975893;	0.072958636998928;	0.000000000000000;	0.000000000000000;
0.040936081655403;	0.056629312196132;	0.000000000000000;	0.000000000000000;
0.037028335924942;	0.044013453216778;	0.000000000000000;	0.000000000000000;
0.034317903989781;	0.034632506387056;	0.000000000000000;	0.000000000000000;
0.031389372135341;	0.028328073702550;	0.000000000000000;	0.000883901243013;
0.028777851411598;	0.025182162276010;	0.000000000000000;	0.001767802486026;
0.027013735650884;	0.022789370553383;	0.000000000000000;	0.000966882760281;
0.026977663844986;	0.020840239387627;	0.000000000000000;	0.000863081473229;
0.026307686977703;	0.018736104967596;	0.000000000000000;	0.000972693164074;
0.024586899365845;	0.016256289095396;	0.000000000000000;	0.002011794230713;
0.024342780621700;	0.014951151111586;	0.000000000000000;	0.002725154147887;
0.023553993792421;	0.014234938698184;	0.000000000000000;	0.001954927000826;
0.022780178008025;	0.014120346614725;	0.000000000000000;	0.001633057359872;
0.022580315153891;	0.016006185958442;	0.000000011989001;	0.002149147363023;
0.021816593178048;	0.019084977457507;	0.000000023978002;	0.003302450103712;
0.021089504588813;	0.018972414706599;	0.000000023710865;	0.002668266216499;
0.020615354055686;	0.016179061867316;	0.001690875724855;	0.002296543600078;
0.020799506070844;	0.014117499314481;	0.001496492072801;	0.003241210399268;
0.020734677165713;	0.012552617164717;	0.001424282932662;	0.003831065712071;
0.019611452496610;	0.012453660312967;	0.001333808339115;	0.002975255286157;
0.019738027987440;	0.012344290839709;	0.001186303598108;	0.003451566311752;
0.019955049583299;	0.012613217033044;	0.001168337428812;	0.004467389251250;
0.019504076796213;	0.011966650098277;	0.001056553311000;	0.003938721671164;
0.018940117926803;	0.011835034878440;	0.000944077213227;	0.004367937594601;
0.019142700820681;	0.011834794221610;	0.001673999080411;	0.004961049588539;
0.019483348196712;	0.011713006469773;	0.003430726870684;	0.004603976504795;
0.018108691851354;	0.011428400696393;	0.002714702774377;	0.005142256636627;
0.018353102887075;	0.010923531984683;	0.002317757245484;	0.005148781551002;
0.018613611083725;	0.011300838577251;	0.002180345556374;	0.005212080447028;
0.017825397986712;	0.011276026433707;	0.002627364223805;	0.005659814239921;
0.018229293651107;	0.011330264280748;	0.003174948029102;	0.005798926614461;
0.018170644808880;	0.011264576737863;	0.003304513850288;	0.006094697961742;
0.017414377326769;	0.011413951901817;	0.003154448306886;	0.006176166253090;
0.017874237637335;	0.011652212484242;	0.002791658931477;	0.006420795882325;
0.017436835743154;	0.011843664769817;	0.003238017987586;	0.006456188912415;
0.017048823310519;	0.011497654915231;	0.003974326847874;	0.006718055389618;
0.017629919959389;	0.011596636926296;	0.004065200292392;	0.006813542355729;
0.016977607542249;	0.011603417106355;	0.004235019433930;	0.007038225132222;
0.017291564057146;	0.011972493237336;	0.004597644760144;	0.007180646241952;
0.017557907526623;	0.011794644327997;	0.004617992387140;	0.007204161007717;
0.016638390785958;	0.011692404536807;	0.004630653967342;	0.007518737057629;
0.017066283795329;	0.011905643002006;	0.004876711064933;	0.007515387969635;
