0.096365010790377;	0.062098281905846;	0.032093095317719;	0.027795619004209;
0.098606362729940;	0.064460476224566;	0.033386873104478;	0.028657957071687;
0.100042416401721;	0.065835519948918;	0.034134685663459;	0.029183343285563;
0.101235697673057;	0.066987201960474;	0.034760901619519;	0.029622391474660;
0.102262572241079;	0.067924691277341;	0.035269406315953;	0.029990486684048;
0.103203930743055;	0.068744846323542;	0.035714101282239;	0.030321689315366;
0.104065874252654;	0.069453053391444;	0.036098111601586;	0.030618079749086;
0.106670354966324;	0.071904589784940;	0.038255501175138;	0.047946651038851;
0.107438650588651;	0.072523561641826;	0.038592906458226;	0.048226830633109;
0.108182255059175;	0.073112121759794;	0.038914673524438;	0.048502593399751;
0.108972616496312;	0.073715616277788;	0.039244580660106;	0.048783881029573;
0.109710023437645;	0.074273317702805;	0.039551994972017;	0.049064755182237;
0.110437991278738;	0.074808807772909;	0.039849555617316;	0.049370909041630;
0.111192483203177;	0.075356676475875;	0.040153516292269;	0.049675824278116;
0.111919433382573;	0.075886999686926;	0.040448807781090;	0.049958270675634;
0.112689716665331;	0.076455429430847;	0.040766156726135;	0.050259264552427;
0.116292447234304;	0.083350195534123;	0.055957443123803;	0.053887752056766;
0.117126156947704;	0.084042014754844;	0.056337676543561;	0.054266986084971;
0.117955212898866;	0.084722367495132;	0.056758395981214;	0.054621185806341;
0.118777747947046;	0.085364997515808;	0.057146696955688;	0.054979377617650;
0.119645734937657;	0.086022020034831;	0.057554739563982;	0.055409481536940;
0.120490982757908;	0.086644844485088;	0.057935073128231;	0.055796615018515;
0.121337860011618;	0.087301940547723;	0.058340567056182;	0.056181546045755;
0.122254007300806;	0.087970437970122;	0.058745058587031;	0.056637902642896;
0.123192354963928;	0.088704508577078;	0.059198018752178;	0.057109476748082;
0.124118762087755;	0.089370763352584;	0.059598623275709;	0.057548302559538;
0.125079317721421;	0.090128537580917;	0.060061782508074;	0.058076445521006;
0.126115679740057;	0.090901248314554;	0.060609187826829;	0.058608636369245;
0.127180937526011;	0.091748715460433;	0.061180161344190;	0.059171676589220;
