0.119173260124480;	0.079930198150754;	0.045474711139590;	0.039874031057408;
0.104843661558496;	0.118514633061420;	0.000000000000000;	0.000000000000000;
0.084891300461956;	0.101491305897401;	0.000000000000000;	0.000000000000000;
0.071062481228742;	0.081765476902911;	0.000000000000000;	0.000000000000000;
0.063968015895787;	0.066152812340956;	0.000000000000000;	0.000000000000000;
0.058907650202445;	0.054061923587874;	0.000000000000000;	0.000000000000000;
0.053526652055504;	0.045768563379964;	0.000000000000000;	0.001680084936900;
0.048848989156086;	0.041732246707733;	0.000000000000000;	0.003360169873800;
0.045709495342010;	0.038452298696136;	0.000000000000000;	0.001611926035170;
0.045496918580699;	0.035622800321958;	0.000000000000000;	0.001306767788558;
0.044246836629718;	0.032388600699781;	0.000000000000000;	0.001510007329761;
0.041166661034435;	0.028443137628118;	0.000000000000000;	0.003179243901955;
0.040717082071065;	0.026042649145723;	0.000000000000000;	0.004429059414604;
0.039249722539898;	0.024564640706170;	0.000000000000000;	0.003015231979653;
0.037630527634819;	0.024175970735562;	0.000000000000000;	0.002527324116045;
0.037086585830010;	0.027436940416403;	0.000000022318524;	0.003462239128199;
0.035673681319584;	0.033109119479317;	0.000000044637047;	0.005430930223191;
0.034345997051854;	0.032936238677992;	0.000000044139648;	0.004216876380099;
0.033444271777697;	0.027862209035751;	0.002245312321641;	0.003642822088483;
0.033646281816439;	0.024020129649559;	0.001997694689613;	0.005310369664794;
0.033425687089364;	0.021272502258699;	0.001958231444682;	0.006251791838939;
0.031481137972745;	0.021083472934080;	0.001867031217770;	0.004757566671017;
0.031553889115726;	0.020652401065358;	0.001701840851108;	0.005659747785747;
0.031795266754469;	0.020939202744954;	0.001698446483009;	0.007330569728091;
0.030946754082869;	0.019962512913081;	0.001551398372499;	0.006294407097643;
0.029922740047374;	0.019845953971781;	0.001417213952824;	0.007113358067851;
0.030131996150928;	0.019742120440308;	0.002476130388955;	0.008100926875000;
0.030515230141892;	0.019434074454824;	0.004873863641887;	0.007463798397681;
0.028233848695485;	0.019079178024816;	0.004007304186520;	0.008485148940169;
0.028496053220290;	0.018306857130888;	0.003536977155133;	0.008418584142207;
0.028754655274793;	0.018856485564353;	0.003380560517233;	0.008561428509752;
0.027399074534078;	0.018764330699052;	0.004005509409466;	0.009366856163944;
0.027885995013898;	0.018921616172402;	0.004809733669373;	0.009589195526021;
0.027653483993628;	0.018797257789035;	0.005099405332334;	0.010150447690523;
0.026360555114614;	0.018987270605913;	0.004940419371363;	0.010309487565761;
0.026904358685157;	0.019384026564998;	0.004468011559986;	0.010772188218428;
0.026097876624557;	0.019703094046627;	0.005090015224488;	0.010872252488997;
0.025382915781481;	0.019079304824761;	0.006129279144240;	0.011392715841444;
0.026079943604171;	0.019215080961943;	0.006417172395715;	0.011589608631197;
0.024964087441717;	0.019215927516422;	0.006767123906996;	0.012048231580374;
0.025263266930917;	0.019786951478585;	0.007260523545045;	0.012351255204994;
