0.643257656040303;	0.083603615284310;	0.099136734811867;	0.087584112075612;	0.077549264613618;	0.074394786976298;	0.102336078935487;	0.090434495076514;	0.055363538920679;	0.049710160481315;	0.114303236819374;	0.135469863481349;	0.074878063983546;	0.078486325435273;	0.077617646010476;	0.083939207365984;	0.044520696716810;	0.043597996832753;	0.044241192505123;	0.045006248728216;	0.045963245673862;	0.047923599774860;	0.048751029964421;	0.049128296513392;	0.049144584605838;	0.051267241625619;	0.053818903313859;	0.053267891166756;	0.055115770617546;	0.057549967547685;	0.056108283615738;	0.058758886906245;	0.060435911634445;	0.059943075055116;	0.062752357365692;	0.064828110136519;	0.063736975113655;	0.066441568657188;	0.068199431028363;	0.069818450801326;	0.068975863896760;	0.071822156205970;	0.072048110429925;	0.075541849224120;	0.077603190951390;	0.076873859890288;	0.078853218530019;	0.080119850781115;	0.080732949540105;	0.084122984680934;	0.087551760293797;	0.088845247853908;	0.087191758292041;	0.089460496075931;	0.090735143637747;	0.092884582677413;	0.093402713835973;	0.095087575558694;	0.098124011431216;	0.100152732781699;	0.099650511394899;	0.102277982177553;	0.105740796706122;	0.108855065486503;	0.110551075666711;	0.111351178923881;	0.113673471725233;	0.115885573086552;	0.118797489133713;	0.120417721430766;	0.124157950431281;	0.127528808294632;	0.130301665403846;	0.131501542816838;	0.131037673452945;	0.133904943190608;	0.137739684430177;	0.141966865149172;	0.146000036742448;	0.149910196634782;	0.153975013969761;	0.158046076563760;	0.162183046020150;	0.166447145603203;	0.170524011997137;	0.183933135338344;	0.189152310415721;	0.192314447459305;	0.194662616456243;	0.198428736739999;	0.201895772382561;	0.205818246065469;	0.209845773492716;	0.211763997753551;	0.213924384406122;	0.216306105583761;	0.220842503823093;	0.226419168927310;	0.234720523824623;	0.242412436710354;	0.250977044116528;	0.260557432518288;	0.270779851835308;	0.283211682410313;	0.293264514089679;	0.304299243390988;	0.319061692957798;	0.335466310115486;	0.353164062271331;	0.372965818147889;	0.394959815671167;	0.411662224476573;	0.450824581376355;	0.497664528864152;	0.535180715553103;	0.570478218344012;	0.608821110726161;	0.640221355630621;	0.671337706296075;	0.774738973641581
0.658519498492437;	0.098109466876387;	0.114736738976610;	0.101704335138480;	0.090343844403476;	0.078362367055382;	0.106661944641543;	0.094568528358013;	0.058745534318369;	0.052876617573515;	0.118444542241659;	0.139783567073099;	0.078022019499757;	0.081531057301976;	0.080614112878908;	0.087004537171033;	0.047908847399238;	0.046934012968795;	0.047726273632665;	0.048566204741913;	0.049654227033972;	0.051849882309846;	0.052807501601011;	0.053198791230607;	0.053275525885996;	0.055636512175875;	0.058418371237354;	0.057899927095163;	0.059884648357153;	0.062541479082557;	0.060977903477614;	0.063827802957702;	0.065676593316396;	0.065186734443353;	0.068075757300606;	0.070522620754722;	0.069388933085027;	0.072395033802083;	0.073892780606397;	0.075656594012607;	0.074822306012685;	0.077901069485361;	0.078499354600824;	0.082251939815713;	0.084498831389706;	0.083629296181324;	0.085756285246134;	0.086785097028394;	0.087536770431831;	0.091160684313334;	0.094824897868823;	0.096237086630286;	0.094700630117838;	0.097161082305195;	0.098623575248866;	0.100942682733289;	0.101419447768719;	0.103206568625692;	0.106476060899556;	0.108677936869291;	0.107889154059384;	0.110713880604651;	0.114418540154357;	0.117759120857184;	0.119617562336388;	0.120501389358400;	0.123024763663978;	0.125439007382583;	0.128589430615627;	0.130343382280914;	0.134357734863445;	0.137987936725280;	0.140993301492729;	0.142333775765565;	0.141923652057241;	0.145021206218826;	0.149132626875157;	0.153657841870852;	0.157984434008367;	0.162186178945900;	0.166553001600614;	0.170928874843147;	0.175378916629261;	0.179964754763345;	0.184356800636221;	0.187380460648374;	0.192719219292985;	0.195985346969386;	0.198437813593964;	0.202326272164329;	0.205916176659512;	0.209969950368887;	0.214132448388076;	0.216141819253905;	0.218410201193786;	0.220895142569986;	0.225591027208269;	0.231343865369426;	0.239853314034751;	0.247754929996810;	0.256543251211484;	0.266362780656078;	0.276836764304907;	0.289544222904866;	0.299863332582867;	0.311184626405750;	0.326269063427091;	0.343014517093391;	0.361068327174473;	0.381243649898010;	0.403622368765425;	0.420689363951719;	0.460263636775134;	0.507421383557570;	0.545207636245839;	0.580772128022525;	0.619323946610103;	0.650852535183997;	0.681757367645824;	0.787874452621559
0.668841336804430;	0.108663537581065;	0.125307075287853;	0.110772643262623;	0.098127893162181;	0.087000057861212;	0.115627536579293;	0.102815258588924;	0.065338208866753;	0.058800421010225;	0.125757622985162;	0.147101892896928;	0.083215365513210;	0.086392693235785;	0.085183711213828;	0.091483774523836;	0.052666156114078;	0.051487449887097;	0.052183291456536;	0.053047987091685;	0.054096671241486;	0.056330771317072;	0.057232885566239;	0.057626409494142;	0.057602671410129;	0.059947696437813;	0.062844018757709;	0.062212052886925;	0.064216399079777;	0.066995804149910;	0.065322454204821;	0.068249491242728;	0.070155309004213;	0.069585333380157;	0.072657220086119;	0.074982785646635;	0.073755704982550;	0.076775640697502;	0.078658212827451;	0.080495822851064;	0.079539143757602;	0.082731083474929;	0.082864012347305;	0.086742415798924;	0.089062023794402;	0.088229949112518;	0.090455566856497;	0.091855368374782;	0.092443218737977;	0.096184766332041;	0.099966939359346;	0.101421072951431;	0.099558643567231;	0.102070963441957;	0.103451418789404;	0.105825351325485;	0.106333838298426;	0.108170013822360;	0.111503999009441;	0.113747351063856;	0.113153844646098;	0.116040805033195;	0.119828468547984;	0.123235963625504;	0.125117477261226;	0.125977638837370;	0.128533939279738;	0.130976380229255;	0.134170097380079;	0.135862670473395;	0.139937465586753;	0.143616250280363;	0.146652493692147;	0.147966686404643;	0.147417041283582;	0.150557829312159;	0.154727773430221;	0.159314275429672;	0.163692530103950;	0.167937556800727;	0.172344681098177;	0.176754245594558;	0.181233819646693;	0.185844850271022;	0.190251171589428;	0.195865386878428;	0.201369233970780;	0.204753090666477;	0.207305652259573;	0.211322581077822;	0.215031685649742;	0.219211168477390;	0.223492499649441;	0.225510949543346;	0.227812096503453;	0.230304834829802;	0.235108437218995;	0.240982542708836;	0.249652975082662;	0.257696639549910;	0.266629009431189;	0.276595171940297;	0.287210883425789;	0.300070853261506;	0.310496602003626;	0.321922511559483;	0.337125824217251;	0.353973620534248;	0.372102735155031;	0.392324794784810;	0.414710572814463;	0.431711501089779;	0.471220203153435;	0.518157687398271;	0.555645728872228;	0.590886561507821;	0.629038982609289;	0.660106570997595;	0.690311044531199;	0.793857726130620
0.681479532352842;	0.122147226465020;	0.139056195712440;	0.122907679732711;	0.108860578299161;	0.096394996970675;	0.125149174240562;	0.111575872457463;	0.072453518268737;	0.065218105572965;	0.133510059466661;	0.154857356053506;	0.088893472669560;	0.091733072044211;	0.090259261356867;	0.096508784195043;	0.058060803009657;	0.056643052558618;	0.057404298298912;	0.058248491994053;	0.059343702269468;	0.061766642448244;	0.062712419062535;	0.063010115051113;	0.062949459213093;	0.065474914575810;	0.068549557897616;	0.067864835671245;	0.069941354028318;	0.072927256422855;	0.071056136875503;	0.074148427112947;	0.076197243627589;	0.075579044773474;	0.078661565361162;	0.081365189362831;	0.080042452499996;	0.083346724597121;	0.084820026602706;	0.086754279840444;	0.085760110440800;	0.089136777253107;	0.089686623678821;	0.093770513897111;	0.096225349684656;	0.095162515278405;	0.097470325035898;	0.098453839192087;	0.099149837136049;	0.103047385558453;	0.106982953584798;	0.108481169692395;	0.106762144925765;	0.109394771629279;	0.110931609846741;	0.113395559399308;	0.113755739718596;	0.115599249706133;	0.119078694769294;	0.121409085627244;	0.120301743579288;	0.123276536556847;	0.127184766676607;	0.130697729863971;	0.132634275981162;	0.133479822042273;	0.136120436635387;	0.138647737888317;	0.141951246622500;	0.143701124649586;	0.147903988785296;	0.151696983700373;	0.154825018093964;	0.156169665981004;	0.155692861830807;	0.158899686634763;	0.163163453160142;	0.167854362185908;	0.172330294195298;	0.176668067274091;	0.181171039355071;	0.185674240804198;	0.190249088199961;	0.194956782652579;	0.199451235789014;	0.205030664329656;	0.210633649995660;	0.214069705987254;	0.216652008396162;	0.220728370439106;	0.224491678880490;	0.228735134823967;	0.233075695726687;	0.235044359608490;	0.237325984185411;	0.239778350888050;	0.244649323851813;	0.250610010397025;	0.259411485516403;	0.267575919840302;	0.276638241500088;	0.286744195080895;	0.297502172212440;	0.310520109285467;	0.321065722594575;	0.332614557667383;	0.347958056115336;	0.364935299867747;	0.383175072685988;	0.403491628370766;	0.425952346416071;	0.442988220369587;	0.482553891485962;	0.529427461637401;	0.566813182487964;	0.601964371479903;	0.639990976544573;	0.670896602338997;	0.700642700858009;	0.801363753243673
0.695294652675906;	0.137763799994467;	0.154821360677410;	0.136845103675172;	0.121198119772377;	0.107208111796931;	0.135933913281897;	0.121504883826176;	0.080682756482307;	0.072621743561001;	0.142237196758512;	0.163569564339931;	0.095372422559474;	0.097851717880197;	0.096022128508787;	0.102181128659604;	0.064131758228108;	0.062486737649534;	0.063149569146550;	0.064074859230196;	0.065156593759774;	0.067671694525361;	0.068591295563001;	0.068943061207158;	0.068798570300310;	0.071344890743994;	0.074619018496770;	0.073832814874709;	0.075955810826603;	0.079120990705868;	0.077107738233542;	0.080307157787680;	0.082449144278565;	0.081736898472991;	0.085056925546288;	0.087629641100391;	0.086196553748047;	0.089539636571098;	0.091503786878945;	0.093556514563661;	0.092416455787668;	0.095964972488034;	0.095911470047801;	0.100177658294218;	0.102747768226768;	0.101742037729885;	0.104201737031924;	0.105699631565613;	0.106185183711377;	0.110263425774500;	0.114382458635427;	0.115964996964245;	0.113807292654946;	0.116531715655050;	0.117963788873398;	0.120522392070821;	0.120947823883200;	0.122882293258210;	0.126470487607416;	0.128881230192363;	0.128138906778739;	0.131237285747418;	0.135299661190892;	0.138946074580547;	0.140957354567211;	0.141809425682057;	0.144539607172625;	0.147151301320549;	0.150561034836385;	0.152229424390202;	0.156564047671149;	0.160474226339743;	0.163695840117392;	0.165040459185245;	0.164278816108185;	0.167612272438579;	0.172028808500727;	0.176881458979443;	0.181510196014961;	0.185993490651409;	0.190642667462870;	0.195287173496863;	0.200003070789273;	0.204850866216174;	0.209474103190852;	0.215094118193542;	0.220847612461188;	0.224383870497651;	0.227046664543261;	0.231234016502900;	0.235100204876006;	0.239455487260450;	0.243901154801486;	0.245850128438356;	0.248146471124596;	0.250587484357121;	0.255568606697555;	0.261658134907918;	0.270633659703385;	0.278958541316061;	0.288187760342042;	0.298468092280332;	0.309400838503313;	0.322609745305574;	0.333309456875840;	0.345021557624017;	0.360554110870106;	0.377718803992704;	0.396137040919373;	0.416623907008646;	0.439235993327692;	0.456370932749409;	0.496042323171687;	0.542858489425360;	0.580129799387770;	0.615170541272966;	0.653014744828686;	0.683649759620280;	0.712754464542809;	0.811017823742441
0.710936336960439;	0.155794135226685;	0.172830227866040;	0.152805439403899;	0.135346521236471;	0.119623906214725;	0.148072930335987;	0.132720231712784;	0.090106064360919;	0.081130074077560;	0.152023821015534;	0.173280083990636;	0.102786084102945;	0.104822182753117;	0.102617360828432;	0.108680437199556;	0.071091374595291;	0.069086301030827;	0.069818552305449;	0.070669684317590;	0.071778318898330;	0.074503812240724;	0.075445842540027;	0.075632166874700;	0.075414307332539;	0.078148908599053;	0.081602483908014;	0.080730864285348;	0.082897231085339;	0.086285695658356;	0.084012433309414;	0.087372508442573;	0.089663228230703;	0.088876375369951;	0.092163508520367;	0.095166916277306;	0.093608777276260;	0.097261008605332;	0.098699288658426;	0.100847684629609;	0.099654228403620;	0.103396321266671;	0.103819222595791;	0.108309193637835;	0.111034145458738;	0.109761730727601;	0.112314772527340;	0.113310214241053;	0.113916242465815;	0.118163039565132;	0.122448785766795;	0.124082393400572;	0.122112390170207;	0.124975512869565;	0.126598290672428;	0.129261924730080;	0.129497074752408;	0.131411930580073;	0.135147120149075;	0.137653284446089;	0.136267926644975;	0.139456570179971;	0.143644701813285;	0.147402214137715;	0.149474546828053;	0.150307904426154;	0.153132462182193;	0.155841113857359;	0.159374058999291;	0.161123159524877;	0.165600933147348;	0.169641304731238;	0.172970877062269;	0.174364010797584;	0.173780643438568;	0.177190131915422;	0.181711065113465;	0.186679415032336;	0.191417547055733;	0.196005554211975;	0.200763123258148;	0.205513928056152;	0.210338942115019;	0.215297774510186;	0.220023090965583;	0.225667587068405;	0.231549606720683;	0.235167802502268;	0.237895902738573;	0.242181523311912;	0.246140089865574;	0.250597724817335;	0.255138061639767;	0.257050763530515;	0.259346670849352;	0.261757140867651;	0.266833856193685;	0.273037225919601;	0.282171257464450;	0.290643288872130;	0.300027926603950;	0.310473599064140;	0.321574826574689;	0.334968866424024;	0.345818128044249;	0.357685361266518;	0.373390378644450;	0.390715596878931;	0.409271499973502;	0.429870800333681;	0.452559086828600;	0.469709920085518;	0.509377916418222;	0.556022842842844;	0.593070493340485;	0.627879690386015;	0.665406120500205;	0.695651335207910;	0.724045271623260;	0.819834551842487
0.727133174297844;	0.176539427243467;	0.193326542603215;	0.170993180068501;	0.151488335696783;	0.133808939161357;	0.161666322493235;	0.145280295033160;	0.100894843898959;	0.090814141391664;	0.162885550301287;	0.184052164707778;	0.111127261181962;	0.112724733640937;	0.110017907094489;	0.115937808779389;	0.078854552117562;	0.076545783143938;	0.077101119964857;	0.078064779396944;	0.079129699553838;	0.081933675311576;	0.082808906047583;	0.083065445559271;	0.082726317548912;	0.085448159773846;	0.089136462394767;	0.088139632266544;	0.090340306332041;	0.093938412833554;	0.091489188657746;	0.094953973912863;	0.097349994103140;	0.096444513004542;	0.099997318251799;	0.102825581878375;	0.101136187298380;	0.104821976309123;	0.106835881798531;	0.109122498306313;	0.107752543119447;	0.111692080021191;	0.111370252285543;	0.116053421908218;	0.118900135758343;	0.117682849543520;	0.120401527975309;	0.121998990893965;	0.122330925104859;	0.126770445321118;	0.131252485993772;	0.132975282188690;	0.130469864462863;	0.133423001511222;	0.134897563624249;	0.137652610960755;	0.137961365242213;	0.139993198061223;	0.143854564287352;	0.146446678305824;	0.145526101752782;	0.148850682474100;	0.153205933458497;	0.157106297138938;	0.159258115621384;	0.160091073011212;	0.163008172845147;	0.165803805001588;	0.169445028446835;	0.171059188604838;	0.175668180805425;	0.179823289919517;	0.183241011201205;	0.184608864954550;	0.183579559895320;	0.187116358149789;	0.191790505177355;	0.196920839430598;	0.201811315150597;	0.206543498440515;	0.211445031618953;	0.216333438586772;	0.221295066353841;	0.226388234820010;	0.231234725294078;	0.236930532360145;	0.242949860287356;	0.246654382434547;	0.249448306653171;	0.253829171864344;	0.257873900019431;	0.262424934086903;	0.267048530850412;	0.268904806666113;	0.271184646349642;	0.273547996356208;	0.278713427378141;	0.285024733505943;	0.294310701077178;	0.302922722403595;	0.312452435871372;	0.323048100584280;	0.334295718457565;	0.347842699815393;	0.358800464842112;	0.370772375260125;	0.386587820752989;	0.404002784219835;	0.422620685761904;	0.443256875526574;	0.465953965528978;	0.483072525116877;	0.522688374849072;	0.569137569177480;	0.605957010797963;	0.640528034430013;	0.677734585115787;	0.707615638495067;	0.735336285592336;	0.828520891799781
0.740921943475353;	0.200275742275751;	0.216477478958986;	0.191590798386493;	0.169782410287357;	0.149934208061033;	0.176818528330252;	0.159249067324556;	0.113117098674716;	0.101866758758415;	0.174952085178637;	0.195908865045473;	0.120593637372815;	0.121612209436149;	0.118394680988502;	0.124155520652065;	0.087511558611706;	0.084800933427011;	0.085440825069253;	0.086241853522056;	0.087308271503607;	0.090357158293340;	0.091242223774800;	0.091243443591207;	0.090796137685833;	0.093725412324121;	0.097594886748558;	0.096483385505560;	0.098694661715360;	0.102540262701644;	0.099762301433202;	0.103385548996788;	0.105943870940781;	0.104940284534489;	0.108406573017782;	0.111740842842854;	0.109898572409579;	0.113929285116341;	0.115273681129598;	0.117661075728074;	0.116225371598807;	0.120373652581355;	0.120600727120548;	0.125524282684681;	0.128544359463841;	0.127013625004237;	0.129839860372669;	0.130835370997672;	0.131298454834891;	0.135918480204703;	0.140579450006858;	0.142358534341770;	0.140084995059384;	0.143192686682396;	0.144890030821443;	0.147760731528607;	0.147826057389189;	0.149805400763035;	0.153812993418383;	0.156505802870461;	0.154789624140689;	0.158200113629016;	0.162678565644494;	0.166687290661767;	0.168897860902225;	0.169697505303133;	0.172709702171671;	0.175605094224352;	0.179373074271737;	0.181086705146545;	0.185843230639443;	0.190133643297126;	0.193664621547189;	0.195091491168651;	0.194382768244548;	0.197994291518610;	0.202770156745227;	0.208012768946961;	0.213008719234156;	0.217840859888490;	0.222845250894876;	0.227833274819355;	0.232896962521647;	0.238093139985440;	0.243032021178553;	0.248772529495988;	0.254909098742381;	0.258685034213037;	0.261534798056230;	0.266004456753415;	0.270132935288699;	0.274778854315355;	0.279488195595256;	0.281284229140128;	0.283545633819004;	0.285853012408998;	0.291098970420257;	0.297503277335756;	0.306917805652709;	0.315641783269439;	0.325283371286703;	0.335992541205292;	0.347350165914975;	0.361016658191231;	0.372062863649643;	0.384129068011502;	0.400053086804740;	0.417567034158886;	0.436267765513476;	0.456969219789705;	0.479704768273216;	0.496811397450187;	0.536379083438552;	0.582627993360730;	0.619212451818432;	0.653528680937600;	0.690387340526691;	0.719878851509775;	0.746899105380148;	0.837984551379847
0.756178710784543;	0.227392188919797;	0.242683042768655;	0.214921068937083;	0.190552909348750;	0.168258719272513;	0.193726620400004;	0.174866111994197;	0.126974518833704;	0.114369422082796;	0.188276311717472;	0.209050045763616;	0.131195537359919;	0.131702240931689;	0.127778516897917;	0.133319148800359;	0.097199008308913;	0.093975614156503;	0.094533523748071;	0.095497272807277;	0.096466174994472;	0.099558452590562;	0.100320391719021;	0.100422856433696;	0.099800707334313;	0.102654100738439;	0.106789744219761;	0.105517814500935;	0.107735305378664;	0.111815432115163;	0.108821946457415;	0.112532704448221;	0.115201001958771;	0.114045698430460;	0.117802062127758;	0.120891684190332;	0.118893011845040;	0.122938492797315;	0.124957783297474;	0.127499003694089;	0.125849039144719;	0.130214322187111;	0.129528395917979;	0.134654100961755;	0.137803603673100;	0.136331158480468;	0.139333558427304;	0.141025600055644;	0.141139888593352;	0.145959424203632;	0.150824845529912;	0.152696987316202;	0.149782761177370;	0.152975304027713;	0.154473783450981;	0.157429530219047;	0.157570879004323;	0.159676938582981;	0.163809448099691;	0.166582710197444;	0.165447223358552;	0.168999432196411;	0.173650950687274;	0.177806243387092;	0.180098260972304;	0.180889066789443;	0.183993597590541;	0.186975501451605;	0.190849781819782;	0.192361984286768;	0.197244344050778;	0.201643239414115;	0.205254415573187;	0.206625662269541;	0.205250598405365;	0.208986829582643;	0.213913039540825;	0.219314959414213;	0.224460847728318;	0.229434789710475;	0.234580289789313;	0.239702186235346;	0.244898501664260;	0.250223991650742;	0.255278030065020;	0.261097792229999;	0.267363172984436;	0.271217813637891;	0.274125286157820;	0.278678020953264;	0.282877756358198;	0.287597030000251;	0.292364405850575;	0.294063137957915;	0.296270258786158;	0.298483917971911;	0.303784531944258;	0.310262262542783;	0.319792240874562;	0.328621950676952;	0.338375585319297;	0.349203810789016;	0.360680923591980;	0.374476767941630;	0.385620067031286;	0.397785176777053;	0.413816459871109;	0.431422547996827;	0.450194047249499;	0.470943191684769;	0.493695465338959;	0.510768690568788;	0.550252878440207;	0.596265550003545;	0.632585738432598;	0.666614748797333;	0.703088783964218;	0.732163173061145;	0.758462761682507;	0.847082699679715
0.771142911370400;	0.258479590508437;	0.272228409743788;	0.241346384075075;	0.214065482504060;	0.189069109034168;	0.212537139159516;	0.192272165416571;	0.142718310964446;	0.128492258536176;	0.202952984017619;	0.223453591328729;	0.143258904307241;	0.142991337510518;	0.138391447403276;	0.143684342337292;	0.107964007572435;	0.104235704793108;	0.104704591054795;	0.105588106624863;	0.106536373078516;	0.109918008159076;	0.110667058431277;	0.110377877250596;	0.109602428155935;	0.112687721745822;	0.116996736917597;	0.115574106504499;	0.117754505306645;	0.122106069412159;	0.118697086828008;	0.122556653847966;	0.125399304310345;	0.124115612002588;	0.127707917120110;	0.131394431572003;	0.129207029401047;	0.133633799513510;	0.134795758124610;	0.137437255062821;	0.135704281053561;	0.140287607828888;	0.140235112155588;	0.145608190014371;	0.148942242149694;	0.147093867050436;	0.150208022585504;	0.151170379741963;	0.151423750418643;	0.156427457382652;	0.161475644014481;	0.163403549280326;	0.160773592454332;	0.164131814362732;	0.165886016723207;	0.168963346257016;	0.168804960863517;	0.170834422137620;	0.175119724207533;	0.177999626524438;	0.175884192571594;	0.179511298681416;	0.184274757056500;	0.188526344032854;	0.190866115500940;	0.191598623169446;	0.194788635316054;	0.197862412779229;	0.201855181768091;	0.203483846070610;	0.208505189115746;	0.213031469637593;	0.216748594146507;	0.218183257301718;	0.217329238762755;	0.221128122297339;	0.226140761066045;	0.231637620958837;	0.236870542486413;	0.241924587150837;	0.247151437508142;	0.252349765072197;	0.257623609224099;	0.263025742963949;	0.268143801647506;	0.274006469868165;	0.280355712455143;	0.284250478504406;	0.287183552924117;	0.291792524977778;	0.296044319866841;	0.300828161635306;	0.305653287375808;	0.307257731266719;	0.309421227925704;	0.311554959566975;	0.316924395874835;	0.323487120798692;	0.333138762544624;	0.342078644997499;	0.351945745209907;	0.362891067662575;	0.374482773424915;	0.388399404748670;	0.399631665084111;	0.411886381015291;	0.428012630471568;	0.445697300380487;	0.464525648067519;	0.485307614903481;	0.508060696932796;	0.525087020484422;	0.564457736102080;	0.610201477691916;	0.646230207212395;	0.679940614035767;	0.715992183426936;	0.744618829659446;	0.770171985888033;	0.856130646260094
