0.000014327144150;	0.000019405669204;	0.000033000355339;	0.000025330444574;
0.088320791632414;	0.076862965836988;	0.040412480430479;	0.030680093694405;
0.072850746066646;	0.064821412076681;	0.034015689251429;	0.025584340361242;
0.060289200714012;	0.053041262890559;	0.027743580906317;	0.020953932675343;
0.052551388708124;	0.044586975114218;	0.023231477124753;	0.017798691725677;
0.046857100367505;	0.038155335331727;	0.019812138727944;	0.015439377148507;
0.063395208380257;	0.052564296253389;	0.030227575857333;	0.027895847443838;
0.055831464494448;	0.046115842282857;	0.026202650457243;	0.025361659041779;
0.035715357063068;	0.028276559857757;	0.014656074822962;	0.012388711610214;
0.034941406192356;	0.026998601643902;	0.013969491827228;	0.011815240210525;
0.033486104367414;	0.025318298955201;	0.013096416969317;	0.011432320237576;
0.030944808847069;	0.023006143342910;	0.011954380072662;	0.011564948507146;
0.030161282360438;	0.021869698025027;	0.011389949944020;	0.011611122123270;
0.028864303152419;	0.020762429493716;	0.010777353031057;	0.010451974995774;
0.027838016397472;	0.020177969855093;	0.010456173948988;	0.009873127746390;
0.045456799863632;	0.036720836228846;	0.020498147680459;	0.018283380101614;
0.047152754834804;	0.043684683951412;	0.025119112112386;	0.023057107997409;
0.028279407116087;	0.023610903986556;	0.012988263134167;	0.011879384551740;
0.026672848399914;	0.021393048070699;	0.012128964409780;	0.010807800609626;
0.026039632763459;	0.019892735639412;	0.011282010750823;	0.011436566840671;
0.025301893164213;	0.018642580405641;	0.010621430130873;	0.011349427721265;
0.024007791905957;	0.018006440321993;	0.010200460878748;	0.010180703292710;
0.024044153881538;	0.017905940764763;	0.010142051209688;	0.010813312101357;
0.024368735118189;	0.018189984792824;	0.010326057032738;	0.011635482912340;
0.023565047136970;	0.017454902794090;	0.009855315283407;	0.010793648089731;
0.023021577182790;	0.017227622627872;	0.009702657626996;	0.011183116552810;
0.023460406611272;	0.017845759107208;	0.010939658534717;	0.012005467236721;
0.023716910033018;	0.018019638647463;	0.011630231650554;	0.011809609614450;
0.022194171378630;	0.017131199889816;	0.010806489822044;	0.011952911194548;
0.022086523290942;	0.016717506073587;	0.010408256606274;	0.011768388611477;
0.022367388212507;	0.017001612452460;	0.010485490991065;	0.011957383656846;
0.021684775785967;	0.016856404213694;	0.010726783708961;	0.012248575654686;
0.022117701843959;	0.017244571422693;	0.011244319466352;	0.012572195485708;
0.022038759739934;	0.017245119952950;	0.011399917441130;	0.012868905530093;
0.021287132042676;	0.016987951340186;	0.011215982354470;	0.012801285797658;
0.021669279696925;	0.017224504279792;	0.011145162431908;	0.013122319461776;
0.021385390504674;	0.017375718579140;	0.011535917742754;	0.013232969528771;
0.020952274836298;	0.017156512462371;	0.011838733989761;	0.013470195541237;
0.021446046312295;	0.017470267952832;	0.012129048160528;	0.013747674247951;
0.020874325909411;	0.017334427922245;	0.012220735326179;	0.013936766022585;
0.021256285133117;	0.017806319203725;	0.012684865752571;	0.014310509183824;
0.021322255289820;	0.017726792391212;	0.012683444257814;	0.014372952810920;
0.020453214536114;	0.017356862768514;	0.012565684567218;	0.014508535834539;
0.020842007695693;	0.017711427535020;	0.012921913830276;	0.014712422356299;
0.021131000962285;	0.017824818125540;	0.013120020949948;	0.015021343054445;
0.020426983728347;	0.017820566475406;	0.013173860969925;	0.015302249162678;
0.020487673431090;	0.017835361529098;	0.013309445213529;	0.015409734689135;
0.021040345066529;	0.017983830658702;	0.013520245886427;	0.015656274577516;
0.020056654075488;	0.017906894068906;	0.013595937341042;	0.015875968179785;
0.019848128230210;	0.017810604086614;	0.013762435113540;	0.015975856289332;
0.020738888671828;	0.018220034125606;	0.014029312843541;	0.016453043201350;
0.020023962873667;	0.018218618823149;	0.014178206592220;	0.016551918439096;
0.019816629908908;	0.017996940121753;	0.014254025888539;	0.016658364716658;
0.020357413901849;	0.018257133239364;	0.014450644405519;	0.017016926585347;
0.019733149571134;	0.018254685139766;	0.014597742853801;	0.017106773524825;
0.019512843873350;	0.018132372454327;	0.014744862226161;	0.017544234483294;
0.019984468350792;	0.018419920132608;	0.015095910530044;	0.017925343872644;
0.019536550207019;	0.018401218738081;	0.015173902063513;	0.017974492055286;
0.019248781845952;	0.018183240485440;	0.015238088868413;	0.018109332514273;
0.019481541586107;	0.018332196649294;	0.015472954563059;	0.018149451250822;
0.019235716434515;	0.018627894692561;	0.015880923366709;	0.018324949490439;
0.019258065659097;	0.018649724541772;	0.016031411710519;	0.018497637584172;
0.019209591225797;	0.018371121061034;	0.016092466994382;	0.018608642464086;
0.018736819065919;	0.018320524833318;	0.016369587408904;	0.018599295458575;
0.018936316440994;	0.018683154373394;	0.016640090101932;	0.018812571136964;
0.019255153657484;	0.018791226237802;	0.016799704424331;	0.018993368528391;
0.018585935639681;	0.018354975467597;	0.016703370219051;	0.018820563748661;
0.018567872171905;	0.018481908983175;	0.017055795330664;	0.019063044287454;
0.018822196612234;	0.018693914223396;	0.017327695912954;	0.019155536695216;
0.018030372349416;	0.018270516980857;	0.017204311520236;	0.018889343846624;
0.018128835441150;	0.018287289998519;	0.017472082532605;	0.019081787516117;
0.018558450300341;	0.018547351624233;	0.017804711684331;	0.019078321297357;
0.017710100433909;	0.018367398905991;	0.017833691259374;	0.018756482588375;
0.017499839158192;	0.018254336907530;	0.017805679963544;	0.018885625918489;
0.018130517760426;	0.018408044592437;	0.018053133058360;	0.018998469029435;
0.017954639360311;	0.018103238157370;	0.018042183335748;	0.018651621429492;
0.017218516487405;	0.017771348625901;	0.017891859889026;	0.018358188501689;
0.017205352867133;	0.017907669090086;	0.018062283059612;	0.018311444034058;
0.017406083236375;	0.017965553729502;	0.018221863318597;	0.018230481567823;
0.016535851514654;	0.017482403802984;	0.017949928825002;	0.017946841472884;
0.016370070579575;	0.017225807087953;	0.017883990351324;	0.017725939190899;
0.017005907880066;	0.017555290785917;	0.018500907624201;	0.017812490517827;
0.017003793340006;	0.017644164603915;	0.018701387931843;	0.017833038182468;
0.016137386987687;	0.017089072522443;	0.018016742950880;	0.017508922819801;
0.016050885050617;	0.016863485856960;	0.017616941875337;	0.017208890581344;
0.016308027810845;	0.016816936980314;	0.017576033946839;	0.017043647502237;
0.015934103822776;	0.016491710736673;	0.017432039056206;	0.016878908724720;
0.015373397751872;	0.016150707587530;	0.017168271346765;	0.016628809475590;
0.015236885591532;	0.016105603338859;	0.017098607534992;	0.016494207126493;
0.015489117218065;	0.016113247464241;	0.016919164372722;	0.016437078493586;
0.015223111676896;	0.015877595057451;	0.016688951620583;	0.016167229631392;
0.014534798405591;	0.015451533015349;	0.016403688151496;	0.015780144305239;
0.014109133692685;	0.015085881182305;	0.016072703141741;	0.015567051333251;
0.014313768683731;	0.015028736403943;	0.015957423626166;	0.015535005450721;
0.014264371875937;	0.014872251459662;	0.015717384499577;	0.015425091819630;
0.013878833992648;	0.014641196666689;	0.015471109730566;	0.015249760084801;
0.013008162114485;	0.014150119169477;	0.015096427928402;	0.014898887291851;
0.012729144369595;	0.013854111520092;	0.014834286723637;	0.014651960804081;
0.012847692718177;	0.013754731262714;	0.014749767623267;	0.014515331481420;
0.012331514221847;	0.013362783245547;	0.014521611712597;	0.014123115486948;
0.011766787064351;	0.012900611604285;	0.014108121486704;	0.013742266405084;
0.010870565270440;	0.012322421288449;	0.013573617268449;	0.013384302620309;
0.010561402744765;	0.011988873389991;	0.013262851813457;	0.013103975464632;
0.010132461840420;	0.011536151521063;	0.012891589054926;	0.012717021383276;
0.009398696980260;	0.010937142311935;	0.012426651253671;	0.012215099312176;
0.008967641341121;	0.010358339650172;	0.011969608446392;	0.011729493916846;
0.008426290944247;	0.009748010714406;	0.011418928738054;	0.011166734111270;
0.008009974315622;	0.009292581622266;	0.010921959997979;	0.010634273971050;
0.007698538537046;	0.008895217766941;	0.010478740565640;	0.010057086640490;
0.007361926657999;	0.008504319896756;	0.010063280412227;	0.009488319175396;
0.006923319586842;	0.008002532214032;	0.009448959617387;	0.008914776357695;
0.006474956979474;	0.007474117881140;	0.008768501609727;	0.008348057919013;
0.006058741326697;	0.007004261350951;	0.008220949605753;	0.007811556047498;
0.005654157045856;	0.006560459241034;	0.007696367840139;	0.007309706924507;
0.005380648473440;	0.006196799006261;	0.007232964205533;	0.006888309233272;
0.005120637942304;	0.005840501973511;	0.006781392307775;	0.006477904457535;
0.004801814255779;	0.005464293161916;	0.006337431684913;	0.006073895379908;
0.004500539996107;	0.005117248584046;	0.005945134876276;	0.005687343146737;
0.004207004386087;	0.004796652222057;	0.005550847073987;	0.005314066068954;
0.003940711189547;	0.004495923182352;	0.005171240004353;	0.004964705441624;
0.003685481575588;	0.004210010944873;	0.004840578001724;	0.004650444743235;
0.003423030979405;	0.003930901396990;	0.004531908683427;	0.004355390133599;
0.003231850535674;	0.003682714651255;	0.004217965097196;	0.004063196254641;
0.003055042966847;	0.003447817096169;	0.003923456983327;	0.003788051702785;
0.002836724538267;	0.003206732973129;	0.003659122788206;	0.003544514787811;
0.002624804226651;	0.002969714278572;	0.003396957824585;	0.003261553999628;
0.002427549264609;	0.002743569281373;	0.003137225399031;	0.003004309538085;
0.002263117161661;	0.002547964628685;	0.002903577161400;	0.002803143863896;
0.002110489439468;	0.002368836616773;	0.002680578997446;	0.002602874085123;
0.001965163298976;	0.002204045117419;	0.002479823970716;	0.002447834505812;
0.001846750529879;	0.002065476831958;	0.002318646029535;	0.002371061792150;
0.001722260813344;	0.001931742584010;	0.002165149815875;	0.002263520388895;
0.001637147492906;	0.001815560135559;	0.002022913852178;	0.002109034698143;
0.001583145210210;	0.001729787040792;	0.001907665322573;	0.001993827379619;
0.001459480807437;	0.001604721796145;	0.001759501511712;	0.001574675926176;
0.001361501820205;	0.001506015002799;	0.001646819675824;	0.001476834404810;
0.001324500556640;	0.001465141299002;	0.001604858868848;	0.001806850459728;
0.001232425085753;	0.001365347187626;	0.001508499991653;	0.001644587317289;
0.001124052377434;	0.001244884156128;	0.001381276257584;	0.001355749168665;
0.001043179613771;	0.001154168390648;	0.001274060264557;	0.001195933889720;
0.000982475847748;	0.001086847117369;	0.001190303951541;	0.001162195865918;
0.000927655316990;	0.001026500045637;	0.001124206645685;	0.001156506852132;
0.000864573751444;	0.000957457255484;	0.001053412335624;	0.001048754410842;
0.000811338664529;	0.000896842121317;	0.000985175635161;	0.000961736789621;
0.000767321470885;	0.000848132693056;	0.000927562715391;	0.000908984320989;
0.000730073159660;	0.000807694452764;	0.000880787087698;	0.000871629955522;
0.000693556975362;	0.000771565798823;	0.000837912982479;	0.000842605918580;
0.000677315380933;	0.000746360741916;	0.000805978051707;	0.000814069859084;
0.000663257263574;	0.000720376668189;	0.000777019523033;	0.000766669269653;
0.000631889815297;	0.000688560242166;	0.000744314483120;	0.000743085427642;
0.000599629857400;	0.000655589814344;	0.000709237190895;	0.000708272924934;
0.000564710186979;	0.000617919270868;	0.000669733023081;	0.000669422975311;
0.000532003857699;	0.000582789378793;	0.000632532747129;	0.000636908785588;
0.000502806773523;	0.000551344068905;	0.000599901479525;	0.000596293929284;
0.000474576683381;	0.000519730817103;	0.000562892060707;	0.000562633470096;
0.000448098814182;	0.000491761862787;	0.000531714377955;	0.000533530401743;
0.000423731358014;	0.000467733122612;	0.000511268183837;	0.000507010699908;
0.000398340524567;	0.000437967207154;	0.000476568127600;	0.000475869913119;
0.000375285267466;	0.000411822681624;	0.000445499903181;	0.000449693271008;
0.000356463076395;	0.000393612154271;	0.000433465841766;	0.000428408626694;
0.000333966672626;	0.000364713280949;	0.000401715898460;	0.000402886437060;
0.000320556783832;	0.000351290152509;	0.000378366547081;	0.000386330810202;
0.000313176373368;	0.000351051392243;	0.000385010427110;	0.000377475130459;
0.000289385620964;	0.000321955560509;	0.000353244276589;	0.000350595139890;
0.000270823061749;	0.000299634072005;	0.000322974473815;	0.000328055768071;
0.000260508942700;	0.000292091855903;	0.000319524607461;	0.000316971979543;
0.000246065989761;	0.000277763159900;	0.000306260329998;	0.000301071594105;
0.000232745495806;	0.000263763885950;	0.000290561364095;	0.000286814846801;
0.000222175392911;	0.000256333544425;	0.000290281731308;	0.000275307999556;
0.000202922653039;	0.000236947183839;	0.000275375485401;	0.000251401766946;
0.000176957498580;	0.000203798917717;	0.000232165753528;	0.000219685884096;
0.000154816728072;	0.000175279979914;	0.000192762888937;	0.000193451317420;
0.000139461534534;	0.000157594423614;	0.000170575613865;	0.000175692307994;
0.000127822869173;	0.000146916167550;	0.000163763210500;	0.000161739542962;
0.000108936927341;	0.000125929012011;	0.000141671149978;	0.000138570989874;
0.000088180908063;	0.000101626940080;	0.000113236922899;	0.000113035589984;
0.000069237191339;	0.000079876462163;	0.000089241107216;	0.000089333533671;
0.000051209533180;	0.000057706387706;	0.000064256404217;	0.000066100300599;
0.000038554267720;	0.000042708881845;	0.000047249823642;	0.000049771511769;
0.000029781715437;	0.000032672847342;	0.000036023858551;	0.000037907608539;
0.000020942587187;	0.000022781266655;	0.000025067972801;	0.000026327870002;
0.000012982095914;	0.000014069552122;	0.000015407657438;	0.000016262802593;
0.000007350194225;	0.000007950812129;	0.000008729916560;	0.000009167850527;
0.000003511108386;	0.000003768775871;	0.000004106166624;	0.000004313194602;
0.000001435345939;	0.000001529481196;	0.000001650673485;	0.000001729297103;
0.000000479841770;	0.000000508001345;	0.000000544636759;	0.000000569178730;
0.000000126646770;	0.000000133780435;	0.000000143197493;	0.000000148663343;
0.000000026819641;	0.000000028466922;	0.000000030774817;	0.000000031646508;
0.000000003356849;	0.000000003595580;	0.000000003898672;	0.000000003902783;
0.000000000262353;	0.000000000283686;	0.000000000314875;	0.000000000309705;
0.000000000018917;	0.000000000020778;	0.000000000023617;	0.000000000023667;
0.000000000001643;	0.000000000001846;	0.000000000002194;	0.000000000001942;
0.000000000000128;	0.000000000000143;	0.000000000000165;	0.000000000000159;
0.000000000000039;	0.000000000000043;	0.000000000000048;	0.000000000000050;
0.000000000000022;	0.000000000000024;	0.000000000000027;	0.000000000000029;
0.000000000000015;	0.000000000000016;	0.000000000000017;	0.000000000000019;
0.000000000000009;	0.000000000000009;	0.000000000000010;	0.000000000000011;
0.000000000000005;	0.000000000000005;	0.000000000000005;	0.000000000000006;
0.000000000000002;	0.000000000000002;	0.000000000000002;	0.000000000000002;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
