0.000000000000000;	0.037342894520033;	0.019894631268428;	0.018182914700665;
0.002605941256305;	0.002113569588423;	0.000000000000000;	0.000000000000000;
0.002144539467846;	0.012202594645866;	0.000000000000000;	0.000000000000000;
0.001995621022464;	0.017983714406057;	0.000000000000000;	0.000000000000000;
0.001866687629532;	0.021292670935844;	0.000000000000000;	0.000000000000000;
0.001871737107654;	0.023330377385937;	0.000000000000000;	0.000000000000000;
0.001736933208219;	0.025182039242516;	0.000000000000000;	0.000835347890534;
0.001685866387139;	0.023431340454214;	0.000000000000000;	0.001670695781069;
0.001642023853980;	0.021996708415391;	0.000000000000000;	0.000850037714369;
0.001798927544735;	0.020993686407684;	0.000000000000000;	0.000705207541662;
0.001665974055851;	0.019857397066628;	0.000000000000000;	0.000773633886623;
0.001729265747090;	0.018094819238306;	0.000000000000000;	0.001448671150717;
0.001690004688306;	0.016988843382103;	0.000000000000000;	0.001884406111920;
0.001720609552856;	0.016295411997064;	0.000000000000000;	0.001500768919498;
0.001818771847375;	0.016177978090597;	0.000000000000000;	0.001296997700437;
0.001825833067335;	0.017036233671500;	0.000000010719564;	0.001660977039503;
0.001799154897411;	0.018348813015525;	0.000000021439128;	0.002450625503853;
0.001789138198854;	0.018323085079049;	0.000000021200250;	0.002067610744347;
0.001841760491523;	0.017035843937291;	0.001236789157084;	0.001843945055476;
0.001989451540319;	0.016034948653392;	0.001085713352487;	0.002465611691158;
0.001954476896182;	0.014856511829210;	0.001044840686478;	0.002878673125118;
0.001859325472409;	0.014919392186979;	0.000981324364302;	0.002379064486852;
0.002128074647261;	0.014686789909055;	0.000885464117662;	0.002752916550149;
0.002077873191462;	0.014976698995429;	0.000876743062381;	0.003365211054820;
0.002149965051477;	0.014302846259721;	0.000793553666216;	0.003066229973315;
0.002064462623192;	0.014305737840952;	0.000723773172354;	0.003444144912806;
0.002377992268391;	0.014243745668046;	0.001272078324033;	0.003851731783086;
0.002306773425550;	0.014279979477764;	0.002539403761025;	0.003675580076863;
0.002153377299426;	0.014393607012009;	0.002037528577247;	0.004117377160315;
0.002526504283268;	0.013873980367596;	0.001783383326639;	0.004150444854021;
0.002407733871473;	0.014333700142978;	0.001720802090366;	0.004285831584620;
0.002426645768904;	0.014310617613995;	0.002067442081694;	0.004665833174194;
0.002691302964514;	0.014547310076030;	0.002492062173280;	0.004828496979161;
0.002605295092069;	0.014509468908298;	0.002623645472783;	0.005121722277048;
0.002579195801070;	0.014760329710617;	0.002572405843077;	0.005271865544752;
0.002952673442055;	0.015147811089906;	0.002359194115017;	0.005566343505130;
0.002651048284272;	0.015469266709338;	0.002705669973189;	0.005678579529870;
0.002965175139660;	0.015046914479991;	0.003251363570892;	0.006006938148539;
0.003022458638402;	0.015237954794052;	0.003298923985959;	0.006182363808976;
0.002912169981887;	0.015342619948303;	0.003348860983923;	0.006490301675421;
0.003327344557225;	0.015880322655261;	0.003682685098580;	0.006742679378542;
0.003249713025910;	0.015693966275248;	0.003873046639191;	0.006875976542360;
