0.080962000554619;	0.000866865805622;	0.000313422906810;	0.000156567430686;	0.000043749432816;	0.000009783355131;	0.000165613456895;	0.000020081493040;	0.000078314451335;	0.001906486329330;	0.000551134554823;	0.000488864768511;	0.000586918858232;	0.000160926807788;	0.000252023737859;	0.000305368154634;	0.000438083447371;	0.000455429470398;	0.000573842315179;	0.000518995081946;	0.000486131193443;	0.000655570974171;	0.000584590678400;	0.000527075087788;	0.000472022928915;	0.000499171319049;	0.000364871400374;	0.000518002907853;	0.000314376828505;	0.000441675540013;	0.000349046775934;	0.000261766284826;	0.000275027340487;	0.000326262310710;	0.000290517475263;	0.000259237541737;	0.000193029088785;	0.000235513806649;	0.000303964410345;	0.000211881488639;	0.000183991432678;	0.000197393261814;	0.000202923064230;	0.000180029473112;	0.000229395793634;	0.000260580394538;	0.000302491520084;	0.000092428338406;	0.000227537510052;	0.000194036824856;	0.000192435081588;	0.000222761163614;	0.000213204267804;	0.000229007783483;	0.000262457848774;	0.000299988089100;	0.000359404387303;	0.000377939238604;	0.000357859524002;	0.000395545054471;	0.000427980692587;	0.000444993554070;	0.000449336580788;	0.000477320577969;	0.000506758332218;	0.000586208133264;	0.000468657575837;	0.000557555176771;	0.000589210043249;	0.000571776407193;	0.000594920360083;	0.000654332468755;	0.000707856077517;	0.000746343972806;	0.000803014728190;	0.000696677431580;	0.000735774207217;	0.000782709756692;	0.000940225986006;	0.000993699781566;	0.001074142106006;	0.000958858750895;	0.000647564839825;	0.001284196021338;	0.001399138681905;	0.001392111369937;	0.001523986838170;	0.001571289639007;	0.001621070003374;	0.001746118340581;	0.001803169204388;	0.001894390795065;	0.002029270839218;	0.002158455760704;	0.002293074611334;	0.002522859637620;	0.003024248290636;	0.003714299926791;	0.004401743021870;	0.004570818593390
0.094995551818391;	0.002854659005875;	0.000898363682890;	0.000461372306606;	0.000191419004853;	0.000072277206235;	0.000259213893310;	0.000081708763675;	0.000132128788071;	0.001934087281398;	0.000606756021122;	0.000524290684746;	0.000624944913829;	0.000244096784449;	0.000366949950203;	0.000445301934662;	0.000647135136012;	0.000721949122200;	0.000898166529805;	0.000824522597907;	0.000791623919367;	0.000767376662531;	0.000701359253614;	0.000644230554003;	0.000590106697826;	0.000617620922676;	0.000460516658162;	0.000644796696377;	0.000408423981343;	0.000565787286115;	0.000448997139527;	0.000355965306716;	0.000371222397928;	0.000444787676256;	0.000382951861949;	0.000360120319859;	0.000286122045162;	0.000327215667468;	0.000417863568690;	0.000315558845432;	0.000269861881243;	0.000283060734724;	0.000312234978329;	0.000278544899403;	0.000343980330297;	0.000386036409165;	0.000438659078215;	0.000177864282795;	0.000349512516639;	0.000309324305241;	0.000320263661029;	0.000370000349594;	0.000330656513039;	0.000386068593465;	0.000425547805649;	0.000489674019968;	0.000578915823479;	0.000609320842793;	0.000586164604063;	0.000645209114818;	0.000700916552742;	0.000743716725574;	0.000751069295884;	0.000809147240929;	0.000817137766945;	0.000989702265076;	0.000824767698385;	0.000953430830845;	0.000993466773888;	0.000964103188377;	0.001002988805027;	0.001093522105144;	0.001175376208658;	0.001235380241575;	0.001324005752629;	0.001265803894745;	0.001331562772087;	0.001407994004573;	0.001663394025364;	0.001767339639115;	0.001909941053390;	0.001627442256974;	0.001273316917746;	0.002233406953552;	0.002438636023604;	0.002448025892619;	0.002676068565936;	0.002744756447135;	0.002773932609381;	0.002991581660371;	0.003087329036549;	0.003214853826432;	0.003415359930229;	0.003611085842143;	0.003806628146039;	0.004156733141304;	0.004944362133151;	0.006003552480621;	0.006982169174714;	0.005431869447954
0.103529791772190;	0.012881298280802;	0.003099061993699;	0.001020992570824;	0.000412154132375;	0.000248721531558;	0.000382923999533;	0.000236636827092;	0.000282298876192;	0.001990044552709;	0.000694887735765;	0.000566955338727;	0.000651328542038;	0.000303694601681;	0.000449662909047;	0.000538432078064;	0.000778641516128;	0.000891246698826;	0.001107366707729;	0.001022175970264;	0.000995498191613;	0.001043098176600;	0.000983344923367;	0.000925364965714;	0.000879045560982;	0.000909556738233;	0.000699856766644;	0.000947072436942;	0.000639681098698;	0.000860557623397;	0.000690838141340;	0.000586020561224;	0.000598154928336;	0.000721975288561;	0.000601112060003;	0.000597077544624;	0.000507564347869;	0.000546797781346;	0.000668367821101;	0.000553041871016;	0.000466977098677;	0.000470170706806;	0.000547827532013;	0.000499828155824;	0.000577141290372;	0.000639945125046;	0.000711623792995;	0.000362079585333;	0.000578606834501;	0.000535620719011;	0.000563795736985;	0.000637596412958;	0.000537450523917;	0.000662675572052;	0.000697774576456;	0.000796889478915;	0.000918925386274;	0.000953599540864;	0.000917086629408;	0.000992530699804;	0.001063528778156;	0.001121494542815;	0.001112117090519;	0.001189928586136;	0.001173475113681;	0.001425343523627;	0.001259321631002;	0.001426154309584;	0.001471307696129;	0.001428368909554;	0.001480048914120;	0.001599435658315;	0.001713115965247;	0.001801006481954;	0.001927444469781;	0.001766065092452;	0.001838680284816;	0.001924256124749;	0.002235048416245;	0.002352669759338;	0.002519739068526;	0.002168235150672;	0.001741948638780;	0.002864783130879;	0.003125939624755;	0.003140424278349;	0.003402723545176;	0.003492933051998;	0.003541143520983;	0.003788843907243;	0.003898194814129;	0.004052103497896;	0.004292820055910;	0.004525099668781;	0.004756788877621;	0.005177546148627;	0.006138912639652;	0.007414215657554;	0.008530581419254;	0.006907526235490
0.116033745511036;	0.052684759192759;	0.017668240818605;	0.004238956705821;	0.001120172397475;	0.001317358305185;	0.000746099385994;	0.000606915455605;	0.000769339736263;	0.002233144568785;	0.001025933806740;	0.000683150918928;	0.000705137541600;	0.000404424403602;	0.000572376331133;	0.000673495750362;	0.000965733153751;	0.001131641486100;	0.001409308635448;	0.001321477018443;	0.001309932078306;	0.001376341628673;	0.001323054713814;	0.001259454098867;	0.001229324376990;	0.001275635329981;	0.001007146697055;	0.001316497079859;	0.000939496999031;	0.001223613746467;	0.000999729255070;	0.000890316809459;	0.000891773429601;	0.001082137327292;	0.000890848861706;	0.000908631982207;	0.000801674981462;	0.000849026466571;	0.000987654659544;	0.000872276936761;	0.000750767165467;	0.000730544498090;	0.000869659796726;	0.000818636389770;	0.000896938681420;	0.000992046423985;	0.001086991398246;	0.000631433713294;	0.000900254065033;	0.000860973434714;	0.000912285824933;	0.001025415490752;	0.000839330571763;	0.001058982555683;	0.001095203273028;	0.001238826681071;	0.001396958883166;	0.001442104133799;	0.001407097066426;	0.001514131369436;	0.001610469069719;	0.001688940199129;	0.001654140224753;	0.001769962750867;	0.001741809298009;	0.002099093567182;	0.001906409959673;	0.002120552450544;	0.002171216974571;	0.002107908647122;	0.002176112571986;	0.002324035798897;	0.002466482283418;	0.002572190256780;	0.002728343028278;	0.002591102657529;	0.002696383561436;	0.002817897178846;	0.003224514228286;	0.003394980451352;	0.003626692504146;	0.003067658273242;	0.002676144719716;	0.004055069253001;	0.004439451458314;	0.004494122857396;	0.004849669958581;	0.004977621771876;	0.005001571038464;	0.005325339428789;	0.005476704332254;	0.005662821658645;	0.005969788297155;	0.006267556624963;	0.006553859076803;	0.007091960807081;	0.008348525648065;	0.009981023329351;	0.011329355709632;	0.008524884584553
0.134921191965255;	0.099517945893460;	0.066549803183876;	0.024291440365716;	0.005563152865879;	0.008979387541698;	0.002597989586284;	0.001418227136841;	0.001704275632761;	0.002912715348258;	0.001872957547816;	0.000990307942641;	0.000836196975654;	0.000603567996069;	0.000739879796208;	0.000849377535317;	0.001198127975863;	0.001415493756655;	0.001766242039349;	0.001691870027175;	0.001685907081331;	0.001783229894035;	0.001747576232737;	0.001672764085328;	0.001659741046298;	0.001740644385524;	0.001407736230534;	0.001779795980397;	0.001338621645688;	0.001684447434505;	0.001404427607821;	0.001291186593200;	0.001277129330089;	0.001551641704912;	0.001276159478855;	0.001322754822803;	0.001198109918076;	0.001264050685946;	0.001412149624673;	0.001309911941997;	0.001147402207582;	0.001087261253085;	0.001300961386110;	0.001253681099541;	0.001331362280573;	0.001464400962524;	0.001576102023627;	0.001008941031716;	0.001343379123583;	0.001300826332568;	0.001391301969751;	0.001562987926570;	0.001254125209048;	0.001589870155131;	0.001638888977635;	0.001813764235441;	0.002017974209889;	0.002076806815507;	0.002046007369003;	0.002185146796951;	0.002307958130270;	0.002412369799612;	0.002344037590329;	0.002496957768090;	0.002438440378453;	0.002917401325273;	0.002722412287835;	0.002988843774776;	0.003055240260533;	0.002981533228301;	0.003079463850416;	0.003267053662530;	0.003455284689393;	0.003597777075835;	0.003803822436056;	0.003552740014168;	0.003680788011212;	0.003828930421874;	0.004325984876898;	0.004533759519624;	0.004816695696297;	0.004101347002471;	0.003649711848419;	0.005271113276223;	0.005769864548552;	0.005834311241682;	0.006255536669227;	0.006399805974188;	0.006442414585968;	0.006821370245249;	0.007006739024362;	0.007237206722807;	0.007599160171278;	0.007955387318914;	0.008292660798564;	0.008941820461358;	0.010484116297600;	0.012432289357127;	0.013958725683247;	0.010596914913808
0.158634003054232;	0.120168947463981;	0.118461236716294;	0.080824334099059;	0.030164503130544;	0.043297296262180;	0.013942550759485;	0.004537779192733;	0.003430918966811;	0.004190067828075;	0.003256114428629;	0.001666950002303;	0.001161365457720;	0.001050633398033;	0.001027499560227;	0.001124270464661;	0.001512955322631;	0.001758443770257;	0.002220528297446;	0.002151645606213;	0.002142690013682;	0.002270195350426;	0.002264330543489;	0.002187046223617;	0.002188977847273;	0.002312088252867;	0.001919391587399;	0.002362443491740;	0.001847637350167;	0.002261507047174;	0.001918326703319;	0.001803981406275;	0.001776920604625;	0.002150017284163;	0.001785847552230;	0.001842799721127;	0.001710381050458;	0.001795110571010;	0.001953124375977;	0.001871567147393;	0.001672348961140;	0.001563888881437;	0.001861751087047;	0.001826281334762;	0.001908461361888;	0.002076783776244;	0.002203198785725;	0.001520195236700;	0.001928971669629;	0.001865544038629;	0.002024862902642;	0.002265234285119;	0.001798133941113;	0.002284611954280;	0.002355261198564;	0.002542929681763;	0.002829402745343;	0.002909201537682;	0.002873354934262;	0.003046220839745;	0.003204371519239;	0.003355888353088;	0.003257124890836;	0.003456893629392;	0.003350414154654;	0.003985249364435;	0.003761305233721;	0.004079675158915;	0.004155958826515;	0.004059297572104;	0.004180909324059;	0.004405807010408;	0.004639751600854;	0.004818979182408;	0.005066420292454;	0.004820000964152;	0.004994107845767;	0.005190744521950;	0.005813919207733;	0.006093936515984;	0.006462526337030;	0.005479958955860;	0.005031458800357;	0.007012494396191;	0.007677133727514;	0.007788906125198;	0.008324564550693;	0.008509445985454;	0.008551856593008;	0.009008961553309;	0.009271562294461;	0.009551186048986;	0.009994783869897;	0.010439735316529;	0.010847312442282;	0.011652366087985;	0.013585605162599;	0.015974543889698;	0.017723474804135;	0.012912693971284
0.185549812497078;	0.139309830680573;	0.142498766667667;	0.133209690161337;	0.088980575440989;	0.104126617248101;	0.055208231766534;	0.019985187404332;	0.008683662921483;	0.006598625290742;	0.005107149342105;	0.002946730137911;	0.001830225422904;	0.001882627601002;	0.001569300775609;	0.001648826371929;	0.001985839563729;	0.002192223582058;	0.002874221224320;	0.002717893626722;	0.002731797928161;	0.002849012706059;	0.002882799663106;	0.002823254092773;	0.002840050144947;	0.002998999917636;	0.002553685464270;	0.003091164569219;	0.002482944917041;	0.002983085666447;	0.002571553053090;	0.002440320061524;	0.002405934207363;	0.002891293510713;	0.002435260901820;	0.002496265555100;	0.002370469936025;	0.002475956224917;	0.002647656570416;	0.002595121303125;	0.002342809610340;	0.002183752582003;	0.002564926618642;	0.002554275332218;	0.002642643521441;	0.002844134924393;	0.002991752101774;	0.002197444638153;	0.002680825998342;	0.002589713615158;	0.002839404281114;	0.003152643272813;	0.002505950537085;	0.003175744461327;	0.003265456533854;	0.003462228130466;	0.003857320948973;	0.003959227080953;	0.003915264838284;	0.004126105342479;	0.004320851957846;	0.004519273789238;	0.004376653960653;	0.004626253719382;	0.004475752727648;	0.005260687760325;	0.005088249601515;	0.005468604325054;	0.005559505770802;	0.005442619560632;	0.005595379379034;	0.005871251166900;	0.006172491967370;	0.006410455928762;	0.006713796962310;	0.006328848188747;	0.006542448383123;	0.006777131594478;	0.007506460322199;	0.007838179101512;	0.008272987304458;	0.007046370935171;	0.006594786709895;	0.008801775738846;	0.009631718647462;	0.009772559267721;	0.010383731682194;	0.010588396650908;	0.010632222041467;	0.011145359692976;	0.011432560762678;	0.011751038290588;	0.012261221233582;	0.012767142324873;	0.013239562349512;	0.014182537389944;	0.016466478760637;	0.019180897825881;	0.021120964820921;	0.015534131922990
0.217827119734628;	0.174734892622138;	0.165316544547597;	0.159346908014580;	0.138501676748243;	0.145607356065217;	0.115442841998274;	0.066292314592001;	0.029129225034340;	0.013707444052641;	0.008335500049756;	0.006092229848829;	0.003119967881333;	0.003110520415201;	0.002507957331726;	0.002649015088756;	0.002718055363052;	0.002786673724746;	0.003912711123944;	0.003433219305117;	0.003568763645944;	0.003567597998411;	0.003652815635445;	0.003626685347564;	0.003640360233291;	0.003829554936670;	0.003338374186774;	0.003982902226684;	0.003257847888410;	0.003855637791471;	0.003374613228491;	0.003231209898416;	0.003195082516514;	0.003819857518807;	0.003263990767997;	0.003295728440111;	0.003179742520798;	0.003318829822512;	0.003494517265366;	0.003482465711380;	0.003201542643224;	0.002986471218477;	0.003449408101071;	0.003472107762485;	0.003571617097984;	0.003814185669978;	0.003977387384101;	0.003067505006215;	0.003625930279608;	0.003503583086632;	0.003850359303903;	0.004252962436514;	0.003411695851679;	0.004279321283035;	0.004387132364733;	0.004600609655092;	0.005102444390762;	0.005234508313637;	0.005199056772268;	0.005457520253160;	0.005693008882703;	0.005932251795882;	0.005734769358062;	0.006044085360277;	0.005869057311866;	0.006807000929783;	0.006632142926268;	0.007073868261486;	0.007175999324469;	0.007032565482692;	0.007213445525278;	0.007533472643998;	0.007895265555791;	0.008178231740867;	0.008520725882712;	0.008118711072886;	0.008400522622834;	0.008698002006976;	0.009557262316169;	0.009975040978405;	0.010511814519455;	0.008985805509394;	0.008592214375685;	0.011119980053446;	0.012184292223198;	0.012414830126285;	0.013153002914958;	0.013430686743922;	0.013507430453627;	0.014092224668419;	0.014482931500348;	0.014880873349208;	0.015507814498934;	0.016136468050500;	0.016713848365981;	0.017870440356408;	0.020650462548938;	0.023869852871430;	0.026053640003490;	0.018520106232528
0.254177532400832;	0.210451116784463;	0.201536780666934;	0.185871298666451;	0.164530940736226;	0.168564584347984;	0.153242032283364;	0.124096680449239;	0.079383745926468;	0.038435651426361;	0.017467631328476;	0.017438420592838;	0.006581961967565;	0.004997789094206;	0.004359920131753;	0.004276143301419;	0.003875984577862;	0.003616812019602;	0.005501987791231;	0.004386870118014;	0.004792860498301;	0.004516498716290;	0.004687238750507;	0.004712178506142;	0.004647558771586;	0.004875918327247;	0.004353431474922;	0.005048233957962;	0.004231246511343;	0.004935316196332;	0.004364328796196;	0.004183413794232;	0.004151036601349;	0.004926943775861;	0.004259523452953;	0.004278474937683;	0.004173014764252;	0.004377932508368;	0.004536166794663;	0.004590314345988;	0.004253318190865;	0.003970237437146;	0.004520192500988;	0.004573361898819;	0.004697672546071;	0.004994151621275;	0.005153818950711;	0.004144491802463;	0.004788623642084;	0.004636434436722;	0.005074216536841;	0.005605142522254;	0.004543079696757;	0.005613173501622;	0.005753527851289;	0.005984946094221;	0.006582064550261;	0.006767663475312;	0.006743846775101;	0.007064697942026;	0.007329304258702;	0.007618874547873;	0.007358174985404;	0.007723297518894;	0.007506513307845;	0.008639155261878;	0.008523761246989;	0.009047163515469;	0.009175769238075;	0.009017823855014;	0.009240117896475;	0.009619831102732;	0.010064667938522;	0.010414824722765;	0.010809917472111;	0.010242743846628;	0.010594012312939;	0.010949533460897;	0.011927908935871;	0.012415704218512;	0.013039986538299;	0.011190090334027;	0.010818272031318;	0.013613395132217;	0.014881203957909;	0.015154324727746;	0.015987344794844;	0.016276170545607;	0.016345442611406;	0.016992196659250;	0.017419051172862;	0.017857697804389;	0.018548858727744;	0.019247051576196;	0.019895230110323;	0.021194875446680;	0.024352925818097;	0.027872077913745;	0.030271048830670;	0.021972109064773
0.287741759187562;	0.251302842437747;	0.237528306611164;	0.222689286339374;	0.191084821766991;	0.194661475576290;	0.176472768895990;	0.159044888087766;	0.134687575332969;	0.091936801232759;	0.046095455338670;	0.052397597231223;	0.019421979565310;	0.009507089999656;	0.009986812309030;	0.007068882576171;	0.006391924328348;	0.004847180889160;	0.007893518238868;	0.005663960168514;	0.006508630512672;	0.005835856460355;	0.006120311427979;	0.006265542150733;	0.005963780039842;	0.006248750495013;	0.005773126950626;	0.006375703223016;	0.005511281825112;	0.006307505545502;	0.005552856768782;	0.005388053829437;	0.005382000094416;	0.006293797930480;	0.005504130369815;	0.005445736918345;	0.005356824997100;	0.005636519410767;	0.005786810471880;	0.005924863485332;	0.005535250740588;	0.005176899932347;	0.005826693883910;	0.005899667408628;	0.006071704979789;	0.006429611167160;	0.006569753656106;	0.005459659470871;	0.006194779404080;	0.005997110344404;	0.006524353853128;	0.007216710665318;	0.005902119563387;	0.007192851319374;	0.007380287073404;	0.007620198886373;	0.008323065366347;	0.008592092215638;	0.008570716513385;	0.008960639966292;	0.009257756585347;	0.009621399776786;	0.009304656612966;	0.009735519973647;	0.009471245235166;	0.010795066625541;	0.010669465965719;	0.011268673315343;	0.011412752694253;	0.011226263619937;	0.011478051307411;	0.011912801367948;	0.012439057056842;	0.012851982030035;	0.013291323803842;	0.012699892779141;	0.013145300981152;	0.013575938053384;	0.014697525243266;	0.015288448215099;	0.016040655129868;	0.013859786925338;	0.013550050190481;	0.016720160738085;	0.018270268078105;	0.018684179947943;	0.019679064519557;	0.020085914659690;	0.020252536374452;	0.021002330985459;	0.021599095323634;	0.022192556664348;	0.023069576022172;	0.023982223753999;	0.024830275203335;	0.025888343169087;	0.029643376685362;	0.033709484377940;	0.036452360323514;	0.026046144315258
0.320029480649752;	0.294692994016416;	0.277759576161195;	0.258421533578078;	0.226712794196670;	0.229289450481917;	0.204281285021236;	0.182579730331535;	0.168336584622600;	0.146329479103080;	0.102612735669666;	0.109066352449855;	0.057032617497020;	0.024504382670372;	0.029991855277520;	0.014133762626678;	0.014814974501334;	0.007438167310904;	0.012695945101094;	0.007511684564953;	0.009090542852866;	0.007618044060632;	0.008074181898478;	0.008429408240834;	0.007697649394586;	0.008054959867267;	0.007767707916930;	0.008096308205626;	0.007299764500769;	0.008144219360056;	0.007116757254141;	0.006965580137550;	0.007031480371577;	0.007906576491954;	0.007023527375034;	0.006950278366338;	0.006895473771344;	0.007222573443235;	0.007462889392850;	0.007691442356503;	0.007069053651369;	0.006643202685881;	0.007393995376353;	0.007511235717286;	0.007750493358564;	0.008182692245586;	0.008300298279686;	0.007110741162644;	0.007889454307840;	0.007637995766411;	0.008261049682179;	0.009133548718663;	0.007553608531159;	0.009102288587028;	0.009343908253253;	0.009607996100527;	0.010450245451394;	0.010813650312319;	0.010803649226849;	0.011221237950081;	0.011609793655394;	0.012062570544281;	0.011701089137122;	0.012230509011788;	0.011953029332481;	0.013290941098700;	0.013255857539268;	0.013961649687734;	0.014139380170260;	0.013941926941830;	0.014246782872046;	0.014766611228552;	0.015412301680983;	0.015919901820619;	0.016428710297799;	0.015673635271417;	0.016247491302521;	0.016786292702930;	0.018068475142167;	0.018776984070226;	0.019668021183637;	0.017146623089307;	0.016957066761506;	0.020429034571599;	0.022267027696857;	0.022810223532420;	0.023969443855815;	0.024462490507032;	0.024668978062672;	0.025531466848968;	0.026226813739767;	0.026911754454371;	0.027907574787219;	0.028942356010796;	0.029918245554360;	0.030614824016599;	0.034893414908900;	0.039379175009980;	0.042652296500728;	0.030669172213081
