0.021110868661601;	0.000009990352502;	0.000002417121045;	0.000000644310390;	0.000000098602406;	0.000000013695012;	0.000009808085039;	0.000001260395553;	0.000005279245040;	0.003447725900552;	0.000722325138037;	0.000664892107710;	0.000861292117545;	0.000007692291974;	0.000010410762219;	0.000009893267040;	0.000013764107287;	0.000014667689002;	0.000021263840812;	0.000016377178360;	0.000012692027505;	0.000017825976619;	0.000012632991209;	0.000011259175058;	0.000008987143003;	0.000009231312250;	0.000006521645146;	0.000009722606187;	0.000003765017320;	0.000006607026386;	0.000005030112815;	0.000002667592311;	0.000002957026352;	0.000003185704427;	0.000003981093073;	0.000002154767501;	0.000001329686264;	0.000002163729520;	0.000002784324935;	0.000001433478761;	0.000001216728367;	0.000001410841747;	0.000001185167482;	0.000001192068811;	0.000001513628436;	0.000001847149167;	0.000002536695262;	0.000000206593570;	0.000001105811421;	0.000001067056018;	0.000000949868040;	0.000001058511287;	0.000001319979913;	0.000001270112763;	0.000001553140276;	0.000001892154260;	0.000002631936861;	0.000002842389201;	0.000002447269800;	0.000002721731894;	0.000002980792005;	0.000003231743587;	0.000003564293712;	0.000003754351754;	0.000004344272835;	0.000004756116014;	0.000002774237306;	0.000003704240495;	0.000004128577348;	0.000004038565482;	0.000004091325853;	0.000004619219570;	0.000005234087893;	0.000005884971129;	0.000006598810524;	0.000005472969917;	0.000005935128243;	0.000006632153612;	0.000008565493951;	0.000009130549971;	0.000010069061351;	0.000009631459914;	0.000003433984550;	0.000013393160109;	0.000014456582973;	0.000013715044775;	0.000015340142012;	0.000015664971373;	0.000016992537150;	0.000018312202998;	0.000019348168854;	0.000020763005662;	0.000022630708059;	0.000024415595736;	0.000026385963018;	0.000029355485160;	0.000035505262203;	0.000044339035172;	0.000055029405212;	0.000065246469578
0.021380489883290;	0.000022365545082;	0.000007556361465;	0.000003656424324;	0.000001013326026;	0.000000226012844;	0.000010983194501;	0.000001442982691;	0.000005710255339;	0.003448160632889;	0.000723111761688;	0.000665393491648;	0.000862139412094;	0.000009044740162;	0.000012376325023;	0.000012386703019;	0.000017575570243;	0.000019037609469;	0.000026337137494;	0.000021216899594;	0.000017279451894;	0.000019610248602;	0.000014447976445;	0.000012893292483;	0.000010519693325;	0.000010899549135;	0.000007717935590;	0.000011415533894;	0.000005007493735;	0.000008192393201;	0.000006310424492;	0.000003747693788;	0.000004089174658;	0.000004598070815;	0.000005079543718;	0.000003335591245;	0.000002196689819;	0.000003218478197;	0.000004179760712;	0.000002430346667;	0.000002146821139;	0.000002431295063;	0.000002214386937;	0.000002091399926;	0.000002721442785;	0.000003240085944;	0.000004129721531;	0.000000662187975;	0.000002480843795;	0.000002174741690;	0.000002038097898;	0.000002352128089;	0.000002614745579;	0.000002619541176;	0.000003174210246;	0.000003752143923;	0.000004840735348;	0.000005203666250;	0.000004797856139;	0.000005406305277;	0.000005947407657;	0.000006292817703;	0.000006611433594;	0.000007057118862;	0.000007998525806;	0.000008927340422;	0.000006244628282;	0.000007784513691;	0.000008367089700;	0.000008070940456;	0.000008265018389;	0.000009159060035;	0.000010024357454;	0.000010729181675;	0.000011629044511;	0.000011085431886;	0.000011951254592;	0.000013045649619;	0.000016178038690;	0.000017356364894;	0.000019038830465;	0.000016729948718;	0.000010108120596;	0.000023765870307;	0.000025989700034;	0.000025566177588;	0.000028452346496;	0.000029195085171;	0.000030118329569;	0.000032818383648;	0.000034141369785;	0.000036127844202;	0.000039075928516;	0.000041888322044;	0.000044922745076;	0.000049729384752;	0.000059886769128;	0.000074224258661;	0.000090103644029;	0.000079080445452
0.021662864555308;	0.000050440797753;	0.000015822454594;	0.000008362940291;	0.000003172723570;	0.000000968312285;	0.000012263118071;	0.000002039564467;	0.000006214632891;	0.003448468807729;	0.000723759772999;	0.000665800752922;	0.000862659272871;	0.000010090866477;	0.000013766828228;	0.000014084773398;	0.000020094432046;	0.000022124232652;	0.000029957864109;	0.000024555163016;	0.000020465099729;	0.000024022059459;	0.000018991663719;	0.000017174753729;	0.000014632351416;	0.000015123000501;	0.000010899234729;	0.000015732215436;	0.000008172944381;	0.000012259616659;	0.000009535880248;	0.000006579291842;	0.000006984359015;	0.000008138274068;	0.000007761825669;	0.000006281037246;	0.000004628780635;	0.000005770102060;	0.000007445927300;	0.000005072318654;	0.000004349136858;	0.000004676404305;	0.000004784520679;	0.000004275732695;	0.000005440410824;	0.000006203332366;	0.000007281750983;	0.000002135870607;	0.000005290925394;	0.000004534162316;	0.000004494562145;	0.000005203027753;	0.000005002964004;	0.000005375904738;	0.000006177719383;	0.000007080269700;	0.000008535248037;	0.000008998638101;	0.000008497233946;	0.000009402062607;	0.000010189551486;	0.000010646692842;	0.000010817861867;	0.000011514663598;	0.000012283780649;	0.000014208663018;	0.000010967762457;	0.000013092397441;	0.000013872513083;	0.000013485534635;	0.000014038860653;	0.000015473800266;	0.000016785666823;	0.000017770938263;	0.000019186295915;	0.000016830303145;	0.000017856717757;	0.000019103330542;	0.000023124002676;	0.000024556732582;	0.000026668172627;	0.000023892035198;	0.000015361223510;	0.000032463697148;	0.000035388277359;	0.000034972913407;	0.000038490258121;	0.000039552840268;	0.000041017613801;	0.000044281519768;	0.000046008653883;	0.000048523009711;	0.000052077172708;	0.000055536977943;	0.000059123561635;	0.000065074122615;	0.000078022227823;	0.000096048650006;	0.000114956653170;	0.000103745009036
0.021859567568050;	0.000220048881787;	0.000050332718356;	0.000018100228413;	0.000007571320859;	0.000003709390818;	0.000014722548385;	0.000004709745776;	0.000008439665076;	0.003449279013816;	0.000725155298651;	0.000666620140039;	0.000863283493580;	0.000045973432934;	0.000015818979481;	0.000016474001786;	0.000023565746935;	0.000026613725883;	0.000035477748625;	0.000029728619347;	0.000025725626972;	0.000029461409067;	0.000024579688890;	0.000022710669168;	0.000020184505819;	0.000020648683972;	0.000015333506444;	0.000021468353529;	0.000012420664172;	0.000017749152042;	0.000013931151695;	0.000010686939439;	0.000011094978765;	0.000013134245965;	0.000011621266485;	0.000010436238285;	0.000008426234697;	0.000009470284369;	0.000011896449374;	0.000009105669385;	0.000007648874367;	0.000007889202851;	0.000008813721938;	0.000007882254403;	0.000009498805355;	0.000010574791044;	0.000011943148525;	0.000005046798989;	0.000009292674286;	0.000008274614357;	0.000008551572860;	0.000009764752983;	0.000008561234250;	0.000010042417984;	0.000010903818181;	0.000012452133407;	0.000014602947593;	0.000015245485553;	0.000014524227666;	0.000015839912584;	0.000017064327489;	0.000017999543751;	0.000018080503133;	0.000019336125028;	0.000019458009411;	0.000023417067024;	0.000018982090713;	0.000021888116915;	0.000022737490500;	0.000021972110440;	0.000022749494145;	0.000024726128787;	0.000026496904297;	0.000027778421756;	0.000029688669692;	0.000028428854139;	0.000029884078191;	0.000031609493240;	0.000037479965861;	0.000039810304892;	0.000043029035651;	0.000036656796680;	0.000027304757585;	0.000050892141923;	0.000055434495932;	0.000055160645626;	0.000060482267419;	0.000061712258144;	0.000062449300177;	0.000067393104258;	0.000069692084063;	0.000072641422781;	0.000077196002872;	0.000081679514456;	0.000086169368108;	0.000094051472335;	0.000111815856528;	0.000136160614155;	0.000160374253925;	0.000132930984078
0.022128222889701;	0.001018978440476;	0.000288481082595;	0.000064251282546;	0.000018389719828;	0.000017287835283;	0.000020369816643;	0.000011583466859;	0.000016663788948;	0.003452722283104;	0.000729929695913;	0.000668430408234;	0.000864206324813;	0.000047891401757;	0.000018405195052;	0.000019345529694;	0.000027580123726;	0.000031806461290;	0.000041992167330;	0.000036027043807;	0.000032339835370;	0.000036367148449;	0.000031580319085;	0.000029664497532;	0.000027417133452;	0.000028020361508;	0.000021439489380;	0.000028989917017;	0.000018299321662;	0.000025101842988;	0.000020043007205;	0.000016552890929;	0.000016805555145;	0.000020103677882;	0.000017148458721;	0.000016433103038;	0.000014069119479;	0.000015110656037;	0.000018133224291;	0.000015138471947;	0.000012711193768;	0.000012626822655;	0.000014762693301;	0.000013574196044;	0.000015350959399;	0.000016971017989;	0.000018824678473;	0.000009807773021;	0.000015061418669;	0.000014056728803;	0.000014769094990;	0.000016588477866;	0.000013842501011;	0.000017138140156;	0.000017905962108;	0.000020378343416;	0.000023405594834;	0.000024215847797;	0.000023220254031;	0.000025034689208;	0.000026731241724;	0.000028138649255;	0.000027862286663;	0.000029736760312;	0.000029344857266;	0.000035471691546;	0.000030935212692;	0.000034960032768;	0.000036005849475;	0.000034887217247;	0.000036039487205;	0.000038859340726;	0.000041550405344;	0.000043641664385;	0.000046637870087;	0.000042739536641;	0.000044478027719;	0.000046562574871;	0.000054187538951;	0.000057015911892;	0.000061062312483;	0.000052566270600;	0.000040950199063;	0.000069708231929;	0.000075900189908;	0.000075783329740;	0.000082223387334;	0.000084106159586;	0.000085380978789;	0.000091367788488;	0.000094113447436;	0.000097925918013;	0.000103776854073;	0.000109443751935;	0.000115115112923;	0.000125181331733;	0.000148328154169;	0.000179594080604;	0.000208738388224;	0.000189298591889
0.022540009673221;	0.002177392315771;	0.001281010383715;	0.000390416865314;	0.000079911769772;	0.000120427584683;	0.000044183763905;	0.000025273383331;	0.000034810212182;	0.003464365628267;	0.000744661129115;	0.000673320709360;	0.000866261167174;	0.000051180783276;	0.000057666472766;	0.000022920174954;	0.000032429141130;	0.000037944516859;	0.000049792823527;	0.000044006632928;	0.000040663207848;	0.000045115140176;	0.000040559925158;	0.000038400886346;	0.000036554773719;	0.000037765625265;	0.000029664014609;	0.000038759795171;	0.000026374816155;	0.000034695819618;	0.000028306064060;	0.000024708919418;	0.000024661382540;	0.000029723781628;	0.000024972473779;	0.000024733149758;	0.000021846234985;	0.000023238178291;	0.000026615496079;	0.000023597858262;	0.000020382088194;	0.000019634667816;	0.000023271683044;	0.000022048876636;	0.000023856777172;	0.000026327063451;	0.000028760220973;	0.000016824627106;	0.000023580669665;	0.000022579893134;	0.000023854639349;	0.000026718590885;	0.000021777514795;	0.000027358511887;	0.000028223124179;	0.000031733411255;	0.000035645702219;	0.000036697940145;	0.000035724971735;	0.000038312183100;	0.000040604985610;	0.000042455724081;	0.000041493133671;	0.000044259540487;	0.000043567723975;	0.000052230394767;	0.000046838543432;	0.000051998901732;	0.000053153745448;	0.000051495104089;	0.000053027538245;	0.000056528802116;	0.000059886254055;	0.000062383274520;	0.000066091352886;	0.000062633930222;	0.000065130338669;	0.000068052058431;	0.000078081806525;	0.000082203455174;	0.000087853457460;	0.000074455433632;	0.000063103051174;	0.000098787087350;	0.000107968072194;	0.000108763342513;	0.000117582660441;	0.000120429562345;	0.000121231016276;	0.000129212650698;	0.000133062276213;	0.000137780629375;	0.000145433476153;	0.000152890928206;	0.000160124683844;	0.000173243048408;	0.000203972836659;	0.000244828403164;	0.000280905523847;	0.000271873958088
0.023167567700600;	0.002698547920595;	0.002583973952792;	0.001566316443953;	0.000483647855012;	0.000706524611564;	0.006980006088141;	0.000067924384488;	0.000065739829350;	0.003489028810388;	0.000772958350025;	0.000685506626922;	0.000871739743650;	0.000061183644746;	0.000063137315395;	0.000077068138608;	0.000039524356419;	0.000046103978834;	0.000059972549129;	0.000054454562946;	0.000050968501627;	0.000056311264678;	0.000052296178352;	0.000049819951446;	0.000048266476527;	0.000050412750364;	0.000040607307493;	0.000051366089458;	0.000037281795442;	0.000047193392007;	0.000039299452186;	0.000035460788938;	0.000035040456635;	0.000042275867957;	0.000035331289388;	0.000035801189305;	0.000032467088226;	0.000034324042627;	0.000038010651249;	0.000035276597024;	0.000030907710864;	0.000029114468435;	0.000034636963960;	0.000033468326233;	0.000035351627768;	0.000038734383978;	0.000041546291065;	0.000026737537959;	0.000035251150982;	0.000034034564411;	0.000036392238841;	0.000040765143709;	0.000032622673013;	0.000041180432983;	0.000042423157519;	0.000046652343014;	0.000051880236546;	0.000053307865574;	0.000052358858075;	0.000055763232944;	0.000058766624658;	0.000061353754584;	0.000059597621070;	0.000063330311987;	0.000061820270771;	0.000073716871980;	0.000068073883839;	0.000074662706971;	0.000076240287095;	0.000074269326885;	0.000076548516801;	0.000081117536581;	0.000085677009999;	0.000089160993582;	0.000094192918156;	0.000087880117927;	0.000090999422631;	0.000094651573319;	0.000107158624961;	0.000112254965342;	0.000119264987075;	0.000102678092750;	0.000088836321115;	0.000135314539339;	0.000148482779959;	0.000149749787745;	0.000161566319685;	0.000165740557114;	0.000168396788595;	0.000179380420547;	0.000185294495609;	0.000192782968541;	0.000204186215116;	0.000215348948253;	0.000226426483316;	0.000245475291402;	0.000289388016487;	0.000347208511579;	0.000398436746253;	0.000385974593535
0.023805848965301;	0.003145119506974;	0.003196251408177;	0.002904396857628;	0.001735596523385;	0.002080976809275;	0.007715698038841;	0.000886582051314;	0.000143491787639;	0.003531687704267;	0.000811519843061;	0.000708893863127;	0.000883925275113;	0.000076953810246;	0.000075820571937;	0.000086590266505;	0.000113259160714;	0.000055841310489;	0.000073547866966;	0.000067396927785;	0.000064054526071;	0.000069732860823;	0.000066461558917;	0.000064140933512;	0.000062913264646;	0.000066003899676;	0.000054686398540;	0.000067577102759;	0.000051136884369;	0.000063057685594;	0.000053383118971;	0.000049416133535;	0.000048743535979;	0.000058570279115;	0.000049386562402;	0.000049784396850;	0.000046272920367;	0.000048585972532;	0.000052648410721;	0.000050287416293;	0.000044998227469;	0.000042020493596;	0.000049645421762;	0.000048770762388;	0.000050843992697;	0.000055097419970;	0.000058370014407;	0.000040300816283;	0.000050837991459;	0.000049013901643;	0.000053257871493;	0.000059444958571;	0.000047462875301;	0.000060038399169;	0.000062081307501;	0.000067022424639;	0.000075170260796;	0.000077473682135;	0.000076181268058;	0.000080933073644;	0.000085342306386;	0.000089538348854;	0.000087435984415;	0.000092830372311;	0.000091046716860;	0.000107778150401;	0.000100026856348;	0.000109570771682;	0.000112138322680;	0.000109491885799;	0.000112825390382;	0.000119538031596;	0.000126329958957;	0.000131777140308;	0.000139152473986;	0.000132170002135;	0.000137507388928;	0.000143639353923;	0.000162800067510;	0.000171182372614;	0.000182409257884;	0.000155911067558;	0.000137054916102;	0.000202441850442;	0.000221871965955;	0.000224630449432;	0.000241909660395;	0.000248178124015;	0.000250906633657;	0.000266531744703;	0.000275352380461;	0.000285336790286;	0.000300840066943;	0.000316250815783;	0.000330913473127;	0.000356541126897;	0.000417199395485;	0.000496409001182;	0.000563383525218;	0.000537000478937
0.024666433590916;	0.004092439312115;	0.003791284586498;	0.003582445095409;	0.003021245930127;	0.003200336546490;	0.009134819230310;	0.001748770938416;	0.001833126513379;	0.003638824055822;	0.000870437561461;	0.000757536446672;	0.000907052101946;	0.000104152201369;	0.000095283111149;	0.000110504031042;	0.000134629533575;	0.000161737810747;	0.000213592679004;	0.000088985861586;	0.000087328008920;	0.000090941945037;	0.000088603897336;	0.000086516693347;	0.000085461362366;	0.000090184462308;	0.000076046568083;	0.000093705330532;	0.000072741942239;	0.000088840105478;	0.000076411675006;	0.000070660650701;	0.000070219943130;	0.000084183912326;	0.000071957145733;	0.000072408815957;	0.000067851897824;	0.000071828403999;	0.000077809308659;	0.000074377973547;	0.000067180681536;	0.000063332384213;	0.000073370003825;	0.000072697519201;	0.000076331623227;	0.000082409435101;	0.000087427605174;	0.000061251571106;	0.000077527688617;	0.000074147355906;	0.000080785966579;	0.000089823763648;	0.000072512958629;	0.000090748753296;	0.000094060270329;	0.000100441665090;	0.000112644155222;	0.000115973105929;	0.000114265323077;	0.000121057173850;	0.000127325025131;	0.000133320507177;	0.000129849893522;	0.000137597228996;	0.000134190305659;	0.000158221794665;	0.000149554619008;	0.000162539271201;	0.000165927625469;	0.000162269275900;	0.000167196999904;	0.000176661656333;	0.000186249347221;	0.000194184964896;	0.000204433040959;	0.000192858929045;	0.000199988362577;	0.000208008634300;	0.000233394514184;	0.000244524528373;	0.000259345443565;	0.000221315854944;	0.000199062184953;	0.000281966315071;	0.000308599059500;	0.000312326356289;	0.000334837792891;	0.000342575475650;	0.000345580854086;	0.000365875303727;	0.000376951145870;	0.000389723223631;	0.000409810138262;	0.000429636422037;	0.000448802401861;	0.000481947371245;	0.000561415462618;	0.000663775981490;	0.000751014615384;	0.000735193260129
0.026442107109332;	0.005094703647660;	0.004785077470717;	0.004330344622547;	0.003740901938792;	0.003854797006803;	0.010187377850382;	0.003159937829983;	0.002815808597254;	0.005947566768573;	0.003648981503969;	0.000919545437173;	0.000961147982991;	0.000174872661165;	0.000140455153664;	0.000152805247019;	0.000172132960400;	0.000198674357803;	0.000269465229672;	0.000279535405490;	0.000127069635245;	0.000126740871850;	0.000125663416575;	0.000123908060187;	0.000122003198734;	0.000127570546771;	0.000109133612008;	0.000132876970782;	0.000104833473788;	0.000126654870266;	0.000109580763999;	0.000102761350755;	0.000102329079950;	0.000122416989718;	0.000104761944705;	0.000104843264719;	0.000099538166720;	0.000104536757056;	0.000112168541372;	0.000108852753109;	0.000099413642111;	0.000093685541728;	0.000108072551269;	0.000107499715941;	0.000112256048341;	0.000120499362399;	0.000126833939424;	0.000093004929513;	0.000113748876888;	0.000109349302222;	0.000119272709689;	0.000131926013253;	0.000106702835564;	0.000133444701421;	0.000137296911694;	0.000145974970605;	0.000162558779314;	0.000167121456927;	0.000165196583146;	0.000174362492131;	0.000182700142315;	0.000190737067619;	0.000185136891149;	0.000195802168616;	0.000190949524705;	0.000223367412318;	0.000213134674631;	0.000229818010600;	0.000233848490091;	0.000228781017645;	0.000235175750797;	0.000247328725227;	0.000259861700235;	0.000270481908275;	0.000283756914827;	0.000270617746347;	0.000280898909399;	0.000292335841399;	0.000326297962901;	0.000342161866643;	0.000362998777863;	0.000310679641295;	0.000284830243430;	0.000395178296029;	0.000433385182711;	0.000440155095941;	0.000471147591740;	0.000482733127629;	0.000486791591195;	0.000513750566580;	0.000529872775317;	0.000547119943113;	0.000574758750591;	0.000601929189243;	0.000627813560144;	0.000671858078304;	0.000777708236203;	0.000912839565843;	0.001025117651335;	0.000998224451556
0.028127425866266;	0.008207188886596;	0.006621526647644;	0.005512743980476;	0.004530780889856;	0.004644043658231;	0.016498839170250;	0.004174562827961;	0.004230125813634;	0.007037635676826;	0.004134029487306;	0.004944571339571;	0.001143571622816;	0.000254132959752;	0.000254611448445;	0.000257998296798;	0.000235256083340;	0.000242483755486;	0.000340991992125;	0.000337800553792;	0.000356548595707;	0.000391700610789;	0.000173981189338;	0.000173561974157;	0.000168942669136;	0.000176402940460;	0.000154077976748;	0.000181354211544;	0.000147900705190;	0.000175610524777;	0.000152920994355;	0.000144207808409;	0.000143427392521;	0.000170659739325;	0.000146595097885;	0.000147720368485;	0.000141740873919;	0.000149237616261;	0.000157103791483;	0.000155475605677;	0.000142505048637;	0.000133646418568;	0.000153336235720;	0.000153458855088;	0.000159174890236;	0.000170504353041;	0.000177859041081;	0.000135760203524;	0.000162019691065;	0.000156643973585;	0.000170214031119;	0.000188446624512;	0.000153073919436;	0.000189691642984;	0.000195280275519;	0.000206321750516;	0.000227922474091;	0.000234907480600;	0.000233209966286;	0.000245974996787;	0.000256788263314;	0.000267743415837;	0.000259699986528;	0.000273991081138;	0.000267934233687;	0.000311280546691;	0.000300419884234;	0.000323058272373;	0.000329101979366;	0.000323066859261;	0.000332233723014;	0.000348821254134;	0.000366006357787;	0.000380856035108;	0.000398601359793;	0.000376615800783;	0.000390612280032;	0.000405837786139;	0.000449607646896;	0.000470259084447;	0.000497341266144;	0.000426689010402;	0.000396245545348;	0.000534776127107;	0.000585678517320;	0.000594477959792;	0.000634536313428;	0.000648494573481;	0.000652948159099;	0.000687997232654;	0.000709161821097;	0.000731341763791;	0.000766601711888;	0.000801701831561;	0.000835099714880;	0.000891163487746;	0.001025468843809;	0.001195099754765;	0.001338202889858;	0.001340685630609
