0.000000000000000;	0.012928682841209;	0.007499217760818;	0.003261563594477;
0.002041624991430;	0.001763148517202;	0.000906230199081;	0.000710395860175;
0.001686913677362;	0.015731585291603;	0.022873133987951;	0.017951511711738;
0.001494735838596;	0.023933058129976;	0.018399810115235;	0.014669248316684;
0.001376784055702;	0.029285179757263;	0.015493549186996;	0.012640127351501;
0.001322997611871;	0.025350000613756;	0.013489297743261;	0.011239353019519;
0.002808753062156;	0.033741967601057;	0.019976001477624;	0.020513310735087;
0.001198345254673;	0.029878621662384;	0.017817701097731;	0.018789128916930;
0.001168999616334;	0.019405043558339;	0.010533197488504;	0.009346512114704;
0.001259274765504;	0.019071687596443;	0.010302159761291;	0.009128065200146;
0.001176635816722;	0.018441450680359;	0.009930663437725;	0.008934804879021;
0.001203359997645;	0.017336220224058;	0.009365335466577;	0.008914283098611;
0.001174848926689;	0.016557437439267;	0.008907471373815;	0.008723993318925;
0.001189062576415;	0.015841180055504;	0.008469424241208;	0.008133032160502;
0.001262266549025;	0.015830155065275;	0.008490111245170;	0.008045470096770;
0.003794255720422;	0.027905647784891;	0.016685820099345;	0.014356516362676;
0.001314267104472;	0.029563894345510;	0.017765979948889;	0.015796910228878;
0.001293178276973;	0.016540118432870;	0.009244353291999;	0.008596196164537;
0.001315808479148;	0.015711257224088;	0.009044993594338;	0.008155857125002;
0.001400424206288;	0.015379516406732;	0.008867259689855;	0.008608489173803;
0.001360131485142;	0.014744030932738;	0.008545386274852;	0.008590001920964;
0.001332928947980;	0.014146813430800;	0.008121134505429;	0.007875143054777;
0.001474539858394;	0.014147862621933;	0.008096330176649;	0.008149559498885;
0.001502195875436;	0.014585505717366;	0.008388856230220;	0.008718293178120;
0.001468850822996;	0.013933972719846;	0.007952597818592;	0.008218169379480;
0.001522817116284;	0.013697817842855;	0.007780591115665;	0.008312623334297;
0.001649724374445;	0.014204963576273;	0.008654005488389;	0.008845122853001;
0.001695187239348;	0.014514330219664;	0.009200340112076;	0.008918300180490;
0.001539220680845;	0.013756060107542;	0.008491107484115;	0.008765072086356;
0.001815605951078;	0.013491319144561;	0.008235947088391;	0.008707399485385;
0.001723822794764;	0.013899763702479;	0.008443961441067;	0.008987757395724;
0.001796612043916;	0.013635849658213;	0.008471868589452;	0.008978494273458;
0.001931522560113;	0.013964766760832;	0.008826004896204;	0.009243406314542;
0.001937118248187;	0.014062238806086;	0.008985044254526;	0.009494282353907;
0.001905840689170;	0.013760077838482;	0.008764460315786;	0.009351157944330;
0.002186375438985;	0.014063175985996;	0.008821281012266;	0.009641006656730;
0.002006715461761;	0.014233934891705;	0.009144950650406;	0.009776763081350;
0.002224617475647;	0.013962789719827;	0.009226445022500;	0.009825710304775;
0.002271953129757;	0.014285469189527;	0.009438766396430;	0.010094491574823;
0.002243756341703;	0.014104741487248;	0.009381238564821;	0.010151135410356;
0.002531067445772;	0.014494713542490;	0.009739064262379;	0.010431140040054;
0.002479613866446;	0.014652348880223;	0.009938937956535;	0.010637720462839;
0.002460736545238;	0.014238202849038;	0.009702672302470;	0.010599732652566;
0.002760968814350;	0.014524497973687;	0.009931041231514;	0.010770918222259;
0.002778944943018;	0.014838705054981;	0.010276449496628;	0.011162501170418;
0.002728627584612;	0.014738468040072;	0.010231660495210;	0.011261934434595;
0.003010995902828;	0.014785639756566;	0.010308398393901;	0.011377803735102;
0.003147827099856;	0.015110212178066;	0.010637347342171;	0.011728422673255;
0.002887848619256;	0.014935959734718;	0.010607028278393;	0.011787349666755;
0.003325987225343;	0.014889076806583;	0.010704865012061;	0.011902702375115;
0.003472147866037;	0.015471995587847;	0.011117210955760;	0.012462181083043;
0.003282911281814;	0.015392322382558;	0.011155773751710;	0.012495670277033;
0.003632873419593;	0.015222843636399;	0.011198219486447;	0.012602190939065;
0.003785848878937;	0.015632219436147;	0.011506570771330;	0.013056310271733;
0.003633306447400;	0.015590273586895;	0.011568542242394;	0.013128835125994;
0.003988372035517;	0.015550044856414;	0.011712895675273;	0.013519013333331;
0.004171366396419;	0.015976545113860;	0.012117072973761;	0.014014013343453;
0.004056351806153;	0.015940763052678;	0.012162980727377;	0.014090931327242;
0.004331064367940;	0.015786122881041;	0.012222916982231;	0.014276105696690;
0.004533707138814;	0.016088761653452;	0.012538900346417;	0.014529771288135;
0.004511576210043;	0.016362895390521;	0.012873831207643;	0.014762353381548;
0.004912580162071;	0.016478243266815;	0.013070749367951;	0.015046292079352;
0.004858484682892;	0.016348402477316;	0.013193332641533;	0.015300080035435;
0.004955021212976;	0.016283632629490;	0.013389596756516;	0.015366673326366;
0.005378966923368;	0.016744855884044;	0.013751041443682;	0.015738212177429;
0.005576652139057;	0.017013286531779;	0.014034682444730;	0.016112721899127;
0.005336368421212;	0.016615598007563;	0.013953862149838;	0.016052881745849;
0.006005430721880;	0.016814579607153;	0.014317795190996;	0.016419552136797;
0.005937834337214;	0.017182778941116;	0.014714354525950;	0.016738618852068;
0.005840693509482;	0.016791973032520;	0.014632257302624;	0.016601439325221;
0.006483327537959;	0.016888306348286;	0.014944634086862;	0.016938181530918;
0.006648946781328;	0.017293114375468;	0.015402286276419;	0.017178287056301;
0.006292929916370;	0.017157973008077;	0.015497132111384;	0.017010952872804;
0.007001861056127;	0.017171157217692;	0.015623888277115;	0.017302430400273;
0.007282919522029;	0.017441498930789;	0.015998437423351;	0.017606166711196;
0.007319931803280;	0.017182237569798;	0.016063974993245;	0.017409441269370;
0.007162440724246;	0.016918722498394;	0.016034508615105;	0.017258429714709;
0.007864339870539;	0.017143849729934;	0.016339727556639;	0.017370576524060;
0.007930980598200;	0.017332966233790;	0.016668505896651;	0.017474794394817;
0.007579478572168;	0.016904747277151;	0.016529263372199;	0.017304587562859;
0.008260580431682;	0.016669710793269;	0.016562484372357;	0.017172324839141;
0.008747309763643;	0.017041343729303;	0.017259916803604;	0.017359008473235;
0.008859789449631;	0.017197477874270;	0.017600317922309;	0.017481207330498;
0.008433892786348;	0.016703445411339;	0.017097674362462;	0.017237090365321;
