0.064526097158190;	0.247222247515145;	0.000000051562511;	0.000000042442605;	0.000000048481210;	0.000003855583899;	0.000005005632575;	0.000002535249064;	0.103265714439465;	0.109610869126281;	0.101251787492628;	0.107141472638406;	0.093546524733287;	0.000004087942783;	0.000006813830164;	0.000006434654228;	0.000012117815930;	0.000013167208949;	0.000023136455649;	0.000023385549811;	0.000032639708626;	0.000048809025430;	0.000040779607550;	0.000034453069618;	0.000087809856153;	0.000122461416657;	0.000084363041577;	0.000120318401238;	0.000264191365563;	0.000359958389028;	0.000267303178178;	0.000383306856107;	0.000695659472122;	0.000938729399445;	0.000818238628751;	0.000995432940258;	0.001471523674795;	0.002211715045421;	0.002691988666581;	0.002877068961190;	0.003290441006147;	0.004419362432155;	0.005338635169683;	0.007082435481084;	0.008866620135479;	0.009837560883492;	0.011243272445361;	0.013079776263692;	0.014307164504133;	0.016946494932945;	0.020693690484855;	0.023695334140596;	0.028103781673932;	0.033452956346513;	0.038297202674474;	0.043380661441649;	0.047598945070381;	0.050882413394060;	0.057334638451379;	0.063334433581989;	0.070380293950987;	0.077913713899013;	0.085778179938075;	0.094547693951770;	0.102652629363186;	0.108562631393633;	0.116674068202605;	0.126833634152782;	0.134518010917096;	0.142992094011125;	0.153405159820066;	0.163073896184759;	0.173972834246774;	0.185027106116210;	0.196247333151490;	0.207183744585857;	0.218006173839045;	0.227598447824452;	0.239398131222607;	0.250547551547241;	0.262495842606206;	0.274898942559812;	0.287994012306475;	0.297885895547041;	0.308583575956589;	0.321407693719192;	0.333159429617819;	0.345674747134387;	0.358797895359188;	0.372188491344482;	0.385712830181704;	0.399463372961660;	0.409531997899088;	0.427114370188782;	0.447640236733356;	0.471410530651227;	0.501374131896946;	0.526431772107959;	0.710586358360327;	0.000000000000000
0.064526097158190;	0.247222247515145;	0.000000051562511;	0.000000042442605;	0.000000048481210;	0.000003855583899;	0.000005005632575;	0.000002535249064;	0.103265714439465;	0.109610869126281;	0.101251787492628;	0.107141472638406;	0.093546524733287;	0.000004087942783;	0.000006813830164;	0.000006434654228;	0.000012117815930;	0.000013167208949;	0.000023136455649;	0.000023385549811;	0.000032639708626;	0.000048809025430;	0.000040779607550;	0.000034453069618;	0.000087809856153;	0.000122461416657;	0.000084363041577;	0.000120318401238;	0.000264191365563;	0.000359958389028;	0.000267303178178;	0.000383306856107;	0.000695659472122;	0.000938729399445;	0.000818238628751;	0.000995432940258;	0.001471523674795;	0.002211715045421;	0.002691988666581;	0.002877068961190;	0.003290441006147;	0.004419362432155;	0.005338635169683;	0.007082435481084;	0.008866620135479;	0.009837560883492;	0.011243272445361;	0.013079776263692;	0.014307164504133;	0.016946494932945;	0.020693690484855;	0.023695334140596;	0.028103781673932;	0.033452956346513;	0.038297202674474;	0.043380661441649;	0.047598945070381;	0.050882413394060;	0.057334638451379;	0.063334433581989;	0.070380293950987;	0.077913713899013;	0.085778179938075;	0.094547693951770;	0.102652629363186;	0.108562631393633;	0.116674068202605;	0.126833634152782;	0.134518010917096;	0.142992094011125;	0.153405159820066;	0.163073896184759;	0.173972834246774;	0.185027106116210;	0.196247333151490;	0.207183744585857;	0.218006173839045;	0.227598447824452;	0.239398131222607;	0.250547551547241;	0.262495842606206;	0.274898942559812;	0.287994012306475;	0.297885895547041;	0.308583575956589;	0.321407693719192;	0.333159429617819;	0.345674747134387;	0.358797895359188;	0.372188491344482;	0.385712830181704;	0.399463372961660;	0.409531997899088;	0.427114370188782;	0.447640236733356;	0.471410530651227;	0.501374131896946;	0.526431772107959;	0.710586358360327;	0.000000000000000
0.064526097158190;	0.247222247515145;	0.000000051562511;	0.000000042442605;	0.000000048481210;	0.000003855583899;	0.000005005632575;	0.000002535249064;	0.103265714439465;	0.109610869126281;	0.101251787492628;	0.107141472638406;	0.093546524733287;	0.000004087942783;	0.000006813830164;	0.000006434654228;	0.000012117815930;	0.000013167208949;	0.000023136455649;	0.000023385549811;	0.000032639708626;	0.000048809025430;	0.000040779607550;	0.000034453069618;	0.000087809856153;	0.000122461416657;	0.000084363041577;	0.000120318401238;	0.000264191365563;	0.000359958389028;	0.000267303178178;	0.000383306856107;	0.000695659472122;	0.000938729399445;	0.000818238628751;	0.000995432940258;	0.001471523674795;	0.002211715045421;	0.002691988666581;	0.002877068961190;	0.003290441006147;	0.004419362432155;	0.005338635169683;	0.007082435481084;	0.008866620135479;	0.009837560883492;	0.011243272445361;	0.013079776263692;	0.014307164504133;	0.016946494932945;	0.020693690484855;	0.023695334140596;	0.028103781673932;	0.033452956346513;	0.038297202674474;	0.043380661441649;	0.047598945070381;	0.050882413394060;	0.057334638451379;	0.063334433581989;	0.070380293950987;	0.077913713899013;	0.085778179938075;	0.094547693951770;	0.102652629363186;	0.108562631393633;	0.116674068202605;	0.126833634152782;	0.134518010917096;	0.142992094011125;	0.153405159820066;	0.163073896184759;	0.173972834246774;	0.185027106116210;	0.196247333151490;	0.207183744585857;	0.218006173839045;	0.227598447824452;	0.239398131222607;	0.250547551547241;	0.262495842606206;	0.274898942559812;	0.287994012306475;	0.297885895547041;	0.308583575956589;	0.321407693719192;	0.333159429617819;	0.345674747134387;	0.358797895359188;	0.372188491344482;	0.385712830181704;	0.399463372961660;	0.409531997899088;	0.427114370188782;	0.447640236733356;	0.471410530651227;	0.501374131896946;	0.526431772107959;	0.710586358360327;	0.000000000000000
0.064526097158190;	0.247222247515145;	0.000000051562511;	0.000000042442605;	0.000000048481210;	0.000003855583899;	0.000005005632575;	0.000002535249064;	0.103265714439465;	0.109610869126281;	0.101251787492628;	0.107141472638406;	0.093546524733287;	0.000004087942783;	0.000006813830164;	0.000006434654228;	0.000012117815930;	0.000013167208949;	0.000023136455649;	0.000023385549811;	0.000032639708626;	0.000048809025430;	0.000040779607550;	0.000034453069618;	0.000087809856153;	0.000122461416657;	0.000084363041577;	0.000120318401238;	0.000264191365563;	0.000359958389028;	0.000267303178178;	0.000383306856107;	0.000695659472122;	0.000938729399445;	0.000818238628751;	0.000995432940258;	0.001471523674795;	0.002211715045421;	0.002691988666581;	0.002877068961190;	0.003290441006147;	0.004419362432155;	0.005338635169683;	0.007082435481084;	0.008866620135479;	0.009837560883492;	0.011243272445361;	0.013079776263692;	0.014307164504133;	0.016946494932945;	0.020693690484855;	0.023695334140596;	0.028103781673932;	0.033452956346513;	0.038297202674474;	0.043380661441649;	0.047598945070381;	0.050882413394060;	0.057334638451379;	0.063334433581989;	0.070380293950987;	0.077913713899013;	0.085778179938075;	0.094547693951770;	0.102652629363186;	0.108562631393633;	0.116674068202605;	0.126833634152782;	0.134518010917096;	0.142992094011125;	0.153405159820066;	0.163073896184759;	0.173972834246774;	0.185027106116210;	0.196247333151490;	0.207183744585857;	0.218006173839045;	0.227598447824452;	0.239398131222607;	0.250547551547241;	0.262495842606206;	0.275059863516630;	0.288615037171100;	0.298940551291472;	0.309910903004078;	0.322872357047801;	0.334733394217038;	0.347334484703665;	0.360523096856113;	0.373965378169139;	0.387535666816842;	0.401331280098900;	0.411459706623071;	0.429098128359219;	0.449681234446520;	0.473494562211923;	0.503496755282527;	0.528612666651334;	0.711957590272107;	0.000000000000000
0.064526097158190;	0.247222247515145;	0.000000051562511;	0.000000042442605;	0.000000048481210;	0.000003855583899;	0.000005005632575;	0.000002535249064;	0.103265714439465;	0.109610869126281;	0.101251787492628;	0.107141472638406;	0.093546524733287;	0.000004087942783;	0.000006813830164;	0.000006434654228;	0.000012117815930;	0.000013167208949;	0.000023136455649;	0.000023385549811;	0.000032639708626;	0.000048809025430;	0.000040779607550;	0.000034453069618;	0.000087809856153;	0.000122461416657;	0.000084363041577;	0.000120318401238;	0.000264191365563;	0.000359958389028;	0.000267303178178;	0.000383306856107;	0.000695659472122;	0.000938729399445;	0.000818238628751;	0.000995432940258;	0.001471523674795;	0.002211715045421;	0.002691988666581;	0.002877068961190;	0.003290441006147;	0.004419362432155;	0.005338635169683;	0.007082435481084;	0.008866620135479;	0.009837560883492;	0.011243272445361;	0.013079776263692;	0.014307164504133;	0.016946494932945;	0.020693690484855;	0.023695334140596;	0.028137272856936;	0.033630891420137;	0.038649582249315;	0.043900312748756;	0.048251414707414;	0.051647004321651;	0.058239090479206;	0.064370596052334;	0.071548299014189;	0.079209214188415;	0.087196152442218;	0.096089178429409;	0.104314079251017;	0.110320738231543;	0.118541627666750;	0.128821801643457;	0.136609010383754;	0.145188582854784;	0.155713296588949;	0.165485921109247;	0.176488698541809;	0.187642709680396;	0.198957047259338;	0.209980210641480;	0.220895542015025;	0.230561629202699;	0.242452448795361;	0.253694383550032;	0.265739008011369;	0.278367451566081;	0.291950548210458;	0.302340860504055;	0.313419521809476;	0.326515487161131;	0.338523747099507;	0.351283631612332;	0.364636908945353;	0.378252855436737;	0.392012671604904;	0.406013073404388;	0.416389117638518;	0.434255328545184;	0.455046471170621;	0.479045697354952;	0.509246126362756;	0.534644861714320;	0.715874052554883;	0.000000000000000
0.064526097158190;	0.247222247515145;	0.000000051562511;	0.000000042442605;	0.000000048481210;	0.000003855583899;	0.000005005632575;	0.000002535249064;	0.103265714439465;	0.109610869126281;	0.101251787492628;	0.107141472638406;	0.093546524733287;	0.000004087942783;	0.000006813830164;	0.000006434654228;	0.000012117815930;	0.000014260876855;	0.000029201131679;	0.000032024016410;	0.000044932066015;	0.000055397409429;	0.000047653005456;	0.000040730225704;	0.000102699981639;	0.000143772529916;	0.000100287406313;	0.000143005882780;	0.000308047376595;	0.000416746176858;	0.000313965795638;	0.000446762844459;	0.000797234305734;	0.001069270682361;	0.000936274974667;	0.001134866071269;	0.001661880621949;	0.002475990919342;	0.002999150854446;	0.003197707695105;	0.003645760847481;	0.004871568714344;	0.005865599809918;	0.007731460522264;	0.009633474997356;	0.010670173533086;	0.012148721340430;	0.014085245429481;	0.015386691160780;	0.018166093231380;	0.022085742845189;	0.025225769621045;	0.029818084509792;	0.035392815628362;	0.040452949661948;	0.045759738952478;	0.050169021567387;	0.053590895723286;	0.060301317884875;	0.066551555117594;	0.073868155298169;	0.081678789162427;	0.089822687521257;	0.098886297130500;	0.107280315126795;	0.113411549012577;	0.121783781022839;	0.132248267169485;	0.140202183731772;	0.148961987438673;	0.159685788105913;	0.169655056239718;	0.180864291378003;	0.192227297569621;	0.203750235811439;	0.214972569215437;	0.226110326309523;	0.235973611792881;	0.248101089411105;	0.259589412639115;	0.271893916427869;	0.284754649327999;	0.298500186622363;	0.309067438707884;	0.320378887486113;	0.333754994002322;	0.346074189743284;	0.359180792540601;	0.372909370624284;	0.386947537190929;	0.401209463383903;	0.415819222530188;	0.427002660986814;	0.445777192028454;	0.467593227170755;	0.492763167335816;	0.524308848459223;	0.551048015436070;	0.726775368163759;	0.000000000000000
0.110163209003095;	0.249192690842342;	0.000000265446605;	0.000000063053246;	0.000000059124166;	0.000047664464513;	0.000043980302348;	0.000021361593522;	0.103278274883579;	0.109616019995414;	0.101261501345683;	0.107151582742490;	0.093550405374983;	0.017316411783816;	0.000031780547230;	0.000027948383767;	0.000046240537385;	0.000045482238248;	0.000071611618564;	0.000066947567248;	0.000083280408784;	0.000098189893859;	0.000083808440221;	0.000069079590445;	0.000156321374427;	0.000210005265046;	0.000146016830067;	0.000200493723704;	0.000404198221602;	0.000531861379046;	0.000404420276488;	0.000559783720650;	0.000965263766859;	0.001275198439847;	0.001116635415100;	0.001338961809051;	0.001929909933446;	0.002835138066860;	0.003408808056771;	0.003620565543061;	0.004105283311478;	0.005445730332554;	0.006529024592825;	0.008541697499775;	0.010586414646534;	0.011706785201831;	0.013279104651253;	0.015345007734968;	0.016744223556566;	0.019706590700195;	0.023858273494140;	0.027194306269625;	0.032040183785266;	0.037896407326084;	0.043201914094995;	0.048747870099677;	0.053353543375529;	0.056897040303716;	0.063863095071703;	0.070351358659692;	0.077924650149468;	0.085997071968980;	0.094403723060637;	0.103744897022309;	0.112405498353807;	0.118719889592765;	0.127316921000819;	0.138063654718887;	0.146271516214706;	0.155313336917938;	0.166353957106539;	0.176637333540320;	0.188178897425121;	0.199880544108524;	0.211744619835490;	0.223298761900163;	0.234806654613615;	0.244999731004628;	0.257525681944448;	0.269431732769763;	0.282181315087173;	0.295478147012809;	0.309602985164838;	0.320599981852407;	0.332470824411820;	0.346532007076510;	0.359664896600770;	0.373735260726782;	0.388529987505337;	0.403685407235006;	0.419001672092788;	0.434352359857754;	0.446066388361562;	0.464798278708271;	0.485868025125569;	0.509893618519259;	0.539964465016017;	0.565152126133829;	0.734702211169862;	0.000000000000000
0.113988460207757;	0.250985073467186;	0.000002157730446;	0.000000282824352;	0.000000156787594;	0.002662411657470;	0.000194385416982;	0.000099330644038;	0.103325010768001;	0.109635762003151;	0.101292319004091;	0.107176147581322;	0.093560445322309;	0.017423582364787;	0.020130883500494;	0.001077747942750;	0.000098108866892;	0.000093957433484;	0.000140428580921;	0.000127262686207;	0.000151089676258;	0.000165909826905;	0.000141341173300;	0.000116555196124;	0.000243451618117;	0.000318924312139;	0.000225033821194;	0.000300049845515;	0.000569346663355;	0.000735161556314;	0.000567393693890;	0.000763117498603;	0.001270410529841;	0.001653546437544;	0.001449091450979;	0.001713248365895;	0.002420818102034;	0.003489359196148;	0.004153861645969;	0.004387717592049;	0.004928169887965;	0.006459029277500;	0.007687353604770;	0.009940184276360;	0.012211618026594;	0.013457024885869;	0.015167817435023;	0.017423470238421;	0.018949363649242;	0.022170447043479;	0.026657271942466;	0.030266225393600;	0.035466080945574;	0.041712977048830;	0.047361963329902;	0.053250708318761;	0.058143969631734;	0.061867846395312;	0.069212907515588;	0.076053310064333;	0.084007782032564;	0.092470921794565;	0.101270508667658;	0.111027445373508;	0.120083040937015;	0.126660065644721;	0.135586838704393;	0.146753219625772;	0.155342264021446;	0.164807771430179;	0.176322218297923;	0.187077686924380;	0.199122640587123;	0.211342990114899;	0.223741065906295;	0.235844026321095;	0.247978462463903;	0.258767877982945;	0.272031055519039;	0.284736594170695;	0.298344023092387;	0.312475299945647;	0.327290739741482;	0.338855080308865;	0.351093161600336;	0.365260596771156;	0.378238910314612;	0.391887927379784;	0.405929793129096;	0.420082764711330;	0.434285550831450;	0.448620840131215;	0.459489795990307;	0.477354507992465;	0.497563394174268;	0.520875044504399;	0.550401209776486;	0.575185567858164;	0.740573861923667;	0.000000000000000
0.364959443157072;	0.254397226566638;	0.000011774010586;	0.000001597670576;	0.000000692604241;	0.003640847041018;	0.005442163054402;	0.001005731795301;	0.103472808674695;	0.109699820314080;	0.101382870621490;	0.107240660205549;	0.093587929564624;	0.023857141294430;	0.024653407345911;	0.019783481318287;	0.015876014604588;	0.000189303535730;	0.000265340926688;	0.000242171127207;	0.000275635844706;	0.000296036625357;	0.000247141126519;	0.000204518347276;	0.000394264619504;	0.000501710512174;	0.000359587840478;	0.000463753071827;	0.000826486594246;	0.001050230830337;	0.000820020380038;	0.001071220714799;	0.001725861730615;	0.002216700943022;	0.001942477042327;	0.002259451787765;	0.003131922931611;	0.004428671691385;	0.005224341474646;	0.005493051447609;	0.006106282363021;	0.007896199461880;	0.009325527622758;	0.011911643400824;	0.014497236186894;	0.015920637853088;	0.017827908256668;	0.020343676747680;	0.022030645770157;	0.025593032160624;	0.030534044626257;	0.034509475996260;	0.040185174806485;	0.046959732361773;	0.053071607370933;	0.059421962711830;	0.064705423869435;	0.068672665726054;	0.076524906114338;	0.083832381105443;	0.092293966836367;	0.101279487777850;	0.110604854000390;	0.120918411332943;	0.130492193589109;	0.137391161968508;	0.146740434523474;	0.158454045908863;	0.167542744131051;	0.177564235908750;	0.189695877919645;	0.201066441485922;	0.213755724705233;	0.226607118615812;	0.239594452332326;	0.252156478478744;	0.264722910466360;	0.275690194430398;	0.289022157446049;	0.301590932060624;	0.314853493482353;	0.328452883893065;	0.342601488309319;	0.353460272938245;	0.365119775341261;	0.378728218704194;	0.391203266976482;	0.404433820990645;	0.418110234209167;	0.431968397185393;	0.445942488206602;	0.460074926487229;	0.470832218801729;	0.488460598284047;	0.508298137036157;	0.531237750080895;	0.560400258125178;	0.584866620925411;	0.746201468376429;	0.000000000000000
0.433683460042527;	0.258433337707668;	0.000055167874385;	0.000008563091514;	0.000003340537846;	0.004520515986511;	0.006415062648053;	0.004984366829802;	0.107770152697725;	0.109857026124790;	0.101581061465958;	0.107403483069358;	0.093653453144096;	0.025913812462911;	0.031223584309448;	0.027416678823562;	0.034261484542511;	0.026654796738701;	0.029149449194664;	0.000443640422813;	0.000480766741168;	0.000508336420471;	0.000419639242265;	0.000350571146217;	0.000630068179672;	0.000781983333050;	0.000569148171636;	0.000711756595756;	0.001201952680497;	0.001510707977090;	0.001191363555666;	0.001509997930729;	0.002366035208917;	0.003006563521466;	0.002632220193429;	0.003014376912487;	0.004105871423545;	0.005701090103366;	0.006673137319214;	0.006991276114822;	0.007685642848528;	0.009800678167517;	0.011487014231070;	0.014500590127488;	0.017487024398846;	0.019143134671965;	0.021306674718835;	0.024150458121146;	0.026020243184754;	0.029992131745152;	0.035496914631498;	0.039921799185585;	0.046182407097803;	0.053608385086104;	0.060287306688846;	0.067199940231016;	0.072959992784266;	0.077217385396407;	0.085676283900978;	0.093532737149097;	0.102591974112681;	0.112195969526382;	0.122142896171620;	0.133113099022577;	0.143273986559610;	0.150479120503711;	0.160219773013871;	0.172461392075359;	0.181965483692683;	0.192380771768460;	0.204854358673496;	0.216390176406880;	0.229142200558283;	0.241919718145422;	0.254704591340208;	0.266961587197049;	0.279188019121765;	0.289704134064727;	0.302698803503439;	0.314950588201688;	0.327934812522848;	0.341304235289922;	0.355262283796913;	0.365982491078464;	0.377535404912647;	0.391008642072844;	0.403357289535426;	0.416466691261005;	0.429990473746786;	0.443680818870930;	0.457484881413247;	0.471441315042485;	0.482092207529212;	0.499486984256472;	0.518968333270530;	0.541549408315053;	0.570386735651073;	0.594580950022826;	0.751799543603595;	0.000000000000000
