0.000000000000000;	0.059283392068861;	0.033573213845726;	0.030261238415414;
0.002476314740583;	0.001996613124586;	0.001200335954273;	0.000961452199582;
0.002068676086299;	0.001691723526769;	0.030499514392754;	0.024326058646410;
0.001843310597493;	0.009495431368812;	0.024808094072645;	0.019997154433866;
0.001658559653008;	0.014661796261566;	0.020542559142362;	0.016897300319761;
0.001646894403020;	0.018783899510505;	0.017926978012737;	0.015092865228389;
0.003861122942627;	0.034976829718500;	0.027441362951448;	0.027895120563716;
0.001447467959953;	0.036527602671959;	0.023129473344719;	0.024330433255747;
0.001399103932546;	0.022545478457568;	0.013216573897689;	0.012018319990228;
0.001513876394979;	0.021987150231244;	0.012846029788266;	0.011661504719836;
0.001423307607245;	0.021354040040795;	0.012465971476062;	0.011456140807646;
0.001470044561077;	0.020391891134922;	0.011940199784879;	0.011590551839464;
0.001461326817955;	0.019965389576992;	0.011699828281155;	0.011659467563237;
0.001484775218921;	0.019462954327775;	0.011380124951349;	0.010956147979146;
0.001567230334826;	0.019488405612881;	0.011369884877115;	0.010749797551029;
0.005456447689848;	0.034416696513360;	0.021882142757213;	0.019191356539933;
0.001608461419295;	0.034861483678174;	0.022446852163092;	0.020705281284401;
0.001611414604863;	0.019549065516392;	0.011849006574225;	0.011268284182606;
0.001648118148964;	0.019142920855147;	0.011824478449121;	0.010847441052748;
0.001762901437758;	0.019090628021105;	0.011737243435371;	0.011519530656142;
0.001714963244226;	0.018530378966094;	0.011384540145114;	0.011507452610969;
0.001692352941014;	0.017794118652368;	0.010919357646591;	0.010579991907605;
0.001883405078717;	0.018002225420771;	0.011035266674808;	0.011043228815259;
0.001881747009915;	0.018398213200099;	0.011287139136358;	0.011602033096287;
0.001914995709357;	0.017906450899223;	0.010944400762031;	0.011029004015462;
0.001934175819880;	0.017742568188489;	0.010846108526932;	0.011247715502981;
0.002133451962088;	0.018272237108122;	0.011686947120182;	0.011810798574898;
0.002167320130875;	0.018774341235336;	0.012343373998222;	0.011896104564741;
0.002013343246895;	0.017854198613157;	0.011600562839597;	0.011742718284675;
0.002316766989376;	0.017568003123600;	0.011287776911261;	0.011619470107847;
0.002243675150999;	0.017958891724477;	0.011478190392455;	0.011892847313581;
0.002327199716806;	0.017740447515108;	0.011559946218546;	0.011984108056722;
0.002515486447040;	0.018178244794399;	0.011973923162549;	0.012313191291276;
0.002505648385158;	0.018296030449714;	0.012129957796107;	0.012580148755599;
0.002508746791069;	0.017959268345320;	0.011936052111000;	0.012456423919584;
0.002820460676563;	0.018318676442811;	0.012043612132884;	0.012814888545539;
0.002637457957185;	0.018433263878079;	0.012321730448275;	0.012919514408627;
0.002924197337810;	0.018350724661020;	0.012529967712474;	0.013099403507110;
0.002970641405537;	0.018736556813977;	0.012750351290969;	0.013411972291575;
0.002961843472983;	0.018488339366149;	0.012611981851335;	0.013466481067813;
0.003315795396668;	0.018972875455139;	0.013073428781368;	0.013871180277783;
0.003270320439821;	0.019235596141338;	0.013367987860294;	0.014109327958276;
0.003268488199055;	0.018829535947257;	0.013160660851586;	0.014125801147589;
0.003650473410558;	0.019229600053995;	0.013459032971628;	0.014403359737410;
0.003663960738511;	0.019627876896685;	0.013866098239130;	0.014843321880652;
0.003631745751423;	0.019438080283039;	0.013853567964468;	0.014993930997546;
0.003991517374641;	0.019585548180947;	0.013975129978973;	0.015192361512366;
0.004174797038704;	0.020089890979986;	0.014415323511083;	0.015643357956828;
0.003853762154046;	0.019773556638402;	0.014384604756094;	0.015722503156366;
0.004421664348071;	0.019778823712246;	0.014508533602765;	0.015890885164278;
0.004607336621358;	0.020600075591864;	0.015092953864220;	0.016624019701015;
0.004386933610752;	0.020425186529452;	0.015137112988161;	0.016684691043513;
0.004843457118266;	0.020323161398677;	0.015230798186076;	0.016867816315629;
0.005029365581390;	0.020865368684588;	0.015636007362036;	0.017439114833313;
0.004866619379140;	0.020751895093112;	0.015725579521017;	0.017557462300514;
0.005319835424916;	0.020788895947980;	0.015959373944353;	0.018081469927261;
0.005540808848557;	0.021324662708665;	0.016437583479934;	0.018691700519264;
0.005434084943476;	0.021259179986116;	0.016551143980562;	0.018844784300812;
0.005778838010716;	0.021141151797719;	0.016672349519000;	0.019118612896114;
0.006024478111524;	0.021503649217405;	0.017045045423018;	0.019426528420523;
0.006016238828546;	0.021766071602114;	0.017477580923873;	0.019753982851731;
0.006517324946349;	0.021935510858432;	0.017755414438986;	0.020145261455959;
0.006472277091353;	0.021872779872184;	0.017936753763416;	0.020497713012440;
0.006593691472305;	0.021772733343031;	0.018202785673822;	0.020629752618057;
0.007109959525486;	0.022259607203522;	0.018657095113595;	0.021106222404211;
0.007354873281010;	0.022604689238207;	0.019021610563762;	0.021593586916606;
0.007087249725862;	0.022181373813322;	0.018989880094733;	0.021586675905362;
0.007896864284124;	0.022411352067090;	0.019458732365308;	0.022081309366824;
0.007801670440847;	0.022767146583235;	0.019903417884405;	0.022456196472558;
0.007704910920972;	0.022278871888549;	0.019833760510591;	0.022315581745216;
0.008475965594445;	0.022451502012957;	0.020264620607185;	0.022782531326024;
0.008649436694933;	0.022887070550442;	0.020798250489717;	0.023060510615273;
0.008218220864473;	0.022574626787905;	0.020888170464191;	0.022832152379628;
0.009061690504034;	0.022541512040703;	0.021039190157036;	0.023185876529470;
0.009385015614848;	0.022892875121054;	0.021498504599860;	0.023563264392175;
0.009395033690835;	0.022574155074393;	0.021568624078832;	0.023305866895443;
