0.258225013647201;	0.329953645397575;	0.000000124170346;	0.000000010657242;	0.000000007289771;	0.000027688025623;	0.000034665254574;	0.000017234330465;	0.005450761796890;	0.005299342344915;	0.005481349302191;	0.007779933753503;	0.006169852913451;	0.000026556148791;	0.000038137349140;	0.000037126875734;	0.000067541041061;	0.000070448063499;	0.000122702766185;	0.000118152628874;	0.000156401559055;	0.000226552222807;	0.000201064710497;	0.000154375216400;	0.000384121506612;	0.000526410190271;	0.000341165865190;	0.000486818626848;	0.001042612544154;	0.001318957981157;	0.000986373343503;	0.001406540710642;	0.002393594721641;	0.003084348036968;	0.002683888052612;	0.003256748298026;	0.004640179731785;	0.006795584222541;	0.007955648863649;	0.008211991610747;	0.009366427049717;	0.012510680913298;	0.014845549598926;	0.019118276251111;	0.023351847237737;	0.025331769498686;	0.028073525844036;	0.031993454124688;	0.034994884458591;	0.041138026343656;	0.049089230597194;	0.055369123444619;	0.064376852941745;	0.075031220689548;	0.084466407602270;	0.094128453833917;	0.101565199554062;	0.106740532293247;	0.118350843970623;	0.129052371934251;	0.141232160714600;	0.153778023592547;	0.166453579119694;	0.180288827066885;	0.193190818231690;	0.202718949603814;	0.215326246993661;	0.230482698704969;	0.241121803273523;	0.253150967646851;	0.268456005648155;	0.282240952794283;	0.297622692181266;	0.312933448655321;	0.327977096762536;	0.342230600109176;	0.356116223572990;	0.367775044995698;	0.382660507019635;	0.396446501672264;	0.411154951530249;	0.426070013460833;	0.441922009062058;	0.453166477348749;	0.464819045310731;	0.479685072112334;	0.493022518544005;	0.506957039508845;	0.521666288102835;	0.536392978858783;	0.551097303655890;	0.565950946100037;	0.577281010952855;	0.597695197545960;	0.621889796094182;	0.645562929342832;	0.672147898613067;	0.694146851601495;	0.822061951703097;	0.000000000000000
0.432819754808835;	0.338428435290960;	0.000000461800849;	0.000000038181638;	0.000000021702440;	0.000096493374675;	0.000105669845011;	0.000050860328138;	0.005472356341587;	0.005307548420590;	0.005497816315296;	0.007799066427512;	0.006176547122203;	0.000065312023867;	0.000087799539775;	0.000079962156864;	0.000138136196876;	0.000139086202487;	0.000230127971685;	0.000215691995277;	0.000273912064356;	0.000271276206921;	0.000239934739982;	0.000184963849928;	0.000449356255799;	0.000611309464175;	0.000399248612609;	0.000564400130780;	0.001185476672295;	0.001494818752657;	0.001123549320675;	0.001588329022224;	0.002677434608256;	0.003439295375091;	0.002995909800658;	0.003617539545336;	0.005125649489872;	0.007462085495556;	0.008719090140145;	0.008997076449637;	0.010230694040297;	0.013604952531119;	0.016111428118417;	0.020671484827519;	0.025180039132569;	0.027304452951247;	0.030212022040871;	0.034365606131512;	0.037543991357462;	0.044028935541201;	0.052406400051081;	0.059034216721369;	0.068497574663669;	0.079659386414026;	0.089543990935568;	0.099656146451722;	0.107460988731689;	0.112871215392620;	0.124980950794414;	0.136148334614462;	0.148826106121496;	0.161868896191937;	0.175029553811090;	0.189361336477948;	0.202723015130008;	0.212494098241870;	0.225381729530522;	0.240903094585424;	0.251820343782856;	0.264151318259651;	0.279795305389873;	0.293876668378233;	0.309550583738715;	0.325126459559647;	0.340399092752046;	0.354870722073443;	0.368955417245215;	0.380703220484069;	0.395730321156633;	0.409642508016344;	0.424471468419339;	0.439498176871967;	0.455454196774922;	0.466787093115327;	0.478495984838938;	0.493378751623130;	0.506715227786864;	0.520626523459628;	0.535272803892308;	0.549907187699825;	0.564515191352367;	0.579272279898226;	0.590556284351748;	0.610826524966044;	0.634803426874010;	0.658115320310144;	0.684317870635524;	0.705984999649391;	0.828328709884683;	0.000000000000000
0.726921674470956;	0.346007934252881;	0.000001288168668;	0.000000110211644;	0.000000056271143;	0.000224667484742;	0.000226145712318;	0.000102876055180;	0.005505257089417;	0.005319828341585;	0.005520117362430;	0.007822065906826;	0.006184689329985;	0.000111521328798;	0.000138938623480;	0.000122278090170;	0.000203715933014;	0.000199299381421;	0.000319115291945;	0.000294352402904;	0.000363552852532;	0.000392703042094;	0.000344428827288;	0.000266736772660;	0.000615621600956;	0.000822876653720;	0.000543321817374;	0.000751809843456;	0.001518981909455;	0.001898835375586;	0.001437099731517;	0.001990579371564;	0.003289466680877;	0.004190812713044;	0.003647464659864;	0.004359109686268;	0.006101392705957;	0.008770603798060;	0.010190489797209;	0.010484787271132;	0.011826595388302;	0.015577430484367;	0.018344314310200;	0.023345579250239;	0.028253237598009;	0.030548562865002;	0.033645058288889;	0.038083204325842;	0.041436012806286;	0.048321998437094;	0.057191445449411;	0.064170725985033;	0.074100944088217;	0.085767507745947;	0.096046361878992;	0.106516386210919;	0.114547012247206;	0.119999067880180;	0.132424795151843;	0.143837105459771;	0.156761139143358;	0.170019748725857;	0.183360340533146;	0.197864851031557;	0.211356997198376;	0.221160447905367;	0.234152657056744;	0.249817321289218;	0.260799657101753;	0.273209265416441;	0.288955581821540;	0.303107609198179;	0.318847846318593;	0.334469937188427;	0.349762064513643;	0.364163243732779;	0.378236447585331;	0.389916442969500;	0.404931748860318;	0.418815028346942;	0.433596339885190;	0.448551264392092;	0.464420234299631;	0.475664879786739;	0.487294664477585;	0.502101482408708;	0.515367869597317;	0.529217322081107;	0.543794588718798;	0.558354158164372;	0.572882090833975;	0.587534723382049;	0.598726344263123;	0.618807988140508;	0.642516732296276;	0.665493237830376;	0.691302000999924;	0.712618381509582;	0.831772124790423;	0.000000000000000
0.743648192274640;	0.354537878519652;	0.000003852912386;	0.000000359041371;	0.000000170487549;	0.000618063254486;	0.000515290308459;	0.000232551905689;	0.005584900935578;	0.005350822513336;	0.005573120418069;	0.007871471229387;	0.006203084807212;	0.000201550801392;	0.000249577008475;	0.000205727068591;	0.000330251131157;	0.000315907310128;	0.000487252455815;	0.000438723389755;	0.000527262700286;	0.000563823336149;	0.000489081300486;	0.000380367672157;	0.000834813651539;	0.001096432543773;	0.000732065349407;	0.000991864240345;	0.001927840441761;	0.002389810608881;	0.001819969810009;	0.002474274386641;	0.004011563566966;	0.005071209580827;	0.004410502581757;	0.005214951469320;	0.007215367304051;	0.010247867612239;	0.011845545446632;	0.012156762488271;	0.013615364804503;	0.017772661155093;	0.020823266613578;	0.026301810949552;	0.031643142441485;	0.034133749206525;	0.037442593497352;	0.042194065533392;	0.045747730309334;	0.053081770694785;	0.062508413207716;	0.069903568336254;	0.080380172592400;	0.092637013533602;	0.103397257381329;	0.114323362109385;	0.122682137890863;	0.128264206849289;	0.141144018383869;	0.152947246203854;	0.166280115429819;	0.179929248466930;	0.193633219423941;	0.208504108262480;	0.222318844835528;	0.232253273937825;	0.245418664006711;	0.261347302284229;	0.272503683357489;	0.285106643154791;	0.301074971809105;	0.315402226823848;	0.331306548526465;	0.347061004130884;	0.362446246052523;	0.376935942353333;	0.391071929907337;	0.402701419050961;	0.417714169898551;	0.431581698363963;	0.446342850708572;	0.461272840974728;	0.477111424474463;	0.488316130506944;	0.499870909439947;	0.514556502772687;	0.527683451284868;	0.541367159990639;	0.555737452081366;	0.570060837042521;	0.584350136965230;	0.598773193981022;	0.609788346422366;	0.629621177027806;	0.653039525931948;	0.675615884252446;	0.701049728484834;	0.722042608915496;	0.836706774148676;	0.000000000000000
0.765753509003152;	0.363872513080246;	0.000011640726945;	0.000001197595741;	0.000000535630641;	0.001389797502780;	0.001269717621794;	0.000512817049034;	0.005769796831267;	0.005420885496118;	0.005683994798903;	0.007967327337267;	0.006239540412220;	0.000400925361330;	0.000435991779311;	0.000351426988723;	0.000540923359383;	0.000499585820647;	0.000742152285934;	0.000659063054137;	0.000766030629834;	0.000811244869334;	0.000697682755158;	0.000545027737245;	0.001137152506195;	0.001467527526331;	0.000990105715382;	0.001313249831554;	0.002458074877755;	0.003022303510965;	0.002317016991200;	0.003086402280173;	0.004909248577404;	0.006157705200561;	0.005351174726624;	0.006265525015497;	0.008568054178027;	0.012021238425656;	0.013823616653821;	0.014151586904470;	0.015725482460174;	0.020338917834626;	0.023706384411146;	0.029714739332094;	0.035533301288252;	0.038237077620298;	0.041770323073412;	0.046862499573343;	0.050621594578751;	0.058431664906323;	0.068448739202965;	0.076278567558149;	0.087326527064533;	0.100205965331541;	0.111470359980520;	0.122866572734479;	0.131553322347991;	0.137242282023632;	0.150567094009911;	0.162741667010941;	0.176455313016814;	0.190457393210973;	0.204476585782122;	0.219654773648109;	0.233720430677164;	0.243711874733050;	0.257018595617967;	0.273145446211922;	0.284410794019814;	0.297139955002408;	0.313260619973429;	0.327703041161188;	0.343715259197689;	0.359551935360620;	0.374985243774463;	0.389408324454657;	0.403553120109858;	0.415113179570662;	0.430128105023982;	0.443975417862611;	0.458692365080204;	0.473551269670138;	0.489297011412694;	0.500411819922472;	0.511887772003987;	0.526493290985392;	0.539550070733991;	0.553175778269307;	0.567479739086736;	0.581732177439464;	0.595946297333186;	0.610261689979191;	0.621188761890594;	0.640789056813591;	0.663854179724582;	0.685986735185186;	0.710880135435517;	0.731386731436544;	0.841551105347590;	0.000000000000000
0.794005578867774;	0.374072652474213;	0.000035375169074;	0.000004042480206;	0.000001712071494;	0.004841000532348;	0.002581463424039;	0.001230085676593;	0.006166027869909;	0.005587877080014;	0.005930330431563;	0.008149563462236;	0.006313415494755;	0.000667488686801;	0.000813062761352;	0.000591401273656;	0.000880331396872;	0.000802494647094;	0.001147445845862;	0.000987083504883;	0.001120823667580;	0.001175765773606;	0.000997949206603;	0.000783430243545;	0.001553336335724;	0.001969285869504;	0.001345102002189;	0.001746321663337;	0.003140278209541;	0.003829660035565;	0.002954375221213;	0.003863949023863;	0.006029100270154;	0.007504477112559;	0.006517152536304;	0.007544470215486;	0.010197138487549;	0.014132828967942;	0.016168632231279;	0.016511698277400;	0.018217352224061;	0.023343546737413;	0.027067117132104;	0.033667268396923;	0.040016319876989;	0.042959303230102;	0.046737286182372;	0.052193786727920;	0.056171732020823;	0.064496208786856;	0.075158331167409;	0.083464252768539;	0.095130806177028;	0.108669379451145;	0.120462745997777;	0.132354045064398;	0.141391425868692;	0.147190344981553;	0.160993483891204;	0.173571839680381;	0.187702997264058;	0.202098546467197;	0.216477233640853;	0.232012798027411;	0.246383768678897;	0.256463012461109;	0.269901122099621;	0.286265667837025;	0.297679663625162;	0.310576493652299;	0.326889266160156;	0.341475924801276;	0.357618047611309;	0.373551238497832;	0.389040804596292;	0.403518496479592;	0.417694096570039;	0.429163456576384;	0.444166558772530;	0.457993501364620;	0.472684785238321;	0.487495559415095;	0.503160355688357;	0.514194477439324;	0.525567926890395;	0.540029246810407;	0.552927201747949;	0.566367264518584;	0.580441358299465;	0.594433095297979;	0.608384364775554;	0.622448553522951;	0.633185693317590;	0.652512644997422;	0.675260744672384;	0.696960617311539;	0.721464068869260;	0.741640926246873;	0.846912509601213;	0.000000000000000
0.835542651324344;	0.385237392212575;	0.000107947637829;	0.000013745307255;	0.000005527069307;	0.004905843571099;	0.007824367304240;	0.002407898498280;	0.007193569213293;	0.005948323054122;	0.006419022563680;	0.008515257792318;	0.006458599850344;	0.001512877396360;	0.001352270544128;	0.001033894221970;	0.001464205166987;	0.001266150281639;	0.001743877440376;	0.001498644842297;	0.001633707004312;	0.001698188373213;	0.001432134512375;	0.001129166550399;	0.002127014452294;	0.002648948932390;	0.001826790884842;	0.002320967719386;	0.004022123060187;	0.004865731059610;	0.003779103189307;	0.004836535913151;	0.007403918625103;	0.009144084886030;	0.007933981642133;	0.009099204788115;	0.012154736649446;	0.016639663448156;	0.018939271343554;	0.019294931495343;	0.021113823373229;	0.026803987362155;	0.030917811634265;	0.038162782984341;	0.045085399287912;	0.048286427312361;	0.052318607105152;	0.058170666117001;	0.062369274016654;	0.071236217298023;	0.082577207680005;	0.091381277688492;	0.103693806495441;	0.117923742756731;	0.130269681276286;	0.142672721100383;	0.152067380079552;	0.157959663895400;	0.172242156686518;	0.185218411778189;	0.199755976111846;	0.214528341216600;	0.229243186753189;	0.245105740140553;	0.259742485079907;	0.269852284558133;	0.283416893379803;	0.299975716230179;	0.311496239088282;	0.324517884870577;	0.340978544865953;	0.355675924103382;	0.371918297514343;	0.387923530193615;	0.403447908213698;	0.417829442650192;	0.431998628625543;	0.443371950793171;	0.458335749888872;	0.472099262798856;	0.486699159252350;	0.501392517903610;	0.516921361423760;	0.527826631241451;	0.539079913437247;	0.553412561300114;	0.566194288847727;	0.579531405103059;	0.593493196181642;	0.607369018735485;	0.621200475454879;	0.635108543832503;	0.645713201441497;	0.664738441210291;	0.687047486688882;	0.708218694181028;	0.732083044756719;	0.751676720856736;	0.852066588337821;	0.000000000000000
0.856402153029365;	0.397282254822655;	0.000330338483581;	0.000047021762885;	0.000017976317614;	0.005095553164660;	0.008036149615926;	0.007037977718276;	0.008838634029716;	0.006915135464222;	0.007646939629768;	0.009175034999641;	0.006763599917408;	0.001820760623188;	0.002744508953358;	0.001692450317803;	0.002354733772236;	0.002073256147876;	0.002743106746124;	0.002232225881479;	0.002405628971162;	0.002477876785602;	0.002052325553917;	0.001626782049985;	0.002911237283039;	0.003560907153628;	0.002490014857442;	0.003095986431492;	0.005144720537780;	0.006173269780413;	0.004823172231482;	0.006069094803393;	0.009113493108439;	0.011170011191389;	0.009685169282258;	0.010971729086135;	0.014486117609425;	0.019589807845052;	0.022184031780058;	0.022546000003038;	0.024501951472270;	0.030814083140152;	0.035357300152272;	0.043307359784438;	0.050852626078083;	0.054334217150770;	0.058631898138346;	0.064885355986480;	0.069305934954841;	0.078736082369030;	0.090792925489546;	0.100120205011516;	0.113108143078807;	0.128058462503069;	0.140978767422249;	0.153912662482534;	0.163679140267703;	0.169658337161538;	0.184435489399128;	0.197822199327401;	0.212778591604723;	0.227940790933235;	0.243005760317836;	0.259211406005480;	0.274133063702847;	0.284282741693304;	0.297928708707294;	0.314692293914853;	0.326332965591477;	0.339492092224344;	0.356107466265871;	0.370910664296421;	0.387239254720124;	0.403294404059659;	0.418826180323331;	0.433216267644618;	0.447368701296222;	0.458593201369411;	0.473503652842986;	0.487207863565908;	0.501741050988969;	0.516348459045800;	0.531764488670863;	0.542563386941884;	0.553682609705805;	0.567826972682605;	0.580404827290551;	0.593505812509802;	0.607180157986068;	0.620731195533647;	0.634228491632940;	0.647805395232725;	0.658131832049311;	0.676767952913473;	0.698623982103751;	0.719200000724084;	0.742508009412586;	0.761616957794097;	0.857143824835173;	0.000000000000000
0.886051868884215;	0.410320266801800;	0.001015416974526;	0.000161538439995;	0.000058863431699;	0.005424253995281;	0.008602882855895;	0.007292185513314;	0.015417679895699;	0.008451521707841;	0.009429984580012;	0.010659575317461;	0.007328859047676;	0.002510575733572;	0.003638874951815;	0.003083185352461;	0.004018022070672;	0.003184641927609;	0.004070801700628;	0.003445931489007;	0.003491787939900;	0.003564064152287;	0.002954898887776;	0.002350660819294;	0.003994906340390;	0.004799665200360;	0.003380747296192;	0.004113144436292;	0.006603054368686;	0.007860164255742;	0.006184623814429;	0.007597940289849;	0.011195240250971;	0.013614937756199;	0.011793658044738;	0.013251325313360;	0.017291041525131;	0.023095845904767;	0.026021515947613;	0.026384293315826;	0.028424786424930;	0.035415321894227;	0.040425683700667;	0.049138076351962;	0.057351328406709;	0.061133637596273;	0.065702076456340;	0.072395998153790;	0.077034354553676;	0.087054862559012;	0.099858414246661;	0.109728367738598;	0.123412439096894;	0.139101213259548;	0.152605297562625;	0.166074235679455;	0.176211156627330;	0.182252312054255;	0.197517771303118;	0.211304286248180;	0.226664487564934;	0.242197553137038;	0.257588483477684;	0.274106835272322;	0.289275507813376;	0.299403195175120;	0.313134294333109;	0.330057015118083;	0.341775505376430;	0.355028964030256;	0.371754228642850;	0.386631553607864;	0.403018629129530;	0.419101379557413;	0.434620720231979;	0.448850124454770;	0.462946389644376;	0.474017083914677;	0.488821585244159;	0.502393637869780;	0.516760539637903;	0.531171036428833;	0.546369277342290;	0.556963085724360;	0.567879153979936;	0.581794779655639;	0.594148364186886;	0.607025645574744;	0.620455633308158;	0.633754149493308;	0.647000912455583;	0.660317305553518;	0.670435474444095;	0.688719737194052;	0.710130480911190;	0.730209188954627;	0.752930272475002;	0.771526596569539;	0.862232681589212;	0.000000000000000
0.903085182723740;	0.424316505704095;	0.003108948966213;	0.000559061848809;	0.000193637662898;	0.006137788708380;	0.009431002199145;	0.007879713801264;	0.015896710098530;	0.014824063845400;	0.016378605314532;	0.012679620757695;	0.008674985504395;	0.003342960426373;	0.004915639883246;	0.004185233602107;	0.005926878164021;	0.005452226706414;	0.006659041463849;	0.005008832476834;	0.005206717325767;	0.005263376242723;	0.004231802027600;	0.003387706575992;	0.005468080156949;	0.006450517427979;	0.004623622373310;	0.005503660339276;	0.008436873348215;	0.009960326632366;	0.007879511922070;	0.009548180688010;	0.013796865968574;	0.016651412530164;	0.014414564722941;	0.015970708606471;	0.020598817637955;	0.027180204666742;	0.030469006926758;	0.030819252238434;	0.032994333533688;	0.040722350627655;	0.046239116385472;	0.055772418687493;	0.064699120025644;	0.068802465649063;	0.073643875487425;	0.080760434151198;	0.085608189163996;	0.096224004950552;	0.109798426831107;	0.120225386876759;	0.134620294688046;	0.151059634111979;	0.165153238591985;	0.179158922424669;	0.189665113827948;	0.195745800482307;	0.211492272650893;	0.225669061824286;	0.241420885069812;	0.257312052578577;	0.273016471887323;	0.289835412166146;	0.305243322659382;	0.315341857931315;	0.329077418419542;	0.346144077943416;	0.357930993734544;	0.371265596006303;	0.388077740483648;	0.402992540891746;	0.419389467995945;	0.435441710117610;	0.450884401964880;	0.465040201692762;	0.479030646551365;	0.489851641699700;	0.504506833258868;	0.517921425578692;	0.532116796892029;	0.546339972213580;	0.561335824988903;	0.571752661054592;	0.582480592576812;	0.596169271260095;	0.608305431643848;	0.620954111153094;	0.634129287013602;	0.647155777456424;	0.660130926965399;	0.673170084162115;	0.683058670508813;	0.700983264663160;	0.721958078372251;	0.741432085644219;	0.763583832310867;	0.781680854173801;	0.867390766186485;	0.000000000000000
