0.000000000000000;	0.010941458569222;	0.005859261799017;	0.005522273005558;
0.001656676843917;	0.000728733229725;	0.000000000000000;	0.000000000000000;
0.001381577766451;	0.019277361761434;	0.000000000000000;	0.000000000000000;
0.001239139348914;	0.016649251460402;	0.000000000000000;	0.000000000000000;
0.001222383507739;	0.014662836705385;	0.000000000000000;	0.000000000000000;
0.001102312887212;	0.013039309363612;	0.000000000000000;	0.000000000000000;
0.001126093576956;	0.011817056000498;	0.000000000000000;	0.000262160821614;
0.001067737876731;	0.011129661344752;	0.000000000000000;	0.000524321643228;
0.001092634395440;	0.010545031970904;	0.000000000000000;	0.000273234871686;
0.001094712160655;	0.010322652343700;	0.000000000000000;	0.000258067101603;
0.001069707676901;	0.010099504789808;	0.000000000000000;	0.000291885920167;
0.001106321756392;	0.009544792680833;	0.000000000000000;	0.000454613621166;
0.001043373169859;	0.009180411420712;	0.000000000000000;	0.000555953306879;
0.001073700264138;	0.009055450018620;	0.000000000000000;	0.000538625491288;
0.001119106915591;	0.009148180997213;	0.000000000000000;	0.000520389383834;
0.001157486514748;	0.009188473492791;	0.000000003264892;	0.000621682787214;
0.001175152675511;	0.009183768193286;	0.000000006529785;	0.000803379998435;
0.001109506285696;	0.009205412993212;	0.000000006457011;	0.000789577099421;
0.001187632604738;	0.008916970921527;	0.000278355897840;	0.000764480481231;
0.001249729080451;	0.008873539235732;	0.000255207536962;	0.000904368801500;
0.001250828717342;	0.008698288211055;	0.000259993484082;	0.001025531963500;
0.001163792737247;	0.008851435618556;	0.000256756773804;	0.000978530143973;
0.001322319095373;	0.008591120173584;	0.000249262920046;	0.001064502265760;
0.001360037494791;	0.008708650042782;	0.000256050951435;	0.001195753980222;
0.001282311992983;	0.008349274612162;	0.000249552784452;	0.001196952116431;
0.001371033706563;	0.008305680697264;	0.000242129485768;	0.001304903201793;
0.001458498084819;	0.008303079144764;	0.000408658009392;	0.001412844517380;
0.001436228330945;	0.008277188434782;	0.000730444608176;	0.001407975294533;
0.001392455030636;	0.008522160259076;	0.000647096680111;	0.001516468371913;
0.001562024357410;	0.008400322879896;	0.000620836370129;	0.001569024640778;
0.001543197222279;	0.008651390761993;	0.000626712974441;	0.001620108101065;
0.001488185324707;	0.008645169634194;	0.000722104617602;	0.001727764378878;
0.001672750398396;	0.008810236880663;	0.000840000892245;	0.001806245917808;
0.001674208562723;	0.008819376985923;	0.000919319733981;	0.001896894611271;
0.001592947127502;	0.008979448827457;	0.000956127098596;	0.001973241587218;
0.001810118854372;	0.009232907784993;	0.000936722279349;	0.002086264605277;
0.001717238446123;	0.009433781676673;	0.001040123000171;	0.002165321734439;
0.001791790861623;	0.009182544123124;	0.001205358326619;	0.002304702405765;
0.001945401813872;	0.009341540818564;	0.001267720038888;	0.002403687068476;
0.001787076630499;	0.009417732087441;	0.001299544404470;	0.002547875136853;
0.002020728511321;	0.009781456589240;	0.001414287336997;	0.002673814489397;
