0.064492509227335;	0.004654787624523;	0.003993988386262;	0.003548994744262;	0.003172098291335;	0.002970052794933;	0.002800694836861;	0.002410117188148;	0.032248869546554;	0.051497997045187;	0.010115713470986;	0.014812227936057;	0.049219525443213;	0.001535874123185;	0.001570183063092;	0.001403065450849;	0.001506304074643;	0.001278410092062;	0.001203616078244;	0.001107537794750;	0.001171562119278;	0.001125045441407;	0.001198547333359;	0.000997538777536;	0.001076997997406;	0.001150623206989;	0.000936975053816;	0.001011211380764;	0.001130243543277;	0.001017006229430;	0.000978551764728;	0.001044421101839;	0.001130065268860;	0.001060226173597;	0.001028368079263;	0.001048097855242;	0.001104569349414;	0.001212651501916;	0.001109921405537;	0.001041778830446;	0.001040866226091;	0.001156092357033;	0.001196671926230;	0.001265215477524;	0.001352025882127;	0.001219765005973;	0.001268546990011;	0.001266137422847;	0.001211884541912;	0.001297649471767;	0.001356979566652;	0.001422830824361;	0.001480247845526;	0.001543816303177;	0.001629938740385;	0.001681296989881;	0.001582336172349;	0.001637982204778;	0.001712682884093;	0.001807066674443;	0.001865750201378;	0.001921681090137;	0.001950029359397;	0.002005911855221;	0.002009782995379;	0.002047884865620;	0.002128956109681;	0.002198211821798;	0.002293911974838;	0.002421098415746;	0.002554477176652;	0.002658505398817;	0.002792387495249;	0.002910180308397;	0.003017434101084;	0.002961706343040;	0.002703618667634;	0.002756015577542;	0.002903049829791;	0.003000414556453;	0.003129967246128;	0.003233035415552;	0.003364231714268;	0.003516971910663;	0.003645020085196;	0.003750842747615;	0.003911984637732;	0.004227249568159;	0.004149866977216;	0.004495952088655;	0.004779551969791;	0.005901708271987;	0.007702852863748;	0.014313197244431;	0.028102754083655;	0.052679902027521;	0.091953391060749;	0.135706304966862;	0.004602452218320;	0.004840016534404
0.068261521546496;	0.004843701435099;	0.004157931450374;	0.003691382976454;	0.003296249143733;	0.003163415748612;	0.002989569624869;	0.002521355169476;	0.032387947845145;	0.051601653448130;	0.010254029936537;	0.014934646566416;	0.049323909510740;	0.001635070437225;	0.001701182787263;	0.001501568698011;	0.001629574207683;	0.001369862774647;	0.001301543771412;	0.001193553090654;	0.001274027558239;	0.001152633832030;	0.001232233736786;	0.001023114438247;	0.001108776967518;	0.001185347316007;	0.000964082351120;	0.001043099228097;	0.001166956480571;	0.001049789953069;	0.001010701823072;	0.001080248025093;	0.001168957085368;	0.001096916872701;	0.001063858649890;	0.001085642188537;	0.001144741980186;	0.001257393029524;	0.001151218546158;	0.001080485482736;	0.001080012954298;	0.001200568973314;	0.001243321680141;	0.001314708710343;	0.001405583404393;	0.001269333243412;	0.001320605815957;	0.001317910201337;	0.001262418488134;	0.001352927473963;	0.001415760054876;	0.001485004435554;	0.001545651719387;	0.001612964504974;	0.001704114853156;	0.001759390466260;	0.001657556272628;	0.001717257030524;	0.001796996820742;	0.001897588453007;	0.001960953879035;	0.002021524380522;	0.002053186710141;	0.002113021195450;	0.002118849553558;	0.002159415831221;	0.002245674781455;	0.002319032438831;	0.002420100903317;	0.002553820192495;	0.002694336930369;	0.002803666334984;	0.002944147339261;	0.003067797606250;	0.003181364023258;	0.003135775733715;	0.002866725021428;	0.002923558275178;	0.003080429684516;	0.003184530456980;	0.003322346301347;	0.003432701818955;	0.003572188344169;	0.003734667916622;	0.003870409481832;	0.003982652175350;	0.004153195692952;	0.004484264914754;	0.004404340767785;	0.004770513864452;	0.005077295712662;	0.006273010228375;	0.008189629939998;	0.015168780860119;	0.029532200078892;	0.054696151341316;	0.094420660087374;	0.138482916137447;	0.004920484055186;	0.006446697820251
0.073215944039005;	0.005057156751816;	0.004335424046729;	0.003838571276722;	0.003419013250691;	0.003346999885921;	0.003163198606398;	0.002619520400208;	0.032507576018992;	0.051688287261950;	0.010365721516799;	0.015031321943391;	0.049404467767610;	0.001710413680854;	0.001796517484504;	0.001572829273604;	0.001715574233774;	0.001433125377791;	0.001367545706770;	0.001250802663939;	0.001340191204579;	0.001220116316275;	0.001313299609784;	0.001084406284773;	0.001183543509292;	0.001265930852356;	0.001026747588575;	0.001115598361674;	0.001249247471480;	0.001122846190176;	0.001081442675975;	0.001157477855483;	0.001251531588318;	0.001174037404841;	0.001137436226675;	0.001162503110733;	0.001225739009241;	0.001346122004295;	0.001232142810763;	0.001154702594595;	0.001153742774644;	0.001282578914142;	0.001327690528586;	0.001402435597061;	0.001498455332204;	0.001353702026054;	0.001407205257933;	0.001402352011101;	0.001343128505813;	0.001438831887612;	0.001504672785050;	0.001576486495604;	0.001639351153695;	0.001709308316704;	0.001804454517055;	0.001861910799734;	0.001753483431255;	0.001815138492641;	0.001897636364559;	0.002001962449983;	0.002067001114524;	0.002129012157849;	0.002160636025084;	0.002221100910084;	0.002226309068534;	0.002269287247223;	0.002359087731170;	0.002434869679921;	0.002539467151452;	0.002677655227625;	0.002823103304573;	0.002935632312265;	0.003080379976157;	0.003207818652368;	0.003325179997683;	0.003265190804391;	0.002986084361166;	0.003044055180650;	0.003205766980162;	0.003312611741129;	0.003454032486873;	0.003567153819777;	0.003710112821376;	0.003876973912663;	0.004016051131682;	0.004130945564838;	0.004305696044692;	0.004645392574061;	0.004562902504201;	0.004939651443358;	0.005259353387850;	0.006497047860598;	0.008479868082672;	0.015670531606722;	0.030374045499023;	0.055853128707557;	0.095795490190614;	0.139995936311820;	0.005649142220670;	0.007543517921248
0.075716813124251;	0.005357815263216;	0.004586963347429;	0.004047862369584;	0.003594037382890;	0.003612144397026;	0.003412481232954;	0.002761242860375;	0.032681804612138;	0.051815449130223;	0.010529807531201;	0.015174646358514;	0.049525014993836;	0.004469416362112;	0.001939694407778;	0.001681905219672;	0.001846365294345;	0.001531112996999;	0.001469975042551;	0.001340950552185;	0.001444356241356;	0.001301891588331;	0.001410408592887;	0.001158283942899;	0.001272415448968;	0.001361196156796;	0.001101358089484;	0.001201107596935;	0.001345420493235;	0.001208659379515;	0.001164308939864;	0.001247425876818;	0.001347370047344;	0.001263974277827;	0.001223193485580;	0.001251292972823;	0.001319142305467;	0.001448178541947;	0.001325561358270;	0.001240942046032;	0.001239507578164;	0.001377740761935;	0.001425747204064;	0.001504612341558;	0.001606761977500;	0.001452842095858;	0.001509334581349;	0.001502137723752;	0.001438457181843;	0.001540505607962;	0.001610342851612;	0.001685860162791;	0.001752083727738;	0.001825945940955;	0.001926714814910;	0.001987903065331;	0.001872709150495;	0.001938013487772;	0.002025264773287;	0.002135712853101;	0.002204622049366;	0.002270336620969;	0.002303888286909;	0.002367237272341;	0.002372772932011;	0.002416763164747;	0.002511493499564;	0.002590658051226;	0.002700101261437;	0.002844371778119;	0.002996421786535;	0.003113105286007;	0.003263534237760;	0.003395770284577;	0.003518248168260;	0.003470723209354;	0.003177808301057;	0.003239214562091;	0.003409801600963;	0.003522174041088;	0.003679136343454;	0.003845230903171;	0.004044587021518;	0.004257945200928;	0.004424182852541;	0.004562008181823;	0.004762436039331;	0.005137636621715;	0.005056111995556;	0.005473524520292;	0.005840236973932;	0.007218800120074;	0.009426389361590;	0.017326707992987;	0.033154773874195;	0.059947019303549;	0.101179933746799;	0.146484844152186;	0.007405513234537;	0.008662928100886
0.078587630335476;	0.005769790229681;	0.004930715527641;	0.004331950177336;	0.003829645566030;	0.003959452926814;	0.003748052210932;	0.002947919649050;	0.032911504168922;	0.051981878268375;	0.010742188446002;	0.015360544667115;	0.049680882567896;	0.004617565356989;	0.002121591988504;	0.001822166657393;	0.002011454963530;	0.001655875432116;	0.001599474484393;	0.001455298012313;	0.001574737737475;	0.001405070348394;	0.001531863893754;	0.001251364625942;	0.001383081591727;	0.001479318537343;	0.001194698244687;	0.001307261446711;	0.001464251284308;	0.001315413325428;	0.001267184074881;	0.001358000096237;	0.001464838822296;	0.001374576459749;	0.001328567538857;	0.001360406359180;	0.001433744281791;	0.001573073584387;	0.001440309438501;	0.001346255377844;	0.001344095299793;	0.001493204172459;	0.001544523414828;	0.001628144494855;	0.001737276252313;	0.001572518980051;	0.001632329696904;	0.001622527140464;	0.001553576231780;	0.001662697538169;	0.001736878191340;	0.001816533339736;	0.001897144777758;	0.001991106367600;	0.002114855687548;	0.002193312479828;	0.002076667099843;	0.002156794086884;	0.002260405004591;	0.002389288561206;	0.002472120712798;	0.002551283118644;	0.002594705457899;	0.002670144378833;	0.002682095295715;	0.002738344867285;	0.002850975417422;	0.002945151814653;	0.003073147598835;	0.003239329760773;	0.003414899551434;	0.003550432362262;	0.003723095139854;	0.003876684684571;	0.004021022174631;	0.003962334020993;	0.003643813382776;	0.003721568461463;	0.003921909032554;	0.004057877688752;	0.004241107757339;	0.004419118802157;	0.004636660915059;	0.004877485124949;	0.005074051086252;	0.005243159029407;	0.005483872170662;	0.005921129854036;	0.005853036827877;	0.006345741596184;	0.006800577992019;	0.008415654923428;	0.011002255036339;	0.020073631621276;	0.037871080753428;	0.067332915916012;	0.111961265075342;	0.160856902707553;	0.008863001498769;	0.009957436305995
0.081887815258531;	0.006333542461093;	0.005399782141006;	0.004717248805203;	0.004146827709469;	0.005707011353068;	0.004181130776210;	0.003194595677880;	0.033212305369665;	0.052200297553190;	0.011018527197517;	0.015601141657399;	0.049882875585625;	0.004806573704780;	0.003926049518153;	0.002002103893533;	0.002219879160868;	0.001830526197839;	0.001806998259357;	0.001657166061653;	0.001812959194958;	0.001564575185075;	0.001724547526356;	0.001405271152203;	0.001569780439290;	0.001684488028903;	0.001362431673263;	0.001501267979032;	0.001685416907957;	0.001519409121288;	0.001467935525769;	0.001578516890052;	0.001703357759579;	0.001604664621792;	0.001552084546586;	0.001593096817151;	0.001681830584409;	0.001847584228844;	0.001697161842036;	0.001587790537467;	0.001587161224281;	0.001764577954219;	0.001827660751157;	0.001927496430198;	0.002058250746629;	0.001871808234471;	0.001944755030509;	0.001932598033207;	0.001852279650200;	0.001982896464337;	0.002072454800940;	0.002167825401167;	0.002253676324301;	0.002351344438979;	0.002484592028838;	0.002570626054061;	0.002433604586173;	0.002524482547916;	0.002643000804255;	0.002791446055642;	0.002888938262437;	0.002983715743526;	0.003038869677082;	0.003130560601134;	0.003148675119729;	0.003214429060808;	0.003350229502678;	0.003464305327823;	0.003618040674087;	0.003815586576098;	0.004025208159792;	0.004189352225515;	0.004395857525397;	0.004583021553393;	0.004762333544319;	0.004726193187600;	0.004374480734099;	0.004483351022454;	0.004733250493930;	0.004911447644651;	0.005144256606379;	0.005354035250195;	0.005610166729946;	0.005899199349228;	0.006146927502601;	0.006370466347909;	0.006679375213193;	0.007218029482300;	0.007177037239526;	0.007789990277688;	0.008379610809924;	0.010339048731040;	0.013464045880526;	0.024171115160498;	0.044487896140452;	0.077979876706613;	0.129601313847182;	0.187577224972960;	0.010409219233453;	0.011418941067861
0.106257337553747;	0.007512081711475;	0.006381604605958;	0.005533679059990;	0.004830954491918;	0.006594657938613;	0.007065118623891;	0.003748724613783;	0.033906850747774;	0.052708941953251;	0.011666673984098;	0.016182867377118;	0.050381709075707;	0.007105108964767;	0.004498656931612;	0.005531182399986;	0.002757232998641;	0.002234746675055;	0.002196077725904;	0.001990690966165;	0.002179697938650;	0.001870092096051;	0.002074025322811;	0.001676538471009;	0.001882752959276;	0.002015947288706;	0.001628278339502;	0.001796954350444;	0.002012578180483;	0.001817340216500;	0.001754894761705;	0.001884516614410;	0.002027738554907;	0.001915156753151;	0.001850137682363;	0.001899780272011;	0.002005356152523;	0.002201801061091;	0.002028623741146;	0.001896617738787;	0.001896203888101;	0.002106322794716;	0.002182976179121;	0.002302354341399;	0.002458725920827;	0.002246924396828;	0.002336455637142;	0.002323583184745;	0.002230001753002;	0.002387086766722;	0.002496891086861;	0.002614237612007;	0.002720358268046;	0.002840127357758;	0.003001607309005;	0.003109013212976;	0.002951933876695;	0.003064064640565;	0.003208018055385;	0.003386764111482;	0.003506787210324;	0.003624922024421;	0.003697622493350;	0.003813816957712;	0.003838437928045;	0.003917354734756;	0.004084970319522;	0.004226482530074;	0.004416189369008;	0.004658623337277;	0.004916350358957;	0.005122012613083;	0.005376288453004;	0.005612402711482;	0.005840781729379;	0.005786664596989;	0.005388373303956;	0.005535772941797;	0.005842356552212;	0.006069273782688;	0.006362107688560;	0.006613299012426;	0.006921093296077;	0.007267279044717;	0.007572537303023;	0.007857192873800;	0.008233878239502;	0.008874885734185;	0.008841570204986;	0.009547101222395;	0.010228912145714;	0.012456081643088;	0.016008628477916;	0.028113121190874;	0.050557894333949;	0.087034185921348;	0.143447624155656;	0.207297023476362;	0.012142885192492;	0.013107476792309
0.115962764578589;	0.009193805637411;	0.007763691911414;	0.006658255857860;	0.005749411438376;	0.008356324847123;	0.008091588381571;	0.004693494899755;	0.034734555143381;	0.053318783093944;	0.012424791491680;	0.016843838286500;	0.050945402844960;	0.007626550758202;	0.006192344291255;	0.006157627736143;	0.005004023169618;	0.002698233199050;	0.002685210295832;	0.002446809243687;	0.002691651061939;	0.002267368674713;	0.002533015142590;	0.002045804647844;	0.002310206618315;	0.002476264685179;	0.002008163042116;	0.002220498438561;	0.002482338348346;	0.002253413033161;	0.002178491118441;	0.002338934360087;	0.002511075707412;	0.002384071476006;	0.002302350366855;	0.002359316395603;	0.002489536923456;	0.002730510700177;	0.002525579284910;	0.002362889234470;	0.002360922287964;	0.002615486004996;	0.002710016523588;	0.002856595044905;	0.003047250179956;	0.002798425679923;	0.002909667807663;	0.002893090569663;	0.002774312290618;	0.002963094596494;	0.003097097147741;	0.003242120756801;	0.003372453198622;	0.003519273019567;	0.003716634122491;	0.003851804397278;	0.003668501388114;	0.003809171014024;	0.003986618226196;	0.004204215461367;	0.004353662659951;	0.004502630847990;	0.004599196440291;	0.004750012821259;	0.004779758240736;	0.004864401565710;	0.005069790753887;	0.005243500260544;	0.005475919290113;	0.005772365128039;	0.006085842157701;	0.006339287879951;	0.006645728617572;	0.006935881004997;	0.007214633891957;	0.007208835266516;	0.006748503178792;	0.006943666415260;	0.007310682504002;	0.007589365035780;	0.007946862907338;	0.008240879926785;	0.008603624145207;	0.008998027008299;	0.009341830582235;	0.009666767974939;	0.010083403554848;	0.010791452250134;	0.010729013033146;	0.011495516516854;	0.012259181548916;	0.014760771744438;	0.018762709793168;	0.032299693271089;	0.056585760691958;	0.095630186873731;	0.156041394627633;	0.224704977351012;	0.014118746496196;	0.015069667323779
0.146876169988348;	0.011829950578988;	0.009928120249925;	0.008425834934352;	0.007202694525412;	0.010415654129415;	0.011141099737666;	0.005807308018244;	0.038120839380224;	0.054305099137470;	0.013634934123937;	0.017948283016318;	0.051884173188303;	0.009741197017198;	0.007520363751880;	0.009011987583865;	0.006552080979086;	0.006245141802565;	0.003417431733577;	0.003110537134158;	0.003410316858208;	0.002859471789207;	0.003198484585563;	0.002582534317426;	0.002915262525842;	0.003120040459304;	0.002543881931810;	0.002806523928111;	0.003126324175222;	0.002856104235840;	0.002761751258535;	0.002955357401639;	0.003163066735158;	0.003021219446036;	0.002917172100499;	0.002981709171069;	0.003143739968471;	0.003442641347982;	0.003199939648957;	0.002994031077301;	0.002988486151324;	0.003297799863890;	0.003415023101802;	0.003597867663864;	0.003832067430812;	0.003537497518332;	0.003677283814421;	0.003658551351508;	0.003504347541391;	0.003729783086189;	0.003892941493305;	0.004073306685657;	0.004234157367431;	0.004414793375490;	0.004656365235582;	0.004826078317581;	0.004610459740434;	0.004786623484137;	0.005004610732192;	0.005267847714648;	0.005452097708110;	0.005638180387418;	0.005764201570204;	0.005959863197681;	0.005989289392174;	0.006079829376760;	0.006328329530321;	0.006538811224661;	0.006820293638099;	0.007179078942517;	0.007554498869209;	0.007861053182117;	0.008220655637564;	0.008568764746351;	0.008894870835906;	0.008777196725524;	0.008231391550488;	0.008448998998191;	0.008841503461273;	0.009141005358200;	0.009534024271622;	0.009848117373924;	0.010246327559774;	0.010675964077485;	0.011055202454870;	0.011423546648961;	0.011883521368348;	0.012667836972617;	0.012600181274381;	0.013439685648250;	0.014305771509604;	0.017088132934170;	0.021550671287303;	0.036495527724311;	0.062662087917352;	0.104087409533897;	0.168161852025692;	0.241358641620293;	0.016411492717111;	0.017366848943006
0.172055757139706;	0.015747637754153;	0.013112947685937;	0.010996141658058;	0.009288233897682;	0.013327017732725;	0.013759303657189;	0.007449300925807;	0.040631843309357;	0.056984323408558;	0.017625461043621;	0.019400848253333;	0.053158832349194;	0.011564186227535;	0.009373096375628;	0.011346925021236;	0.008589889109752;	0.009033520327349;	0.006890036085787;	0.007907889556983;	0.004384053200295;	0.003667713481460;	0.004093298793702;	0.003317004261071;	0.003727855092692;	0.003983399177928;	0.003272223161448;	0.003591091084949;	0.003976372254613;	0.003659061972015;	0.003537196753183;	0.003772328012050;	0.004022732167322;	0.003869267684478;	0.003735566355383;	0.003794585776057;	0.003994636665848;	0.004364152082857;	0.004077415288370;	0.003823234641145;	0.003810369157267;	0.004183341015320;	0.004327810742977;	0.004556636239205;	0.004843122422999;	0.004494467597616;	0.004669860352192;	0.004646462372177;	0.004437833095031;	0.004701338074652;	0.004896433924440;	0.005118397587409;	0.005314302796865;	0.005533532889589;	0.005824599331179;	0.006032708318945;	0.005777262156640;	0.005992240789601;	0.006252920926730;	0.006562021600071;	0.006781264664719;	0.007004989813575;	0.007160609552686;	0.007405680135422;	0.007422202904938;	0.007484437360602;	0.007766846176484;	0.008003341670721;	0.008323283154269;	0.008733751732337;	0.009155873909913;	0.009499345937881;	0.009893318721928;	0.010281387903615;	0.010638989738034;	0.010586082266330;	0.009948285112458;	0.010200843341179;	0.010631011565210;	0.010966566971417;	0.011413600042417;	0.011764690792074;	0.012217223190354;	0.012696470813921;	0.013121479180043;	0.013545695240015;	0.014060287767869;	0.014928267490445;	0.014856538152763;	0.015778998745374;	0.016766181341452;	0.019864507230093;	0.024834772932564;	0.041299845245210;	0.069211566154450;	0.112963857909296;	0.180753173771280;	0.258592929850415;	0.019104343388829;	0.020068218491844
