0.000000000000000;	0.022810107248848;	0.009023329680189;	0.008165241718311;
0.038720610836829;	0.037294977774912;	0.000000000000000;	0.000000000000000;
0.032093578748990;	0.030426275375693;	0.000000000000000;	0.000000000000000;
0.027310965056876;	0.023086883451450;	0.000000000000000;	0.000000000000000;
0.025028902940622;	0.017747612535457;	0.000000000000000;	0.000000000000000;
0.023554275591354;	0.013996628171339;	0.000000000000000;	0.000000000000000;
0.021982656186407;	0.011550199769636;	0.000000000000000;	0.000277668888096;
0.020517271639380;	0.010357262181047;	0.000000000000000;	0.000555337776191;
0.019399477012719;	0.009573754557096;	0.000000000000000;	0.000347153384278;
0.019466190522002;	0.009161821283894;	0.000000000000000;	0.000357230262774;
0.019088619937190;	0.008742935102481;	0.000000000000000;	0.000377367773660;
0.018030514239288;	0.008011184999823;	0.000000000000000;	0.000603703004111;
0.017809897629544;	0.007681304052973;	0.000000000000000;	0.000710404668523;
0.017263139320454;	0.007528953299378;	0.000000000000000;	0.000705315363817;
0.017081957835900;	0.007574263598368;	0.000000000000000;	0.000631302148369;
0.017303419358230;	0.007843595933480;	0.000000003625020;	0.000724593068258;
0.016892360858681;	0.008074197872754;	0.000000007250040;	0.000979612368919;
0.016306056238874;	0.008104759803839;	0.000000007169279;	0.000942272820398;
0.015999841486970;	0.007828894247850;	0.000725274826960;	0.000868451835129;
0.016336613543281;	0.007611483970059;	0.000634671340627;	0.001049224945073;
0.016398096228953;	0.007162610688408;	0.000586861616626;	0.001209961583467;
0.015439725294012;	0.007243150329722;	0.000539589292141;	0.001098478535450;
0.015627466474699;	0.007210177429991;	0.000470115940719;	0.001193293752035;
0.016007986460838;	0.007400814953939;	0.000456821518681;	0.001413485472589;
0.015661224832257;	0.007051948297474;	0.000407264892609;	0.001383746976028;
0.015247328726778;	0.007021797381089;	0.000360149028756;	0.001497330990672;
0.015530093393662;	0.007053094887892;	0.000648718945894;	0.001656989352505;
0.015934235912310;	0.007060714561504;	0.001382330111105;	0.001631876213102;
0.014786740343411;	0.007117780266749;	0.001057667412783;	0.001770502993410;
0.015066351292645;	0.006919164306062;	0.000888878744984;	0.001820951414325;
0.015458147837670;	0.007189989614762;	0.000835516564606;	0.001879807146148;
0.014788477950850;	0.007207166953247;	0.001021893055454;	0.002025755621892;
0.015196803501494;	0.007324235716317;	0.001241374587781;	0.002113984702648;
0.015279973388046;	0.007325086577711;	0.001279872934398;	0.002221668952261;
0.014650166482405;	0.007492853741686;	0.001240155963103;	0.002289017912617;
0.015133572844930;	0.007708354352720;	0.001104665660061;	0.002409831560970;
0.014849095834002;	0.007887185716639;	0.001297507924848;	0.002460061889778;
0.014546435693563;	0.007703559338734;	0.001605571303032;	0.002587451964480;
0.015155276578709;	0.007835904110864;	0.001565795944974;	0.002665246606032;
0.014629100915284;	0.007917638997204;	0.001538117847187;	0.002786846150819;
0.014952427784961;	0.008230884226569;	0.001729490318160;	0.002890296842252;
0.015299170807715;	0.008174056077240;	0.001862196782002;	0.002945076286997;
0.014495162352531;	0.008172176421248;	0.001818026761988;	0.003117605290120;
0.014925002140921;	0.008401124421479;	0.001883030098643;	0.003169148320188;
0.015428299106292;	0.008424403021122;	0.002063184037266;	0.003302469109013;
0.014578752514399;	0.008797800566654;	0.002086171790616;	0.003500765552298;
0.014797942160135;	0.008826044068764;	0.002103303516638;	0.003576178691471;
0.015663445344218;	0.008806133574730;	0.002256478187355;	0.003675975059879;
0.014436363875099;	0.009220950343525;	0.002338498563144;	0.003886119511426;
0.014359748985307;	0.009191608675408;	0.002433336511693;	0.003996215451548;
0.015537243929145;	0.009346472196073;	0.002511566435460;	0.004171366803021;
0.014654242074209;	0.009758022669707;	0.002604221126179;	0.004322917932553;
0.014666241214215;	0.009607199235810;	0.002749333695357;	0.004469878364985;
0.015459946393778;	0.009755898418844;	0.002815446785606;	0.004651848919652;
0.014715102203139;	0.010143941664326;	0.002914727645669;	0.004815312025971;
0.014610069363555;	0.010091831158885;	0.003065759729774;	0.005151592771677;
0.015269680136989;	0.010243736653177;	0.003217971500045;	0.005374243120674;
0.014784564701054;	0.010579667437534;	0.003320368546491;	0.005550796722316;
0.014664770428444;	0.010486277796870;	0.003472099715203;	0.005870180342673;
0.015090405236137;	0.010651471601287;	0.003625108618086;	0.006200031398733;
0.014650184712642;	0.011243413177751;	0.003846025024825;	0.006705687540051;
0.014827771784197;	0.011360862236037;	0.004007152928498;	0.007200819206661;
0.015148540937973;	0.011044353103853;	0.004198634953253;	0.007653102747944;
0.014612803979912;	0.011264466253871;	0.004500254275638;	0.007956250322011;
0.014800561416555;	0.011853671480987;	0.004659185045463;	0.008196114547058;
0.015377180029853;	0.011954881636619;	0.004839677527576;	0.008398642001011;
0.014833324610098;	0.011818804312970;	0.005052359727721;	0.008537417710588;
0.014845000955840;	0.012067590286227;	0.005381892165007;	0.008845288286807;
0.015235377495766;	0.012411885963819;	0.005647532423915;	0.009025712825850;
0.014453799202371;	0.012425613425833;	0.005877356330257;	0.009180964855619;
0.014751028617062;	0.012394793886346;	0.006237166660436;	0.009527092777907;
0.015419737464132;	0.012651878348021;	0.006578806330735;	0.009643093712436;
0.014261481031171;	0.013140716444615;	0.006891926767474;	0.009749662355707;
0.014099838429171;	0.013318297602619;	0.007114491573453;	0.010202287865132;
0.015221258988976;	0.013255239989942;	0.007467473665634;	0.010462267361065;
0.015385865526812;	0.012975425190143;	0.007848395967303;	0.010504557781297;
0.014526130735378;	0.013140787523030;	0.008125664457658;	0.010709350366249;
0.014502916058010;	0.013598557237891;	0.008490714478885;	0.010943449806606;
0.014900058904664;	0.013690596955933;	0.008914530568494;	0.011121669353351;
0.013855224874418;	0.013692700632601;	0.009200985026631;	0.011409239244785;
0.013939920057142;	0.013468671983780;	0.009596689195568;	0.011568648721398;
0.014976687678982;	0.013466398024505;	0.010466111633896;	0.011714930148625;
0.014972772050525;	0.013753299663287;	0.011063684018925;	0.012011336434479;
0.014006466168262;	0.013893169906273;	0.010988819649174;	0.012318213117871;
0.014160309273722;	0.013952840491720;	0.011006055936406;	0.012378591399635;
0.014759324701469;	0.013861214092462;	0.011336721054041;	0.012431144452903;
0.014446370152883;	0.013653511836904;	0.011710805941598;	0.012677540784575;
0.013854896318301;	0.013686115220555;	0.011918663867638;	0.012864546745761;
0.013740357365494;	0.013960709263501;	0.012168453875259;	0.013007872463790;
0.014271376301661;	0.014075096836433;	0.012209676438936;	0.013167204847687;
0.014054956898711;	0.014073385822807;	0.012373672743916;	0.013186949521893;
0.013246834061205;	0.014003137979873;	0.012634014642027;	0.013167107812831;
0.012878049065031;	0.013852048377181;	0.012743959240050;	0.013329566705499;
0.013422507521381;	0.013714287012618;	0.012931452874127;	0.013477431911471;
0.013585719622547;	0.013640254692830;	0.012992939212904;	0.013609344062296;
0.013144652842401;	0.013705501161040;	0.013103137325734;	0.013734116244132;
0.012066280245442;	0.013654578501837;	0.013221982002608;	0.013777479351324;
0.011925297065116;	0.013462721156707;	0.013335567823249;	0.013752709954861;
0.012360965398220;	0.013274908479510;	0.013562705823164;	0.013697285467292;
0.011855728474190;	0.013021055661350;	0.013819961328875;	0.013477554752248;
0.011302110490595;	0.012787696142199;	0.013749753304366;	0.013349471891498;
0.010185286173962;	0.012645934617591;	0.013521038006631;	0.013425978740589;
0.009983003558491;	0.012408870432208;	0.013466762582301;	0.013367050413499;
0.009672325247766;	0.012015894112008;	0.013412084478284;	0.013199519823857;
