0.165058005398815;	0.070307007061423;	0.047060079984270;	0.031444398522843;
0.029963949970149;	0.027262731639860;	0.013247911498033;	0.010498417065382;
0.024913240845358;	0.022601630260760;	0.011077717052130;	0.008817193311166;
0.020897756025964;	0.018220999920041;	0.009129466623057;	0.007414143361642;
0.018635669785181;	0.015260562386373;	0.007864975942227;	0.006570688548919;
0.017114275792696;	0.013198201827422;	0.006991553947454;	0.005995690792742;
0.021181580025009;	0.016647790584744;	0.010006461767100;	0.011114454869742;
0.019370766084878;	0.014873014196603;	0.009044046482760;	0.010217860617461;
0.013894360404268;	0.010052949631248;	0.005592038363856;	0.005128452264634;
0.013809728788276;	0.009796277428929;	0.005481638555937;	0.005056650250108;
0.013491832764896;	0.009453706434561;	0.005331063116308;	0.004967890296599;
0.012766324815567;	0.008868065586821;	0.005065378758624;	0.004868527864600;
0.012542662980924;	0.008622184709005;	0.004936495017821;	0.004826590476069;
0.012172135937715;	0.008386616220484;	0.004800360402364;	0.004676225430718;
0.012065208484374;	0.008359276310166;	0.004783685368203;	0.004609913316777;
0.016890486705959;	0.014437971264018;	0.009341830226062;	0.007767868256935;
0.016580340960239;	0.014661415940397;	0.009364744955031;	0.008052405193730;
0.011713067678458;	0.008518663086712;	0.004997121491550;	0.004731329768817;
0.011505442635044;	0.008332173138033;	0.005061315919669;	0.004635458655700;
0.011648802515257;	0.008278765925454;	0.005009996486091;	0.004785432531312;
0.011587317940210;	0.008070555023849;	0.004908789062931;	0.004814242335918;
0.011085282743325;	0.007872476118253;	0.004780485068268;	0.004618381713364;
0.011179065507438;	0.007900335413286;	0.004771572571227;	0.004705690142220;
0.011415074387572;	0.008068621938598;	0.004844783459760;	0.004887292702731;
0.011148861674870;	0.007829167937224;	0.004706789132110;	0.004770238976046;
0.010943520819504;	0.007734300372883;	0.004642974068070;	0.004802237699362;
0.011155731583055;	0.007942115654967;	0.005033035238820;	0.004986551860359;
0.011398174181001;	0.008096439865183;	0.005311192468985;	0.005058628278253;
0.010741917816503;	0.007756649888339;	0.004984656297426;	0.004964588263962;
0.010834613306922;	0.007691123178505;	0.004889866684019;	0.004985538446560;
0.011109931636235;	0.007900009833389;	0.004974781749371;	0.005110583450118;
0.010772482879551;	0.007800775659013;	0.005023257418567;	0.005115810330483;
0.011041348466527;	0.007981261204509;	0.005206788955731;	0.005256907911833;
0.011099881868214;	0.008018370347236;	0.005254479503240;	0.005339917387849;
0.010786500883245;	0.007934017896859;	0.005194671907994;	0.005311807638515;
0.011091896146997;	0.008118012374956;	0.005229187580375;	0.005459952126549;
0.011017267419121;	0.008193581063711;	0.005383892749868;	0.005513783263976;
0.010832917905747;	0.008091082518701;	0.005452232894497;	0.005542924232850;
0.011197551314845;	0.008289878320971;	0.005552492390525;	0.005689540965205;
0.010938744519028;	0.008208371625356;	0.005507516911168;	0.005706448665710;
0.011207480555238;	0.008460012216316;	0.005728612555907;	0.005870873751196;
0.011413702461811;	0.008556332966397;	0.005843487875038;	0.005970644640645;
0.010988634007332;	0.008376144011274;	0.005735944966434;	0.005953076187885;
0.011298555718782;	0.008602995331005;	0.005896389727185;	0.006091724372681;
0.011604046970931;	0.008768626337968;	0.006070043905552;	0.006262785093956;
0.011255259567908;	0.008764592784603;	0.006084154415958;	0.006325297872041;
0.011407744226091;	0.008854061917548;	0.006153241191484;	0.006422442750515;
0.011879052987809;	0.009059849943112;	0.006332307670687;	0.006601519743731;
0.011378216670469;	0.009032950906550;	0.006367781352964;	0.006659985270362;
0.011355832288867;	0.009038722331740;	0.006425225819105;	0.006731489619651;
0.012021371127806;	0.009375104741791;	0.006639105915552;	0.007006018079041;
0.011688138004111;	0.009413948027737;	0.006716465478488;	0.007073452923121;
0.011694947810868;	0.009400045554417;	0.006779529557213;	0.007168950263818;
0.012176831227400;	0.009669423155945;	0.006956820482547;	0.007414416623690;
0.011906268751873;	0.009724535012989;	0.007042780670048;	0.007503334232106;
0.011884119580161;	0.009742076871067;	0.007133440717929;	0.007712187065694;
0.012322083899706;	0.010018294417903;	0.007357623586878;	0.007991546217924;
0.012175995729833;	0.010105366313025;	0.007457479043338;	0.008115405309576;
0.012134849325226;	0.010098824261249;	0.007532183396401;	0.008276729730501;
0.012445737235357;	0.010322848062033;	0.007725813753774;	0.008481759035764;
0.012389819291520;	0.010552810687774;	0.007950505259704;	0.008698936935789;
0.012556411633915;	0.010704577073728;	0.008107637684650;	0.008959811519876;
0.012717501919811;	0.010718106090109;	0.008216926232240;	0.009217567051273;
0.012532514135203;	0.010779653979519;	0.008379332057910;	0.009380816737630;
0.012802586070743;	0.011128225471846;	0.008632857585646;	0.009672128866249;
0.013184627565632;	0.011365661871999;	0.008839886315004;	0.009952509179964;
0.012904055292595;	0.011250263471519;	0.008871973079415;	0.010014294543153;
