0.723430855600604;	0.310924822153284;	0.000000263978352;	0.000000090457780;	0.000050779315794;	0.000029538801198;	0.000006929457235;	0.005888475763465;	0.006302150602503;	0.005476737181698;	0.008651656991238;	0.000095163048419;	0.000039541310964;	0.000038191157655;	0.000042644994196;	0.000065747846334;	0.000159382474038;	0.000185804827512;	0.000232419303739;	0.000301175838268;	0.000312711767182;	0.000530025509146;	0.000785941206060;	0.000695917378012;	0.000838676268610;	0.001647952144176;	0.002396628153244;	0.002234412549672;	0.002908618173236;	0.004422874994550;	0.005740620129606;	0.008496491624775;	0.009209720886833;	0.009642081032824;	0.012879037848637;	0.018153281252877;	0.023421279571737;	0.030998295373910;	0.038072130480179;	0.044765191828928;	0.051886385893992;	0.057958898842795;	0.060368390546852;	0.068680064183189;	0.079140646486577;	0.091762190768557;	0.106876989547106;	0.120012509521691;	0.137058143764900;	0.150357116082057;	0.163422668687904;	0.179530969037363;	0.198076801146864;	0.217621795721374;	0.236701302594643;	0.256476694295085;	0.274867279348323;	0.293399939132533;	0.323703061153129;	0.337965682270700;	0.357003264283921;	0.376963361488835;	0.394438490755905;	0.409920755316614;	0.428215102566484;	0.440783387912703;	0.459183096240831;	0.479317019559378;	0.498079188454912;	0.517959173815006;	0.538019083196152;	0.558223586674062;	0.578965564563653;	0.603519589000353;	0.634768723781734;	0.667711784310462;	0.703260226055972;	0.730945475772995;	0.945051199822252;	0.000000001127629
0.735295045915119;	0.324519163247761;	0.000000925416686;	0.000000315564157;	0.000175176527852;	0.000097252076308;	0.000023324895678;	0.005902192747630;	0.006316178839371;	0.005488516687808;	0.008669118026455;	0.000197466738988;	0.000087095230452;	0.000081307072378;	0.000086780003472;	0.000128301481739;	0.000278421954991;	0.000312652677029;	0.000383167781754;	0.000481313579144;	0.000498149537588;	0.000802138827137;	0.001162670038436;	0.001027785467024;	0.001211536952435;	0.002293878381219;	0.003262604779278;	0.003034910120108;	0.003886380216838;	0.005790330738211;	0.007422664057226;	0.010780608352088;	0.011605887161154;	0.012071889259213;	0.015915621828254;	0.022088863925024;	0.028174894770448;	0.036822913111647;	0.044823643893814;	0.052329448369948;	0.060260764867838;	0.066988110909050;	0.069405262112106;	0.078439310522620;	0.089825361173821;	0.103470038750071;	0.119709251840667;	0.133769839683103;	0.151878163374200;	0.165952924763531;	0.179727129903636;	0.196628368164635;	0.215988322003683;	0.236281319179745;	0.256007769438666;	0.276373131110949;	0.295242832222663;	0.314195003497651;	0.330638321940966;	0.344973004477478;	0.364146285855040;	0.384231926338518;	0.401810812036342;	0.417391805021729;	0.435774570298418;	0.448360271075186;	0.466829960325072;	0.487031362321956;	0.505861753054967;	0.525780955683883;	0.545861673206759;	0.566078699566228;	0.586809801564562;	0.611298178846928;	0.642372847843762;	0.675043491191753;	0.710165531914890;	0.737348897209734;	0.946285458874960;	0.000000001929744
0.753421053904990;	0.340482878828239;	0.000003267231069;	0.000001067565205;	0.000566447967266;	0.000292875043289;	0.000069991169939;	0.005936326491562;	0.006345828933965;	0.005513667588850;	0.008700745038967;	0.000363411676450;	0.000167173669860;	0.000150673350583;	0.000154073109797;	0.000219119326733;	0.000433562896292;	0.000470965274167;	0.000565773038837;	0.000691985619482;	0.000712174194631;	0.001099634093128;	0.001563448147389;	0.001376696439897;	0.001592282031533;	0.002927987917529;	0.004090192394177;	0.003790851904502;	0.004788361600460;	0.007019340460539;	0.008904922090241;	0.012745767809245;	0.013635122102076;	0.014097092410977;	0.018395235023223;	0.025231343089047;	0.031897445092327;	0.041293073247696;	0.049915670944050;	0.057944411438183;	0.066381389585852;	0.073491893777469;	0.075815006690395;	0.085246146855690;	0.097156144675961;	0.111369986106320;	0.128222823700340;	0.142752972355364;	0.161391596120989;	0.175803865611579;	0.189861240006509;	0.207079570997021;	0.226753694953155;	0.247307325118452;	0.267224437582197;	0.287736106602676;	0.306680926654459;	0.325666138641277;	0.345713982895575;	0.360021673402259;	0.379294983243443;	0.399448872737370;	0.417043436781064;	0.432620544324514;	0.450962637248548;	0.463351660338367;	0.481711924295999;	0.501778401738378;	0.520454049286788;	0.540143191934463;	0.559945321571560;	0.579869660687912;	0.600274966113707;	0.624357638194387;	0.654874385012407;	0.686877590854402;	0.721137075045697;	0.747383692092850;	0.948191490211978;	0.000000005934181
0.776086905486818;	0.358405700985103;	0.000011721088377;	0.000003691699202;	0.001873863211623;	0.000908423874510;	0.000217265658311;	0.006032234213664;	0.006417829957210;	0.005576292877104;	0.008768697058364;	0.000689166913965;	0.000331579648223;	0.000288662174378;	0.000282605973661;	0.000386437268892;	0.000693998362238;	0.000728715762573;	0.000857842872343;	0.001021323992804;	0.001046123150645;	0.001545253773084;	0.002154730095773;	0.001891293818204;	0.002144541027779;	0.003824058030315;	0.005243301715451;	0.004844306405111;	0.006032333109461;	0.008693098906685;	0.010910638128201;	0.015378183721693;	0.016347212441852;	0.016797984295353;	0.021682213213181;	0.029365934928224;	0.036773394714520;	0.047120166724198;	0.056540315700361;	0.065247329646897;	0.074345193909080;	0.081967631820062;	0.084177942604999;	0.094129772769023;	0.106732912233200;	0.121702208375937;	0.139372586017252;	0.154548458898226;	0.173922568417524;	0.188844908662968;	0.203351870928917;	0.221065174318319;	0.241231368274813;	0.262214150453837;	0.282478575478422;	0.303287157572415;	0.322443302175082;	0.341590999564954;	0.361418450531632;	0.375640224313433;	0.394959061741365;	0.415126587417957;	0.432687424294181;	0.448217147488455;	0.466477425367534;	0.478637894068983;	0.496867503498624;	0.516789802774376;	0.535318301795724;	0.554799676669670;	0.574356678945943;	0.594021522804376;	0.614128153926152;	0.637817242201089;	0.667761378186454;	0.699051047202632;	0.732375951747018;	0.757601492892414;	0.950118922302463;	0.000000008904089
0.807905011143573;	0.378631787338609;	0.000042483530694;	0.000012924440133;	0.006486708431327;	0.002835898493514;	0.000682991421239;	0.006300662424392;	0.006591091671191;	0.005730369479767;	0.008912191516211;	0.001299383246342;	0.000662008092660;	0.000555497437963;	0.000520695269537;	0.000684435872934;	0.001114884515339;	0.001131438948866;	0.001304836027569;	0.001512513584448;	0.001541900152739;	0.002178234427740;	0.002979541554922;	0.002606876065412;	0.002897455694698;	0.005010344520479;	0.006743740071381;	0.006211097535050;	0.007624342978539;	0.010801056640169;	0.013411883237672;	0.018616327546311;	0.019663872615053;	0.020081697011008;	0.025639012674935;	0.034286013515199;	0.042526102771833;	0.053933051057312;	0.064237064361513;	0.073692332531409;	0.083516379788727;	0.091698334114087;	0.093743967268022;	0.104243379148620;	0.117590006005719;	0.133366923453571;	0.151908068190612;	0.167769754414582;	0.187895108915289;	0.203315665918377;	0.218256086164892;	0.236452021549385;	0.257105708491165;	0.278510899945364;	0.299114069607306;	0.320209512338025;	0.339565766864684;	0.358864650719851;	0.378515101689076;	0.392632061153043;	0.411990479651640;	0.432165906984394;	0.449690467447192;	0.465172479191092;	0.483341226343846;	0.495245378796214;	0.513314809546131;	0.533049669770435;	0.551374931507461;	0.570574327487545;	0.589801619332987;	0.609131143621424;	0.628877204690970;	0.652124213072269;	0.681463574821108;	0.712033157831667;	0.744438551644328;	0.768669554461952;	0.952225464591048;	0.000000031740906
0.851868551610913;	0.401433281585154;	0.000155269977992;	0.000045730384939;	0.006604935843336;	0.009362716571876;	0.002149863377762;	0.007059061669425;	0.007010598397283;	0.006111609016422;	0.009216633131333;	0.002583400818632;	0.001317332422094;	0.001075383941407;	0.000962467319938;	0.001215533828516;	0.001795347985219;	0.001760592824777;	0.001988538849911;	0.002243994108051;	0.002276526795373;	0.003075077795279;	0.004126410177160;	0.003598503522943;	0.003919906243549;	0.006573382064921;	0.008685566890977;	0.007974394197924;	0.009649270644636;	0.013437887677691;	0.016508475509021;	0.022568022400237;	0.023686454824470;	0.024040006499016;	0.030359365134221;	0.040085187566604;	0.049245921199548;	0.061815831446590;	0.073083223135987;	0.083349611585912;	0.093957279679000;	0.102739076878789;	0.104555232268520;	0.115616077035657;	0.129743798128369;	0.146365794522038;	0.165814087933932;	0.182387082401993;	0.203287735338465;	0.219221167521556;	0.234603603644847;	0.253284506665104;	0.274421398458410;	0.296238148084234;	0.317165579005730;	0.338529267043528;	0.358062943651467;	0.377485733451381;	0.396965081054724;	0.410924340346587;	0.430274791004346;	0.450403809161186;	0.467837143313111;	0.483218834187620;	0.501242446599378;	0.512842841405519;	0.530721199960090;	0.550251975890028;	0.568377793526950;	0.587311850265052;	0.606230690767288;	0.625227578784752;	0.644586416811280;	0.667321793579381;	0.695931278618776;	0.725610675973074;	0.756881092320185;	0.779888254071173;	0.954318843054545;	0.000000047200004
0.877701191761980;	0.426779462183840;	0.000571303527677;	0.000163280517456;	0.007001611099507;	0.009719555525714;	0.007243191190672;	0.009182540474672;	0.008034202692383;	0.007063170961738;	0.009864515127541;	0.003435451401978;	0.002715963931746;	0.002063591247502;	0.001785308863391;	0.002166212380210;	0.002895114577378;	0.002742106056855;	0.003032709511423;	0.003332035764798;	0.003363828224426;	0.004343581319401;	0.005717890517418;	0.004969775468031;	0.005305590589384;	0.008628105423306;	0.011192292334248;	0.010243328667654;	0.012217635582373;	0.016726427983236;	0.020329950871509;	0.027373680867708;	0.028547217303384;	0.028793062693360;	0.035967069057623;	0.046889431256207;	0.057056926067568;	0.070887935519785;	0.083191878960228;	0.094324476320830;	0.105763919966539;	0.115176202867479;	0.116680358398855;	0.128300529506036;	0.143231111488093;	0.160717317553921;	0.181088084188094;	0.198378271975517;	0.220054113056301;	0.236496146443877;	0.252312148566666;	0.271460974708517;	0.293054122868230;	0.315247691736832;	0.336461089154366;	0.358050606696019;	0.377718502157146;	0.397221895322786;	0.416538395617420;	0.430296314888178;	0.449607427868662;	0.469661259250531;	0.486980252169854;	0.502238946080234;	0.520076904740783;	0.531304429172699;	0.548903241884642;	0.568110802777779;	0.585888130507317;	0.604377913171945;	0.622796337240372;	0.641292389969317;	0.660128079380423;	0.682250501259557;	0.710074143002254;	0.738859034598197;	0.769036834264129;	0.790895136642640;	0.956379524447178;	0.000000172373404
0.907892130485227;	0.454965198965785;	0.002113756907435;	0.000587545550979;	0.007902475623486;	0.010593269744128;	0.007694992721331;	0.015812100921049;	0.010505084685445;	0.009389469129892;	0.011254442935399;	0.004640863281657;	0.004229213573157;	0.004154816327264;	0.003293915492695;	0.003832131022626;	0.004671993449097;	0.004277812786062;	0.004632304010449;	0.004949496514285;	0.004971246102138;	0.006137644030909;	0.007925020523150;	0.006865006529446;	0.007180956343905;	0.011323868187004;	0.014420264210716;	0.013155317570217;	0.015466772899000;	0.020815612857618;	0.025030840457117;	0.033196336338037;	0.034398545285575;	0.034478174005432;	0.042601129042810;	0.054836888340024;	0.066092730799675;	0.081274840673754;	0.094679517663674;	0.106723354027567;	0.119031300035435;	0.129093816216510;	0.130185368628732;	0.142346375716726;	0.158085255489835;	0.176435525437486;	0.197721974046033;	0.215715754395175;	0.238143571017880;	0.255071866664507;	0.271296465321243;	0.290879349257748;	0.312885911107647;	0.335406988837843;	0.356854673191269;	0.378612667707728;	0.398352926227010;	0.417865736435496;	0.437000658634391;	0.450458856503178;	0.469624332017379;	0.489482226192361;	0.506561724615492;	0.521574228976133;	0.539110073044955;	0.549880562981986;	0.567135688765846;	0.585981469355369;	0.603405946734281;	0.621475551003543;	0.639441154912840;	0.657481891026373;	0.675832670198515;	0.697371276300077;	0.724420739907066;	0.752307671683839;	0.781375312705297;	0.802079269714882;	0.958469031978151;	0.000000255646845
0.928437313894899;	0.485983606281390;	0.007857773635842;	0.002128622394660;	0.010925472720039;	0.012944165564058;	0.008609883352556;	0.016596153609503;	0.017151010032639;	0.015936560662150;	0.014177226707563;	0.006530799296600;	0.006140900604297;	0.005884434938457;	0.006256505934338;	0.006985900753497;	0.007562824226859;	0.006664006862827;	0.007062019262989;	0.007364309012954;	0.007359791963801;	0.008672359579774;	0.010980699116117;	0.009478069261976;	0.009718829208952;	0.014858515918095;	0.018572773822539;	0.016888922020363;	0.019569244159098;	0.025888848549312;	0.030798806621899;	0.040229494611387;	0.041419566057472;	0.041256847667184;	0.050422474675059;	0.064084496424389;	0.076502942042849;	0.093114350517184;	0.107671665458188;	0.120658208211222;	0.133856321236903;	0.144575162282461;	0.145134107006095;	0.157800379597417;	0.174335459408929;	0.193529478816117;	0.215701929006418;	0.234365740941667;	0.257497208439038;	0.274866701349891;	0.291450029923522;	0.311402290219472;	0.333741560216697;	0.356499618308357;	0.378087773064949;	0.399916503313930;	0.419638171570315;	0.439076621975411;	0.457998379994863;	0.471099882211347;	0.490081177034500;	0.509720099033970;	0.526556512005692;	0.541334998845814;	0.558580757246966;	0.568901316721839;	0.585818214544267;	0.604301099500226;	0.621368004893395;	0.639003526975525;	0.656496701142764;	0.674059220857421;	0.691899810288546;	0.712824756336628;	0.739063572732113;	0.766015362188358;	0.793934300435739;	0.813441810041689;	0.960588488922125;	0.000000951674160
0.941728275362854;	0.519790374143625;	0.029311375276952;	0.007759095489221;	0.013020454538937;	0.014277233444700;	0.011418857699042;	0.018173055769696;	0.018458772139341;	0.017207617173857;	0.021187133467117;	0.009962859890599;	0.009303612161826;	0.008063333329909;	0.009033558238276;	0.009492475928878;	0.011879058379931;	0.010494728187269;	0.010891082280879;	0.010917376698517;	0.010843392956218;	0.012274718999977;	0.015235323214842;	0.013108199618943;	0.013148873404243;	0.019485681601051;	0.023903344329393;	0.021664013102064;	0.024747838070891;	0.032179521989143;	0.037870558069486;	0.048713808302600;	0.049832778551264;	0.049325141912420;	0.059625257925890;	0.074820702988579;	0.088467242534325;	0.106572531284148;	0.122320557120226;	0.136266040482712;	0.150359186169187;	0.161725712848293;	0.161611409700585;	0.174731313259570;	0.192034839720011;	0.212033285050682;	0.235041250164820;	0.254327065447826;	0.278098325506037;	0.295856423297626;	0.312747353829556;	0.333013538712164;	0.355629674781395;	0.378571447774194;	0.400255278662125;	0.422115397466178;	0.441790586011024;	0.461130968700678;	0.479815271498615;	0.492528286048558;	0.511298347481627;	0.530687517444173;	0.547251432668198;	0.561767799115224;	0.578688385405399;	0.588523024111130;	0.605066368113593;	0.623148967762112;	0.639824603112605;	0.656991470848225;	0.673979755692544;	0.691032638561386;	0.708331639461141;	0.728608051952639;	0.753994113633348;	0.779966866500118;	0.806691569863032;	0.825000323091262;	0.962739140342098;	0.000001403986257
