0.179004945161943;	0.219787161119584;	0.000000033446876;	0.000000012695736;	0.000006999374079;	0.000004385686041;	0.000001094256255;	0.104345675781640;	0.110766457978848;	0.092104648985128;	0.106852688243246;	0.000015689605681;	0.000007090537371;	0.000007017156030;	0.000008043006038;	0.000013236488131;	0.000032337047809;	0.000039684162652;	0.000047937871004;	0.000070712100100;	0.000075577226329;	0.000126969100854;	0.000209282948300;	0.000186346967418;	0.000221233134128;	0.000466817460539;	0.000726131890878;	0.000684144169211;	0.000904616622600;	0.001424674287907;	0.001905471426165;	0.002999110083068;	0.003278656113811;	0.003430513134900;	0.004700964542122;	0.006804009482703;	0.008962341846056;	0.012197881619929;	0.015385270080379;	0.018681004270324;	0.022362280316568;	0.025621576723849;	0.027095226135834;	0.031182154604139;	0.036573702377980;	0.043343449146564;	0.051627644116193;	0.058920615376096;	0.068607732675334;	0.076586138923595;	0.084725013751929;	0.094646828229518;	0.106261222983328;	0.118919967869750;	0.131804358769663;	0.145566536589099;	0.158708905658228;	0.172255861710165;	0.193215662811367;	0.204992263073403;	0.219814096170390;	0.235551366471117;	0.250272463490975;	0.263734752696604;	0.279343902138876;	0.291261360586244;	0.307555271295149;	0.325282004300574;	0.342103559698660;	0.360906303116418;	0.380011733733588;	0.399443967212136;	0.419945710300714;	0.443692829755748;	0.474447278900624;	0.509933090530694;	0.552913215124692;	0.591261533303856;	0.917838107725954;	0.000000000111883
0.180137643132450;	0.221085041184751;	0.000000096595589;	0.000000034187050;	0.000018875791098;	0.000010850391949;	0.000002659557471;	0.104346985366893;	0.110767797280159;	0.092105773596150;	0.106854355280325;	0.000025456722475;	0.000011630596752;	0.000011133510208;	0.000012256655722;	0.000019208597973;	0.000043701965726;	0.000051794560530;	0.000062330106924;	0.000087910183929;	0.000093281314625;	0.000152948265617;	0.000245249951959;	0.000218031032869;	0.000256830839375;	0.000528485245688;	0.000808808299648;	0.000760569170819;	0.000997965396015;	0.001555227850235;	0.002066059313550;	0.003217178991648;	0.003507422604447;	0.003662491487872;	0.004990872917591;	0.007179746953912;	0.009416178421229;	0.012753968820798;	0.016029849753486;	0.019403178057223;	0.023161798014514;	0.026483612567428;	0.027957993246187;	0.032113888188860;	0.037593792160612;	0.044461219381167;	0.052852764290029;	0.060234053509740;	0.070022627757133;	0.078075100037580;	0.086281631246031;	0.096279148984840;	0.107971269458150;	0.120701427548533;	0.133647583341804;	0.147466086700007;	0.160654197882125;	0.174241205496741;	0.193877785173487;	0.205661265284818;	0.220496053880914;	0.236245310077026;	0.250976312982393;	0.264448028070535;	0.280065619101160;	0.291984740450144;	0.308285332730727;	0.326018508584454;	0.342846578084111;	0.361653066974453;	0.380760486202986;	0.400193918084054;	0.420694626605884;	0.444435489118009;	0.475173291544665;	0.510633110176313;	0.553572536518960;	0.591872955900856;	0.917956126978372;	0.000000000198298
0.181868168005333;	0.222609130315810;	0.000000320172870;	0.000000105981960;	0.000056231156101;	0.000029526863535;	0.000007114868727;	0.104350244177300;	0.110770628028843;	0.092108174798871;	0.106857374769408;	0.000041299783983;	0.000019275831623;	0.000017756034183;	0.000018681251284;	0.000027879143770;	0.000058513556713;	0.000066908956130;	0.000079763768747;	0.000108023434199;	0.000113714646344;	0.000181350692499;	0.000283512985272;	0.000251342214543;	0.000293181282798;	0.000589024868622;	0.000887819638098;	0.000832740348473;	0.001084079248231;	0.001672563711786;	0.002207573267284;	0.003404796451603;	0.003701157472308;	0.003855841434835;	0.005227606246175;	0.007479765343138;	0.009771577295038;	0.013180743408943;	0.016515995144624;	0.019939249132654;	0.023746145557754;	0.027104540939019;	0.028569943605535;	0.032763749642463;	0.038293675832230;	0.045215442191517;	0.053665570979819;	0.061091690047962;	0.070930893033935;	0.079015587842456;	0.087249153747065;	0.097276944918873;	0.108999059797843;	0.121754101005072;	0.134718459674730;	0.148550931270544;	0.161746214202599;	0.175336376285175;	0.195317086823676;	0.207097989979647;	0.221942328538392;	0.237698100687330;	0.252430600568119;	0.265901944899693;	0.281515653171609;	0.293415997760136;	0.309706143697620;	0.327426439046118;	0.344239736455605;	0.363024263462877;	0.382105088897368;	0.401510582138184;	0.421980192429089;	0.445682338834793;	0.476394758657797;	0.511914428462022;	0.554894729068518;	0.593212143430509;	0.918234727434082;	0.000000000601751
0.184032118404540;	0.224320259367828;	0.000001127278110;	0.000000356512844;	0.000181052376643;	0.000088294407065;	0.000021175424152;	0.104359400661993;	0.110777502098451;	0.092114153750501;	0.106863862274063;	0.020042375943145;	0.000034971971220;	0.000030930077071;	0.000030952518517;	0.000043853294199;	0.000083377810148;	0.000091516871047;	0.000107648216713;	0.000139465979734;	0.000145597374134;	0.000223894833385;	0.000339963775879;	0.000300471786965;	0.000345906480402;	0.000674574357926;	0.000997909143580;	0.000933315622673;	0.001202843538722;	0.001832360567924;	0.002399062738618;	0.003656118137439;	0.003960085826772;	0.004113700653699;	0.005541420227075;	0.007874502593097;	0.010237093367024;	0.013737066972647;	0.017148462427791;	0.020636472456739;	0.024506464920814;	0.027913735575783;	0.029368368811204;	0.033611886098619;	0.039207987820192;	0.046201878855504;	0.054730059722092;	0.062217827289484;	0.072329060517239;	0.080798619562794;	0.089418939210843;	0.099791548632650;	0.111756108462120;	0.124714501390574;	0.137855305205823;	0.151843675745025;	0.165165859863693;	0.178864061279104;	0.197940952187639;	0.209804146927270;	0.224754615670027;	0.240613986945519;	0.255445406048357;	0.269018871240623;	0.284735706169297;	0.296709677004814;	0.313098428831037;	0.330920022072669;	0.347840073309101;	0.366724629185566;	0.385904342058272;	0.405415987139086;	0.425994556121288;	0.449793545856761;	0.480563606979882;	0.516104314518446;	0.559034227162622;	0.597267658430139;	0.919072153003249;	0.000000000975431
0.187069848944688;	0.226251285770665;	0.000004064225179;	0.000001237979642;	0.004763558230413;	0.000272313858265;	0.000065639088388;	0.104385027993290;	0.110794043712739;	0.092128863728391;	0.106877561955360;	0.020100634398816;	0.000066518580590;	0.000056589262050;	0.000054506095423;	0.000074510121950;	0.000129283535030;	0.000137413993715;	0.000159935767604;	0.000200153966086;	0.000208441444810;	0.000307955336436;	0.000454997599002;	0.000402082790104;	0.000455801646722;	0.000857569928936;	0.001239747878725;	0.001157717414667;	0.001472892808477;	0.002204529745715;	0.002854755907821;	0.004271181929285;	0.004604043404889;	0.004763625070955;	0.006347899000515;	0.008909577089721;	0.011479504362122;	0.015250620008109;	0.018900649081424;	0.022603439486870;	0.026690211424518;	0.030276046546280;	0.031733589365142;	0.036161385978981;	0.042000608679933;	0.049266863502590;	0.058097635274657;	0.065843279425724;	0.076190542306427;	0.084813952323086;	0.093597663848513;	0.104184549453336;	0.116407510394650;	0.129628944636045;	0.143025736906010;	0.157272619402693;	0.170839153151905;	0.184781483589133;	0.203219324080404;	0.215232217285056;	0.230392970059409;	0.246469824479073;	0.261521277446256;	0.275329169057805;	0.291286615834856;	0.303456402370425;	0.320106689471052;	0.338211747655263;	0.355445483730369;	0.374656717059642;	0.394198530613268;	0.414151090624912;	0.435263562858176;	0.459679961384023;	0.491101176681817;	0.527311215224927;	0.570861792121965;	0.609581129816149;	0.921718944486461;	0.000000003243510
0.424626689625546;	0.231311366105499;	0.000014941912056;	0.000004422891393;	0.004805887000229;	0.006722298725800;	0.000211541885349;	0.104461623550469;	0.110837436349610;	0.092168522468133;	0.106911588050009;	0.028432827081909;	0.020160522130031;	0.000119258741988;	0.000109252976236;	0.000142626030834;	0.000221821032382;	0.000226167487117;	0.000256948143747;	0.000310153367433;	0.000320683489090;	0.000450309454055;	0.000646638652000;	0.000569770471522;	0.000632371026226;	0.001143699394794;	0.001612254352314;	0.001501437980871;	0.001879978062701;	0.002756594076750;	0.003524768875434;	0.005168578913424;	0.005539850929858;	0.005704074480281;	0.007510254904984;	0.010395168597255;	0.013260020100058;	0.017419985233145;	0.021420752987969;	0.025449894617210;	0.029873698889950;	0.033746870459224;	0.035229996785260;	0.039949368371864;	0.046178508709212;	0.053888807192275;	0.063219890438581;	0.071407807502062;	0.082213054980925;	0.091167402102345;	0.100268859570563;	0.111229274944200;	0.123883371981491;	0.137543427863356;	0.151372504203262;	0.166062135199881;	0.180053870063244;	0.194429011083363;	0.212350947981538;	0.224670577004263;	0.240250032077838;	0.256771172185328;	0.272295474790510;	0.286633665057765;	0.303175829189910;	0.315906756125594;	0.333311887649790;	0.352297315313632;	0.370537594292616;	0.390797226459303;	0.411322365945624;	0.432026099399376;	0.453579610985342;	0.478000737002944;	0.508852147086568;	0.543999209606521;	0.585956399842183;	0.622661888653098;	0.924097783252090;	0.000000005296054
0.463635157200991;	0.236787018917638;	0.000055632382600;	0.000016072256474;	0.006135776192132;	0.007591172480602;	0.005217136905533;	0.104684318660687;	0.110946907707193;	0.092271103091285;	0.106986920897899;	0.030858360837712;	0.026926146099172;	0.024424128172951;	0.000216339011907;	0.000272687781483;	0.000383360743835;	0.000378121421929;	0.000420006655644;	0.000494898024048;	0.000509894977156;	0.000681218629074;	0.000957904770111;	0.000841705870380;	0.000913012389485;	0.001591885326940;	0.002192532477587;	0.002035317560247;	0.002505493630796;	0.003596512424268;	0.004537841183312;	0.006519223556479;	0.006939286285875;	0.007098771969073;	0.009221897115464;	0.012566178959888;	0.015846861045307;	0.020557011934891;	0.025056890431441;	0.029556974419715;	0.034470563838366;	0.038761336947010;	0.040271135002421;	0.045391104854139;	0.052170014689574;	0.060512675801172;	0.070560425145544;	0.079383220236684;	0.090872283214112;	0.100351790874788;	0.109964067061775;	0.121505668590607;	0.134813388006763;	0.149140855304330;	0.163638616314135;	0.179024907316288;	0.193698187686336;	0.208784413031168;	0.226531659615053;	0.239440557082854;	0.255786603282411;	0.273097725556559;	0.289402512140610;	0.304471656961933;	0.321562471447291;	0.334406171574881;	0.351838311558966;	0.370597295080258;	0.388332287542510;	0.407786738186834;	0.427278405927511;	0.446996708447095;	0.467630134437529;	0.491108847495610;	0.520998006590306;	0.555261517678171;	0.596322957682403;	0.632052857194069;	0.925886347798046;	0.000000017729835
0.604978084465265;	0.245371278191080;	0.000208774457572;	0.000059042223296;	0.006533733325744;	0.009226552578324;	0.006898765452255;	0.111156025773589;	0.111221523263892;	0.092532967401628;	0.107157424565746;	0.033103509507390;	0.032838630329342;	0.036675907598991;	0.025677123571647;	0.028247692651153;	0.000661895416103;	0.000634930614776;	0.000688337756602;	0.000794886187997;	0.000816608884927;	0.001038281172136;	0.001436986975211;	0.001259037988104;	0.001333388060675;	0.002249601523299;	0.003037026639440;	0.002810224186208;	0.003402315077202;	0.004786956306875;	0.005964706213040;	0.008412783772153;	0.008889867955710;	0.009026930190339;	0.011571020519723;	0.015520367435635;	0.019342009646345;	0.024770077385499;	0.029924364238963;	0.035050358750256;	0.040617953947925;	0.045462366495676;	0.046979493687992;	0.052585228227585;	0.060054821505706;	0.069198008644996;	0.080154673974432;	0.089772982437865;	0.102137878155353;	0.112312029561220;	0.122605375757068;	0.134896892076235;	0.149017013693881;	0.164143538760411;	0.179398972723143;	0.195503345900160;	0.210746643402343;	0.226275612887570;	0.243844003024922;	0.256700914111527;	0.272986172799080;	0.290065351430698;	0.306002451616862;	0.320612064750633;	0.337170899859342;	0.349405013812038;	0.366354300480640;	0.384675865399550;	0.402038248832158;	0.421146327205137;	0.440309239768305;	0.459734280047194;	0.480076988299174;	0.503186474636390;	0.532575323021292;	0.566282210729898;	0.606651359329942;	0.641459168230947;	0.927676360216287;	0.000000029128287
0.704676346494900;	0.256290015613423;	0.000786912091014;	0.000218245302148;	0.009188920912827;	0.011798428790829;	0.007824399013086;	0.113637834968224;	0.117630862057473;	0.098917364090916;	0.107530891991571;	0.034330172794603;	0.036079831518134;	0.043103604644112;	0.040839428395871;	0.046269909820249;	0.031990172494193;	0.001041152475944;	0.001099828874241;	0.001273790244117;	0.001305622419012;	0.001574999985843;	0.002150748480894;	0.001878139803319;	0.001941848799750;	0.003177426851905;	0.004214131635980;	0.003886359798896;	0.004628427579527;	0.006390146988559;	0.007869280924603;	0.010920029234538;	0.011452480644141;	0.011534482336254;	0.014594523517442;	0.019276627222628;	0.023740454053532;	0.030021372985558;	0.035952431757715;	0.041827685750915;	0.048177392523201;	0.053669980578233;	0.055127347898361;	0.061219425522791;	0.069419060793667;	0.079404944451684;	0.091300257081408;	0.101683491249381;	0.114868826105694;	0.125635408408003;	0.136450981692456;	0.149229329816209;	0.163769879670931;	0.179208179429211;	0.194661700712598;	0.210872051503505;	0.226078649911461;	0.241504501126665;	0.258865899058992;	0.271470118938580;	0.287629531727936;	0.304587176744845;	0.320434318766119;	0.334989978645906;	0.351465721073667;	0.363488540188863;	0.380322019905539;	0.398522055953605;	0.415758779606363;	0.434685437066035;	0.453611002873461;	0.472789392127595;	0.492859727575675;	0.515599729559191;	0.544482599872960;	0.577633562557311;	0.617317664817209;	0.651153509362418;	0.929516298940020;	0.000000098389126
0.766497929422612;	0.311202866670132;	0.002972814346497;	0.000812667014285;	0.010190685360891;	0.013229768863597;	0.010849288573350;	0.115393191646373;	0.119951518844252;	0.101377961181955;	0.114781686375021;	0.035432125605237;	0.037643623231666;	0.046006678933032;	0.047501799803748;	0.054679843489577;	0.050818207168347;	0.037075514075185;	0.036590870160360;	0.001954879405275;	0.001992964431050;	0.002377392328468;	0.003206394501334;	0.002791271676177;	0.002801154174148;	0.004448010572470;	0.005799868578101;	0.005329279530522;	0.006247216951272;	0.008467061317488;	0.010307452060162;	0.014087672633651;	0.014658543554809;	0.014633938040416;	0.018278898360940;	0.023777044277077;	0.028934432667475;	0.036130626815672;	0.042884204132621;	0.049547703446011;	0.056706253725887;	0.062836379738838;	0.064097404912416;	0.070556132379142;	0.079369958712704;	0.090040354135417;	0.102670015997896;	0.113594348836439;	0.127355686387717;	0.138513049779807;	0.149670624457850;	0.162789471859935;	0.177678695920794;	0.193422295143545;	0.209147077267188;	0.225609150470321;	0.240998981644424;	0.256578959458134;	0.273883905479082;	0.286439319344828;	0.302652533882680;	0.319632157604002;	0.335494105745528;	0.350062366326993;	0.366484020174283;	0.378302138123395;	0.395014341327560;	0.413083515793510;	0.430190324336866;	0.448933809192298;	0.467626254159986;	0.486562885407169;	0.506361492267770;	0.528723375766363;	0.557076985737148;	0.589637592479618;	0.628589941463361;	0.661316045874605;	0.931424791029152;	0.000000161953971
