0.390742931250112;	0.043507132121356;	0.045187825631700;	0.041058694126894;	0.037644543283149;	0.037646105868752;	0.058913518642587;	0.052758262171707;	0.030893847810053;	0.028472255031373;	0.085161395134464;	0.107915677814527;	0.066795694685286;	0.077423469689841;	0.077895156292345;	0.088480392827418;	0.022772723544442;	0.022029774298034;	0.021981658801679;	0.022135170169578;	0.022245600147633;	0.022693978712562;	0.022789672735146;	0.022951929497306;	0.022872181815217;	0.023677032761054;	0.024695106134465;	0.024573850378923;	0.025338939749750;	0.026487679063524;	0.026111771567688;	0.027295792986255;	0.028283500275212;	0.028405310458971;	0.029801609033486;	0.031070546457973;	0.031122794569280;	0.032828243876632;	0.033991017501702;	0.035263233190330;	0.035636372579474;	0.037755695002903;	0.038463389990697;	0.040850702276148;	0.042792459957678;	0.043589326341480;	0.045751423860299;	0.047347606242504;	0.048399559674293;	0.051235171873436;	0.054332323243884;	0.056154869570832;	0.056609497309271;	0.059206914307698;	0.061285427737681;	0.063562043805297;	0.064644579447550;	0.066615002403946;	0.069593369863428;	0.071946483984750;	0.072952782546155;	0.075524836039872;	0.078638127247714;	0.081240906888999;	0.082859409304887;	0.083939773920450;	0.085924351837316;	0.088005177678809;	0.090449894872293;	0.091761327595278;	0.094390499016841;	0.096825198948136;	0.098839695763107;	0.099669389651738;	0.099976414139586;	0.102077467677902;	0.104786086351609;	0.107778619195099;	0.110655222814473;	0.113434264652020;	0.116286810190379;	0.119007932745072;	0.121936405056934;	0.124834163369213;	0.127404123407957;	0.135551197310576;	0.138814553013816;	0.140741315926210;	0.142383372287583;	0.145054558008170;	0.147555232607719;	0.150419090790755;	0.152777865503659;	0.153682223305885;	0.154635573342125;	0.156461365830264;	0.159285689203875;	0.162944666734990;	0.168010419552743;	0.173018077291698;	0.178366150619029;	0.184206038172882;	0.190356640265688;	0.197363357985006;	0.203142884393409;	0.209736464627660;	0.217617542283169;	0.225939073496156;	0.234541622111951;	0.243822790006250;	0.253811348163206;	0.263350115201359;	0.280665914578508;	0.299135557671092;	0.316556724617198;	0.339833392517588;	0.369181844997791;	0.392398432888556;	0.417676823066590;	0.468682208419222
0.392097031616433;	0.044574840242007;	0.046337542214500;	0.042103070400534;	0.038598459862383;	0.037944959857478;	0.059238419745534;	0.053069146108914;	0.031157070025027;	0.028720925527814;	0.085473947479214;	0.108237579177522;	0.067037889692469;	0.077663696437026;	0.078132619645192;	0.088722177368196;	0.023032455345515;	0.022288045141069;	0.022250003377035;	0.022411036445935;	0.022530981746816;	0.022995292709268;	0.023100296884954;	0.023266636423144;	0.023191745136290;	0.024016407620232;	0.025054494765595;	0.024936530359315;	0.025715388176240;	0.026883012054341;	0.026501147349662;	0.027704240784149;	0.028708450629184;	0.028833763328608;	0.030241960710590;	0.031543391538306;	0.031596251896545;	0.033331783068251;	0.034483886784065;	0.035773364883821;	0.036153697997250;	0.038299585139619;	0.039043849632369;	0.041461351991948;	0.043426816192565;	0.044221880656640;	0.046405860029888;	0.047989913069709;	0.049064018330876;	0.051929645849080;	0.055057240189813;	0.056898859450190;	0.057375084303411;	0.059999481183390;	0.062105388427454;	0.064405374236784;	0.065490578522120;	0.067477606652680;	0.070485213466267;	0.072861240880793;	0.073853003515838;	0.076449577170398;	0.079590922566086;	0.082218709433984;	0.083855720792861;	0.084946118441880;	0.086952263619279;	0.089054912110540;	0.091524321881784;	0.092850606250013;	0.095505433938318;	0.097964473622319;	0.100001190585217;	0.100844519374468;	0.101161822236660;	0.103284358848568;	0.106018294754363;	0.109037622284890;	0.111940276527642;	0.114744936921744;	0.117623541298781;	0.120370378775081;	0.123325493828294;	0.126249971898409;	0.128845657309999;	0.135906879563408;	0.139180375509823;	0.141116165663844;	0.142767655662730;	0.145449593767772;	0.147961042838794;	0.150836260154229;	0.153206506229706;	0.154118999567161;	0.155081030120297;	0.156916910136224;	0.159754625269669;	0.163428179824759;	0.168510097239268;	0.173534090847393;	0.178899132817433;	0.184756675303379;	0.190925493416048;	0.197951449832501;	0.203750004462584;	0.210363897538399;	0.218266918807215;	0.226611605821596;	0.235238581740447;	0.244545604866253;	0.254561108162274;	0.264125432054256;	0.281469452710232;	0.299965183637750;	0.317411701714992;	0.340712465997584;	0.370080953935936;	0.393316389981428;	0.418600944080444;	0.502691704330824
0.393073622145976;	0.045351444666871;	0.047118446034179;	0.042774773048154;	0.039179012325459;	0.038595212336457;	0.059912725101234;	0.053689898984255;	0.031668691215288;	0.029184986424698;	0.086026403144591;	0.108784233596693;	0.067437460889263;	0.078045848088087;	0.078493903706539;	0.089074794405324;	0.023396520474168;	0.022638285791375;	0.022593558193299;	0.022756293200260;	0.022873096177205;	0.023339022884098;	0.023439830707877;	0.023607088275863;	0.023525250071625;	0.024351572292793;	0.025399672172090;	0.025273474021883;	0.026057360232001;	0.027235980813426;	0.026847159606789;	0.028059138533475;	0.029070593659786;	0.029191838208944;	0.030617784356795;	0.031915657940937;	0.031964296443788;	0.033705856203915;	0.034889757618299;	0.036189174984477;	0.036564103326527;	0.038724590009793;	0.039438953010524;	0.041872201779070;	0.043848561484571;	0.044653059981285;	0.046851020389605;	0.048473377309705;	0.049537324812768;	0.052419162245519;	0.055563001177459;	0.057413451598716;	0.057868228495649;	0.060502960299821;	0.062605458438772;	0.064914827474245;	0.066008396913654;	0.068004606535476;	0.071021820139422;	0.073404946009464;	0.074418502162705;	0.077023379958230;	0.080174455708822;	0.082809542894744;	0.084449563458972;	0.085538038402523;	0.087547658076747;	0.089653408081972;	0.092126967808229;	0.093447190295120;	0.096106600045630;	0.098569184531595;	0.100608011028971;	0.101447991655858;	0.101754957064205;	0.103880172292788;	0.106617947182710;	0.109641117522079;	0.112546583803317;	0.115353178494065;	0.118233224391001;	0.120980657500028;	0.123936078962001;	0.126860184015488;	0.129454371859825;	0.136777767608316;	0.140063007969298;	0.142006976729133;	0.143665782355335;	0.146356826880477;	0.148876512587110;	0.151760169728861;	0.154137781531385;	0.155049133524240;	0.156010050731782;	0.157846381085913;	0.160689836274314;	0.164369771548004;	0.169459341247484;	0.174489569664590;	0.179860187550008;	0.185722694114336;	0.191895554671453;	0.198925188741225;	0.204724877331530;	0.211339390283376;	0.219242612162803;	0.227586041515162;	0.236209935846136;	0.245511873668628;	0.255519640256920;	0.265070821962845;	0.282401138707835;	0.300877358934575;	0.318300995168729;	0.341575381248598;	0.370911968344324;	0.394115232692997;	0.419359834010203;	0.510376301028045
0.394178042757558;	0.046343391858855;	0.048136299232386;	0.043674765581850;	0.039979754383128;	0.039301919815836;	0.060630494185801;	0.054349797441013;	0.032219214230765;	0.029685502051048;	0.086612339927160;	0.109364696808381;	0.067872897283135;	0.078464493921784;	0.078893673349661;	0.089468907660986;	0.023807898691650;	0.023035126215544;	0.022993625027305;	0.023157195347776;	0.023276850374874;	0.023754503665846;	0.023857850822830;	0.024021610230364;	0.023937213224414;	0.024779261134086;	0.025843758788594;	0.025714277497063;	0.026507393070962;	0.027703729270142;	0.027303492917610;	0.028532145201648;	0.029557966871847;	0.029678805285458;	0.031111543270630;	0.032441977203958;	0.032486930309687;	0.034256952186282;	0.035419242099849;	0.036731770429202;	0.037109925497668;	0.039292543786940;	0.040045580592766;	0.042503832440880;	0.044498885773826;	0.045293296766682;	0.047506516014305;	0.049100618558551;	0.050183166058555;	0.053086613982606;	0.056251925873116;	0.058113239637058;	0.058589710662021;	0.061242859399036;	0.063368133864191;	0.065691539873355;	0.066775661483061;	0.068777319250556;	0.071813284961357;	0.074209040648706;	0.075186094461374;	0.077803014105489;	0.080968538387969;	0.083615357267772;	0.085261987415905;	0.086349629415553;	0.088368000779070;	0.090482592329826;	0.092966822721249;	0.094293339170917;	0.096963238364349;	0.099435046192040;	0.101481282180139;	0.102323256740156;	0.102637804271955;	0.104767742316771;	0.107512433696829;	0.110543161309467;	0.113455399261518;	0.116268174896911;	0.119154362341174;	0.121907379378097;	0.124868653719178;	0.127798315356235;	0.130397104312858;	0.137710664441817;	0.141000612209788;	0.142945915106466;	0.144604747071123;	0.147297747587749;	0.149818985370267;	0.152704758694201;	0.155083707106666;	0.155988157476292;	0.156942808660081;	0.158774946918772;	0.161620202246336;	0.165303205234069;	0.170397758698541;	0.175432449719630;	0.180807679981183;	0.186674982060003;	0.192852460994863;	0.199886863515346;	0.205689320857784;	0.212306411669157;	0.220212022766932;	0.228556744755799;	0.237180646672823;	0.246481544051849;	0.256487342769139;	0.266033960278202;	0.283444165474150;	0.302181979547593;	0.319861230175934;	0.343298530745286;	0.372753620163996;	0.396050113305604;	0.421342310965135;	0.517971111258253
0.395388035527788;	0.047492023657509;	0.049305928345091;	0.044709831644943;	0.040900572225023;	0.040114725776201;	0.061445064865744;	0.055098642984939;	0.032853648951330;	0.030261064715276;	0.087272732251803;	0.110017664918944;	0.068368943127310;	0.078942110498101;	0.079346298657247;	0.089912732517172;	0.025664768413490;	0.023481925230330;	0.023434168877079;	0.023603661204599;	0.023722311904656;	0.024205551998160;	0.024307058576666;	0.024475981987041;	0.024386222375401;	0.025233762113693;	0.026315276828480;	0.026178679395908;	0.026980131040745;	0.028192306270294;	0.027783207470962;	0.029024027782098;	0.030060810009093;	0.030177210514807;	0.031633070935183;	0.032961078246672;	0.033001530802006;	0.034781199926448;	0.035984134499759;	0.037311456861257;	0.037683880531978;	0.039887541174069;	0.040602529386113;	0.043082917096726;	0.045094017748068;	0.045901670692497;	0.048135224074643;	0.049781607590898;	0.050851734949823;	0.053778843459762;	0.056968081636136;	0.058843837854618;	0.059292439195966;	0.061961623809144;	0.064083216980420;	0.066421369401012;	0.067519331240880;	0.069536057711444;	0.072587270760728;	0.074995264795081;	0.076010773027830;	0.078642842696288;	0.081825611006769;	0.084486552721444;	0.086141728986543;	0.087230842618353;	0.089258459656528;	0.091381924118429;	0.093876505256141;	0.095195388117452;	0.097876416389204;	0.100358159611187;	0.102412525823693;	0.103253756850915;	0.103548830986698;	0.105689159782216;	0.108446238938350;	0.111489784719710;	0.114413806029482;	0.117237546504632;	0.120134430291993;	0.122897349570381;	0.125868641819347;	0.128807815563117;	0.131414931845474;	0.138726044384899;	0.142025423682709;	0.143986009243527;	0.145753206050189;	0.148582572777199;	0.151226748945711;	0.154229839232180;	0.156724229899194;	0.157727071289457;	0.158777078077090;	0.160703727424669;	0.163651120032650;	0.167434202629052;	0.172627358577511;	0.177752440766868;	0.183212903524785;	0.189161092482068;	0.195415770912705;	0.202525893570469;	0.208398693674341;	0.215087284686376;	0.223067170715507;	0.231488162679397;	0.240191035300950;	0.249575353102514;	0.259669363332118;	0.269303150185285;	0.286798473582947;	0.305603401834265;	0.323374502932860;	0.346938522333620;	0.376533708611150;	0.399984498676947;	0.425398767888675;	0.525896690497992
0.396750527009920;	0.048817943385978;	0.050644979870795;	0.045896769915398;	0.041957015686112;	0.041047380809684;	0.062364150745355;	0.055944945333605;	0.033578327414094;	0.030919510068915;	0.088013563874676;	0.110747035326225;	0.068934602699321;	0.079485012474185;	0.079862349596104;	0.090419351682651;	0.026192480150163;	0.025436411990709;	0.023942271533448;	0.024109647404627;	0.024229480419712;	0.024725478718241;	0.024827725459169;	0.024989043625447;	0.024893958151087;	0.025758105904362;	0.026856684486793;	0.026714361409177;	0.027523426960311;	0.028754786147205;	0.028330142296284;	0.029587739941719;	0.030639641311890;	0.030753900324966;	0.032213878393302;	0.033578412848609;	0.033613158232454;	0.035423566388915;	0.036597308030166;	0.037937990859078;	0.038312828324578;	0.040539676118977;	0.041297735866799;	0.043805047754992;	0.045836867673958;	0.046632382651931;	0.048882633200779;	0.050494527159715;	0.051584966080279;	0.054535110568134;	0.057747297065504;	0.059634961092967;	0.060109584263753;	0.062799120117420;	0.064947030189487;	0.067300847303202;	0.068502974497084;	0.070794732619700;	0.074102391050781;	0.076646475224547;	0.077681938536350;	0.080410153262343;	0.083685835265045;	0.086426773218602;	0.088145744079732;	0.089279367899397;	0.091375957474561;	0.093575115842088;	0.096154300760041;	0.097538353506652;	0.100305775305464;	0.102871713591975;	0.105005862995674;	0.105909548685440;	0.106274180839033;	0.108491708766535;	0.111332835473433;	0.114462799098119;	0.117470986852810;	0.120376977689171;	0.123355831869778;	0.126197989799780;	0.129247604146518;	0.132262270799830;	0.134939411313305;	0.141637959443047;	0.145005419443633;	0.147016073037281;	0.148761192180071;	0.151565893211692;	0.154205036724159;	0.157221355388991;	0.159737996156513;	0.160749255187451;	0.161823426753510;	0.163793312769272;	0.166816338107402;	0.170690658495659;	0.175992337477513;	0.181234485243450;	0.186819706532236;	0.192900452770145;	0.199296666758522;	0.206559057078878;	0.212588526109325;	0.219446787996475;	0.227610679554879;	0.236228515694992;	0.245140971311179;	0.254749640071813;	0.265082011277791;	0.274958890060960;	0.292705644199729;	0.311702953943422;	0.329688566870580;	0.353547349045715;	0.383485057998682;	0.407330488601794;	0.433143223112825;	0.533887339840993
0.398166996015101;	0.050343348608508;	0.052172308169787;	0.047251274781996;	0.043162802818796;	0.042112248820217;	0.063420287438863;	0.056894353182731;	0.034404729935852;	0.031666947500800;	0.088837081503951;	0.111557169040140;	0.069570331430951;	0.080097618754019;	0.080439898656216;	0.090983863999168;	0.026780055152980;	0.026003198303956;	0.024498017159296;	0.024673208533768;	0.024790048381870;	0.025357095181719;	0.025570638269788;	0.025813899333388;	0.025763801596238;	0.026687946404535;	0.027859097392353;	0.027736842974004;	0.028593146182932;	0.029891180290021;	0.029475507434804;	0.030796137016185;	0.031910235492677;	0.032048582866277;	0.033586865451609;	0.035006189096806;	0.035063469180980;	0.036952595947824;	0.038208007971140;	0.039621643386526;	0.040022587843011;	0.042347158562333;	0.043118121762017;	0.045729430513578;	0.047848616043393;	0.048685998175029;	0.051028090750417;	0.052729841475889;	0.053851692428982;	0.056910912915474;	0.060235451921394;	0.062202286993392;	0.062681032851073;	0.065463869320180;	0.067668116841140;	0.070106414542506;	0.071236227281036;	0.073323982724866;	0.076486753169760;	0.078990468746944;	0.080041843419731;	0.082781784463463;	0.086087885899438;	0.088861254917012;	0.090606136773723;	0.091750625629773;	0.093883699361175;	0.096118933198441;	0.098740281681698;	0.100129297392137;	0.102952647503054;	0.105578434022452;	0.107774317091599;	0.108722531671204;	0.109099026996920;	0.111403118977995;	0.114344365166466;	0.117583616161472;	0.120705729593460;	0.123730571839008;	0.126834680335580;	0.129805861706941;	0.132992581293940;	0.136148474207861;	0.138966766832984;	0.145327776409169;	0.148822213901600;	0.150950750054927;	0.152808005408811;	0.155728223954189;	0.158481680822527;	0.161617026648885;	0.164248384592422;	0.165335595617983;	0.166494038134468;	0.168562906698453;	0.171724060089972;	0.175752264404132;	0.181229503595865;	0.186660068767584;	0.192448780224579;	0.198751727611441;	0.205388354153439;	0.212911788270931;	0.219214369636273;	0.226371534108516;	0.234861916233323;	0.243834129881793;	0.253132375311374;	0.263172154286620;	0.273998235552832;	0.284448676533198;	0.302879623478132;	0.322595843192265;	0.341505883546216;	0.366701678059997;	0.398366000144290;	0.423995110810530;	0.451211841994947;	0.542126466364072
0.447940682672591;	0.053736100236761;	0.055618687101025;	0.050357140636961;	0.045981633167309;	0.044358998153587;	0.065735038697749;	0.059135077360704;	0.036298007742151;	0.033433705479483;	0.090921048589318;	0.113660353603980;	0.071197947674387;	0.081696553889996;	0.081988492437263;	0.092533450896472;	0.029017094174031;	0.027581435727682;	0.027717155720566;	0.026332448058841;	0.026475082490513;	0.027038312761286;	0.027160570644664;	0.027341127366297;	0.027242305051283;	0.028178406122838;	0.029380844490148;	0.029229939546449;	0.030096633008983;	0.031437378347545;	0.030972002895714;	0.032320026591807;	0.033459918446403;	0.033578429441045;	0.035125278067250;	0.036602195704835;	0.036634277246330;	0.038576572427447;	0.039792021181833;	0.041232193190268;	0.041626044833712;	0.044001512895618;	0.044813722387329;	0.047485107593384;	0.049654283586071;	0.050481591794446;	0.052874332685126;	0.054550547367505;	0.055710702382583;	0.058843139770668;	0.062247230101565;	0.064272578548080;	0.064820142656050;	0.067691077711557;	0.069990962161529;	0.072517704783104;	0.073760252088549;	0.076096549322650;	0.079502947744378;	0.082157711484568;	0.083209113548968;	0.086070885235244;	0.089502251630663;	0.092385232985080;	0.094217749458035;	0.095416922205100;	0.097642915682827;	0.099973818460825;	0.102697402543401;	0.104148494936005;	0.107073450837286;	0.109797485835555;	0.112084929035052;	0.113096548898837;	0.113537215285079;	0.115937083694038;	0.118987826579739;	0.122344760584798;	0.125586640618020;	0.128734368875740;	0.131967436360630;	0.135070302295345;	0.138398848812027;	0.141702173255093;	0.144668611748979;	0.150629475669082;	0.154281254160886;	0.156558977601709;	0.158565364782824;	0.161653797792077;	0.164581242506277;	0.167903091070911;	0.170716449424955;	0.171931212623877;	0.173232898408224;	0.175466944188434;	0.178851714725829;	0.183126436262813;	0.188881891050611;	0.194613104471988;	0.200727658642600;	0.207392065182370;	0.214432872169021;	0.222416335645817;	0.229242728503357;	0.237015663541163;	0.246224371598942;	0.256021068557945;	0.266226158017890;	0.277204211808286;	0.288886219787196;	0.299967084644296;	0.318842577504424;	0.338632725477279;	0.357475228543960;	0.382714116421736;	0.414282929989422;	0.439351375776434;	0.465713692814868;	0.550756955695316
0.451703683611162;	0.057792444561134;	0.059628402405734;	0.053906637485306;	0.049134958724277;	0.047131421563784;	0.068446617848951;	0.061617590036179;	0.038494205810820;	0.035363903691167;	0.093050416031977;	0.115740351923059;	0.072812710134071;	0.083247551553865;	0.083441800720630;	0.093946876000795;	0.030940904182226;	0.030136375732556;	0.029079967595757;	0.029521971048118;	0.027845110934968;	0.028451354797852;	0.028623195650805;	0.028857440816784;	0.028780292656982;	0.029775945645852;	0.031070874026645;	0.030936868971866;	0.031863092226147;	0.033301780098152;	0.032840408034402;	0.034273051852656;	0.035502056751315;	0.035650102958157;	0.037304542775864;	0.038853886720536;	0.038913483918835;	0.040961392364875;	0.042295227088647;	0.043836389341902;	0.044258041912131;	0.046767060772721;	0.047556642391899;	0.050362347859827;	0.052646029661840;	0.053527558530034;	0.056041635404904;	0.057848721242775;	0.059021244598279;	0.062286029245286;	0.065826143489218;	0.067942398404394;	0.068474070886371;	0.071455234762301;	0.073817303032245;	0.076443064372942;	0.077695114947745;	0.080052628395066;	0.083539389655452;	0.086291803997274;	0.087419395209045;	0.090399955359048;	0.093967921494292;	0.096977514396629;	0.098916853687658;	0.100186411740432;	0.102530731599484;	0.104985670704416;	0.107842987290262;	0.109356405763407;	0.112421165480034;	0.115283571901143;	0.117702142111757;	0.118803645789080;	0.119288085124174;	0.121831177535350;	0.125039558558903;	0.128564043167508;	0.131975948196817;	0.135296543433259;	0.138709035214084;	0.141993042892363;	0.145515405509123;	0.149018468060359;	0.152183666165160;	0.157786618303860;	0.161656242128769;	0.164142548713885;	0.166360250175411;	0.169687413237292;	0.172862190295121;	0.176448428261084;	0.179515361924786;	0.180907397161038;	0.182414509571408;	0.184890255053724;	0.188611094087451;	0.193270086765773;	0.199472541373665;	0.205700351839676;	0.212348193212252;	0.219575100298626;	0.227175388138430;	0.235662295610894;	0.242853162851134;	0.250856318236689;	0.260127943041350;	0.269796018710620;	0.279663619055381;	0.290139580977738;	0.301244235566088;	0.311853884637022;	0.330289623832613;	0.349655247718403;	0.368239960444743;	0.393494413038709;	0.425220325537297;	0.450387761617881;	0.476712450991558;	0.559748745708848
0.467569206648782;	0.062391932621362;	0.064150968781065;	0.057972476620365;	0.052807649572891;	0.050340976853299;	0.071635734857197;	0.064615134336864;	0.041132937023377;	0.037913898109271;	0.095917222927712;	0.118554439437214;	0.075069020826692;	0.085475669302227;	0.085603102546611;	0.096115273039540;	0.033687110962500;	0.032336743694186;	0.032591572173813;	0.031907884693326;	0.032124672786788;	0.033173972528515;	0.031012553252146;	0.031207666773258;	0.031096221724001;	0.032140537799249;	0.033503705843955;	0.033347056589585;	0.034299799447434;	0.035826180216457;	0.035308385881309;	0.036805557003826;	0.038106446521221;	0.038253671647688;	0.039952696551404;	0.041626107504520;	0.041685095015503;	0.043859233182795;	0.045184056504804;	0.046821796505636;	0.047278027545374;	0.049931489219060;	0.050800297240947;	0.053759039049621;	0.056182651481339;	0.057103662201532;	0.059764729701653;	0.061628547519173;	0.062871879157709;	0.066307583281066;	0.070027296636815;	0.072274890130889;	0.072880926324852;	0.076024172128799;	0.078522556093796;	0.081294325666815;	0.082577563148850;	0.085014978327207;	0.088646361115733;	0.091538067533406;	0.092677471428168;	0.095805278422725;	0.099539675902270;	0.102701810098955;	0.104770911413228;	0.106124541282122;	0.108614587973785;	0.111224311797274;	0.114247206889112;	0.115856969178173;	0.119093937230936;	0.122128096715792;	0.124709939699811;	0.125931409098493;	0.126550841819976;	0.129270694105631;	0.132672055006035;	0.136401829110309;	0.140023134098423;	0.143556823638020;	0.147190059565861;	0.150695186551352;	0.154454267044939;	0.158199317882172;	0.161601238585009;	0.166945327861147;	0.171083230610210;	0.173829949862030;	0.176317704022050;	0.179955762741286;	0.183459057394658;	0.187403690859872;	0.190802865570230;	0.192406701160467;	0.194136398364940;	0.196821481917428;	0.200785520946131;	0.205612016162005;	0.211894472045672;	0.218120285041332;	0.224657043712600;	0.231683084022703;	0.239012609109966;	0.247183402985426;	0.254088097999835;	0.261844831234689;	0.270897901897696;	0.280392993437256;	0.290129850619481;	0.300517699450284;	0.311561443583778;	0.322129923764833;	0.340529364200355;	0.359818900828113;	0.378407667192695;	0.403849530990955;	0.435833982552177;	0.461148844995497;	0.487459118699867;	0.569168479296594
