0.641535090588626;	0.066522060682676;	0.078761799874346;	0.068430555468375;	0.059743755121945;	0.057032418123158;	0.073953525407956;	0.065941134772610;	0.043447652723392;	0.040031484378931;	0.077495228602182;	0.090832940601091;	0.055984118386503;	0.058807823993293;	0.057683635674332;	0.062037987515515;	0.036072562266566;	0.035139828430773;	0.035241399633262;	0.035607018724232;	0.035884961202379;	0.036715675815482;	0.036801234618505;	0.037073613220383;	0.036654545175251;	0.038123140258068;	0.039869747915788;	0.039162748345151;	0.040490356983731;	0.042059801750281;	0.040843107525076;	0.042694911120546;	0.043834587356020;	0.043184749098044;	0.045098982277410;	0.046553909042851;	0.045553777213948;	0.047401965859064;	0.048663020617082;	0.049784791421793;	0.048967848160519;	0.050945731176803;	0.051291921572725;	0.053867300873198;	0.055323126343387;	0.054680125456419;	0.056180983447036;	0.057315178759767;	0.057942213276674;	0.060566445487826;	0.063197952438917;	0.064245102555155;	0.063014671941445;	0.064786974525372;	0.065874753710816;	0.067605259009183;	0.068053220138000;	0.069405246611717;	0.071822889744933;	0.073484551642013;	0.073052054187779;	0.075073588788736;	0.077760512384577;	0.080220458880286;	0.081597503492842;	0.082258614226501;	0.084136975723673;	0.085933932056584;	0.088183344481958;	0.089389538829030;	0.092338773240386;	0.094985322532853;	0.097187808660892;	0.098201442632864;	0.097718762642674;	0.099960593590106;	0.102943954769349;	0.106227416862219;	0.109392876482175;	0.112525760438672;	0.115786295860275;	0.119054543196624;	0.122346290942301;	0.125756302900582;	0.129065614145368;	0.140318355433082;	0.144583514658915;	0.147158661562355;	0.149014681346411;	0.152023202015793;	0.154726993607839;	0.157716626691646;	0.160772118239791;	0.161910084812150;	0.163213722764913;	0.164234525906688;	0.166957061129217;	0.170105882014157;	0.175269561351237;	0.179320220939687;	0.183542907001948;	0.188079489018396;	0.192646705099968;	0.198736173583108;	0.202669733078824;	0.206459503091832;	0.213591099344459;	0.222798309970755;	0.233968788016714;	0.247950322858192;	0.265226694636182;	0.270307379018981;	0.302378482740577;	0.356710478262272;	0.403082698638480;	0.444830760570223;	0.486112435977137;	0.523447148578983;	0.558720767206179;	0.675404390360546
0.653857066677979;	0.078531952165111;	0.091905649035299;	0.080013670476736;	0.069948195152979;	0.060109642297430;	0.077360900349896;	0.069109573242597;	0.045948908489521;	0.042381455071030;	0.080558768486958;	0.093994270701507;	0.058277177164798;	0.061093470586958;	0.059940198414872;	0.064340353280393;	0.038583049295333;	0.037603963635843;	0.037800836191612;	0.038212185487213;	0.038566843723590;	0.039540034462479;	0.039691125451981;	0.039973732700221;	0.039574480126452;	0.041210620575170;	0.043118036691640;	0.042411407228593;	0.043839676634935;	0.045559090974533;	0.044243489463950;	0.046239162770019;	0.047497016685710;	0.046831255658758;	0.048820289124586;	0.050528742263705;	0.049477708523030;	0.051538347588042;	0.052676830330072;	0.053910574687769;	0.053087936880053;	0.055240452566911;	0.055823012904828;	0.058607237748532;	0.060211921722198;	0.059464108738421;	0.061090723160515;	0.062118868592575;	0.062870319529656;	0.065698248682542;	0.068535937251691;	0.069696886099858;	0.068569058228739;	0.070515736161622;	0.071772669998886;	0.073665317244227;	0.074109185469761;	0.075569622912828;	0.078199517375785;	0.080023544737783;	0.079372032505495;	0.081576833613284;	0.084487699491715;	0.087158925768881;	0.088688316167777;	0.089439680194209;	0.091505563769703;	0.093487941189063;	0.095954870018741;	0.097293264262113;	0.100496324349039;	0.103382227204054;	0.105800763776521;	0.106949426853643;	0.106516968000845;	0.108969554751859;	0.112209470554418;	0.115769702079412;	0.119206215002930;	0.122609064495169;	0.126149217190476;	0.129699471007601;	0.133279530829482;	0.136986794758705;	0.140588515341762;	0.143202678077598;	0.147577374074619;	0.150244354595840;	0.152189888828564;	0.155306226998433;	0.158117123537261;	0.161221083154106;	0.164394182358573;	0.165609431916840;	0.167002293594011;	0.168103486932295;	0.170953140703355;	0.174239084449421;	0.179569804105627;	0.183780347912035;	0.188172518785929;	0.192892983503814;	0.197658632063356;	0.203984512777496;	0.208140816827783;	0.212176609890457;	0.219628583012168;	0.229201839519843;	0.240776078554939;	0.255206034963500;	0.272967334046347;	0.278449094050003;	0.311220335615905;	0.366251482822366;	0.413147796970649;	0.455387950049136;	0.497218168708790;	0.535021913270370;	0.570229624796623;	0.694704153316644
0.662902707720362;	0.087302353878286;	0.100844555742089;	0.087486767154151;	0.076188715278310;	0.066832574134797;	0.084456449558693;	0.075456417071214;	0.050838066338082;	0.046784712570698;	0.085995168065653;	0.099391379151188;	0.062074267904106;	0.064746687331444;	0.063384750444805;	0.067708699834098;	0.042113217436980;	0.040977029566675;	0.041079873038757;	0.041499898243393;	0.041803054773619;	0.042776041989933;	0.042857381538374;	0.043138360635541;	0.042640469642803;	0.044270007975081;	0.046257930205340;	0.045449551626451;	0.046896782496113;	0.048698292308103;	0.047284597235666;	0.049339149333540;	0.050641668919348;	0.049901912101349;	0.052018527266229;	0.053671485263346;	0.052545608427954;	0.054632464123102;	0.056007385201796;	0.057297971563372;	0.056373316306989;	0.058611565325112;	0.058935168526089;	0.061825955386357;	0.063492733160563;	0.062774296841678;	0.064484148049748;	0.065767575198373;	0.066424723051567;	0.069365219159174;	0.072316134337645;	0.073529208747158;	0.072157681545161;	0.074164312484744;	0.075387175016758;	0.077340868166849;	0.077826185356315;	0.079342707726046;	0.082042748542256;	0.083916188350891;	0.083432914951200;	0.085705861460562;	0.088704217790787;	0.091449301076372;	0.093012026742889;	0.093759310750196;	0.095867929933727;	0.097886897843333;	0.100403912705386;	0.101706330629491;	0.104976315702027;	0.107917552704552;	0.110375646485778;	0.111513399060290;	0.110966854470360;	0.113467070070694;	0.116770625643107;	0.120397611487598;	0.123891515060928;	0.127344463818946;	0.130932195036453;	0.134524054664977;	0.138141520453148;	0.141882809523019;	0.145509158058286;	0.150310384167945;	0.154846142686936;	0.157622857646087;	0.159657046319776;	0.162892918926977;	0.165812506870672;	0.169030597006388;	0.172312110093089;	0.173535703403196;	0.174952253110326;	0.176046595823880;	0.178973193611286;	0.182340600612221;	0.187793285972876;	0.192095266220284;	0.196578574032921;	0.201396968810134;	0.206265277144103;	0.212733308781958;	0.216982883795773;	0.221119787708073;	0.228749662726630;	0.238522994274757;	0.250299958844253;	0.264937115646466;	0.282891987532155;	0.288411833170330;	0.321504222647037;	0.376761887119461;	0.423633091648148;	0.465766897331175;	0.507491149559634;	0.545080039117821;	0.579614665976161;	0.702355297583433
0.673343682791582;	0.098542560997877;	0.112506305761117;	0.097524793447686;	0.084830067487173;	0.074181380793754;	0.092039348631440;	0.082240563318798;	0.056132459998397;	0.051568004355663;	0.091797602575190;	0.105153934467232;	0.066240836720803;	0.068765093668638;	0.067215752220564;	0.071493443764300;	0.046127334678136;	0.044801488144130;	0.044932898503388;	0.045324779955557;	0.045637349258477;	0.046713511046290;	0.046791184405150;	0.047002611737418;	0.046449337971841;	0.048207396259909;	0.050319801461313;	0.049446641571420;	0.050950707476602;	0.052891519050572;	0.051321435586688;	0.053498061892788;	0.054898710724755;	0.054104230469657;	0.056250072406295;	0.058161772254824;	0.056944620201401;	0.059233130664507;	0.060389043757464;	0.061759763066344;	0.060797213419712;	0.063178983991593;	0.063760147567488;	0.066823882332435;	0.068604861128778;	0.067713880776495;	0.069503193518887;	0.070560597993817;	0.071318571673970;	0.074405343436541;	0.077501267330147;	0.078771400882893;	0.077525535013002;	0.079652567418896;	0.081017674651487;	0.083072805230120;	0.083470561228097;	0.085021341649818;	0.087864650446135;	0.089832221111149;	0.088945425431251;	0.091313198130494;	0.094436290093852;	0.097293101277907;	0.098919948059397;	0.099675724261147;	0.101874458229892;	0.103981238232549;	0.106608252854875;	0.107977576829233;	0.111377436335669;	0.114434889128085;	0.116989227285116;	0.118168083856470;	0.117692128911312;	0.120263700960630;	0.123666672570202;	0.127403095728363;	0.130998795698033;	0.134549017154622;	0.138236782208617;	0.141926448780287;	0.145642338497141;	0.149483914620236;	0.153203290461643;	0.158002622510483;	0.162645566211167;	0.165477505925254;	0.167541412273037;	0.170839151139360;	0.173812951852369;	0.177093424798231;	0.180433356968190;	0.181615766022334;	0.183012189841643;	0.184059540115737;	0.187030029271013;	0.190451023238719;	0.196001924985601;	0.200379522214894;	0.204944674428919;	0.209858154237188;	0.214832691446784;	0.221450147972873;	0.225806940896001;	0.230063845679411;	0.237891922472933;	0.247890140166702;	0.259903145582393;	0.274793726927886;	0.293007612427417;	0.298669050189012;	0.332212817332801;	0.387878727578837;	0.434951144456127;	0.477240413010453;	0.519180857185308;	0.556922999110358;	0.591106293716174;	0.711648601883494
0.684921798292787;	0.111602232737875;	0.125918198466851;	0.109098606261450;	0.094808978885265;	0.082680635711102;	0.100681965240335;	0.089972283170406;	0.062279332047458;	0.057099149533873;	0.098370202878789;	0.111677786809342;	0.071010519389888;	0.073376193506734;	0.071571545405113;	0.075772618267607;	0.050653640641591;	0.049151765201319;	0.049181824964524;	0.049623248000144;	0.049898607346873;	0.051009292922910;	0.051030878401289;	0.051277591553718;	0.050628815988900;	0.052407903468437;	0.054662284023171;	0.053687603364857;	0.055231571724795;	0.057294463945081;	0.055595007865293;	0.057854259820638;	0.059326262504380;	0.058440361198722;	0.060754996544715;	0.062610449992557;	0.061301356080644;	0.063640083072234;	0.065104774829636;	0.066566562572419;	0.065477942341605;	0.067990053959274;	0.068231362053728;	0.071449944806930;	0.073328482175095;	0.072481692207905;	0.074398675018190;	0.075814998894765;	0.076452748573554;	0.079709772991405;	0.082978860486670;	0.084341403373773;	0.082764514612226;	0.084990717850953;	0.086316677180151;	0.088472060173581;	0.088944812588482;	0.090592350678466;	0.093549518485580;	0.095604561597461;	0.095028877356734;	0.097522747160374;	0.100800656776513;	0.103794642551755;	0.105503435454521;	0.106286475575397;	0.108581534985710;	0.110777061305687;	0.113512977487646;	0.114836410093446;	0.118370582672749;	0.121547605758993;	0.124200114934749;	0.125394350589021;	0.124678961887955;	0.127373040091810;	0.130925685351659;	0.134820878302411;	0.138566072448293;	0.142259384439428;	0.146091099778446;	0.149920293268567;	0.153774726599932;	0.157754747784521;	0.161602857788252;	0.166465232429552;	0.171260727107455;	0.174190190539883;	0.176335603213630;	0.179750783862438;	0.182830888139884;	0.186224927196039;	0.189672882108981;	0.190848588457455;	0.192262153009832;	0.193293536443862;	0.196351192297567;	0.199867780475354;	0.205560972132125;	0.210053521248347;	0.214738057703299;	0.219783997311432;	0.224903003384564;	0.231714347644031;	0.236221793475633;	0.240649486654012;	0.248742915932844;	0.259044155598731;	0.271381686249939;	0.286624211023343;	0.305199208486127;	0.311085226581429;	0.345190252889407;	0.401312252787171;	0.448590144091332;	0.491050205920768;	0.533222239074153;	0.571080078537182;	0.604750849595058;	0.723291413469444
0.698288886616238;	0.126728151691560;	0.141282122254559;	0.122402511308140;	0.106303938858625;	0.092487472573101;	0.110465923372036;	0.098759758721429;	0.069342275591060;	0.063475938955648;	0.105790285922005;	0.119000521639130;	0.076489839935918;	0.078637471160693;	0.076564497820327;	0.080684755528662;	0.055858446681215;	0.054070576130133;	0.054131388472119;	0.054501241054781;	0.054768483254219;	0.055995539784185;	0.055992845580456;	0.056118066637548;	0.055382503470283;	0.057297643624547;	0.059677525328168;	0.058608801422805;	0.060190975981852;	0.062405923848139;	0.060500339046757;	0.062880865453367;	0.064454872002020;	0.063490976730753;	0.065807477655673;	0.067959933296720;	0.066533790449829;	0.069094421605449;	0.070265416942437;	0.071809097849399;	0.070669135458709;	0.073334312596420;	0.073870519865737;	0.077279959780662;	0.079289885149177;	0.078241049177717;	0.080248584445056;	0.081385739651811;	0.082136031609565;	0.085553506958730;	0.088982422473954;	0.090410361044448;	0.088996124216802;	0.091361452319027;	0.092859283841753;	0.095133001012085;	0.095497460013055;	0.097182634092127;	0.100306688677820;	0.102475391321979;	0.101394065440211;	0.103994584449775;	0.107411368331948;	0.110530569433113;	0.112315126053105;	0.113109117582985;	0.115509729018169;	0.117810261163816;	0.120675683751183;	0.122092217996192;	0.125778248180879;	0.129093796601984;	0.131864357623247;	0.133121082480873;	0.132571630029927;	0.135353664708469;	0.139024130832887;	0.143048190776235;	0.146914464610899;	0.150724176715016;	0.154675660815604;	0.158622476195952;	0.162596083775381;	0.166697673921354;	0.170659380108748;	0.175525504117095;	0.180462391058085;	0.183478449308168;	0.185682985225505;	0.189193087859703;	0.192361182575645;	0.195853258835855;	0.199393695216961;	0.200541457897253;	0.201954022998446;	0.202949006767291;	0.206080580127858;	0.209681062555952;	0.215506873466692;	0.220108294259413;	0.224909509759934;	0.230089094328208;	0.235357732523791;	0.242370057963258;	0.247035889613549;	0.251640273200505;	0.259998666074991;	0.270593587820486;	0.283235564413000;	0.298797218450442;	0.317686809460307;	0.323752063069873;	0.358341824304013;	0.414813055948974;	0.462194118742025;	0.504717793007272;	0.546991549864060;	0.584831580337077;	0.617873252303403;	0.734031240750941
0.712154227880272;	0.144185481971829;	0.158817544390035;	0.137620186619816;	0.119478843049591;	0.103747909959640;	0.121526497219951;	0.108653689625639;	0.077465888255270;	0.070752069073205;	0.114076216370549;	0.127189697572630;	0.082675641813073;	0.084613933166548;	0.082176317660974;	0.086179893010362;	0.061676125335993;	0.059654484437166;	0.059547295785228;	0.059990756170341;	0.060193830764087;	0.061448942379643;	0.061364727812372;	0.061543951087127;	0.060682306163015;	0.062601408965577;	0.065155070630587;	0.063962853375476;	0.065581123890201;	0.067944873320689;	0.065878794964984;	0.068347085215921;	0.070006460107002;	0.068928923938007;	0.071440472355837;	0.073514420702649;	0.071978516208196;	0.074596613642333;	0.076136662305286;	0.077791859419178;	0.076499280133191;	0.079321139422771;	0.079431502245468;	0.083015188696417;	0.085135668803690;	0.084130350740182;	0.086284314059856;	0.087845655953792;	0.088435847870815;	0.092045825552095;	0.095671044113057;	0.097204493368933;	0.095383388209329;	0.097857224591552;	0.099294049344139;	0.101675707728858;	0.102119201558782;	0.103909641204514;	0.107154821773555;	0.109415900205029;	0.108728886903784;	0.111470986803364;	0.115060636347496;	0.118332211452647;	0.120208156006581;	0.121028582674334;	0.123534543353441;	0.125931813801140;	0.128914909805023;	0.130246220918051;	0.134074933635581;	0.137516553407136;	0.140388820958884;	0.141645799631980;	0.140720684151475;	0.143634977416555;	0.147466498014873;	0.151661556734313;	0.155689129765516;	0.159653228243269;	0.163759884290690;	0.167856713458919;	0.171979338476486;	0.176229259585468;	0.180327940564686;	0.185244322795410;	0.190336743828863;	0.193449621531610;	0.195725302647836;	0.199340618990720;	0.202602716042770;	0.206195840396393;	0.209828823922672;	0.210938326597068;	0.212342950801111;	0.213292148786484;	0.216498013089261;	0.220183443409589;	0.226143679370542;	0.230855389812745;	0.235773569454166;	0.241085325238626;	0.246499055840052;	0.253702949273332;	0.258510908282405;	0.263271516234322;	0.271869071463305;	0.282726807746094;	0.295640911075647;	0.311492454687282;	0.330676386914977;	0.336931342611202;	0.372017000732004;	0.428858951638381;	0.476401185482455;	0.519090385780321;	0.561636448196415;	0.599683067138336;	0.632319671147248;	0.744610892151927
0.729965682435309;	0.164408779577081;	0.178869943302401;	0.155091559365533;	0.134632494298410;	0.116720300758665;	0.134006139622551;	0.119929212020510;	0.086791847864937;	0.079177252025937;	0.123463773943693;	0.136386842966472;	0.089814498009632;	0.091434061429321;	0.088626381759104;	0.092503249518879;	0.068372500218773;	0.065929709328343;	0.065871952582491;	0.066175141909398;	0.066351139126005;	0.067745122193504;	0.067613225283339;	0.067597584238642;	0.066614260478297;	0.068684572607029;	0.071365842789187;	0.070049014952915;	0.071683836643410;	0.074219800285409;	0.071887978772079;	0.074479289740210;	0.076250247771811;	0.075070092141965;	0.077549323391622;	0.079975681929388;	0.078294029990815;	0.081163822996999;	0.082316064659027;	0.084060077613812;	0.082702728417825;	0.085693938376745;	0.086143981485495;	0.089938288537087;	0.092208896617519;	0.090962197892302;	0.093222614476732;	0.094443288576978;	0.095157585663363;	0.098946059077513;	0.102749924045374;	0.104359342856144;	0.102740196449533;	0.105375383714467;	0.107017320807231;	0.109536872087261;	0.109834928840522;	0.111641049605515;	0.115057956751158;	0.117442769955706;	0.116122327453088;	0.118974153925136;	0.122708207276156;	0.126109760058611;	0.128064529293453;	0.128887747307044;	0.131505040858043;	0.134014053615328;	0.137134586052245;	0.138577316239713;	0.142567092667109;	0.146156472007420;	0.149155374659383;	0.150485637831220;	0.149848841263390;	0.152854442768818;	0.156807340909834;	0.161134794424848;	0.165286358086260;	0.169368997164802;	0.173597405574826;	0.177813330794259;	0.182057125325863;	0.186430620279325;	0.190643891395276;	0.195601965083563;	0.200837541123982;	0.204038556718602;	0.206381019784733;	0.210101931070790;	0.213462152195145;	0.217164294271399;	0.220898357693751;	0.221970139096362;	0.223369477784971;	0.224269522089229;	0.227550153851809;	0.231316799998287;	0.237403455403538;	0.242215403297898;	0.247239185609468;	0.252672939787094;	0.258226006531977;	0.265623033898910;	0.270588834041757;	0.275534139002056;	0.284410491620951;	0.295581521012298;	0.308826667322911;	0.325027736928269;	0.344552832167128;	0.351015337735680;	0.386585192507880;	0.443718616403545;	0.491304245100906;	0.534024661869691;	0.576646189866110;	0.614612326438987;	0.646504515648816;	0.756030109084843
0.743042321157657;	0.187602331963760;	0.201644885693984;	0.174957944805085;	0.151914759430051;	0.131561863266583;	0.148030195730065;	0.132505035667990;	0.097518822129649;	0.088724078742471;	0.133872992823648;	0.146642260487579;	0.097817038622081;	0.099171693446538;	0.095839163183821;	0.099539080510837;	0.075812680493120;	0.073078656112371;	0.072739187558568;	0.073157431449570;	0.073223222250786;	0.074615069248669;	0.074347118406482;	0.074405820269523;	0.073245545628358;	0.075276465874977;	0.078158436639525;	0.076683942856618;	0.078337083297257;	0.081043728349282;	0.078512443518227;	0.081184061757734;	0.083047402153188;	0.081722367143419;	0.084418365449612;	0.086722402510170;	0.084907602592849;	0.087829988559281;	0.089421505576291;	0.091292458182317;	0.089747811597753;	0.092915341192492;	0.092826977925875;	0.096809817141853;	0.099201735105607;	0.098000951081139;	0.100421598398214;	0.102137013074361;	0.102637854633689;	0.106632904780596;	0.110648313015964;	0.112371842296778;	0.110258485921591;	0.113004772948360;	0.114554612301610;	0.117183442722002;	0.117572369575680;	0.119511864147171;	0.123070385328078;	0.125557375211116;	0.124733108676972;	0.127744701911764;	0.131670687527646;	0.135240630472623;	0.137298455986188;	0.138149467758043;	0.140882475847769;	0.143498183461378;	0.146746429618947;	0.148056727380591;	0.152196681357799;	0.155917849544790;	0.159021227671186;	0.160332715537832;	0.159133614428567;	0.162277479362475;	0.166397918168073;	0.170903330848243;	0.175222916971805;	0.179466246021168;	0.183855906322660;	0.188227163169039;	0.192625340360133;	0.197151854154568;	0.201505484218117;	0.206539287324755;	0.211934834663904;	0.215236033441874;	0.217652471092535;	0.221480989452420;	0.224936134404539;	0.228737619011625;	0.232557908464253;	0.233566652813353;	0.234938419599137;	0.235765127834607;	0.239111012890927;	0.242956165714656;	0.249174136104740;	0.254098193182192;	0.259244891997142;	0.264821017077396;	0.270532523880659;	0.278132638989723;	0.283247307504653;	0.288349097855393;	0.297451247953688;	0.308855472540020;	0.322326687482294;	0.338753521315052;	0.358489892464166;	0.365067932453815;	0.400999922970196;	0.458316206180284;	0.505879948620103;	0.548557191404055;	0.591172248413020;	0.629017288979603;	0.660156822529983;	0.767102196355408
0.757411193334157;	0.214289941025129;	0.227382978687708;	0.197552303805239;	0.171579270602353;	0.148513851869541;	0.163744659688096;	0.146630911783551;	0.109651904939011;	0.099745559292829;	0.145587243897941;	0.158010431929874;	0.107013243451322;	0.107891844069521;	0.104065610651766;	0.107573213281703;	0.084148761292839;	0.080941001918340;	0.080713694810578;	0.080873742114153;	0.080887590833008;	0.082457428387539;	0.082126390711096;	0.081887540929066;	0.080568761624256;	0.082774740952804;	0.085781128991598;	0.084147823985982;	0.085786372668432;	0.088687809255814;	0.085818614032101;	0.088612476427489;	0.090598820460512;	0.089143731801312;	0.091758960094933;	0.094486130263593;	0.092492976290102;	0.095702124810293;	0.096783915507893;	0.098751923749101;	0.097129122068916;	0.100484230617870;	0.100790489441225;	0.105002026986867;	0.107562576462340;	0.106071300009431;	0.108612007353067;	0.109910540300495;	0.110545496268068;	0.114734776341210;	0.118944953444887;	0.120752589011660;	0.118882965822192;	0.121809857250335;	0.123596532102898;	0.126378461862622;	0.126575013587777;	0.128504655055128;	0.132239622359697;	0.134859343928966;	0.133249687266884;	0.136369099396911;	0.140439023055316;	0.144137401150485;	0.146271505708288;	0.147110027907262;	0.149953929824649;	0.152682345145732;	0.156069822623512;	0.157511056658723;	0.161814901201313;	0.165686903551858;	0.168919660709076;	0.170313841851795;	0.169581513620099;	0.172815882137253;	0.177055407733715;	0.181689720142626;	0.186128489384148;	0.190483840787714;	0.194987437913056;	0.199468353230682;	0.203977421356555;	0.208615782248884;	0.213069880769009;	0.218158903800768;	0.223681902462611;	0.227055830500348;	0.229524769596557;	0.233445197012745;	0.236986272788707;	0.240887256006711;	0.244798735968600;	0.245746071768532;	0.247096792096248;	0.247853885422073;	0.251265897700554;	0.255180017654483;	0.261505824425040;	0.266509635004844;	0.271736884387143;	0.277405129133040;	0.283221045887137;	0.290969765174247;	0.296192973428461;	0.301423394940633;	0.310730927382142;	0.322358965917885;	0.336059882716720;	0.352725305112003;	0.372688967781890;	0.379403809259229;	0.415689020796853;	0.473166957557508;	0.520691771587704;	0.563297930602153;	0.605863573591957;	0.643541133545714;	0.673880417742636;	0.778145088677363
