0.023532469213404;	0.000000000000421;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000003808210240;	0.000000713690716;	0.000000297633365;	0.003481608743849;	0.001069497382394;	0.000937196607981;	0.001115955751537;	0.000001647910949;	0.000000250491456;	0.000000036348174;	0.000000193297450;	0.000000049353704;	0.000000090885455;	0.000000000182496;	0.000000000025169;	0.000000003434497;	0.000000000016089;	0.000000000003031;	0.000000000002058;	0.000000000002283;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000
0.024652186065187;	0.000000000354376;	0.000000000006309;	0.000000000000088;	0.000000000000000;	0.000000000000000;	0.000005951662081;	0.000000969654162;	0.000003321415224;	0.003482206782233;	0.001070014007047;	0.000937267457152;	0.001115962629802;	0.000003750986800;	0.000001946999405;	0.000000460398273;	0.000001720881290;	0.000003237359933;	0.000005069034853;	0.000000752573952;	0.000000064176869;	0.000000045943214;	0.000000003923423;	0.000000000010695;	0.000000000007043;	0.000000000007586;	0.000000000001092;	0.000000000001834;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000
0.025830634222234;	0.000000019380674;	0.000000000554524;	0.000000000015886;	0.000000000000227;	0.000000000000000;	0.000007811415980;	0.000001083714801;	0.000005752786793;	0.003483916264806;	0.001071541226385;	0.000937577062985;	0.001116009692695;	0.000004493864919;	0.000003769597238;	0.000001247575210;	0.000002974427708;	0.000006336606388;	0.000010019283933;	0.000003051909596;	0.000000500578348;	0.000000598664304;	0.000000111028536;	0.000000019112030;	0.000000014237379;	0.000000016659991;	0.000000000012925;	0.000000000020601;	0.000000000001030;	0.000000000002905;	0.000000000002124;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000
0.026695182687795;	0.000000533225533;	0.000000023695004;	0.000000001064416;	0.000000000030825;	0.000000000000512;	0.000010516296486;	0.000001278028941;	0.000006762609851;	0.003486493359009;	0.001075616151496;	0.000938762759773;	0.001116315855555;	0.000091948915511;	0.000007723460838;	0.000003811646052;	0.000005949689407;	0.000010272169026;	0.000017179640278;	0.000009756569596;	0.000002925566460;	0.000003151923450;	0.000001019946440;	0.000000426154710;	0.000000274641586;	0.000000304983039;	0.000000042924740;	0.000000072917830;	0.000000000010822;	0.000000000028830;	0.000000000019919;	0.000000000002716;	0.000000000003542;	0.000000000003418;	0.000000000006566;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000001;	0.000000000000016
0.027542906287412;	0.000006888477001;	0.000000529261412;	0.000000036426099;	0.000000001667272;	0.000000000056652;	0.000014549565398;	0.000001649101518;	0.000007405501702;	0.003487937982132;	0.001079855041059;	0.000941167794463;	0.001117359283057;	0.000096177548106;	0.000014885701377;	0.000010287138748;	0.000013459328910;	0.000016042583761;	0.000026303287875;	0.000019633286198;	0.000009483942396;	0.000008894922968;	0.000004204039307;	0.000003083855988;	0.000001905578048;	0.000001951514621;	0.000000636726546;	0.000001001592512;	0.000000049942200;	0.000000143667992;	0.000000103730913;	0.000000000023969;	0.000000000029592;	0.000000000027040;	0.000000000049205;	0.000000000003045;	0.000000000001644;	0.000000000003055;	0.000000000004125;	0.000000000001793;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000001;	0.000000000000006;	0.000000000000023;	0.000000000000084;	0.000000000000286;	0.000000000000921;	0.000000000396688
0.028467728703036;	0.000038881730922;	0.000005866149060;	0.000000693573967;	0.000000047996315;	0.000000002622761;	0.000019446795412;	0.000002255763620;	0.000009195630838;	0.003488912118278;	0.001081990943691;	0.000945089001293;	0.001119397844276;	0.000099765078324;	0.000155289334263;	0.000021100209743;	0.000026730770458;	0.000026092861974;	0.000039210981508;	0.000031334043327;	0.000021663830981;	0.000018822542257;	0.000010735150027;	0.000010117572891;	0.000006707245021;	0.000006217638601;	0.000003618275010;	0.000005378105738;	0.000000559400185;	0.000001621699673;	0.000001041199074;	0.000000137255234;	0.000000170901184;	0.000000167642435;	0.000000303987207;	0.000000000081108;	0.000000000119537;	0.000000000442623;	0.000000000964964;	0.000000000639563;	0.000000000005274;	0.000000000006075;	0.000000000005305;	0.000000000005953;	0.000000000007522;	0.000000000009890;	0.000000000014514;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000001;	0.000000000000002;	0.000000000000010;	0.000000000000072;	0.000000000000316;	0.000000000001094;	0.000000000003436;	0.000000000009238;	0.000000000022452;	0.000000000052644;	0.000000000127108;	0.000000000309119;	0.000000021288536
0.033033778523226;	0.000110221378723;	0.000029286243901;	0.000006983010937;	0.000000775805365;	0.000000065717690;	0.000083038507957;	0.000003521643171;	0.000017707929944;	0.003492274552884;	0.001085303066224;	0.000950482693117;	0.001122539747179;	0.000190298076085;	0.000165790946659;	0.000185634909296;	0.000046694708118;	0.000047203535492;	0.000066342276299;	0.000050543981615;	0.000040379958580;	0.000036394739407;	0.000022827203958;	0.000021119214512;	0.000015527461482;	0.000014219362619;	0.000010345107071;	0.000015117138839;	0.000002920753094;	0.000007506340357;	0.000005067949018;	0.000001307592471;	0.000001557673773;	0.000001379571404;	0.000002516537640;	0.000000369080350;	0.000000227763478;	0.000000431004566;	0.000000565690103;	0.000000250739123;	0.000000007988174;	0.000000010929063;	0.000000011019956;	0.000000013955529;	0.000000019877862;	0.000000028613269;	0.000000048084122;	0.000000000002629;	0.000000000017609;	0.000000000017776;	0.000000000016350;	0.000000000018074;	0.000000000022279;	0.000000000022600;	0.000000000028493;	0.000000000035735;	0.000000000053577;	0.000000000057473;	0.000000000049515;	0.000000000054685;	0.000000000062031;	0.000000000070905;	0.000000000082438;	0.000000000089379;	0.000000000104248;	0.000000000118802;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000085;	0.000000000000300;	0.000000000000905;	0.000000000005371;	0.000000000024136;	0.000000000077754;	0.000000000222500;	0.000000000539945;	0.000000001173718;	0.000000002402004;	0.000000004551487;	0.000000008155142;	0.000000014301604;	0.000000026627401;	0.000000051534068;	0.000000465534933
0.035595925622549;	0.000229097728655;	0.000075727375952;	0.000033656776623;	0.000006702805439;	0.000000926345462;	0.000090739452368;	0.000007410603112;	0.000023055475207;	0.003500003932807;	0.001097064622411;	0.000956712448959;	0.001128312390755;	0.000201717881782;	0.000270600725977;	0.000211384907456;	0.000277909723819;	0.000074511066630;	0.000100743071174;	0.000084573045461;	0.000069607562005;	0.000067374387851;	0.000045394240617;	0.000039192456368;	0.000030466584107;	0.000030451060278;	0.000021688548219;	0.000031643789002;	0.000009288827058;	0.000019306109327;	0.000014031880083;	0.000005848635023;	0.000006542240748;	0.000005950213908;	0.000010046769622;	0.000002896368118;	0.000001623666083;	0.000003020501089;	0.000003700052447;	0.000001476982431;	0.000000763814162;	0.000000877324937;	0.000000748374392;	0.000000839273330;	0.000001018190973;	0.000001282856285;	0.000001936556788;	0.000000016829182;	0.000000119097757;	0.000000120608404;	0.000000118190661;	0.000000140193379;	0.000000183894083;	0.000000198823380;	0.000000265974854;	0.000000353886388;	0.000000540745951;	0.000000633819851;	0.000000576823106;	0.000000683915066;	0.000000793881524;	0.000000945284346;	0.000001146713437;	0.000001292551294;	0.000001564538242;	0.000001846444479;	0.000000000135650;	0.000000000185751;	0.000000000209871;	0.000000000204873;	0.000000000202256;	0.000000000228453;	0.000000000258728;	0.000000000292491;	0.000000000337684;	0.000000000387650;	0.000000000449710;	0.000000000494332;	0.000000000662229;	0.000000000728389;	0.000000000826688;	0.000000000767722;	0.000000000179894;	0.000000001206239;	0.000000002459975;	0.000000007629625;	0.000000020176574;	0.000000039857596;	0.000000076420643;	0.000000132026664;	0.000000216876223;	0.000000335325764;	0.000000496583700;	0.000000717269992;	0.000000999610370;	0.000001356904659;	0.000001830558433;	0.000002672035045;	0.000004131974384;	0.000004885180882
0.041224234876946;	0.000587727112259;	0.000162612434880;	0.000084303275519;	0.000029194298128;	0.000006848748160;	0.000146445165547;	0.000011293577245;	0.000037157836490;	0.003505205796083;	0.001108017301891;	0.000965215903556;	0.001137976813507;	0.000282227956805;	0.000327436644837;	0.000359113471147;	0.000402942813197;	0.000458849273600;	0.000633959895870;	0.000132103765994;	0.000112876222328;	0.000112963563895;	0.000082842748356;	0.000072014479743;	0.000057761790036;	0.000060089933744;	0.000041910970051;	0.000060282285973;	0.000024157666714;	0.000041204575101;	0.000031635315545;	0.000016021093586;	0.000017028623751;	0.000017342457604;	0.000022403716526;	0.000011303383289;	0.000006613486448;	0.000011181403623;	0.000013795810635;	0.000006190962638;	0.000004730717619;	0.000005163840496;	0.000004100839743;	0.000004400167630;	0.000005095156147;	0.000006178365842;	0.000008990257789;	0.000000206789983;	0.000001979072786;	0.000002447530690;	0.000002137895794;	0.000002270256585;	0.000002756619574;	0.000002769262279;	0.000003419812962;	0.000004171740815;	0.000005976529823;	0.000006414403138;	0.000005201507609;	0.000005614322226;	0.000005971779016;	0.000006705259103;	0.000007549997660;	0.000007903866784;	0.000008829060595;	0.000009676831874;	0.000002665360637;	0.000003697732196;	0.000004237353698;	0.000004199642444;	0.000004203440319;	0.000004787472030;	0.000005441932141;	0.000006160148329;	0.000007087857412;	0.000007930011849;	0.000008826773059;	0.000010056976332;	0.000013245352049;	0.000014482071386;	0.000016180106528;	0.000014789093007;	0.000003441229213;	0.000022233548894;	0.000023732667565;	0.000021381093426;	0.000024314490373;	0.000023666942348;	0.000025545469599;	0.000027569069083;	0.000029792419337;	0.000032034496044;	0.000034349999056;	0.000036975569208;	0.000039524049243;	0.000042114770815;	0.000045360926879;	0.000053572401425;	0.000067684944317;	0.000024925388979
0.046394168881217;	0.003132472326630;	0.000544829839225;	0.000173948105609;	0.000073513059666;	0.000027356714680;	0.000183449633611;	0.000028920485314;	0.000057055947835;	0.003523695906680;	0.001141049411104;	0.000978753969905;	0.001149637617607;	0.000333258298827;	0.000424647647350;	0.000473520556207;	0.000589605612261;	0.000768546963153;	0.001077814865756;	0.000870953680215;	0.000178828055180;	0.000182327539856;	0.000142280255686;	0.000123705767518;	0.000103377714744;	0.000106880362176;	0.000075963766152;	0.000107574266580;	0.000050934866566;	0.000078985051729;	0.000061299010892;	0.000037519556266;	0.000039157861238;	0.000042823205854;	0.000045190270839;	0.000029421273735;	0.000018491265226;	0.000027423191810;	0.000034049386396;	0.000017987786580;	0.000015769924864;	0.000017597982685;	0.000014722080342;	0.000013890289627;	0.000017288890769;	0.000020377768181;	0.000026695629193;	0.000002014496320;	0.000011382665583;	0.000010447998975;	0.000008813075003;	0.000009166181940;	0.000011031538944;	0.000010223095846;	0.000012130272919;	0.000014459391188;	0.000019968358405;	0.000020971351102;	0.000017117355371;	0.000018392159370;	0.000019324925986;	0.000020452644942;	0.000022800049054;	0.000023100714381;	0.000025551653774;	0.000027550069918;	0.000010108051223;	0.000013611244847;	0.000014876843859;	0.000013881848057;	0.000012942854275;	0.000013997819970;	0.000015220709999;	0.000016596316250;	0.000018377125827;	0.000022102554376;	0.000023531755942;	0.000025788468922;	0.000033259771085;	0.000034757174485;	0.000037547238567;	0.000032797869290;	0.000006953870025;	0.000047635041977;	0.000049464652157;	0.000043358464267;	0.000048709332623;	0.000046512456794;	0.000049751572874;	0.000053591687924;	0.000057681588406;	0.000062003413518;	0.000066466311507;	0.000071679516432;	0.000076910306516;	0.000082306886700;	0.000089269659939;	0.000105173760121;	0.000132132471614;	0.000074625231492
0.053957568478639;	0.016235524120898;	0.003522084669366;	0.000582582583584;	0.000165273700836;	0.000094997841253;	0.000291948721589;	0.000090364276624;	0.000114936711463;	0.003547721147813;	0.001178618771409;	0.001020277905405;	0.001165215074341;	0.000388409672662;	0.000536739988423;	0.000596174993619;	0.000781932639028;	0.001102962024981;	0.001574099465442;	0.001622323159802;	0.001110044150470;	0.001405101384737;	0.000230242854742;	0.000205298471333;	0.000177487603520;	0.000182993569104;	0.000130736536262;	0.000181593411063;	0.000098328354983;	0.000143729017488;	0.000112961522101;	0.000074838442872;	0.000076534930558;	0.000085643335833;	0.000081842375533;	0.000065689252552;	0.000046248235176;	0.000059321098149;	0.000074150175123;	0.000046208225419;	0.000037668191107;	0.000039789175458;	0.000037548336825;	0.000033616669073;	0.000042264624884;	0.000048140545564;	0.000058349964634;	0.000011078869862;	0.000035489339885;	0.000029838909976;	0.000026894424604;	0.000029085987534;	0.000030664631332;	0.000029560970675;	0.000034583481112;	0.000039850662551;	0.000050378883910;	0.000052456337021;	0.000045849932561;	0.000049690810036;	0.000052213911701;	0.000053767042499;	0.000055560272371;	0.000057097097939;	0.000063666777950;	0.000067780577252;	0.000044570936989;	0.000055544759402;	0.000058950971058;	0.000055560120823;	0.000054736171055;	0.000059483699645;	0.000063913444364;	0.000067720465953;	0.000073716995789;	0.000060555511104;	0.000063747000408;	0.000069416703499;	0.000086807879031;	0.000089795873482;	0.000096364940231;	0.000089880147719;	0.000030995238265;	0.000118588564198;	0.000124419225119;	0.000114599794700;	0.000125090300882;	0.000124165687849;	0.000132525698734;	0.000139428148021;	0.000144719212821;	0.000152641684419;	0.000162953318803;	0.000173139604918;	0.000184121355711;	0.000195017544430;	0.000209198542261;	0.000241540575412;	0.000293668504429;	0.000169217215477
