0.111840854204517;	0.073992115749211;	0.040571079643539;	0.035324376737193;
0.114778198771809;	0.076972828905581;	0.042254683922779;	0.036471556004772;
0.116665079969517;	0.078738182102968;	0.043238161439860;	0.037168442825688;
0.118232055337734;	0.080224364694347;	0.044065666083916;	0.037751222474998;
0.119579696503617;	0.081443099725453;	0.044739215157274;	0.038237296822444;
0.120808649350407;	0.082511825083533;	0.045326796808814;	0.038670587044451;
0.121926478883015;	0.083434393737326;	0.045831013526314;	0.039053521544394;
0.125481094486457;	0.086801599446252;	0.048817151499536;	0.060253821344395;
0.126469887185718;	0.087610538955101;	0.049259470955597;	0.060615242001123;
0.127422936709310;	0.088378148474290;	0.049678984883765;	0.060965598896315;
0.128429831973858;	0.089159914063993;	0.050104779682633;	0.061320342259872;
0.129364201219875;	0.089877887209283;	0.050497440125514;	0.061673131562393;
0.130279451364414;	0.090562367862188;	0.050874189126412;	0.062068219575590;
0.131230081314470;	0.091259580315250;	0.051256637018266;	0.062453564239492;
0.132134914382712;	0.091927325643859;	0.051623248383099;	0.062800253530383;
0.133086838140145;	0.092637963890683;	0.052014907532915;	0.063169302834094;
0.138230716285124;	0.101873957984605;	0.071096479649921;	0.068299072057377;
0.139294487548548;	0.102791622518990;	0.071604229225548;	0.068799025301707;
0.140339270271072;	0.103677182647156;	0.072149172724246;	0.069249740872542;
0.141354202547885;	0.104487576228129;	0.072635339220900;	0.069696915392190;
0.142416507640172;	0.105304865173121;	0.073139571357568;	0.070252408766606;
0.143442211515591;	0.106071004969076;	0.073603368613145;	0.070730670297442;
0.144473423168611;	0.106883473531166;	0.074100508045701;	0.071204802300451;
0.145580158371317;	0.107701424446854;	0.074592857100464;	0.071785812066114;
0.146716239399487;	0.108604282200517;	0.075147533487856;	0.072377217658481;
0.147828814450231;	0.109414917241465;	0.075630937436153;	0.072916780258996;
0.148990608710215;	0.110348990201730;	0.076199852324032;	0.073594799595121;
0.150234411462164;	0.111292387869943;	0.076869819293436;	0.074259415405286;
0.151512734638012;	0.112329008312090;	0.077569121279665;	0.074965357571450;
0.152685432384840;	0.113230814339953;	0.078178478265692;	0.075686917309052;
0.154040633182004;	0.114283462514946;	0.078863870326989;	0.076421164925262;
0.155329223151843;	0.115279799591636;	0.079524624209313;	0.077216290459913;
0.156703493672215;	0.116393111518366;	0.080302001764669;	0.078040031833208;
0.158141522283611;	0.117509343008060;	0.081075835774164;	0.078936252847699;
0.159604735402432;	0.118702622572314;	0.081927618210487;	0.079856125900946;
0.161052792722129;	0.119859057773042;	0.082726864246036;	0.080801954540182;
0.162684126483084;	0.121171485290305;	0.083621915577117;	0.081833709488004;
0.164202906828496;	0.122432025219741;	0.084543616203569;	0.082859930652264;
0.165888749079028;	0.123812809237685;	0.085558843006472;	0.084000449755173;
0.167593908561074;	0.125213865163368;	0.086590045535235;	0.085139620368176;
0.169311920462269;	0.126664984488408;	0.087692096444437;	0.086383619401662;
0.171222148025231;	0.128255833925770;	0.088886683738729;	0.087665809150114;
0.173080657131258;	0.129804444190062;	0.090064018680500;	0.089008102534314;
0.174973189807123;	0.131430309104898;	0.091311311908156;	0.090390231077121;
0.177055430037248;	0.133165922528351;	0.092650721808103;	0.091866546945745;
0.179147267314602;	0.134941570062413;	0.094028398826498;	0.093405070162586;
0.181248766338356;	0.136784977113757;	0.095464059327505;	0.095026038672946;
0.183518049199574;	0.138700823349360;	0.096973590265565;	0.096690047621474;
0.185905400214680;	0.140731512200517;	0.098566381588098;	0.098483243407979;
0.188137570672103;	0.142745344596565;	0.100184881596858;	0.100288928127478;
0.190658986499243;	0.144907593127427;	0.101932288151071;	0.102222015261067;
0.193282389564870;	0.147189727314217;	0.103740370541824;	0.104272112218238;
0.195825392404824;	0.149490342916862;	0.105639414883676;	0.106344865317917;
0.198600335395474;	0.151894449923607;	0.107594668439653;	0.108557310458230;
0.201496334687988;	0.154453579726849;	0.109688670202540;	0.110869580465318;
0.204320800941430;	0.157018556780479;	0.111816591380377;	0.113243503200416;
0.207379357934455;	0.159738476401321;	0.114099044619804;	0.115825193609717;
0.210579409007393;	0.162600022970667;	0.116487721092695;	0.118473158513585;
0.213747843619793;	0.165507881686915;	0.118951963033991;	0.121239185551687;
0.217107605549505;	0.168522757536898;	0.121525218558551;	0.124103099293890;
0.220622107683809;	0.171720814582005;	0.124252477666868;	0.127088855858465;
0.224172031012863;	0.175050258300458;	0.127144776736609;	0.130208086983363;
0.227992383290822;	0.178516936206374;	0.130123883380433;	0.133469551871270;
0.231820266938064;	0.182030449250766;	0.133244649580941;	0.136854622710916;
0.235761930218951;	0.185736001183078;	0.136529245358055;	0.140344095935125;
0.240010201261750;	0.189678066094290;	0.139999616432169;	0.144078860017208;
0.244434821890363;	0.193753226728799;	0.143604238748995;	0.147919568629386;
0.248739993655888;	0.197818284907444;	0.147272061558160;	0.151858025362269;
0.253540166856874;	0.202292677659951;	0.151303041510929;	0.156107639463416;
0.258347588549262;	0.206809356689487;	0.155380332412695;	0.160424366792533;
