0.000000000000000;	0.011358951453460;	0.006418562169283;	0.006472310198117;
0.003122291589832;	0.001000398339481;	0.000000000000000;	0.000000000000000;
0.063336117206779;	0.021333077178929;	0.000000000000000;	0.000000000000000;
0.053560727890186;	0.019103459101073;	0.000000000000000;	0.000000000000000;
0.046827255917661;	0.017667456006265;	0.000000000000000;	0.000000000000000;
0.045301322616819;	0.016850047203976;	0.000000000000000;	0.000360547740486;
0.044533392214507;	0.016380288792482;	0.000000000000000;	0.000721095480971;
0.039792437268563;	0.016283024405715;	0.000000000000000;	0.000312582867269;
0.040000733631268;	0.015788000317870;	0.000000000000000;	0.000341583619148;
0.037718463883566;	0.015085101548726;	0.000000000000000;	0.000587430368158;
0.037137770711035;	0.014766380841159;	0.000000000000000;	0.000652029162931;
0.036457878492588;	0.014570176190871;	0.000000000000000;	0.000496318463168;
0.035105403907110;	0.014142605570206;	0.000000012399518;	0.000634625446052;
0.034312285036973;	0.013986099127297;	0.000000024799036;	0.000932830581545;
0.033406386768730;	0.013817508920230;	0.000000024454750;	0.000820128973129;
0.034614834060710;	0.014251043096365;	0.000170685481501;	0.000961094386077;
0.033620260392923;	0.013778149803461;	0.000204245749598;	0.001150330493497;
0.032929912480014;	0.014066120614598;	0.000256039898323;	0.001146858923089;
0.033215743134342;	0.013315050337898;	0.000265331664792;	0.001294041503318;
0.033540853272938;	0.013333655321011;	0.000242481154811;	0.001409169973150;
0.031693766035489;	0.013150905357774;	0.000267607408319;	0.001533161272364;
0.032248297624674;	0.013192546822479;	0.000426016261744;	0.001679064205657;
0.032944840514790;	0.013849437199492;	0.000681207692755;	0.001785008166641;
0.030962389559006;	0.013692650855706;	0.000688436957801;	0.001956680651528;
0.031555306381260;	0.014211079325096;	0.000721929745229;	0.002123512283926;
0.032101513264574;	0.014301393670759;	0.000819640468490;	0.002292742202644;
0.030492785452709;	0.014555747314726;	0.001010818091744;	0.002511972091553;
0.030901442888782;	0.015001091064674;	0.001124755031956;	0.002697145796389;
0.031523452651045;	0.016273451476740;	0.001178061466358;	0.002850934388258;
0.030456806841630;	0.015376665581256;	0.001312995814811;	0.003172475402354;
0.031351004452746;	0.015894177110897;	0.001533921874288;	0.003335446036597;
0.031815451590327;	0.015818510280706;	0.001608516844853;	0.003626966062949;
0.029415386128144;	0.016526674546629;	0.001724814494057;	0.003963343249189;
0.030759042883629;	0.017463699570623;	0.001963689881277;	0.004228634113253;
0.031877232500934;	0.016872918743986;	0.002108783105697;	0.004608547241330;
0.029633531364589;	0.017745013349811;	0.002282858252480;	0.004995436036354;
0.030298459418830;	0.018155366071899;	0.002519373618351;	0.005361682081938;
0.031947062672183;	0.017944985763545;	0.002711390650133;	0.005891745317766;
0.030188891356843;	0.019028156579474;	0.002941769567156;	0.006363124949951;
0.030547082632582;	0.019050765046917;	0.003132494678502;	0.006842042994662;
0.031357443184509;	0.018828212034109;	0.003440684882433;	0.007352093415384;
0.029682673278820;	0.020054215253688;	0.003772811240267;	0.007953379135301;
0.030158060963079;	0.020301398831238;	0.004040176202564;	0.008863561418843;
0.030763945435485;	0.020229969992608;	0.004425643569910;	0.009350988150389;
0.030408544254229;	0.021542642222951;	0.004814335061751;	0.010006728853032;
0.031004113856544;	0.022244944548685;	0.005268008032228;	0.010857791569147;
0.030015447891146;	0.021720438445604;	0.005795122186468;	0.011704328848608;
0.029392625054092;	0.021935941174817;	0.006268052713606;	0.012432636099027;
0.030639590295960;	0.023112641279046;	0.006701727792262;	0.013231461551720;
0.030627948970026;	0.023797480723399;	0.007257257752468;	0.014325028321573;
0.028958444861358;	0.023536150994387;	0.007881611410281;	0.014991220919735;
0.029540332196107;	0.023840173900400;	0.008593687423594;	0.015912163366379;
0.030680891314085;	0.024736734024982;	0.009286923266457;	0.016930241690635;
0.029267911860116;	0.024913248947545;	0.009934861246321;	0.017579846807047;
0.029289519271963;	0.024768415710289;	0.010830730190990;	0.018692440837603;
0.029239064613698;	0.025372905106777;	0.011612622273547;	0.019360372861639;
0.027916014633584;	0.026534733431561;	0.012506387575438;	0.020013137614851;
0.028689876319407;	0.026701205689829;	0.013345891852062;	0.021066376251102;
0.029679566369566;	0.026250840592859;	0.014415238145490;	0.021809605278265;
0.027155774676142;	0.025991471154962;	0.015473590554406;	0.022153088127303;
0.026712522475896;	0.026490920668782;	0.016724754831454;	0.022549144479240;
0.028519964505696;	0.027298073145332;	0.018148251936161;	0.023201550945691;
0.028305651591040;	0.027288332536712;	0.018978674404156;	0.023727918998493;
0.026607518382786;	0.027091868165602;	0.019566046383841;	0.024216329753187;
0.026520992103521;	0.026660899535475;	0.020231739642851;	0.024228925008731;
0.027430112970414;	0.026606636567619;	0.021301950364400;	0.024231914001798;
0.025633555115495;	0.027105851557304;	0.022148840198807;	0.024632213265742;
0.024562252830362;	0.026991031171626;	0.022974013198654;	0.025091864083864;
0.025309966960539;	0.026587987864485;	0.023647764706213;	0.025498176753248;
0.025418188615153;	0.026586019319673;	0.024224278476205;	0.025298337221775;
0.022950373338597;	0.026331797751614;	0.024828810640433;	0.025256669252634;
0.022719380490287;	0.025449328248004;	0.025053208883934;	0.025694787356926;
0.024210954454574;	0.024849187628146;	0.025395653505041;	0.025891219076675;
0.023192593084062;	0.024692107743247;	0.025416681454810;	0.025890213740431;
0.021354819731226;	0.024464729088407;	0.025881718560441;	0.025798378312730;
0.019733109122581;	0.024250993298858;	0.026217108521741;	0.025561486166781;
0.020352913758442;	0.023848004972973;	0.025786185903561;	0.025360794705889;
0.020837477657967;	0.023136147805734;	0.025318393337737;	0.024821135759386;
0.019618116628180;	0.022457809049870;	0.024906657416977;	0.024337201917221;
0.018172416167006;	0.021606123113831;	0.024704791923580;	0.024206303491663;
0.016374919590451;	0.020590590374372;	0.024294990697129;	0.023909425596913;
0.015984390710221;	0.020086400482028;	0.023753318724959;	0.023273335315378;
0.015860458135733;	0.019451999323476;	0.023439632671101;	0.022532537715005;
0.014596097296387;	0.018459465777279;	0.023155238379989;	0.021854632302280;
0.013236456532228;	0.017536072478683;	0.022821713733995;	0.021082166958903;
0.011205881723463;	0.016441561195773;	0.021968466055096;	0.020067661220471;
0.010662184172319;	0.015317493702844;	0.020757253669911;	0.019198359869176;
