0.021359144210258;	0.011947810908028;	0.006864772373565;	0.006922256896382;
0.002274853485706;	0.001619489984867;	0.000975031124787;	0.000836227268883;
0.047174892232439;	0.033705825133787;	0.020297250167148;	0.017383588515602;
0.041097585206391;	0.029566811349742;	0.017820708171826;	0.015169751699643;
0.037264474353202;	0.026927873710299;	0.016283422319801;	0.014480550369342;
0.034789485732880;	0.025054473086688;	0.015163461840868;	0.014481097274156;
0.032863774480327;	0.023638922590809;	0.014268408930849;	0.013254522658782;
0.031132293273704;	0.022495240332011;	0.013558621362325;	0.012005888992494;
0.029886106779272;	0.021513430575820;	0.012976723975654;	0.011909249551334;
0.028716187489859;	0.020669051900476;	0.012502158894178;	0.012020389777816;
0.027748664359407;	0.019922626491439;	0.012026998274995;	0.011404321688043;
0.027044275969248;	0.019392385980119;	0.011691672758975;	0.010977312999179;
0.026360464782200;	0.018982999045695;	0.011769187841853;	0.011255009437078;
0.025606859755651;	0.018514655524163;	0.011552477938315;	0.011073504293938;
0.025219994195261;	0.018271825679064;	0.011252481294494;	0.010813411043803;
0.024987254899422;	0.018165476602844;	0.011264247536777;	0.011116379183615;
0.024441094608791;	0.017814727088097;	0.011056470810378;	0.010958274860261;
0.024152678390768;	0.017659674758800;	0.010985089241285;	0.010903315248298;
0.023896296423911;	0.017527992083022;	0.010968567135102;	0.011075220345218;
0.023527018937393;	0.017258925119621;	0.010792943229210;	0.010928289397712;
0.023287894266388;	0.017217563454664;	0.010885970179532;	0.011078921548014;
0.023223587856951;	0.017332620802186;	0.011216792351857;	0.011281350363326;
0.023136013296086;	0.017305533084272;	0.011322680196016;	0.011364749267660;
0.022791814314681;	0.017184900805212;	0.011272252226371;	0.011420243267946;
0.022644048171681;	0.017090683981149;	0.011244926622899;	0.011470198362511;
0.022618100110380;	0.017141518238176;	0.011406974430503;	0.011633140542408;
0.022500546058061;	0.017267600507610;	0.011638918597429;	0.011801293408339;
0.022408930706956;	0.017226602275543;	0.011662618801449;	0.011929742000895;
0.022307604853743;	0.017242557303643;	0.011713766467458;	0.012041070233881;
0.022254130319266;	0.017319880443518;	0.011909479180660;	0.012242820221706;
0.022323362208486;	0.017420622333219;	0.012084566042485;	0.012419785738786;
0.022254761790761;	0.017421726452185;	0.012150469717894;	0.012573794301487;
0.022222811063147;	0.017594239223107;	0.012365258912509;	0.012821205587224;
0.022279411387737;	0.017716215712313;	0.012549344478616;	0.013015601770476;
0.022336252941740;	0.017783987156263;	0.012688767206188;	0.013242996781222;
0.022292751708822;	0.017948717789587;	0.012920704365554;	0.013492278371291;
0.022276354150239;	0.018029625426608;	0.013082553957862;	0.013685941859977;
0.022489746849128;	0.018226906753689;	0.013321715285219;	0.013993746567834;
0.022371102326849;	0.018337141877178;	0.013514951530946;	0.014222311877647;
0.022563443949301;	0.018531672719591;	0.013750778484588;	0.014511838122691;
0.022604683750554;	0.018660807005702;	0.013988400527916;	0.014787314025305;
0.022651852402757;	0.018886099719482;	0.014258504148768;	0.015103246586009;
0.022783534306432;	0.019087227885815;	0.014528555857552;	0.015425806950527;
0.022882003210228;	0.019252417697900;	0.014785617572638;	0.015728741329980;
0.022974264832661;	0.019499424875569;	0.015081133957248;	0.016074748391968;
0.023084301746051;	0.019700855400647;	0.015363872602231;	0.016402010220533;
0.023182917250873;	0.019908152418745;	0.015691511458348;	0.016782771521227;
0.023225014015803;	0.020094972086225;	0.015991385333329;	0.017123125328355;
0.023436443379572;	0.020370922858664;	0.016312802986838;	0.017477872928551;
0.023516086021078;	0.020599130343669;	0.016641747801925;	0.017853497263331;
0.023635865461247;	0.020837383792082;	0.016997441800487;	0.018241792259863;
0.023727074783033;	0.021057714942340;	0.017352648526364;	0.018604662848312;
0.023957272438927;	0.021346658200835;	0.017728227246689;	0.019020875616350;
0.023959298604758;	0.021551923466448;	0.018079795702111;	0.019392673183287;
0.024162096731955;	0.021830756228410;	0.018485096820525;	0.019818035338217;
0.024240145626344;	0.022053833790368;	0.018838293838961;	0.020177220548362;
0.024253152783117;	0.022297839253796;	0.019220660120983;	0.020548138178414;
0.024523013312034;	0.022620456906274;	0.019658949638249;	0.020985218100747;
0.024501073107676;	0.022743825252311;	0.020000003176266;	0.021306396398990;
0.024592935323422;	0.022986120914480;	0.020418674371334;	0.021706181738935;
0.024612164202396;	0.023198010510970;	0.020812180300565;	0.022038139003927;
0.024748234141023;	0.023431620307244;	0.021211126531352;	0.022380633012395;
0.024857985430997;	0.023651752993134;	0.021593379798456;	0.022738139992742;
0.024690591564488;	0.023737352674935;	0.021893414556210;	0.023018193553185;
0.024838680168541;	0.023946833594705;	0.022265909192427;	0.023341638219617;
0.024846422608154;	0.024063844796992;	0.022582355294764;	0.023574030531461;
0.024606692432046;	0.024109838986442;	0.022848351715517;	0.023778596045774;
0.024641279192573;	0.024275413318157;	0.023202269670736;	0.024075427141267;
0.024539006818821;	0.024298335787789;	0.023438217771671;	0.024261844998614;
0.024353375560270;	0.024264612858695;	0.023593697677000;	0.024345141007531;
0.024190288228496;	0.024272868813253;	0.023794334981973;	0.024482754157325;
0.023908848735650;	0.024142282630061;	0.023894159188154;	0.024548527481987;
0.023680750190165;	0.024000305924572;	0.023956351233150;	0.024547200695223;
0.023479040649588;	0.023910715973730;	0.024021308109619;	0.024556663264695;
0.022986696136492;	0.023647395318716;	0.023981894408380;	0.024432368697914;
0.022415534621927;	0.023312040298402;	0.023863905428128;	0.024225902388592;
0.022155153639784;	0.023063968222612;	0.023733881561135;	0.024047615096017;
0.021691795564374;	0.022668378877702;	0.023495172487883;	0.023742860171457;
0.020970970557589;	0.022125664045954;	0.023140202074455;	0.023317344385603;
0.020311234483704;	0.021575482452882;	0.022756975188916;	0.022877519240741;
0.019622576181268;	0.020989371499717;	0.022316969324351;	0.022379239079707;
0.018848265952295;	0.020314094828589;	0.021768096762046;	0.021751789627682;
0.018018318504254;	0.019557488751044;	0.021140394597872;	0.021034385814096;
0.017164872716584;	0.018752525059556;	0.020448932428081;	0.020269389586058;
0.016252490693914;	0.017877925414863;	0.019670322635065;	0.019414376430902;
0.015179036518944;	0.016890238699224;	0.018770681881987;	0.018444433014058;
0.014149856848361;	0.015864172805948;	0.017785704043381;	0.017425277389112;
0.013163921538662;	0.014817697033449;	0.016751362968534;	0.016332058700377;
0.012113727558178;	0.013728234437641;	0.015666763046704;	0.015185754826944;
0.011018253224571;	0.012597856726867;	0.014528536694015;	0.014005695710455;
0.009885975854458;	0.011433425079593;	0.013325320030637;	0.012772569089097;
0.008795244272770;	0.010279354010946;	0.012096134020383;	0.011539979271336;
0.007778347982418;	0.009147104032471;	0.010864306401317;	0.010302432094985;
0.006800391888748;	0.008041164153967;	0.009639348136993;	0.009093016906606;
0.005834010379125;	0.006965328203159;	0.008438761625112;	0.007897727566938;
0.004914562526490;	0.005933444059490;	0.007273917920519;	0.006751459347091;
0.004079923815280;	0.004976227600709;	0.006171190756411;	0.005695396379419;
0.003328560975108;	0.004101990855940;	0.005148655332427;	0.004707993592662;
0.002659460057075;	0.003311281438056;	0.004207011632929;	0.003811721887981;
0.002077556756581;	0.002615982331258;	0.003364998852253;	0.003025624402404;
0.001591066877731;	0.002018724904975;	0.002629745297188;	0.002344017582352;
0.001186069503963;	0.001520072313063;	0.002002349298494;	0.001766050891948;
0.000858071859574;	0.001113575975652;	0.001484356931109;	0.001294670975787;
0.000601518939381;	0.000789169049965;	0.001066236592940;	0.000918304582268;
0.000408321785965;	0.000541300401419;	0.000741113564523;	0.000626186187171;
0.000267780084557;	0.000358672726406;	0.000497031970059;	0.000419828074486;
0.000168376241125;	0.000227871926840;	0.000319846344393;	0.000263006600271;
0.000102088707949;	0.000139316292591;	0.000197868933929;	0.000160563987050;
0.000059510576905;	0.000081627363672;	0.000117064111982;	0.000093388329663;
0.000033386838248;	0.000045940789035;	0.000066089318454;	0.000052628705697;
0.000018432219604;	0.000025159354154;	0.000036156416644;	0.000028469153886;
0.000010235658638;	0.000013632377908;	0.000019263568545;	0.000015030980636;
0.000006020109319;	0.000007723412353;	0.000010441924259;	0.000008264125758;
0.000003932128718;	0.000004772314012;	0.000006013410621;	0.000005048355081;
0.000002929393316;	0.000003353506077;	0.000003946589305;	0.000003490581725;
0.000002445342831;	0.000002684173201;	0.000002972867079;	0.000002721435151;
0.000002197002420;	0.000002354910305;	0.000002490955557;	0.000002369088210;
0.000002053902182;	0.000002177270007;	0.000002264891769;	0.000002208287517;
0.000001951512814;	0.000002058557174;	0.000002131860148;	0.000002105949101;
0.000001863514505;	0.000001958418913;	0.000002010829262;	0.000001988305096;
0.000001779522990;	0.000001869190450;	0.000001914696801;	0.000001888251550;
0.000001707541670;	0.000001788479677;	0.000001831182211;	0.000001801861992;
0.000001640040778;	0.000001711248927;	0.000001746859388;	0.000001718015340;
0.000001572438604;	0.000001636653281;	0.000001670692881;	0.000001648046469;
0.000001501123824;	0.000001567287734;	0.000001592198069;	0.000001559129674;
0.000001415339507;	0.000001492656710;	0.000001517944152;	0.000001496412750;
0.000001296857073;	0.000001389731109;	0.000001444271546;	0.000001429719925;
0.000001127546137;	0.000001265002384;	0.000001363604529;	0.000001303865981;
0.000000902974262;	0.000001073662044;	0.000001210878858;	0.000001162386733;
0.000000647805638;	0.000000823344931;	0.000001008792923;	0.000000931170731;
0.000000410187268;	0.000000562172047;	0.000000750623028;	0.000000660148527;
0.000000226545526;	0.000000334239162;	0.000000487496569;	0.000000427207460;
0.000000108472361;	0.000000175076180;	0.000000282973629;	0.000000228005347;
0.000000044270183;	0.000000076118145;	0.000000128221340;	0.000000100296099;
0.000000015598009;	0.000000028666917;	0.000000052723917;	0.000000040578282;
0.000000004698631;	0.000000009362965;	0.000000019104825;	0.000000012849120;
0.000000001206936;	0.000000002429162;	0.000000004947977;	0.000000003355934;
0.000000000267996;	0.000000000566881;	0.000000001199408;	0.000000000804081;
0.000000000051046;	0.000000000109956;	0.000000000239037;	0.000000000150622;
0.000000000008349;	0.000000000018093;	0.000000000040175;	0.000000000023887;
0.000000000001136;	0.000000000002412;	0.000000000005094;	0.000000000003190;
0.000000000000137;	0.000000000000284;	0.000000000000111;	0.000000000000377;
0.000000000000011;	0.000000000000029;	0.000000000000091;	0.000000000000035;
0.000000000000005;	0.000000000000014;	0.000000000000072;	0.000000000000018;
0.000000000000004;	0.000000000000008;	0.000000000000055;	0.000000000000009;
0.000000000000002;	0.000000000000001;	0.000000000000039;	0.000000000000001;
0.000000000000005;	0.000000000000005;	0.000000000000026;	0.000000000000005;
0.000000000000005;	0.000000000000005;	0.000000000000014;	0.000000000000006;
0.000000000000004;	0.000000000000004;	0.000000000000006;	0.000000000000005;
0.000000000000003;	0.000000000000003;	0.000000000000006;	0.000000000000003;
