0.002962864093212;	0.001680536052182;	0.000977381330799;	0.000492237507776;
0.002331166417203;	0.001579357569712;	0.000911663150283;	0.000781898061876;
0.048251222303237;	0.032905680678350;	0.018978201682882;	0.016254186140470;
0.041928988278813;	0.028891339373720;	0.016662726439972;	0.014184209836919;
0.037907177424626;	0.026331703509323;	0.015225425011537;	0.013539791842652;
0.035500995923248;	0.024526858433640;	0.014177747271856;	0.013992656136745;
0.033641279025765;	0.023173603269803;	0.013340961031596;	0.012791378281257;
0.031714793331418;	0.022098748611262;	0.012677833204718;	0.011246628940045;
0.030578010220375;	0.021148365496400;	0.012133776410704;	0.011159242843200;
0.029340464056767;	0.020312976087364;	0.011690048186722;	0.011281303682893;
0.028406294733110;	0.019594370501609;	0.011245763502229;	0.010707105426433;
0.027698853430374;	0.019085543112582;	0.010932220960610;	0.010296787707501;
0.026963636104547;	0.018671946170406;	0.011340993409123;	0.010571250680226;
0.026205053439782;	0.018224360716269;	0.011130590192031;	0.010414613046397;
0.025779729794004;	0.017988959886210;	0.010526582725475;	0.010164483716727;
0.025631305339173;	0.017920630284972;	0.010543595123197;	0.010459216405354;
0.025055228822266;	0.017563265770290;	0.010351697720731;	0.010321494866598;
0.024742127696257;	0.017442554583442;	0.010288235276622;	0.010269875625479;
0.024524207148763;	0.017278904560849;	0.010273312890984;	0.010440915353281;
0.024195819790441;	0.017033985534759;	0.010107645892334;	0.010310350156630;
0.023851092192988;	0.016986494963523;	0.010196481076970;	0.010459821303580;
0.023829353199874;	0.017097004956460;	0.010520548320067;	0.010658134129429;
0.023789984233301;	0.017104369859175;	0.010631457418847;	0.010743424988449;
0.023341580390178;	0.016980328148622;	0.010584910374431;	0.010806259730625;
0.023247546444361;	0.016919104170967;	0.010561545283306;	0.010864200024576;
0.023254881068378;	0.016973682907150;	0.010720191426902;	0.011027232613664;
0.023036719591700;	0.017107165988885;	0.010949016696923;	0.011199695444209;
0.022978847537484;	0.017106552734864;	0.010978538924367;	0.011331099654561;
0.022923749552889;	0.017191842630576;	0.011029835130972;	0.011446062972787;
0.022807234186396;	0.017201722043070;	0.011222412636396;	0.011654996458656;
0.022935721665705;	0.017330664650527;	0.011399887968555;	0.011831134433177;
0.022897888881594;	0.017327133294800;	0.011466292763100;	0.011994967396605;
0.022709275146180;	0.017538894369344;	0.011675101027862;	0.012247589853081;
0.022859250931025;	0.017710161368424;	0.011863004074434;	0.012447241981321;
0.022978151148267;	0.017734449159647;	0.012002411014994;	0.012684502758558;
0.022789052894074;	0.017949004677508;	0.012231380081678;	0.012943175306839;
0.022820881913824;	0.018050026107601;	0.012397587230537;	0.013148075427869;
0.023123207732325;	0.018219447959158;	0.012634037707851;	0.013471574082792;
0.022900876232099;	0.018394867162355;	0.012829710356910;	0.013715246026700;
0.023104952720364;	0.018579434339332;	0.013062680366930;	0.014018486619343;
0.023193211421960;	0.018684216012318;	0.013305779527103;	0.014308583792965;
0.023129203720336;	0.018975134964236;	0.013579390459633;	0.014645291178003;
0.023285237328898;	0.019179530708378;	0.013849838443137;	0.015005426038735;
0.023415020366149;	0.019329034010568;	0.014115412382087;	0.015320511094294;
0.023476799759797;	0.019648277536898;	0.014417230735715;	0.015688300493768;
0.023617680888058;	0.019881249969522;	0.014711762645833;	0.016049765333762;
0.023647041457227;	0.020040569344457;	0.015052410690026;	0.016462093421184;
0.023643829004619;	0.020229586719346;	0.015363881480960;	0.016827867205084;
0.023923820965338;	0.020565400766681;	0.015692786076011;	0.017213442120374;
0.023997871597355;	0.020823123978032;	0.016037662232109;	0.017636522176229;
0.024001192474254;	0.021029182830232;	0.016410545337370;	0.018043446346649;
0.024126866475243;	0.021255351128370;	0.016790819824918;	0.018445626321513;
0.024412871830608;	0.021583871484786;	0.017186241117657;	0.018900686905566;
0.024321394679011;	0.021787426177089;	0.017559045127051;	0.019292510630419;
0.024511863351009;	0.022038918206019;	0.017995800115928;	0.019764523621280;
0.024581667420478;	0.022288088785795;	0.018378380738770;	0.020144249163361;
0.024507016029385;	0.022591210544271;	0.018794199265969;	0.020533265063538;
0.024811694516906;	0.022903947897238;	0.019259661440109;	0.021010130955150;
0.024852731767177;	0.022989550061959;	0.019649712644566;	0.021358751541740;
0.024781801180424;	0.023199118274916;	0.020109950728948;	0.021754621405221;
0.024766229371803;	0.023430330259522;	0.020562452222114;	0.022089627497821;
0.025005768128836;	0.023700418003368;	0.021027206143750;	0.022450577117585;
0.025093133920018;	0.023905028795739;	0.021439303775301;	0.022817992689757;
0.024827245392546;	0.023971663403401;	0.021758427750808;	0.023112314415204;
0.024958723787572;	0.024139502353910;	0.022150718250284;	0.023418465372574;
0.025024066516521;	0.024244195626065;	0.022517579781110;	0.023637381230081;
0.024685611130213;	0.024318404834603;	0.022821095687202;	0.023853291075719;
0.024642232198951;	0.024465022247065;	0.023206697976274;	0.024157594007712;
0.024596075838859;	0.024458949294891;	0.023470727011009;	0.024355604221196;
0.024428251468047;	0.024426681873544;	0.023654104935879;	0.024418959633930;
0.024121635818036;	0.024416988151837;	0.023880147618646;	0.024543651710716;
0.023843533019795;	0.024235915781210;	0.023987309718843;	0.024633128613025;
0.023719975066059;	0.024062443271649;	0.024066591292361;	0.024644009611368;
0.023465557646376;	0.023967350940493;	0.024127332610895;	0.024651968594851;
0.022885054184572;	0.023705382619789;	0.024120279170381;	0.024528753817500;
0.022242646307686;	0.023377465536532;	0.024029369418297;	0.024319137288533;
0.022044432675686;	0.023119041578196;	0.023877699965277;	0.024138254118214;
0.021639025563153;	0.022701842501975;	0.023622036184591;	0.023817361095177;
0.020885489068474;	0.022149422293350;	0.023261470294680;	0.023387221213214;
0.020175572432198;	0.021579047154958;	0.022888492423610;	0.022966921185782;
0.019412740953362;	0.020964251088916;	0.022449042252124;	0.022481313945372;
0.018664444418566;	0.020300520295369;	0.021899616440203;	0.021852793905713;
0.017878932405452;	0.019551934197752;	0.021291701122268;	0.021133404944934;
0.016999024036207;	0.018734129228326;	0.020626140226969;	0.020373705599369;
0.016057160951061;	0.017856052168586;	0.019876152869747;	0.019523982177059;
0.014922985725478;	0.016861304327795;	0.018979001956643;	0.018550939462503;
0.013927258178048;	0.015828791244729;	0.017979035253455;	0.017541430195178;
0.012998824388198;	0.014770507571209;	0.016943035614689;	0.016430095089199;
0.011932717920590;	0.013658081748385;	0.015862079987144;	0.015264845031714;
