0.00628;	0.00346;	0.00197;	0.00099;
0.00732;	0.00420;	0.00240;	0.00118;
0.00809;	0.00475;	0.00273;	0.00132;
0.00877;	0.00525;	0.00303;	0.00145;
0.00942;	0.00572;	0.00330;	0.00157;
0.01004;	0.00618;	0.00358;	0.00170;
0.01066;	0.00663;	0.00384;	0.00182;
0.01127;	0.00707;	0.00411;	0.00194;
0.01189;	0.00752;	0.00438;	0.00207;
0.01251;	0.00797;	0.00464;	0.00219;
0.01315;	0.00843;	0.00492;	0.00233;
0.01380;	0.00890;	0.00520;	0.00247;
0.01447;	0.00939;	0.00550;	0.00261;
0.01516;	0.00990;	0.00581;	0.00277;
0.01587;	0.01042;	0.00613;	0.00293;
0.01661;	0.01097;	0.00647;	0.00310;
0.01736;	0.01152;	0.00681;	0.00328;
0.01817;	0.01213;	0.00719;	0.00347;
0.01899;	0.01275;	0.00760;	0.00368;
0.01985;	0.01340;	0.00802;	0.00389;
0.02075;	0.01409;	0.00848;	0.00413;
0.02169;	0.01482;	0.00896;	0.00437;
0.02268;	0.01558;	0.00947;	0.00464;
0.02370;	0.01637;	0.01001;	0.00492;
0.02479;	0.01722;	0.01059;	0.00522;
0.02592;	0.01811;	0.01122;	0.00554;
0.02711;	0.01906;	0.01188;	0.00588;
0.02837;	0.02007;	0.01259;	0.00626;
0.02967;	0.02112;	0.01335;	0.00665;
0.03109;	0.02225;	0.01417;	0.00708;
0.03253;	0.02344;	0.01504;	0.00754;
0.03409;	0.02472;	0.01598;	0.00803;
0.03572;	0.02606;	0.01698;	0.00856;
0.03744;	0.02749;	0.01807;	0.00914;
0.03928;	0.02903;	0.01923;	0.00975;
0.04119;	0.03064;	0.02048;	0.01041;
0.04324;	0.03238;	0.02183;	0.01113;
0.04538;	0.03422;	0.02328;	0.01190;
0.04767;	0.03619;	0.02485;	0.01274;
0.05008;	0.03828;	0.02653;	0.01363;
0.05263;	0.04051;	0.02835;	0.01460;
0.05534;	0.04290;	0.03031;	0.01564;
0.05820;	0.04544;	0.03242;	0.01677;
0.06125;	0.04816;	0.03470;	0.01798;
0.06443;	0.05104;	0.03715;	0.01928;
0.06787;	0.05414;	0.03980;	0.02069;
0.07143;	0.05741;	0.04264;	0.02220;
0.07527;	0.06094;	0.04572;	0.02383;
0.07926;	0.06466;	0.04902;	0.02558;
0.08355;	0.06866;	0.05259;	0.02746;
0.08800;	0.07287;	0.05641;	0.02947;
0.09278;	0.07739;	0.06053;	0.03164;
0.09773;	0.08215;	0.06493;	0.03395;
0.10302;	0.08723;	0.06966;	0.03643;
0.10852;	0.09259;	0.07471;	0.03906;
0.11431;	0.09826;	0.08011;	0.04187;
0.12039;	0.10426;	0.08588;	0.04486;
0.12670;	0.11055;	0.09200;	0.04803;
0.13334;	0.11719;	0.09850;	0.05139;
0.14017;	0.12411;	0.10537;	0.05492;
0.14730;	0.13137;	0.11263;	0.05864;
0.15465;	0.13891;	0.12026;	0.06253;
0.16217;	0.14672;	0.12824;	0.06660;
0.16996;	0.15482;	0.13659;	0.07083;
0.17783;	0.16312;	0.14524;	0.07520;
0.18580;	0.17159;	0.15416;	0.07969;
0.19391;	0.18023;	0.16335;	0.08429;
0.20195;	0.18894;	0.17271;	0.08896;
