0.000000000000000;	0.006005845010659;	0.000000000000000;	0.000000000000000;
0.001184405395546;	0.000868966818431;	0.000614130544277;	0.000555852329942;
0.001019680944159;	0.000756967859034;	0.000538061120441;	0.000484126867822;
0.000944237463496;	0.000702804346170;	0.000503325459191;	0.000452683978034;
0.000912301156090;	0.000673316351951;	0.000479651481642;	0.000430527408584;
0.000883624179152;	0.000653492798198;	0.000468427292518;	0.000430005378370;
0.000983077633614;	0.000762901362551;	0.000582500295641;	0.002156044471887;
0.000846893282016;	0.000633302335540;	0.000454783678422;	0.000414794124938;
0.000836288555141;	0.000628708119293;	0.000450936401924;	0.000411350169231;
0.000867788182822;	0.000645118460477;	0.000456792681078;	0.000421625847666;
0.000848995629635;	0.000641254630723;	0.000457881593868;	0.000454797202504;
0.000865562072890;	0.000652963707189;	0.000467713825760;	0.000500594627466;
0.000854808448399;	0.000643822513600;	0.000457066147300;	0.000422781333361;
0.000860032084440;	0.000653509759781;	0.000466542752143;	0.000431577888255;
0.000903974988056;	0.000682883723821;	0.000483245180236;	0.000475041075826;
0.001124727918070;	0.001351298019303;	0.002326447705104;	0.000802042031492;
0.000921427961803;	0.000703780325342;	0.000496782729773;	0.000470748594513;
0.000927314542498;	0.000720345633611;	0.000518907158888;	0.000480386039239;
0.000963826826153;	0.000742058259268;	0.000532999781120;	0.000533831391217;
0.001008992284786;	0.000771473452469;	0.000551821335007;	0.000559409487548;
0.001007269818844;	0.000769424802447;	0.000551654307883;	0.000524789239255;
0.001004931752663;	0.000801899693329;	0.000577421802067;	0.000561112094648;
0.001087610090683;	0.000827321952058;	0.000594975647920;	0.000615794972509;
0.001088705294357;	0.000854889663750;	0.000606651443066;	0.000582415518572;
0.001116596954435;	0.000858251545596;	0.000622526224078;	0.000626637173022;
0.001140879727493;	0.000918801914036;	0.000661376633689;	0.000669672885331;
0.001211608426298;	0.000927992953747;	0.000682892095161;	0.000663704564155;
0.001251665266015;	0.001004297795672;	0.000731691208529;	0.000729595879521;
0.001192899187660;	0.000952247926349;	0.000707623850466;	0.000711767794252;
0.001345239755933;	0.001065059235814;	0.000772728419188;	0.000769048910565;
0.001320485459221;	0.001046576644476;	0.000773867525357;	0.000793920860030;
0.001370374620597;	0.001122361547629;	0.000833575960038;	0.000825627759588;
0.001443033964754;	0.001140554788194;	0.000845278574576;	0.000869359068766;
0.001477394584439;	0.001207554558626;	0.000901797211454;	0.000904719756242;
0.001479179538657;	0.001208517811180;	0.000907546267760;	0.000937666612330;
0.001627813894480;	0.001319516346836;	0.000975570172082;	0.000997700946637;
0.001579980799298;	0.001315944100474;	0.001001461596601;	0.001029790312036;
0.001696180014862;	0.001392715708487;	0.001053479964106;	0.001094543373339;
0.001761822601556;	0.001446981900338;	0.001096134896100;	0.001139892222433;
0.001743814241351;	0.001469098875456;	0.001126958182364;	0.001195411395293;
0.001939157262167;	0.001603327240233;	0.001218704427495;	0.001271227511802;
0.001932619464345;	0.001604667358068;	0.001238042025066;	0.001312835482591;
0.001949966992413;	0.001667556233257;	0.001293684210114;	0.001364512355748;
0.002156052213704;	0.001787148029718;	0.001382370938315;	0.001454096686562;
0.002156097340141;	0.001814705516921;	0.001414897285703;	0.001492540101239;
0.002208051875372;	0.001914336215230;	0.001504441040726;	0.001589039593136;
0.002373377809682;	0.001991679040310;	0.001566830683710;	0.001645761019785;
0.002452790123933;	0.002070817072861;	0.001630921207531;	0.001722538514487;
0.002439612578536;	0.002159213557034;	0.001737467978353;	0.001817856587139;
0.002638118991366;	0.002238503060476;	0.001794406136862;	0.001884041006811;
0.002752435752658;	0.002363683094397;	0.001890372462575;	0.001991164963884;
0.002765882336570;	0.002453885958558;	0.002008817557487;	0.002083614745168;
0.002945306576346;	0.002531396088022;	0.002064093007342;	0.002168718215890;
0.003094203540776;	0.002692341184390;	0.002204467150739;	0.002292051899597;
0.003096135409357;	0.002765930742224;	0.002297932780909;	0.002390367397297;
0.003308099714051;	0.002893328542524;	0.002411975951627;	0.002531847112598;
0.003476062673647;	0.003057874029435;	0.002555000196781;	0.002648984859807;
0.003492176411228;	0.003145557084282;	0.002667075929179;	0.002772305107858;
0.003719873421232;	0.003286485211054;	0.002799695650923;	0.002902034565605;
0.003880917157343;	0.003469573413732;	0.002962248818830;	0.003044012230193;
0.003933319103544;	0.003598065958938;	0.003117700706887;	0.003177890268519;
0.004243520776507;	0.003783240859741;	0.003260495446956;	0.003350164300433;
0.004328728138504;	0.003901602928056;	0.003429934572941;	0.003516876349879;
0.004445698200014;	0.004085443241608;	0.003592580994083;	0.003651823354097;
0.004770904123509;	0.004328559737671;	0.003786123122040;	0.003885755748488;
0.004961635313258;	0.004489319355857;	0.003945790984000;	0.004042869407879;
0.004969550555686;	0.004598254529296;	0.004100030934139;	0.004221190536453;
0.005444424641166;	0.004959610579603;	0.004397432778522;	0.004508980091661;
0.005512044815728;	0.005073299924127;	0.004521561224025;	0.004649341342552;
0.005601304195654;	0.005257313131265;	0.004750664862633;	0.004871774460214;
0.006115487276504;	0.005594232200768;	0.005032144664750;	0.005200078547866;
0.006285196993795;	0.005823658951833;	0.005261434933087;	0.005356432926372;
0.006242863901303;	0.005987036973276;	0.005473950349923;	0.005604318591289;
0.006810125034592;	0.006368804713217;	0.005776784588610;	0.005968549674192;
0.007121710131000;	0.006625105183736;	0.006050363853061;	0.006217802203548;
0.007304523808408;	0.006814171696833;	0.006276783369758;	0.006448155087461;
0.007454587582826;	0.007147956493340;	0.006616079249850;	0.006795714555499;
0.007959925685352;	0.007510422676988;	0.006931629062598;	0.007095580662346;
0.008162012067262;	0.007784389399319;	0.007243777848411;	0.007415522720773;
0.008216075149400;	0.008013166673620;	0.007528705184021;	0.007738556942691;
0.008856300815363;	0.008442400047106;	0.007949427725286;	0.008120396041144;
0.009198016040993;	0.008820486030093;	0.008398979138311;	0.008471914674632;
0.009503961911024;	0.009163806422718;	0.008716375513598;	0.008869804543764;
0.009588589299760;	0.009450517787290;	0.009018745554509;	0.009253195793642;
0.010298509967602;	0.009908540562876;	0.009393055451938;	0.009593080821755;
0.010464128779958;	0.010180506770981;	0.009763568050959;	0.009975664172804;
0.010873532246699;	0.010561212996846;	0.010179518562441;	0.010422084581907;
0.010999685284505;	0.010910987508981;	0.010588491826871;	0.010819485844711;
0.011591343702086;	0.011393990149009;	0.011046685310004;	0.011236151310143;
0.011945731058468;	0.011752458614150;	0.011380810347371;	0.011672300246652;
0.012256139985554;	0.012160890019337;	0.011905171181446;	0.012037014024495;
0.012353542219866;	0.012441528116188;	0.012257672246591;	0.012457444211719;
0.012778582241220;	0.012814657041955;	0.012689335869777;	0.012884852830627;
0.013308766778767;	0.013239565912421;	0.013105722578903;	0.013315816621316;
0.013633568812563;	0.013617757037000;	0.013532664715451;	0.013752351165693;
0.013872313214677;	0.013968425440850;	0.013929465443845;	0.014135209937663;
0.013791845369534;	0.014133691711918;	0.014254150077380;	0.014429770311458;
0.014437789414444;	0.014574855226351;	0.014658320925593;	0.014828164397951;
0.014634225536816;	0.014873279277182;	0.015091683390709;	0.015173282676692;
