0.000000000000000;	0.011356493192142;	0.006841486043211;	0.006686150179879;
0.001335662669749;	0.000408176726660;	0.000000000000000;	0.000000000000000;
0.001121635500278;	0.000412616705227;	0.000000000000000;	0.000000000000000;
0.001013996816883;	0.000352161305772;	0.000000000000000;	0.000000000000000;
0.001015030918887;	0.000354384988771;	0.000000000000000;	0.000000000000000;
0.000966360377510;	0.000343800307196;	0.000000000000000;	0.002034800565849;
0.000926089775066;	0.000345052242769;	0.000000000000000;	0.004069601131699;
0.000903454119599;	0.000351207531302;	0.000000000000000;	0.000006130898728;
0.000881599585197;	0.000363715674745;	0.000000000000000;	0.000008212766150;
0.000959305485511;	0.000400378364040;	0.000000000000000;	0.000024008398690;
0.000899449728174;	0.000398267004344;	0.000000000000000;	0.000093454747933;
0.000909981166108;	0.000394312039939;	0.000000000000000;	0.000171808408247;
0.000913202701563;	0.000405533046397;	0.000000000000000;	0.000013938337308;
0.000886151917794;	0.000422068173567;	0.000000000000000;	0.000016672959820;
0.000974920355511;	0.000457854311058;	0.002399128390867;	0.000081889224909;
0.000994426631945;	0.000449659627312;	0.004798256781734;	0.000170024170136;
0.000981077651605;	0.000489916013167;	0.000000000102495;	0.000035813874702;
0.000941002244998;	0.000500251731459;	0.000014286990859;	0.000031603912185;
0.000992467555836;	0.000501341768811;	0.000009726739684;	0.000110961382078;
0.001084673545123;	0.000548699371768;	0.000013006919615;	0.000146206002310;
0.001069965641320;	0.000520455468011;	0.000011190013228;	0.000038906966092;
0.000970347396695;	0.000623132875096;	0.000011734992279;	0.000093062689854;
0.001165174787872;	0.000553577729551;	0.000009593943627;	0.000170976598028;
0.001143500623352;	0.000685652270301;	0.000013009896694;	0.000060765798024;
0.001145905142240;	0.000573042584365;	0.000010994808405;	0.000118924009765;
0.001118525196059;	0.000744765427548;	0.000013887600115;	0.000179935171572;
0.001304838116388;	0.000630983422743;	0.000043880456750;	0.000080897021001;
0.001238093987379;	0.000806989935075;	0.000036814120346;	0.000220959004238;
0.001147622111729;	0.000690195464009;	0.000035871284519;	0.000314474926983;
0.001404072396285;	0.000836746322408;	0.000036672550278;	0.000275904831258;
0.001306601442006;	0.000750009839113;	0.000045234560015;	0.000304828381850;
0.001298420644821;	0.000890197291542;	0.000056069016318;	0.000329524041802;
0.001492619661033;	0.000817506171198;	0.000060433622230;	0.000357597240303;
0.001417894173441;	0.000942930057142;	0.000076703259131;	0.000368080056924;
0.001400681676165;	0.000882199150698;	0.000075731868416;	0.000395983331990;
0.001650249275349;	0.001046975691841;	0.000087596615225;	0.000421015827396;
0.001438855482897;	0.000999107362426;	0.000100738689601;	0.000435825485150;
0.001668548724331;	0.001048626020963;	0.000126916583336;	0.000487276558653;
0.001707599595119;	0.001075425694523;	0.000129786571240;	0.000477962829502;
0.001580287165004;	0.001123477935981;	0.000148637959380;	0.000563682759335;
0.001908341558175;	0.001231542232867;	0.000167029865713;	0.000535511694206;
0.001857406025765;	0.001168401932962;	0.000195809937344;	0.000606236546194;
0.001718079270411;	0.001292107164950;	0.000201230326137;	0.000628241700898;
0.002099525993877;	0.001284978896150;	0.000237168326427;	0.000651392708032;
0.002058099540795;	0.001356712037285;	0.000265401596538;	0.000700899349630;
0.001920105368164;	0.001488632038617;	0.000288992448300;	0.000766695301019;
0.002290036134297;	0.001428692448676;	0.000474403759667;	0.000754619982018;
0.002356741373199;	0.001554167896372;	0.000574292122869;	0.000836215342092;
0.001987386351366;	0.001655771261727;	0.000627285626111;	0.000880717789031;
0.002524914144329;	0.001603183126168;	0.000681523028850;	0.000918649947473;
0.002580607143918;	0.001799995856940;	0.000716329954093;	0.000993292992327;
0.002318665351557;	0.001851583040412;	0.000807404006525;	0.001016575170685;
0.002746498475851;	0.001826421335910;	0.000821044753804;	0.001097078433556;
0.002801253104889;	0.002022683585952;	0.000894669240530;	0.001143524646040;
0.002599336815291;	0.002083559813878;	0.000922592929253;	0.001222090818004;
0.003017750871613;	0.002094503261257;	0.001025856119276;	0.001363284051929;
0.003092894327879;	0.002263912134081;	0.001064994228351;	0.001376414035883;
0.002913792038924;	0.002361221033861;	0.001132304116367;	0.001505490052055;
0.003289272797687;	0.002337135103891;	0.001207233394531;	0.001554452894195;
0.003352037527295;	0.002589640708929;	0.001275370631242;	0.001612519053793;
0.003254428505950;	0.002767604670858;	0.001414543336550;	0.001726037273679;
0.003733150807392;	0.002751944862349;	0.001426074186220;	0.001823819160903;
0.003627113255311;	0.002742316519220;	0.001602883845479;	0.001949337922410;
0.003624012720101;	0.003082644048788;	0.001688635692493;	0.002007572727566;
0.004088994614560;	0.003259019470486;	0.001757523716179;	0.002178939450973;
0.004282187270965;	0.003301552709034;	0.001860518043476;	0.002268401337120;
0.003968128527557;	0.003324664957961;	0.001958686646354;	0.002434674060186;
0.004620335404561;	0.003619668374422;	0.002175264519435;	0.002610889062446;
0.004544117227042;	0.003763794200295;	0.002216404585405;	0.002715960426462;
0.004321406527252;	0.003898206976651;	0.002396576647813;	0.002865353916705;
0.005168493179523;	0.003974946326538;	0.002556980533839;	0.003093856553255;
0.005247685699886;	0.004293892530466;	0.002749945973035;	0.003150620011382;
0.004609085878819;	0.004521179197665;	0.002865897523543;	0.003383827694648;
0.005553263146914;	0.004733150831733;	0.003018760632639;	0.003684537617136;
0.005872999195749;	0.004843228120890;	0.003275445012471;	0.003827144960353;
0.005924267163892;	0.004833902058597;	0.003431030606081;	0.003929806717721;
0.005551949728737;	0.005283680935439;	0.003597343462907;	0.004203290376978;
0.006451120872217;	0.005534138331834;	0.003886438420653;	0.004426683565017;
0.006438077968046;	0.005745425301358;	0.004133066692500;	0.004683671329382;
0.005882519414569;	0.006026353122628;	0.004241158888880;	0.004974864500573;
0.007014950623036;	0.006025301307464;	0.004663142142807;	0.005144801939665;
0.007279693437288;	0.006424793420853;	0.005345581904775;	0.005520593161286;
0.007361043302336;	0.006737569466987;	0.005418304669680;	0.005843855030547;
0.006769098945892;	0.007060186641050;	0.005414463834180;	0.006160544991782;
