0.600419651022569;	0.100751173046541;	0.086749159833144;	0.074530700426168;	0.087673635419667;	0.120412366535928;	0.055179539459302;	0.241806418824061;	0.486822890372896;	0.073574648741906;	0.069546405997985;	0.045025198756378;	0.045012384853767;	0.040431735991882;	0.046494341027048;	0.042698975052198;	0.047799493035816;	0.047789362016450;	0.048433646022880;	0.051719867407129;	0.048210285542534;	0.053857344315016;	0.057763283793429;	0.056085007064698;	0.059299348482421;	0.063835881560705;	0.069571927564535;	0.067054165782169;	0.072794686827647;	0.078280008588717;	0.085329559560335;	0.089612339256581;	0.091832383530551;	0.092797691197060;	0.097736546893558;	0.106337415002636;	0.113327739207786;	0.121098099000840;	0.128406368083898;	0.135874083872308;	0.136051587777391;	0.142920046902151;	0.136132111155410;	0.139189185187879;	0.143463114810891;	0.148559034280989;	0.152597181717626;	0.159505865272191;	0.164956856544711;	0.172219080313114;	0.173155005148619;	0.179221300722361;	0.185292088461752;	0.193087797350181;	0.198857521693254;	0.205797621458686;	0.212541502100708;	0.219215484683781;	0.237760377226270;	0.236653608177638;	0.243027505108879;	0.251057919649675;	0.260098461020204;	0.265023321461106;	0.274464275431906;	0.279725813063962;	0.288321511989744;	0.302692061345782;	0.320455424277369;	0.338225961138517;	0.355413543069994;	0.374422030332175;	0.399220201523975;	0.426021333565270;	0.450809490102593;	0.491111348768955;	0.533921180554373;	0.570160652154663;	0.614274620612619;	0.731879989712483
0.615878189779523;	0.115064492218175;	0.099261379037797;	0.085450100414728;	0.101843166889364;	0.133136599443245;	0.063641020469814;	0.249043007866128;	0.495756156788419;	0.081171507704168;	0.075997298379342;	0.052021781836949;	0.051952273276686;	0.046741318399477;	0.053553475345731;	0.049261256022986;	0.054958325167568;	0.054926677285521;	0.055581299363783;	0.059250864706844;	0.055274952498878;	0.061532496069916;	0.065900262050550;	0.063922058463984;	0.067468030331468;	0.072501742135461;	0.078806987318264;	0.075941305599165;	0.082201477898271;	0.088234710101339;	0.095922783583594;	0.100633127835568;	0.102962397794426;	0.103890207290592;	0.109272703028609;	0.118571387575598;	0.126125462148387;	0.134496171118727;	0.142366281876740;	0.150391172468100;	0.150698660564552;	0.158083995400796;	0.150685660810152;	0.153918099137828;	0.158543084858916;	0.164036699662795;	0.168412189906862;	0.175811633702524;	0.181667794008643;	0.189421110780592;	0.190531097206125;	0.197022885250175;	0.203509072049962;	0.211793737043244;	0.217948768048935;	0.225323530142686;	0.232482865442683;	0.239559654086436;	0.244606679972886;	0.243526685964358;	0.250074185880894;	0.258299184168169;	0.267548330852220;	0.272640700564176;	0.282304763854510;	0.287675874755230;	0.296489398651243;	0.311139153166746;	0.329217695785622;	0.347297802118817;	0.364791201793628;	0.384101169134581;	0.409226210634499;	0.436335186216078;	0.461396848326913;	0.501943724511171;	0.544906803382844;	0.581073685352910;	0.625217232484309;	0.750673107945960
0.635057578770691;	0.133146092706858;	0.114348619505890;	0.098242641661347;	0.118018893603530;	0.146865291911654;	0.072869427207026;	0.256782176435418;	0.504644410812225;	0.088981693874659;	0.082552718171340;	0.059015619621599;	0.058784825579766;	0.052889682846728;	0.060315209557100;	0.055490640352534;	0.061650052315100;	0.061527126893372;	0.062110225881126;	0.066049405620870;	0.061596482172670;	0.068306723506044;	0.073004040271026;	0.070693072489169;	0.074443929630720;	0.079819844128010;	0.086513464336281;	0.083285243016026;	0.089876792821935;	0.096267245154801;	0.104364577823701;	0.109322876982367;	0.111638994050334;	0.112435945030728;	0.118057461478262;	0.127770176048467;	0.135630602878901;	0.144323124376453;	0.152480234728840;	0.160778738239431;	0.161068858942297;	0.168686755028114;	0.160748647975383;	0.163970648861934;	0.168704053698622;	0.174330033986394;	0.178793988308169;	0.186369607284421;	0.192337279907471;	0.200242368325769;	0.201312384359024;	0.207904414679302;	0.214478292822833;	0.222883763293575;	0.229093087429785;	0.236541517843478;	0.243754551099932;	0.250868701320913;	0.259570227218754;	0.258379495502048;	0.265117631165887;	0.273561294331372;	0.283041714470968;	0.288270015045786;	0.298159188825962;	0.303502802601127;	0.312482702259266;	0.327382589476326;	0.345744762693193;	0.364061415224076;	0.381753564130486;	0.401230098209677;	0.426544346548209;	0.453794852053238;	0.478944571875765;	0.519540840042734;	0.562424934247875;	0.598170297739674;	0.642080324799341;	0.762800271067617
0.655773023259120;	0.155013446406927;	0.132754612758859;	0.113843099532385;	0.137729748619075;	0.163059259220405;	0.084113290687695;	0.266219621362450;	0.514928494435350;	0.098474674513073;	0.090559118220752;	0.067551331778400;	0.067116972069768;	0.060413266297519;	0.068558114429322;	0.063111913781293;	0.069813614455022;	0.069590669179469;	0.070083834896288;	0.074352732517203;	0.069339000627958;	0.076588869456640;	0.081696007144132;	0.078989455138065;	0.082993686776208;	0.088796585476270;	0.095969422427370;	0.092318531382249;	0.099316836005752;	0.106162403659185;	0.114769478684644;	0.120060165490783;	0.122381777528166;	0.123036131458169;	0.128979093117195;	0.139224970391174;	0.147493206030856;	0.156615239501785;	0.165166865573828;	0.173847287278601;	0.174180265111086;	0.182139574007801;	0.173581258744025;	0.176837964615507;	0.181765635856575;	0.187619938496393;	0.192263053585009;	0.200130025836676;	0.206324232534047;	0.214516869404033;	0.215642484682404;	0.222465270136709;	0.229252804730490;	0.237918524822840;	0.244308623107650;	0.251969924480936;	0.259375773740422;	0.266667776930999;	0.275277343435749;	0.273931011818847;	0.280820313077229;	0.289441392848671;	0.299113048565455;	0.304447452821342;	0.314532414045030;	0.319817463888598;	0.328948519627684;	0.344086686350015;	0.362732315627970;	0.381297832175463;	0.399215277440531;	0.418878988495605;	0.444401502206045;	0.471804173299083;	0.497040328231156;	0.537631247667148;	0.580342213015076;	0.615592529131460;	0.659193085160596;	0.777664890555212
0.679577299016038;	0.181596792244766;	0.155175795923755;	0.132827279917350;	0.161730789391116;	0.182026500629448;	0.097680748235541;	0.277577547148761;	0.526627750152640;	0.109784369329386;	0.100112187148792;	0.077692549848890;	0.076978788675221;	0.069321358790421;	0.078253891933770;	0.072084763874050;	0.079371322673414;	0.079018572139520;	0.079377829605174;	0.084004924982439;	0.078339751553665;	0.086172355600639;	0.091733201017235;	0.088555431977703;	0.092825433540502;	0.099096998573505;	0.106789620708736;	0.102648175607252;	0.110075812030868;	0.117420903914662;	0.126573978777740;	0.132229823658232;	0.134538656281284;	0.135009314650690;	0.141296667524406;	0.152113874193246;	0.160816760002910;	0.170395134143669;	0.179368087465598;	0.188454959758856;	0.188842514070426;	0.197166530722053;	0.187919467022589;	0.191197309327852;	0.196329418753874;	0.202425356616922;	0.207259362733820;	0.215435053390183;	0.221842556361937;	0.230296188202243;	0.231447797082817;	0.238484186298261;	0.245479893816916;	0.254405284705207;	0.260975161251120;	0.268852282056373;	0.276454514722625;	0.283929038361768;	0.292508003387303;	0.290998152957666;	0.298051543901898;	0.306862865841848;	0.316739471453137;	0.322195840576918;	0.332489828439516;	0.337695313082952;	0.346970219006524;	0.362328064916503;	0.381230421955362;	0.400004227116107;	0.418101441064662;	0.437907249601404;	0.463602165025235;	0.491134187847922;	0.516463270805579;	0.557066887850314;	0.599653631674648;	0.634463847452366;	0.677861954118716;	0.791871222646159
0.706670549000170;	0.213892049307284;	0.182484821280992;	0.155951680101259;	0.185348102439899;	0.204299811949217;	0.114078476638415;	0.291271872837192;	0.539960751778920;	0.123286735792364;	0.111535559494183;	0.089781477393737;	0.088676449319405;	0.079887224252536;	0.089654170609402;	0.082623675044075;	0.090517461102901;	0.089988246950894;	0.090149841273991;	0.095153975828031;	0.088730937293054;	0.097179188055444;	0.103232233313224;	0.099493711412262;	0.104033516546638;	0.110809798558288;	0.119054851988227;	0.114346021067216;	0.122215243117701;	0.130097703838568;	0.139823133466371;	0.145871479103937;	0.148141051775347;	0.148378257351884;	0.155026374362388;	0.166443545340905;	0.175599756014354;	0.185652531014598;	0.195065827290952;	0.204575746623913;	0.205028921348212;	0.213733733875523;	0.203729896428527;	0.207009144195210;	0.212350132424263;	0.218694531505380;	0.223725439393388;	0.232218796469076;	0.238848688138433;	0.247571635926812;	0.248753977408086;	0.256007322614977;	0.263211072888437;	0.272395297392495;	0.279141606130301;	0.287231757552741;	0.295024499562673;	0.302672306969110;	0.311245388109444;	0.309535356191733;	0.316729591280855;	0.325702460475467;	0.335753329857485;	0.341306681881006;	0.351785342222315;	0.356874058846664;	0.366282253482668;	0.381853933027273;	0.401018598819308;	0.420013987613093;	0.438309179475360;	0.458245601502212;	0.484075324132559;	0.511658811835456;	0.536959309867075;	0.577374539332901;	0.619559939731218;	0.653650625859941;	0.696530360114249;	0.806817900447575
0.730935475493591;	0.252724538625327;	0.215395838453010;	0.183830022385283;	0.213693018418363;	0.228801548991680;	0.133704186774939;	0.307597988312780;	0.554928534155785;	0.139212498053676;	0.125024049537953;	0.103844051258123;	0.102373473004171;	0.092253357190381;	0.102921770933805;	0.094906848565202;	0.103437869467419;	0.102685443466467;	0.102577948978943;	0.107979281165573;	0.100681857993167;	0.109774803755900;	0.116359052538409;	0.111956515660488;	0.116764990737859;	0.124080098244495;	0.132905807469301;	0.127541915132824;	0.135857344196515;	0.144312089179758;	0.154629371420223;	0.161093443641870;	0.163287530528232;	0.163230039463059;	0.170248126992011;	0.182284430778597;	0.191903334523934;	0.202438143664344;	0.212300391839805;	0.222238718522659;	0.222762387342777;	0.231852272951934;	0.221016214985689;	0.224265612565804;	0.229808856292861;	0.236396580734833;	0.241618816039599;	0.250424254616243;	0.257271071200795;	0.266257352124084;	0.267467823071661;	0.274929632133020;	0.282327733734887;	0.291753987582019;	0.298659054548823;	0.306944171798110;	0.314908248234931;	0.322710163351905;	0.331304668342187;	0.329369715030866;	0.336693445384425;	0.345814125429015;	0.356023173124745;	0.361659896617760;	0.372293682914697;	0.377194217900469;	0.386661156650084;	0.402340261116889;	0.421633237854573;	0.440690553477803;	0.459011863539166;	0.478923401426324;	0.504738356795334;	0.532246149350806;	0.557431461160103;	0.597599445276874;	0.639394681018813;	0.672717464678780;	0.715031674864314;	0.821740314938042
0.756812489581549;	0.299418334516269;	0.255059824712848;	0.217458914719531;	0.247314038354422;	0.257175793946842;	0.156442811872831;	0.327130301048453;	0.571764297087894;	0.158033525039039;	0.140984378560037;	0.120338295393598;	0.118332446188656;	0.106768270723428;	0.118346413898087;	0.109183897737783;	0.118363491282915;	0.117324871111391;	0.116855358069837;	0.122662047176172;	0.114356610043182;	0.124113847332322;	0.131263843999926;	0.126078484494030;	0.131144686695847;	0.139026641376347;	0.148452522655069;	0.142335722385728;	0.151093038906113;	0.160149454393925;	0.171069458485002;	0.177967697677740;	0.180041277944520;	0.179618421719662;	0.187009293458066;	0.199673861893160;	0.209755790363829;	0.220770278444636;	0.231080262131563;	0.241442056027346;	0.242037040093355;	0.251505533383959;	0.239758077337504;	0.242937685437128;	0.248667940013871;	0.255483790891730;	0.260882341208729;	0.269981857487374;	0.277029728277806;	0.286262455493585;	0.287493889026850;	0.295147973876604;	0.302720707215002;	0.312364589645163;	0.319403824520556;	0.327854549630301;	0.335954344983220;	0.343866641957768;	0.352483754700360;	0.350257300701742;	0.357641170024603;	0.366828532844996;	0.377108182297894;	0.382749854225190;	0.393456915984741;	0.398105659562059;	0.407595830823345;	0.423352910432271;	0.442753785923451;	0.461876255492003;	0.480242672434679;	0.500152438711554;	0.525952139880051;	0.553380373090624;	0.578443143086379;	0.618323564606534;	0.659680897945792;	0.692213863727247;	0.733886868751245;	0.836865486084963
0.780435402750901;	0.355196636440459;	0.302552238305826;	0.257770672127364;	0.287253145322153;	0.289742622315372;	0.183470613557550;	0.349528428202779;	0.590557844463859;	0.180203301835179;	0.159775573491821;	0.139573767614319;	0.136829959898858;	0.123490035536431;	0.136217418213670;	0.125727732055307;	0.135538645202835;	0.134124305365080;	0.133177967469589;	0.139398778867083;	0.129934977943867;	0.140356019861373;	0.148098706011810;	0.141992177524701;	0.147301665976404;	0.155772928088103;	0.165809206185800;	0.158830871412072;	0.168011575674777;	0.177690783019004;	0.189213807172534;	0.196557003007857;	0.198453909349239;	0.197585934595726;	0.205344427711235;	0.218634144114575;	0.229169124062149;	0.240649788097490;	0.251395066124901;	0.262163839916937;	0.262826031368204;	0.272655048570778;	0.259914970829597;	0.262978820440937;	0.268874151679804;	0.275895231075112;	0.281447855702128;	0.290812088094807;	0.298034031326212;	0.307481621153616;	0.308714964943426;	0.316525462323126;	0.324230288458203;	0.334041685212139;	0.341169589465811;	0.349736858112675;	0.357927501101248;	0.365912303875027;	0.374550197074355;	0.372013330955225;	0.379452429230889;	0.388709074639755;	0.399067857487945;	0.404735916512917;	0.415527808139158;	0.419922981937235;	0.429447207953101;	0.445277319046748;	0.464768209556150;	0.483933503294062;	0.502318731811845;	0.522197639714601;	0.547936782375888;	0.575236622593036;	0.600131395663321;	0.639654925034952;	0.680510787924039;	0.712112712310371;	0.753030213147391;	0.852118260320055
0.801601249995256;	0.421314552883759;	0.359229839736650;	0.305946466778181;	0.331656778136733;	0.326084781790129;	0.215527865387595;	0.375995141929955;	0.611163436905662;	0.205546788538098;	0.181885708839256;	0.161961122383350;	0.158222608896045;	0.142742984757598;	0.156600520248181;	0.144472920511976;	0.155183754784417;	0.153375027715426;	0.151817799888333;	0.158391679861017;	0.147593752739947;	0.158700091095702;	0.167058196674554;	0.159874775262989;	0.165379929098434;	0.174452974513596;	0.185095715896262;	0.177132292016470;	0.186717943693619;	0.197031332583629;	0.209147086602042;	0.216937106598295;	0.218589090690872;	0.217183867806004;	0.225297013629620;	0.239196128572006;	0.250164078914500;	0.262086674396631;	0.273243526646388;	0.284391838329241;	0.285112045469594;	0.295272000467408;	0.281455950834565;	0.284354353375690;	0.290389081641753;	0.297586937822963;	0.303268182723538;	0.312863909168591;	0.320235153891313;	0.329871780380608;	0.331102786790772;	0.339055273074944;	0.346885411126558;	0.356856487247080;	0.364076818585623;	0.372762503166250;	0.381049590301331;	0.389113677597600;	0.397773218499855;	0.394919100612670;	0.402411668280013;	0.411729146321899;	0.422152619001749;	0.427837305504578;	0.438690966399495;	0.442796124483266;	0.452333544517762;	0.468202153598852;	0.487739049207878;	0.506903403376840;	0.525264068692891;	0.545068782912444;	0.570686649171341;	0.597793759665057;	0.622458469087423;	0.661534227648475;	0.701801075282473;	0.732480970901852;	0.772547961499433;	0.867277901898504
