0.377171477485158;	0.053565561416206;	0.046785853587253;	0.040887853914462;	0.043116308164254;	0.075862305853063;	0.030800863505162;	0.424918333181818;	0.575537267161647;	0.073761184072019;	0.079764943364898;	0.024016948077828;	0.023509862934323;	0.021488124944429;	0.023686653451373;	0.022114968291654;	0.023978398166176;	0.024074229833062;	0.024020622007205;	0.025503559415856;	0.023971049441858;	0.026231812920717;	0.028127923150569;	0.027371872643656;	0.028572212884209;	0.030744086450667;	0.033499064626044;	0.032387652058180;	0.034826857546255;	0.037740083741595;	0.040920656781302;	0.043397856796326;	0.044704372144970;	0.044940457397335;	0.047422371521037;	0.051848178141891;	0.055441564408891;	0.059461125968151;	0.063527377605140;	0.067728266418722;	0.068536392019715;	0.072677604425018;	0.069719583139036;	0.071142737829053;	0.073460913269819;	0.076387439113406;	0.078834039617959;	0.082951920733285;	0.086165605119135;	0.090316000348034;	0.091256092518429;	0.094913884917753;	0.098463040065034;	0.103039327151407;	0.106346367511422;	0.110572324506644;	0.114546364340129;	0.118376036613431;	0.128522385624543;	0.128454210951553;	0.131896253728450;	0.136059635796718;	0.140853759199820;	0.143851367073765;	0.149497908453048;	0.152164663078058;	0.156432081036947;	0.163962496166139;	0.174148209334729;	0.184233695892255;	0.194494258239637;	0.204635668913578;	0.219639225739530;	0.235861783789732;	0.251728534954802;	0.276658266363561;	0.301604650840085;	0.333944594464391;	0.378097232595775;	0.466096579973893
0.378650127208745;	0.054930148945662;	0.047978576148922;	0.041928702293052;	0.044466757843419;	0.077075138781423;	0.031607185449056;	0.425608088706166;	0.576390702226548;	0.074485270910504;	0.080379955781236;	0.024683660914631;	0.024171157677374;	0.022089257070671;	0.024359222265113;	0.022740002482658;	0.024660384149866;	0.024754230251054;	0.024701625448574;	0.026221132070990;	0.024644208702535;	0.026963241795924;	0.028903468376793;	0.028118897143542;	0.029351119475236;	0.031570601454693;	0.034380085740874;	0.033235791697314;	0.035725020376526;	0.038691001913608;	0.041933124303866;	0.044451809375691;	0.045769490788195;	0.046003039841009;	0.048528477248467;	0.053022182192661;	0.056670843061855;	0.060749316610940;	0.064870985427145;	0.069126991325116;	0.069949592181232;	0.074142504792239;	0.071129104238256;	0.072571422459500;	0.074925841025414;	0.077893186196384;	0.080374937977807;	0.084542483830739;	0.087797563945728;	0.091997255533108;	0.092956761264656;	0.096657582946581;	0.100248457609372;	0.104873099677127;	0.108218338060655;	0.112486758017289;	0.116500956390559;	0.120369098284257;	0.129192145648222;	0.129127244220202;	0.132585538829718;	0.136766920458611;	0.141580176707178;	0.144593187369667;	0.150260085094382;	0.152936475342244;	0.157223642100231;	0.164779379891173;	0.174993788006598;	0.185107442270152;	0.195396009888945;	0.205565024058998;	0.220598590642172;	0.236849516671228;	0.252741652079158;	0.277694067567958;	0.302654829368820;	0.334987615664387;	0.379143460742591;	0.502830609833304
0.380484650643322;	0.056654251216707;	0.049416963628300;	0.043148251940492;	0.046008586314095;	0.078383981983715;	0.032486681278874;	0.426345809098692;	0.577239983481722;	0.075229749724582;	0.081004967994237;	0.025350157377896;	0.024822263734262;	0.022675065235968;	0.025003498953801;	0.023333372903633;	0.025297917698996;	0.025383125901679;	0.025323718607924;	0.026868957202735;	0.025246592111500;	0.027608849959194;	0.029580571882072;	0.028764334097160;	0.030016307433330;	0.032268580897985;	0.035115280327623;	0.033936639238273;	0.036457825245594;	0.039458246337415;	0.042739875077399;	0.045282713859419;	0.046599663837430;	0.046821459982432;	0.049370519460517;	0.053904603898355;	0.057583465824068;	0.061693686213189;	0.065843874100235;	0.070127185703419;	0.070949404784267;	0.075165919842619;	0.072102782030465;	0.073545483327978;	0.075911785317028;	0.078893326246510;	0.081385100455840;	0.085570891045257;	0.088837938985034;	0.093053197382929;	0.094010200915147;	0.097721593085395;	0.101321610068650;	0.105958290843571;	0.109309068557349;	0.113584603385817;	0.117603746726362;	0.121475018207912;	0.130654320320948;	0.130580020762603;	0.134055439476919;	0.138256109953771;	0.143089469458798;	0.146113908633393;	0.151800050671592;	0.154471863520967;	0.158772535661974;	0.166349271881633;	0.176587817807984;	0.186721214605510;	0.197026349055728;	0.207208991699247;	0.222258431543197;	0.238521087771868;	0.254458348759701;	0.279595681996059;	0.304757325740807;	0.337261408608972;	0.381601526209589;	0.516501809496240
0.382466039368995;	0.058739644339393;	0.051172000195316;	0.044635671699481;	0.047887585334508;	0.079928166426030;	0.033558364879262;	0.427245487237918;	0.578222801769717;	0.076134704277015;	0.081768361249108;	0.027770946618884;	0.025616319049232;	0.023391944238123;	0.025788955688582;	0.024059376087789;	0.026075729289178;	0.026151477533122;	0.026083510752801;	0.027660220794277;	0.025984421953139;	0.028398209133181;	0.030409093706916;	0.029555204958671;	0.030831589523488;	0.033124765771773;	0.036017374049371;	0.034798685123162;	0.037359077164835;	0.040403335115136;	0.043734130658620;	0.046309261669444;	0.047627348787340;	0.047836407492433;	0.050417097938200;	0.055003080106495;	0.058721997934797;	0.062874430366101;	0.067063609358912;	0.071384791777818;	0.072212665877342;	0.076463464098816;	0.073343389908522;	0.074791125331601;	0.077177896458342;	0.080183203406620;	0.082694102592236;	0.086909542336993;	0.090434301442553;	0.095053784166375;	0.096372214010699;	0.100400644970905;	0.104193833427782;	0.108999288850767;	0.112487551454473;	0.116895446429667;	0.121031129609621;	0.125006499181572;	0.133308737706882;	0.133303724629237;	0.136898212208347;	0.141226007083208;	0.146195103764097;	0.149347948752174;	0.155190932591900;	0.157971334859658;	0.162430115976452;	0.170195977603158;	0.180651524652300;	0.191010749207191;	0.201558333210288;	0.211994748017316;	0.227340645224538;	0.243921879199951;	0.260202317318000;	0.285700737738657;	0.311213194837506;	0.344054324324989;	0.388934562600643;	0.529036048636093
0.384742802644099;	0.061275159672668;	0.053310189841611;	0.046445934192546;	0.054337882774763;	0.081737161230365;	0.034851647184669;	0.428328333786103;	0.579341049720099;	0.077212926214077;	0.082679274254979;	0.028737507624508;	0.026556206292456;	0.024290880241764;	0.026934884122449;	0.025267912286931;	0.027484411514705;	0.027617114717537;	0.027591490819612;	0.029287019864047;	0.027548832349976;	0.030113665700402;	0.032252200457376;	0.031352502318751;	0.032716615947653;	0.035141021994310;	0.038181398769950;	0.036903187552647;	0.039597042645228;	0.042796689019953;	0.046293902785901;	0.048998496378582;	0.050362957348159;	0.050574631857096;	0.053279772684635;	0.058051548623365;	0.061923756790789;	0.066238553794204;	0.070585532384617;	0.075064150453447;	0.075955684922969;	0.080359804923478;	0.077114410771687;	0.078622218679921;	0.081121079078010;	0.084254795646451;	0.086884122565394;	0.091260203370514;	0.094858194469171;	0.099557430424646;	0.100913597541433;	0.105071952229614;	0.109030046244061;	0.114036510361881;	0.117712036752397;	0.122336244769974;	0.126694489090037;	0.130901120219231;	0.138616426261551;	0.138730797325027;	0.142553356027996;	0.147134561499767;	0.152384167005994;	0.155814384048984;	0.161997916426356;	0.165031095591437;	0.169856038552012;	0.178068803304885;	0.189061193910241;	0.200006735422844;	0.211230261566406;	0.222421801996543;	0.238738608398811;	0.256478117157471;	0.274146640349299;	0.301215624223512;	0.328354719076438;	0.363277864393657;	0.410947865418611;	0.541961537108528
0.439280943948730;	0.067405078593177;	0.058561185947002;	0.050982340728471;	0.059557507409478;	0.087699341628605;	0.038321068283480;	0.431294864998561;	0.582698412289248;	0.080269864155173;	0.085312801377227;	0.032818185641336;	0.031031113434850;	0.026814026432916;	0.029561323511043;	0.027619323205698;	0.029926156135420;	0.030017692759660;	0.029951103107275;	0.031747862909885;	0.029863094057139;	0.032596840873057;	0.034885878909242;	0.033899371079644;	0.035366620367379;	0.037962668501955;	0.041198384076791;	0.039833168756783;	0.042696680931570;	0.046105993868740;	0.049824606355870;	0.052715864896214;	0.054153464293278;	0.054375777310319;	0.057267852428159;	0.062315483528600;	0.066422522598968;	0.070990100384136;	0.075593051079774;	0.080332957066491;	0.081366089552242;	0.086039622152749;	0.082662322783543;	0.084298675450249;	0.087010961821101;	0.090389038998247;	0.093253866961299;	0.097935537299613;	0.101754687854652;	0.106672824797631;	0.108149233585271;	0.112544022238588;	0.116777354329599;	0.122114901738035;	0.126099006634823;	0.131085945061437;	0.135819624629426;	0.140419972654564;	0.147695174823850;	0.148050358180841;	0.152299266092209;	0.157356338307364;	0.163146687748700;	0.167148390620694;	0.174053960801408;	0.177673915228820;	0.183324505757706;	0.192550538677511;	0.204783431207766;	0.217020049697020;	0.229582154490636;	0.241763818814668;	0.259089127021235;	0.277533025072889;	0.295572335458254;	0.322497249915744;	0.348652312754229;	0.382985638516290;	0.430779592602669;	0.555623156466620
0.453075198296833;	0.074777686568844;	0.064846580494967;	0.056373837466889;	0.069066951858579;	0.093413615999316;	0.042955278552507;	0.434766238535860;	0.586396943400248;	0.083831175188533;	0.088415562679038;	0.036743219551839;	0.035229556604160;	0.032091499430380;	0.032984645317851;	0.030884618392392;	0.033429404440529;	0.033535350099649;	0.033445551953983;	0.035423160002145;	0.033346494170711;	0.036330788677825;	0.038849521362930;	0.037732637797179;	0.039338655026693;	0.042181653537223;	0.045696102693345;	0.044192163180745;	0.047281377302823;	0.050990899248330;	0.055008250545949;	0.058163470061397;	0.059691971268075;	0.059903111459965;	0.063047906121914;	0.068479669757142;	0.072912466025920;	0.077831093923610;	0.082796533769918;	0.087906710182394;	0.089153264060343;	0.094215591111126;	0.090652321107212;	0.092455701928758;	0.095464510831609;	0.099187679339962;	0.102387774399571;	0.107507564775928;	0.111669477114028;	0.116941468696029;	0.118637958330998;	0.123406010058139;	0.128050022074047;	0.133878194317429;	0.138318063276702;	0.143852604385478;	0.149153333412371;	0.154349445710207;	0.161500092327398;	0.162266155443386;	0.167173127932831;	0.172906979497559;	0.179390854662297;	0.184024859204632;	0.191578722144536;	0.195256363347790;	0.200985486939989;	0.210196906028012;	0.222395544927293;	0.234336188728882;	0.246513320118428;	0.258145516967230;	0.275184698905004;	0.293312353035734;	0.311118094092700;	0.337810627576936;	0.363580149691441;	0.397845427592721;	0.446233143014698;	0.570212121413877
0.498387440890398;	0.086324070066801;	0.074712428808443;	0.064839879491387;	0.080029597257988;	0.102554260995992;	0.049580115499358;	0.440735039185917;	0.592013567348288;	0.089180519212028;	0.093057531696346;	0.042460036301628;	0.041151475885520;	0.038427630204643;	0.040162485662034;	0.038683061335644;	0.038286427390223;	0.038423083969172;	0.038274853257369;	0.040488835976990;	0.038155632558710;	0.041457533806145;	0.044288547476644;	0.042994065802976;	0.044768966809215;	0.047941645053520;	0.051827445298089;	0.050135005767150;	0.053504297202736;	0.057623137578617;	0.062020448900454;	0.065537843056697;	0.067183143284110;	0.067352831268638;	0.070821373675259;	0.076753209999493;	0.081602567327868;	0.086968047069301;	0.092403930559718;	0.097991428480846;	0.099527505534325;	0.105094426845951;	0.101271598370052;	0.103243882001265;	0.106600632880853;	0.110736682673369;	0.114335350533262;	0.119985322546900;	0.124568107909698;	0.130285833873586;	0.132267453624265;	0.137489768019640;	0.142589587633191;	0.148936921967022;	0.153785225265523;	0.159782922211608;	0.165452551894517;	0.170910364856806;	0.177898687358097;	0.178471131161008;	0.183303844134445;	0.188855127424235;	0.195112331090453;	0.199492916274221;	0.206885060053565;	0.210125932866466;	0.215614666880808;	0.224686695848886;	0.236921053121926;	0.248898843735918;	0.261199491161178;	0.272838145404982;	0.290058001123546;	0.308334458832757;	0.326317686690318;	0.353091186304245;	0.378685062021332;	0.412895859009088;	0.461959139442149;	0.586026254791911
0.540551448878498;	0.101776295973084;	0.087954066459333;	0.076226868146096;	0.096240195583800;	0.114982826359532;	0.058325317342460;	0.448424383440280;	0.599625111338717;	0.096901581111903;	0.099294213934510;	0.049777381377151;	0.048579372733522;	0.046089175381428;	0.048808979579697;	0.047930367420988;	0.048424829846674;	0.044733880258240;	0.044458279264409;	0.047126790533213;	0.044469633693331;	0.048111485348834;	0.051332474126591;	0.049799081987266;	0.051760672444550;	0.055338792844145;	0.059679446396936;	0.057738413326087;	0.061414267167998;	0.066045851407048;	0.070877268998385;	0.074848129047545;	0.076619514772961;	0.076686206283508;	0.080521676237020;	0.087036444118520;	0.092354753048761;	0.098217923125660;	0.104188551645893;	0.110308812655607;	0.112175573333646;	0.118299989606085;	0.114103428302698;	0.116150515937843;	0.119795367577669;	0.124280145504782;	0.128184412544153;	0.134252752449303;	0.139099163983164;	0.145068937506619;	0.147107032979968;	0.152474319731383;	0.157617834754360;	0.164018410269949;	0.168784853090453;	0.174753631994324;	0.180333422909070;	0.185673115956577;	0.192538309596153;	0.192862224886479;	0.197651813590190;	0.203177738211202;	0.209468432021479;	0.213939593701138;	0.221515941333408;	0.224637123166917;	0.230179997463635;	0.239356819685758;	0.251821830693092;	0.263979395562556;	0.276501892663118;	0.288207916788813;	0.305650018245804;	0.324101793562577;	0.342293552653164;	0.369175384495441;	0.394624641999097;	0.428657130569623;	0.478461044907829;	0.602715694732505
0.580660205261256;	0.208854209974458;	0.105079135608358;	0.091237625941538;	0.115087429125436;	0.130481542081608;	0.070193741865111;	0.458389561133540;	0.609175158489170;	0.106567393280912;	0.108137477685903;	0.058785669096997;	0.057473756670410;	0.055155361523744;	0.058764239707980;	0.058293198187504;	0.060010849480078;	0.058017851921853;	0.057493771709753;	0.054986341488263;	0.051879426588732;	0.056399847427144;	0.060085473150967;	0.058249747962554;	0.060258504104438;	0.064289301352865;	0.069133800033410;	0.066869522811710;	0.070848965538446;	0.076061900310240;	0.081326199063266;	0.085803436250060;	0.087670976091206;	0.087526875178053;	0.091710977964747;	0.098809273096937;	0.104562791889762;	0.110873960508016;	0.117332159719949;	0.123912350838097;	0.126040453588855;	0.132607472811097;	0.127844486299222;	0.129737662625855;	0.133455515372406;	0.138047160045340;	0.142010465611223;	0.148237221112379;	0.153134070914970;	0.159178080864144;	0.161181492002738;	0.166632763859856;	0.171857458849616;	0.178396737594128;	0.183246736473849;	0.189388206498163;	0.195122740776102;	0.200607147336783;	0.207503026280366;	0.207781295713183;	0.212700567177763;	0.218338073667261;	0.224765810278053;	0.229411323254961;	0.237230479064978;	0.240257821052007;	0.245878619451550;	0.255173938884960;	0.267894583687348;	0.280256901041930;	0.293039330787732;	0.304840368274646;	0.322534503158980;	0.341185451291084;	0.359610723036271;	0.386604102978286;	0.411885482019894;	0.445507130571072;	0.496066332416697;	0.620888473593363
