0.596642305672329;	0.074228366294921;	0.088535779387793;	0.077404718339414;	0.071798963845695;	0.070806125741866;	0.090740882086782;	0.149578051075881;	0.056092190775302;	0.068367183375824;	0.247523551027539;	0.576017130406241;	0.070688451622303;	0.073122298508461;	0.075059694889904;	0.072649867935450;	0.045952929452142;	0.043573644462541;	0.045595573887540;	0.044854900666708;	0.046194989948678;	0.046861867557443;	0.048736084039167;	0.047842818502308;	0.048056556671009;	0.047611211055814;	0.053106511738867;	0.050395755853632;	0.051589375951440;	0.056505663865769;	0.053509613964963;	0.055461158276910;	0.060447055798985;	0.057793634737036;	0.060213537382579;	0.065979822534045;	0.064472114366671;	0.066299477753811;	0.070096619927924;	0.074002545984833;	0.073167515449737;	0.076334005868547;	0.078517668146535;	0.083033494685549;	0.089084313641790;	0.088426756371449;	0.092892672566584;	0.095587891223050;	0.097010361440177;	0.103073268910634;	0.108837413612541;	0.115146198481854;	0.112990150074950;	0.117444723847488;	0.121167157062998;	0.125521654237902;	0.127639314053298;	0.131076414628728;	0.135719500876081;	0.141900966908414;	0.141614477192871;	0.145900907132000;	0.150586580828125;	0.156970880923721;	0.159994344206336;	0.160254440670351;	0.163961240928303;	0.166597275036870;	0.170115668067719;	0.172315479046298;	0.176693438554076;	0.181328910482132;	0.184678158425174;	0.186681325134481;	0.185219273672119;	0.187862682947491;	0.191238657372910;	0.196519049926967;	0.200990144069637;	0.205452422255074;	0.209511285095001;	0.214195700769714;	0.218024176523327;	0.223131559585115;	0.227096691752292;	0.241312544559395;	0.246202745055188;	0.252135454374129;	0.252143795182529;	0.256229130466805;	0.260094538421461;	0.263578284389379;	0.268592694192940;	0.269568222464658;	0.272949063067441;	0.273148946577780;	0.281104731383833;	0.283319161365376;	0.293249356258674;	0.301686398842923;	0.310206932168505;	0.320008846519246;	0.330238014120437;	0.340814914252301;	0.353984289247636;	0.360435965743556;	0.374055143812404;	0.386314454107966;	0.400691022623868;	0.414177268749618;	0.430102942971020;	0.444704315141211;	0.460058523041881;	0.494752830603990;	0.524199979205358;	0.549852185873193;	0.578630696341060;	0.609698920381459;	0.630909261094677;	0.732718547543823
0.611710606180055;	0.085598374500993;	0.101134495104438;	0.088654288339859;	0.082262428955872;	0.074097830835953;	0.095303117186832;	0.154201800297579;	0.059000762871261;	0.071833524679867;	0.250324993091464;	0.579188277036633;	0.073739632853650;	0.076077932316689;	0.077782927180374;	0.075599458983970;	0.048961636946120;	0.046488686588120;	0.048690385792734;	0.047962060302987;	0.049424296910889;	0.050233727749009;	0.052274871667952;	0.051337950013306;	0.051605105620190;	0.051237048059959;	0.057091218331086;	0.054289197974255;	0.055571990898913;	0.060810187348926;	0.057640667824490;	0.059734363838350;	0.065043979164531;	0.062280964115419;	0.064767535156534;	0.071021523669497;	0.069454254774872;	0.071499380637132;	0.075226259253769;	0.079374364550014;	0.078552822178836;	0.081939404961601;	0.084523395294440;	0.089309126787255;	0.095713718925403;	0.094949346399036;	0.099661945223758;	0.102216722747891;	0.103818571981439;	0.110200732951557;	0.116267968947840;	0.122895527562234;	0.120860591686313;	0.125579106096199;	0.129587948179914;	0.134187584372549;	0.136327595586292;	0.139920954983060;	0.144834044397181;	0.151326818534457;	0.150824388951644;	0.155348852302231;	0.160288972151186;	0.166985470453626;	0.170208955418949;	0.170529890089272;	0.174467812871744;	0.177300484597235;	0.181050761009042;	0.183393349575495;	0.188023038210030;	0.192919974839972;	0.196491736672090;	0.198652989112323;	0.197238770080315;	0.200075871028392;	0.203670300723617;	0.209229264867459;	0.213957679229963;	0.218679306652865;	0.222988784658647;	0.227943655090299;	0.232019864622478;	0.237416252654109;	0.241637523444542;	0.244902933607991;	0.249894497841680;	0.255937333656680;	0.256027193094482;	0.260222689916705;	0.264199508503482;	0.267794892051458;	0.272934621013160;	0.273986759137759;	0.277467774392131;	0.277751200659019;	0.285865024452646;	0.288208026106784;	0.298317407151603;	0.306929465985562;	0.315630272701325;	0.325622966510104;	0.336050632588165;	0.346832710694185;	0.360225809452118;	0.366881176305571;	0.380744926489961;	0.393254047724739;	0.407900878548279;	0.421666534560980;	0.437889912531198;	0.452768755091552;	0.468434521030828;	0.503440494857550;	0.533171278686183;	0.559096481577207;	0.588124772894240;	0.619388342242802;	0.640784989500713;	0.748932358511736
0.622564501779719;	0.093860266049793;	0.109664883760337;	0.095876676575925;	0.088613200445877;	0.081246953302473;	0.105555518690941;	0.163221596604624;	0.064643603061835;	0.078219065865222;	0.255308900850201;	0.584469829710387;	0.078739911327016;	0.080771084769093;	0.081915302958487;	0.079881277859084;	0.053172335945542;	0.050441109127595;	0.052641225640797;	0.051852726803229;	0.053290882040872;	0.054070109619929;	0.056130122482372;	0.055119822644202;	0.055305799473588;	0.054814585296950;	0.060908750375078;	0.057901396622253;	0.059190198901629;	0.064651897043975;	0.061310609875109;	0.063448353332591;	0.068956097519352;	0.066032716976155;	0.068657558417876;	0.074988525646349;	0.073326001689021;	0.075360575156539;	0.079455912173198;	0.083752511099123;	0.082824007519767;	0.086324695699807;	0.088606776604442;	0.093533912888280;	0.100122947393175;	0.099398963381085;	0.104271165133580;	0.107210317437488;	0.108673793008919;	0.115229710130143;	0.121457924697375;	0.128255331722789;	0.125930573749847;	0.130746763761982;	0.134723405392086;	0.139424046138639;	0.141645265104451;	0.145324726083588;	0.150317613831446;	0.156929376119110;	0.156618901286615;	0.161221400493682;	0.166242819600384;	0.173046631954748;	0.176306954633825;	0.176584835336617;	0.180564000992428;	0.183414201601716;	0.187196120714529;	0.189472488589787;	0.194143656049592;	0.199083284507224;	0.202674416165999;	0.204810460767327;	0.203259579879628;	0.206112957121913;	0.209729139275216;	0.215330994877466;	0.220085613160580;	0.224827394103566;	0.229146301222415;	0.234112168286157;	0.238182554740328;	0.243583600323922;	0.247788352439990;	0.253703054152874;	0.258811026840418;	0.264980195974517;	0.265112360526710;	0.269403356769609;	0.273469162862535;	0.277143081224488;	0.282377792379371;	0.283406188056445;	0.286900975630858;	0.287151995589187;	0.295367764391149;	0.297739880568142;	0.307955972102086;	0.316648483932462;	0.325420278153737;	0.335482580499451;	0.345972669232086;	0.356806201349797;	0.370254844588767;	0.376909170166289;	0.390802429556725;	0.403314286011431;	0.417954125586705;	0.431683280703640;	0.447850588349933;	0.462607190408968;	0.478156919786302;	0.513002006450840;	0.542511697847466;	0.568184629699078;	0.596920295785362;	0.627839086483145;	0.648914626515138;	0.755454952775001
0.634823539493267;	0.104404045610221;	0.120753715826910;	0.105539112445393;	0.097352696220498;	0.088996743529589;	0.116010837770241;	0.172717568996631;	0.070701051834704;	0.085073068551403;	0.260695875602446;	0.589933678182259;	0.084173552214177;	0.085882011274763;	0.086482213545040;	0.084651191199445;	0.057913758525229;	0.054910706870180;	0.057230241230679;	0.056357682203455;	0.057840363537550;	0.058707254018523;	0.060872521911406;	0.059712714888377;	0.059865187889795;	0.059384999533834;	0.065814879337309;	0.062628072462023;	0.063951040393918;	0.069731053037628;	0.066149721066166;	0.068399243264472;	0.074216345316319;	0.071134213919200;	0.073769593895838;	0.080593154635304;	0.078823447734188;	0.081058769027859;	0.084969063319223;	0.089463534332642;	0.088507524321152;	0.092184222487012;	0.094891345274303;	0.100032783383820;	0.106918523808845;	0.106006525723706;	0.111055029986258;	0.113691188921224;	0.115301339612803;	0.122088578629848;	0.128529242231499;	0.135546149672648;	0.133357578815902;	0.138352010393883;	0.142567168143060;	0.147418080111308;	0.149538337612056;	0.153260996971790;	0.158423085926805;	0.165225220780065;	0.164483559060479;	0.169198863218965;	0.174343419698425;	0.181311116887690;	0.184646268399625;	0.184884325047771;	0.188961751097452;	0.191881707088666;	0.195760353829040;	0.198094271173536;	0.202865779889763;	0.207909712653042;	0.211574413665902;	0.213744441032124;	0.212236657477047;	0.215121915942053;	0.218783301841379;	0.224466608847950;	0.229285966880875;	0.234090573596172;	0.238463832128940;	0.243493190693327;	0.247609358897354;	0.253079240314328;	0.257328463699715;	0.263145248110876;	0.268298779836214;	0.274524980874397;	0.274625864070833;	0.278939999275358;	0.283027364705971;	0.286716193888541;	0.291985373046010;	0.292931677204139;	0.296386842013789;	0.296560227271155;	0.304835402292799;	0.307206000938726;	0.317500014969143;	0.326254021902604;	0.335086475846236;	0.345215241807579;	0.355772380233067;	0.366668053584882;	0.380185322756570;	0.386860695167079;	0.400805270831215;	0.413346936373242;	0.428012327100289;	0.441748783710644;	0.457921203426448;	0.472646078388658;	0.488207690232055;	0.523065568750139;	0.552564985043350;	0.578222786531034;	0.606932207657570;	0.637791618962313;	0.658825817783631;	0.763432377639846
0.648240191694694;	0.116602479184267;	0.133460161401724;	0.116633918494267;	0.107378213159628;	0.097887735582249;	0.128986121875251;	0.183187802558199;	0.077664939924254;	0.092834049596453;	0.266823936086366;	0.595931077488076;	0.090315882587216;	0.091697845150111;	0.091637587093287;	0.089994366150485;	0.063228007628815;	0.059941274015465;	0.062267192634490;	0.061376130933869;	0.062852300397923;	0.063727661994018;	0.065950994943120;	0.064747327879612;	0.064830040962972;	0.064237762070745;	0.071010463427426;	0.067600952601797;	0.068952503470888;	0.075033483850072;	0.071235234566795;	0.073549214815819;	0.079635662934198;	0.076357671169897;	0.079173997403616;	0.086117475535714;	0.084234723074301;	0.086477158967383;	0.090858671854850;	0.095564235861723;	0.094482429813950;	0.098330319839199;	0.100654661937644;	0.105994773141830;	0.113139981446692;	0.112290556652127;	0.117568741091186;	0.120733578536536;	0.122170669743901;	0.129209765508719;	0.135889027260172;	0.143157623201492;	0.140591496302097;	0.145739726746705;	0.149920392135649;	0.154930968764706;	0.157186925005649;	0.161052758445973;	0.166346538385946;	0.173335466605792;	0.172948974087726;	0.177810377609408;	0.183107865107679;	0.190264643352137;	0.193695339500880;	0.193917430946005;	0.198098093121839;	0.201089019207955;	0.205060748583616;	0.207310581503324;	0.212188530245722;	0.217343205068931;	0.221088357649108;	0.223263015178256;	0.221505868776986;	0.224481886657393;	0.228245107676830;	0.234064219184321;	0.239000293315050;	0.243917325817101;	0.248392128298058;	0.253529893922202;	0.257734297735530;	0.263314398537747;	0.267646209863473;	0.273439976027914;	0.278687308342266;	0.285018448671430;	0.285146437871960;	0.289545314624125;	0.293711806978136;	0.297469968911420;	0.302828658046601;	0.303731673626978;	0.307189300481484;	0.307322774271449;	0.315707632313910;	0.318119852458322;	0.328536477927936;	0.337391567779259;	0.346319839670463;	0.356545601849301;	0.367197503338284;	0.378181316647033;	0.391797108028900;	0.398526726457122;	0.412565709114226;	0.425190024926667;	0.439946095025098;	0.453764609990614;	0.470020672096669;	0.484775175645717;	0.500402073616167;	0.535275665301788;	0.564744074462964;	0.590359182376562;	0.619000423872341;	0.649727867040594;	0.670631558736298;	0.773503537105756
0.663329753600434;	0.130671275167907;	0.147965907885471;	0.129336156388407;	0.118852063182578;	0.108064002041841;	0.142090645576402;	0.195012192325362;	0.085601325075613;	0.101704285472787;	0.273845672978498;	0.602461094593412;	0.097309162687101;	0.098265907235133;	0.097510130038695;	0.096075670730379;	0.069276213346198;	0.065619587598999;	0.068062193034486;	0.067046049555891;	0.068540567794681;	0.069515353997645;	0.071832677971456;	0.070417034588595;	0.070429085937890;	0.069842875072918;	0.076969274098184;	0.073338213609428;	0.074699618210041;	0.081123536687799;	0.077032169654377;	0.079452375221229;	0.085868026347957;	0.082400806930667;	0.085194450290498;	0.092682353460036;	0.090665561094409;	0.093127589413113;	0.097246592521988;	0.102155576838084;	0.101033232247494;	0.105066107814812;	0.107865650487902;	0.113433960885576;	0.120901883785115;	0.119839039348978;	0.125308812300994;	0.128108931838965;	0.129707437099789;	0.136992103060833;	0.143899122932745;	0.151402064594172;	0.149014298702247;	0.154360697491071;	0.158816545427219;	0.163996807084409;	0.166126734403844;	0.170035273680697;	0.175522035846702;	0.182722819424596;	0.181812538351796;	0.186798228538027;	0.192231979946135;	0.199566978630667;	0.203084863008469;	0.203268633458254;	0.207564515722620;	0.210641342493615;	0.214731056341439;	0.217069233026188;	0.222066989207400;	0.227347192216911;	0.231187101382269;	0.233420507424044;	0.231800840966823;	0.234824226017028;	0.238647954532511;	0.244564748449635;	0.249582318827329;	0.254579151620273;	0.259125541566333;	0.264344402243303;	0.268611416074590;	0.274279511720874;	0.278672681175750;	0.284365598996656;	0.289689614882950;	0.296109610100897;	0.296235700407498;	0.300688986643510;	0.304910288863381;	0.308716772682556;	0.314145354728335;	0.314980328441333;	0.318417121477146;	0.318488709123943;	0.326963129487626;	0.329401764248225;	0.339924908755464;	0.348869792376919;	0.357887154908525;	0.368207319420262;	0.378956787341377;	0.390035387502274;	0.403755892331006;	0.410548209536618;	0.424682235050263;	0.437382396900238;	0.452210223399229;	0.466077547733525;	0.482369213891267;	0.497094640593708;	0.512723130394931;	0.547528865928455;	0.576881606222124;	0.602370706777736;	0.630856372342067;	0.661369771113666;	0.682093364882106;	0.782774445097249
0.679002741733389;	0.146842213955411;	0.164463990435914;	0.143807910809624;	0.131915211911514;	0.119653046826715;	0.159964531733500;	0.207712573054834;	0.094628694893862;	0.111561365457701;	0.281695617394250;	0.609535416618164;	0.105094320209411;	0.105664113662597;	0.104059754888160;	0.102812325218177;	0.075998619219635;	0.071986938993542;	0.074378950060782;	0.073365361051315;	0.074819139328318;	0.075795592806352;	0.078161433102381;	0.076710734130373;	0.076622415700886;	0.075894689357744;	0.083414253805138;	0.079526184761153;	0.080914181932356;	0.087685692209731;	0.083340617412205;	0.085826450327322;	0.092549863447798;	0.088856568788412;	0.091857186143662;	0.099466084885433;	0.097319289956458;	0.099790702973061;	0.104456223110387;	0.109609918313937;	0.108339022975912;	0.112576031169525;	0.114904990562761;	0.120689366183963;	0.128445281139500;	0.127446509933586;	0.133172163967181;	0.136585423685282;	0.137960468450682;	0.145520806370810;	0.152690533615646;	0.160469275416169;	0.157631400125352;	0.163141905231063;	0.167534358279341;	0.172884830501607;	0.175157933472121;	0.179218164692087;	0.184839977619348;	0.192235168274927;	0.191764412095809;	0.196906903424075;	0.202504785270108;	0.210040309334059;	0.213658854570693;	0.213818971272711;	0.218222228792881;	0.221370427633390;	0.225556252441349;	0.227759608297245;	0.232862398205640;	0.238252126917577;	0.242169470228809;	0.244385324985400;	0.242390469074598;	0.245507897999895;	0.249436522588828;	0.255492577702591;	0.260630339084757;	0.265742814894757;	0.270393812796158;	0.275723759835073;	0.280080556276056;	0.285861900597491;	0.290338445872730;	0.295982885509549;	0.301395033575786;	0.307912082901011;	0.308048464856406;	0.312564465684313;	0.316844034098498;	0.320697666438379;	0.326193005620530;	0.326946718288180;	0.330351772588550;	0.330352906027687;	0.338914382295826;	0.341380304743905;	0.352009425646698;	0.361044122459202;	0.370149267420335;	0.380558083117867;	0.391394332461112;	0.402548729974471;	0.416343933066299;	0.423164812484216;	0.437349095559743;	0.450075524508777;	0.464923136464948;	0.478793481439320;	0.495088784091832;	0.509780736475458;	0.525431114903320;	0.560209375424229;	0.589522391910789;	0.614995847791900;	0.643472494924703;	0.673941434431016;	0.694633151999195;	0.791962555994690
0.698104188595268;	0.165497313235646;	0.183273345164188;	0.160360682666408;	0.146846897197401;	0.132896835420544;	0.174138776799954;	0.222382803836019;	0.104917073554078;	0.122951136810759;	0.290769231126452;	0.617243467522522;	0.114008550573108;	0.114014073624425;	0.111540910802435;	0.110498038556299;	0.083649341344208;	0.079142333400694;	0.081653245829631;	0.080457937240667;	0.081897121461637;	0.082996473698028;	0.085441345271293;	0.083697284892057;	0.083495192694765;	0.082778958696391;	0.090671131840559;	0.086519788651410;	0.087890804437191;	0.095037465965811;	0.090339961184014;	0.092929445206917;	0.100010072630310;	0.096097308548984;	0.099035458346743;	0.107260347421118;	0.104951643219380;	0.107672400222434;	0.111980193299322;	0.117350266200898;	0.116027477639743;	0.120466590277507;	0.123330782103527;	0.129357510603195;	0.137465160853499;	0.136218784015120;	0.142157626495909;	0.145137936367724;	0.146688744441127;	0.154513008674875;	0.161930120786020;	0.169962015242347;	0.167346652409318;	0.173078652099632;	0.177786068443405;	0.183328545443187;	0.185429538776695;	0.189495210005465;	0.195304981835658;	0.202917660653128;	0.201806366340217;	0.207071317347368;	0.212805819689423;	0.220520653645385;	0.224226199902298;	0.224335685329346;	0.228857435434783;	0.232092787651351;	0.236402210881828;	0.238713133268610;	0.243937896235320;	0.249456493020297;	0.253472141523711;	0.255757061216842;	0.254012446204945;	0.257175719197081;	0.261161921282833;	0.267311522853201;	0.272527458414181;	0.277716174085541;	0.282435435329896;	0.287842602763372;	0.292257886483510;	0.298124225225746;	0.302657438815519;	0.308243262782223;	0.313726527815898;	0.320327191792451;	0.320467903622670;	0.325044250097435;	0.329384978286078;	0.333293561679422;	0.338865955212581;	0.339542146741165;	0.342919433943406;	0.342851482524810;	0.351498139413260;	0.353985929326268;	0.364704769316758;	0.373809203500763;	0.382978409931743;	0.393449809040202;	0.404350072382370;	0.415566285195453;	0.429439115661010;	0.436313748703289;	0.450589076565842;	0.463404251713867;	0.478350838533878;	0.492310764125159;	0.508683134477199;	0.523368069352567;	0.539042877428620;	0.573733044887460;	0.602893288986455;	0.628195624384876;	0.656466510783815;	0.686649852648230;	0.707067359106378;	0.801956595291699
0.713442020753633;	0.186808566528099;	0.204557074388838;	0.179107571920814;	0.163757243257833;	0.147921617380115;	0.190127777989197;	0.237321063549149;	0.116593832991449;	0.135381246964906;	0.300774045890340;	0.625560319673927;	0.123840416908161;	0.123409761972620;	0.119836600653419;	0.118961254465236;	0.092114996774363;	0.087174824702798;	0.089532833788102;	0.088379137681050;	0.089719076994448;	0.090789928554128;	0.093241884860346;	0.091471323953542;	0.091114821867412;	0.090204864306041;	0.098526311142452;	0.094073908787403;	0.095457200410576;	0.102986771821207;	0.097994180417035;	0.100636900258315;	0.108049542754196;	0.103875511686707;	0.107041236586726;	0.115359533554595;	0.112899195950032;	0.115618900186583;	0.120553780112486;	0.126191296822735;	0.124688774791839;	0.129356236007750;	0.131631951023330;	0.137883978598593;	0.146298681477096;	0.145121921706335;	0.151332269872030;	0.155013755363906;	0.156275287322983;	0.164384866221663;	0.172075861712595;	0.180394013334631;	0.177247977476752;	0.183143678931927;	0.187745625855038;	0.193459137177115;	0.195720894289080;	0.199973714266108;	0.205941230733678;	0.213759840154876;	0.213190410226704;	0.218625606860083;	0.224536887997864;	0.232462452127707;	0.236275662421666;	0.236357930935783;	0.240992267034981;	0.244301789482273;	0.248712355416010;	0.250830746147595;	0.256158359247766;	0.261783898002983;	0.265873173513628;	0.268113525188844;	0.265826902311791;	0.269083897745223;	0.273173530671238;	0.279459589434497;	0.284793373636190;	0.290094956082277;	0.294916066035595;	0.300430595527896;	0.304931461160738;	0.310907574969335;	0.315519692126274;	0.321081943396100;	0.326650757457280;	0.333344236849616;	0.333496291564877;	0.338131767275445;	0.342526309416948;	0.346473408757019;	0.352100650466071;	0.352666251737862;	0.355982549960857;	0.355817030369657;	0.364529030309019;	0.367033574081479;	0.377844586182543;	0.387032426204851;	0.396288797544415;	0.406851091458994;	0.417844188188148;	0.429141538048938;	0.443084532792411;	0.449984199762717;	0.464287449820177;	0.477094454507248;	0.492008893447360;	0.505903720061475;	0.522194651706878;	0.536748549140895;	0.552343436799415;	0.586868822752687;	0.615846225413127;	0.640974427121869;	0.669042738026298;	0.698962904479104;	0.719159758657770;	0.811622547597005
0.729921581527023;	0.211196959105521;	0.228536826901829;	0.200335852480258;	0.182870010936858;	0.164933051628476;	0.208288369386936;	0.253644865903379;	0.129740043538787;	0.149889333321963;	0.312385884729072;	0.634478479248098;	0.135064760086142;	0.133862179141635;	0.129234934403824;	0.128536573718889;	0.101547381255366;	0.096031631094608;	0.098529820397660;	0.097103211027806;	0.098381402209261;	0.099618995919346;	0.102141424962651;	0.099973869712807;	0.099455263224057;	0.098576741930602;	0.107279933129141;	0.102522989044140;	0.103853515317245;	0.111788306601005;	0.106377766892951;	0.109119574369729;	0.116916399063826;	0.112493964668527;	0.115543428707936;	0.124560919814536;	0.121909263402981;	0.124914943574315;	0.129368452679088;	0.135235166935239;	0.133670686493688;	0.138559151804961;	0.141440944098626;	0.147945212149119;	0.156737383744739;	0.155270720765935;	0.161710955268768;	0.164876540839030;	0.166326102563830;	0.174712793488617;	0.182665573975731;	0.191249118779483;	0.188371241582637;	0.194505549436403;	0.199456953869890;	0.205377156109786;	0.207409194742921;	0.211625098188440;	0.217774345351787;	0.225811066677963;	0.224465676237977;	0.230014659809917;	0.236055441417462;	0.244152266732527;	0.248044952087411;	0.248056933976219;	0.252805351094607;	0.256196487512817;	0.260729550655607;	0.262976234786994;	0.268421007640246;	0.274171555523637;	0.278356153853559;	0.280674552633220;	0.278798335538414;	0.282094875475692;	0.286232841224596;	0.292599687334616;	0.297999503909498;	0.303363986264337;	0.308239532491648;	0.313815328046732;	0.318357658588264;	0.324400425009672;	0.329048279257457;	0.334567588633949;	0.340183722807323;	0.346934780489678;	0.347073471051292;	0.351747218263016;	0.356183483155386;	0.360169771966519;	0.365859695375156;	0.366324702428385;	0.369593790862515;	0.369345826469948;	0.378127360511204;	0.380642752335358;	0.391515175877718;	0.400741684900402;	0.410024265316197;	0.420600211101252;	0.431599916263979;	0.442891266523961;	0.456830377916748;	0.463704488936278;	0.477997767357554;	0.490784425783154;	0.505676872576535;	0.519540875803187;	0.535792580025186;	0.550252803207752;	0.565797760186582;	0.600172905856402;	0.628978172054966;	0.653933400662427;	0.681784742865505;	0.711418427126458;	0.731376551993232;	0.821319314126510
