0.595992686739905;	0.074142928555046;	0.088365656755686;	0.077262198268156;	0.071670240071395;	0.070693164743551;	0.090609990574588;	0.149074353052952;	0.056044013246610;	0.068214771062517;	0.247635111612261;	0.574922421536175;	0.070515627652341;	0.072953460681813;	0.074867179931843;	0.072464274293244;	0.045909896075575;	0.043529631370512;	0.045548365922874;	0.044802665177471;	0.046142409642644;	0.046799411233757;	0.048662361533373;	0.047779359971237;	0.047996069632838;	0.047553498079390;	0.053041654683241;	0.050339180370295;	0.051533585741268;	0.056444880639104;	0.053457580346472;	0.055412524250974;	0.060396322628748;	0.057754751347099;	0.060180750283641;	0.065952046843632;	0.064460101906647;	0.066302106065997;	0.070118169211290;	0.074044584466237;	0.073236278396222;	0.076432232044284;	0.078653996199563;	0.083219302357317;	0.089322154548318;	0.088721265498109;	0.093263524845359;	0.096036201577684;	0.097544585751724;	0.103720855135307;	0.109613836213251;	0.116071374704468;	0.114045225927323;	0.118674900412185;	0.122600679984431;	0.127170132308268;	0.129485900693024;	0.133176904880810;	0.138107582218003;	0.144615772403388;	0.144643923134744;	0.149296286463286;	0.154382592351335;	0.161221397944900;	0.164640015338238;	0.165273288322680;	0.169466438968776;	0.172573634437393;	0.176655165963549;	0.179367929552541;	0.184297654183307;	0.189524276080908;	0.193474974259093;	0.196066228398293;	0.195167795577857;	0.198423710586151;	0.202437027933649;	0.208424996660583;	0.213577465544082;	0.218699951066535;	0.223400934452179;	0.228681118574160;	0.233045978421875;	0.238747487735567;	0.243134761445422;	0.258058630391974;	0.263286125316786;	0.269484940839024;	0.269595893479116;	0.273840629110063;	0.277793354381284;	0.281258278281978;	0.286230171310870;	0.286875209623697;	0.289811594525877;	0.289725196170714;	0.297221056242350;	0.299075983697349;	0.308490071571035;	0.316399863013225;	0.324374388974986;	0.333513936728210;	0.343083183161139;	0.352937951721154;	0.365293458971387;	0.371050669040690;	0.383906637474189;	0.395326168507258;	0.408837666495730;	0.421527424016307;	0.436603784559432;	0.450399250007197;	0.465094120191889;	0.498414619278701;	0.526796153912429;	0.551649233749229;	0.579809004170703;	0.610349058630829;	0.631168205081050;	0.732443576396535
0.611089311288661;	0.085500952363277;	0.100948872226845;	0.088497369871340;	0.082120294940167;	0.073980756831213;	0.095166949508285;	0.153693723906812;	0.058949757698767;	0.071676163931682;	0.250433531565118;	0.578097645239987;	0.073562506773393;	0.075906455156101;	0.077588028073716;	0.075410975311218;	0.048914894177549;	0.046440940440675;	0.048639130800914;	0.047905608582126;	0.049367399828996;	0.050166338194603;	0.052195562530928;	0.051269594748608;	0.051539761628466;	0.051174413500094;	0.057021191061698;	0.054227680949864;	0.055511338145892;	0.060744321857917;	0.057584085643827;	0.059681359746032;	0.064988792478032;	0.062238144549299;	0.064731400976830;	0.070990118311484;	0.069439278517917;	0.071499565372682;	0.075247359300330;	0.079416827500276;	0.078623268508226;	0.082040613346231;	0.084663375501098;	0.089500518637384;	0.095959043799748;	0.095253853918695;	0.100045670273920;	0.102681053989831;	0.104372242379290;	0.110871401572353;	0.117071507593584;	0.123852212157003;	0.121952866189934;	0.126852007436754;	0.131070892783678;	0.135891942024129;	0.138235270084827;	0.142089774049623;	0.147298566961860;	0.154126042617772;	0.153949974478286;	0.158850432594961;	0.164201694878458;	0.171363103998140;	0.174992688283670;	0.175698337449678;	0.180135322383940;	0.183452397808818;	0.187780395624797;	0.190649728030522;	0.195843912777235;	0.201345041782466;	0.205533161649141;	0.208298196499152;	0.207469679931742;	0.210936130241442;	0.215184123445732;	0.221464839508286;	0.226889331400746;	0.232285068430448;	0.237250770395256;	0.242812820068499;	0.247437342543672;	0.253437705300783;	0.258089949496023;	0.261748677509530;	0.267079486146368;	0.273389423851586;	0.273585848638881;	0.277942562918592;	0.282008231833412;	0.285585996036540;	0.290683295695209;	0.291405829273724;	0.294439952912775;	0.294439773995298;	0.302089786086836;	0.304073314782675;	0.313661089756535;	0.321741213105539;	0.329891135284012;	0.339215371738941;	0.348976858853132;	0.359030247624709;	0.371601729281060;	0.377558397592970;	0.390651847840537;	0.402314978205161;	0.416090443956797;	0.429054235970918;	0.444422943671242;	0.458491246065687;	0.473494397377350;	0.507121152914721;	0.535784259538028;	0.560909800415616;	0.589319584097025;	0.620056084508373;	0.641063864914644;	0.748692136938430
0.621963355985092;	0.093754560259783;	0.109469481632304;	0.095711068178635;	0.088463381817777;	0.081121242596578;	0.105407215281269;	0.162705581800031;	0.064587232355125;	0.078052958201604;	0.255412241654143;	0.583386193897136;	0.078555963654660;	0.080595466217071;	0.081716871094213;	0.079688712676036;	0.053120504566239;	0.050388194514198;	0.052585015976646;	0.051790928437093;	0.053228826658184;	0.053997273806461;	0.056045001249693;	0.055046107817901;	0.055235376314957;	0.054747286828662;	0.060833873128110;	0.057835369877673;	0.059125290273998;	0.064581684213226;	0.061249939892208;	0.063391515393697;	0.068897160517826;	0.065986573267612;	0.068618211978322;	0.074954771880127;	0.073309316573568;	0.075359806585947;	0.079475661544391;	0.083794231879013;	0.082894613058222;	0.086426962568347;	0.088750001334714;	0.093729813266312;	0.100373998144555;	0.099710877148316;	0.104664121308143;	0.107685631629024;	0.109240129034461;	0.115915294435120;	0.122278828679182;	0.129231977044831;	0.127046122325629;	0.132046164825607;	0.136236127969823;	0.141161829626276;	0.143590497212287;	0.147535582282401;	0.152828481683201;	0.159779245921414;	0.159800784615387;	0.164784287297236;	0.170221936848195;	0.177495430358922;	0.181166931680840;	0.181834907493308;	0.186318793904710;	0.189659221560487;	0.194025167807916;	0.196833063397133;	0.202073798870939;	0.207622692600431;	0.211836062995109;	0.214581717302959;	0.213626866027985;	0.217115492879747;	0.221390549316786;	0.227718192215334;	0.233172930520363;	0.238592257176132;	0.243570685543783;	0.249145607571238;	0.253766216533957;	0.259772003434603;	0.264407920876057;	0.270786260739026;	0.276234604184919;	0.282669517683888;	0.282913346707439;	0.287365337969251;	0.291519015009691;	0.295173467508161;	0.300361303789215;	0.301057376251984;	0.304095416984530;	0.304063469016018;	0.311802633168990;	0.313810256363274;	0.323489317525425;	0.331636470724261;	0.339844091730582;	0.349223115542643;	0.359032585051542;	0.369123182109040;	0.381734733065815;	0.387680935318977;	0.400790584111593;	0.412444978530733;	0.426202339920659;	0.439120204125490;	0.454423885505838;	0.468362386648526;	0.483243913602939;	0.516702545568637;	0.545141311129976;	0.570013016981912;	0.598129475397622;	0.628521421207011;	0.649209380230543;	0.755228030327300
0.634244696333972;	0.104288234363470;	0.120546394029389;	0.105362501057146;	0.097192824655103;	0.088862123652137;	0.115851198745065;	0.172194134219584;	0.070639128000973;	0.084898033286944;	0.260793675565210;	0.588857593349156;	0.083982398803438;	0.085702030923003;	0.086279933144938;	0.084454154138746;	0.057856257380406;	0.054852210607144;	0.057168217911946;	0.056289946253547;	0.057772407483332;	0.058627860129212;	0.060780177630030;	0.059632771412541;	0.059788717799390;	0.059311688531672;	0.065733852331061;	0.062556219295269;	0.063880489691099;	0.069655026126460;	0.066083869294756;	0.068337473103461;	0.074152445726016;	0.071083679234358;	0.073726562513337;	0.080555372893266;	0.078803423274376;	0.081055168341492;	0.084988266090263;	0.089505591791321;	0.088579718274545;	0.092289338758001;	0.095037731308805;	0.100233639338450;	0.107176245248153;	0.106327422912819;	0.111459526153673;	0.114180942139736;	0.115885161862972;	0.122794692273341;	0.129374007538127;	0.136550221214901;	0.134505294418837;	0.139687959018755;	0.144121880603607;	0.149202814975816;	0.151533903062149;	0.155527368226105;	0.160995397972035;	0.168142071242451;	0.167741810965510;	0.172845230578755;	0.178413311278112;	0.185857692656536;	0.189611366124784;	0.190247198259618;	0.194837644064353;	0.198256343496461;	0.202728255499316;	0.205602972687813;	0.210951414403517;	0.216611939137631;	0.220907320461878;	0.223696066568567;	0.222795733091371;	0.226325363014857;	0.230654024139581;	0.237069744809880;	0.242596086556338;	0.248084384451902;	0.253123271642571;	0.258765833966004;	0.263436593831329;	0.269513986285124;	0.274196519933505;	0.280471618035380;	0.285964603083012;	0.292453162301404;	0.292668958352781;	0.297141850795863;	0.301314284590203;	0.304980139446491;	0.310196456077229;	0.310806605880196;	0.313794186495374;	0.313684481280040;	0.321469809974446;	0.323470519647138;	0.333212324890856;	0.341408027484261;	0.349663741273367;	0.359095409551928;	0.368958571642046;	0.379098154554253;	0.391763901304915;	0.397722352706995;	0.410870619507348;	0.422543745265163;	0.436315790307978;	0.449231650167555;	0.464531693044418;	0.478431292485582;	0.493319648929945;	0.526784782599797;	0.555211022613696;	0.580067140108003;	0.608157763771404;	0.638491586769510;	0.659140467331046;	0.763221699077376
0.647685571621222;	0.116475530624036;	0.133240124516516;	0.116445426746472;	0.107207445235698;	0.097743395090567;	0.128812145255003;	0.182657122701846;	0.077596826961207;	0.092649470083618;	0.266915689292390;	0.594863575287077;	0.090116915057626;	0.091512982921898;	0.091431082049343;	0.089792478750640;	0.063164294501356;	0.059876375902371;	0.062199064800229;	0.061301712077137;	0.062777871121931;	0.063641392152130;	0.065851276234879;	0.064660495447550;	0.064746982355354;	0.064158323763010;	0.070923069421083;	0.067523076837414;	0.068876246601295;	0.074951644231942;	0.071163882804992;	0.073482272916828;	0.079566709457344;	0.076302598620783;	0.079126594012086;	0.086076415078292;	0.084212226690211;	0.086472057367679;	0.090875918268468;	0.095605115832570;	0.094554613075980;	0.098436584440984;	0.100805045170977;	0.106201267697282;	0.113404915594327;	0.112620877141033;	0.117985035219087;	0.121237369112733;	0.122770771838924;	0.129935076639412;	0.136756176916798;	0.144187449630726;	0.141769570277365;	0.147110321508528;	0.151514146983003;	0.156759624578010;	0.159232070415070;	0.163374807319476;	0.168980387567123;	0.176319701630327;	0.176282178367540;	0.181538552024676;	0.187266546681190;	0.194906503318011;	0.198762865638927;	0.199390492776935;	0.204092177106838;	0.207590221319704;	0.212164266492509;	0.214961523646646;	0.220423884352745;	0.226202736706630;	0.230587524814662;	0.233389740050073;	0.232258630324648;	0.235888653442551;	0.240328056508722;	0.246886643916839;	0.252536963622314;	0.258144230971201;	0.263291216402243;	0.269046783945961;	0.273810729036205;	0.280001649312992;	0.284769592663696;	0.291018212412513;	0.296604993455152;	0.303195879011008;	0.303443866983835;	0.308000627118018;	0.312250570622081;	0.315983307708387;	0.321283889795705;	0.321848193803010;	0.324827716492123;	0.324679637125463;	0.332561220125811;	0.334598684237811;	0.344446987896864;	0.352729864383172;	0.361067605691617;	0.370580808491906;	0.380523573301233;	0.390736295796426;	0.403484230884322;	0.409487152323263;	0.422715799430029;	0.434459715541337;	0.448311059376677;	0.461299524204311;	0.476674355958480;	0.490596253967027;	0.505544580171379;	0.539018679998469;	0.567411627276239;	0.592224346703796;	0.620246715003136;	0.650449422663153;	0.670969987099179;	0.773313714436791
0.662801493680710;	0.130532112698894;	0.147732433280701;	0.129134924352594;	0.118669555088321;	0.107909109319745;	0.141904301631644;	0.194474471833061;	0.085526432253363;	0.101509341724489;	0.273930531665323;	0.601403307262201;	0.097101524429283;	0.098075734604543;	0.097298868713524;	0.095868340737518;	0.069205492493714;	0.065547845947092;	0.067986929836646;	0.066964427725810;	0.068459013014098;	0.069421177527919;	0.071724309949740;	0.070322802726174;	0.070338862359847;	0.069756292852189;	0.076874682129053;	0.073253482939470;	0.074616759317803;	0.081034948946725;	0.076954794184672;	0.079379713896949;	0.085793355916095;	0.082340632399717;	0.085142779261082;	0.092636605564317;	0.090639110005127;	0.093119062025409;	0.097263042221205;	0.102196601322464;	0.101106894211303;	0.105175179966724;	0.108019001565943;	0.113645289744734;	0.121173416038167;	0.120178422116139;	0.125736821711153;	0.128627580551346;	0.130325572865553;	0.137738553614305;	0.144790812677672;	0.152460052540676;	0.150225470133354;	0.155768855593939;	0.160453440160303;	0.165873654806076;	0.168223406055152;	0.172414068339584;	0.178218623408396;	0.185775281661945;	0.185224423593170;	0.190612392284982;	0.196484138706626;	0.204309435711614;	0.208260615827633;	0.208858030863388;	0.213683543905261;	0.217276389545488;	0.221978012879197;	0.224873732364012;	0.230463548237433;	0.236375512193972;	0.240863869935365;	0.243734629755432;	0.242751791953935;	0.246438876890420;	0.250947708129506;	0.257610865698288;	0.263349957046009;	0.269043599265916;	0.274268786576163;	0.280109974374984;	0.284941397073526;	0.291223327045309;	0.296055153546120;	0.302197334086712;	0.307860331939532;	0.314536926338176;	0.314787494618695;	0.319396909281123;	0.323699368949756;	0.327477435240056;	0.332842090298786;	0.333335634064322;	0.336283328155727;	0.336074810720597;	0.344031994408407;	0.346090575875512;	0.356028929949111;	0.364387523130664;	0.372800611531542;	0.382393092295798;	0.392418814356825;	0.402712062519653;	0.415549178396463;	0.421605695489413;	0.434915924668838;	0.446724210550504;	0.460636077995813;	0.473663792080816;	0.489065124223973;	0.502950326311061;	0.517894513674713;	0.551294166806756;	0.579569148096663;	0.604255032814674;	0.632121694383142;	0.662111321013778;	0.682454161397448;	0.782603145607372
0.678502296656397;	0.146689747485433;	0.164216456532238;	0.143593155213136;	0.131720173013769;	0.119486797079092;	0.159759320331856;	0.207168406986265;	0.094546320833914;	0.111355675782605;	0.281773196132620;	0.608488489614564;	0.104877497731199;	0.105468034945327;	0.103843360053583;	0.102599188461508;	0.075920309059080;	0.071907288310597;	0.074296317011943;	0.073275571345668;	0.074729732731165;	0.075693140592456;	0.078044252241214;	0.076608179397499;	0.076524243950809;	0.075800733443540;	0.083312059439492;	0.079434194508998;	0.080824467428922;	0.087590159798343;	0.083256611234544;	0.085747556466306;	0.092469133975329;	0.088790888609553;	0.091800197101138;	0.099416343769382;	0.097289746202158;	0.099780199191594;	0.104470103837321;	0.109649243785905;	0.108412300188022;	0.112686009091308;	0.115062557202533;	0.120906716823084;	0.128724544809105;	0.127796071764565;	0.133612926203813;	0.137119163492058;	0.138596135060621;	0.146287882147317;	0.153606216330532;	0.161554782188867;	0.158875288485789;	0.164587334069259;	0.169213203273507;	0.174808768040881;	0.177307776253212;	0.181656595584539;	0.187602339094501;	0.195359444261783;	0.195255760698303;	0.200807543301743;	0.206850502887045;	0.214882730357406;	0.218941835347522;	0.219523639252673;	0.224464559783974;	0.228137246100189;	0.232944029467963;	0.235711181815469;	0.241413318085081;	0.247442169349303;	0.252016849534142;	0.254878700233894;	0.253542993199515;	0.257333800118630;	0.261956356058388;	0.268765453608006;	0.274631629675895;	0.280447030821198;	0.285782961699383;	0.291739289422232;	0.296665016864026;	0.303062882692232;	0.307980515573160;	0.314069662380573;	0.319820197652200;	0.326590541553459;	0.326856296291646;	0.331526697297366;	0.335884998342148;	0.339706944419696;	0.345132066275341;	0.345541686239784;	0.348446271857843;	0.348169215898221;	0.356199301282088;	0.358280099392398;	0.368307958902948;	0.376742400661228;	0.385229618261282;	0.394895606896538;	0.404993299649741;	0.415347669680549;	0.428243302629241;	0.434318497898586;	0.447664579005486;	0.459486747881590;	0.473406351999832;	0.486426894433638;	0.501822532605353;	0.515666889023422;	0.530627797698433;	0.563994618842957;	0.592228913145037;	0.616899740328568;	0.644758494552254;	0.674705509288945;	0.695019354236171;	0.791809636541010
0.697634738832539;	0.165330306449420;	0.183011169143004;	0.160131566715942;	0.146638482310224;	0.132718349848646;	0.173924166420849;	0.221832659535480;	0.104826568834144;	0.122733648718490;	0.290838278292742;	0.616208832915930;	0.113781427638595;	0.113811628601656;	0.111318694510109;	0.110278342588859;	0.083562447201322;	0.079054394567015;	0.081561896991268;	0.080359488254612;	0.081799166361444;	0.082884523617066;	0.085313828777481;	0.083585975236001;	0.083388548569334;	0.082676503610234;	0.090560498752303;	0.086419704249107;	0.087793323599435;	0.094934050775091;	0.090248902219346;	0.092843861296272;	0.099922690688459;	0.096025630767948;	0.098973464783605;	0.107205071027191;	0.104917343278289;	0.107657691029665;	0.111992933717413;	0.117389462114957;	0.116102060887493;	0.120579288615103;	0.123491056128706;	0.129579529908553;	0.137750920247819;	0.136577496195727;	0.142610318660110;	0.145687062877527;	0.147343131612364;	0.155301999297538;	0.162871214155302;	0.171076634405430;	0.168624823900259;	0.174562938485137;	0.179509493862236;	0.185302220752358;	0.187632335459351;	0.191991608615291;	0.198131086518714;	0.206110900772016;	0.205378249942897;	0.211059806969980;	0.217246860000930;	0.225465400384617;	0.229619194408483;	0.230158675356345;	0.235226699232576;	0.238995481762329;	0.243935392920775;	0.246820718647205;	0.252652312413602;	0.258817382122023;	0.263499006411450;	0.266439875346253;	0.265362891830434;	0.269209073603706;	0.273897890729911;	0.280806916136121;	0.286758182971433;	0.292656077386845;	0.298066646786221;	0.304104419109537;	0.309093336057256;	0.315578810735499;	0.320555436139910;	0.326581664885057;	0.332402450790749;	0.339252777250631;	0.339527833317544;	0.344256801377736;	0.348673979470632;	0.352548008504134;	0.358044327552646;	0.358374797028539;	0.361240838699910;	0.360897560709477;	0.368998735825038;	0.371096134797479;	0.381196490791359;	0.389685711341954;	0.398222150217808;	0.407934378670050;	0.418080214112958;	0.428481087064060;	0.441438189168298;	0.447557921095814;	0.460981777897223;	0.472882051439124;	0.486890650438833;	0.499992706859466;	0.515457842464656;	0.529288792033934;	0.544269107200507;	0.577542604784532;	0.605622858552047;	0.630122002290179;	0.657774561595321;	0.687436506589067;	0.707478194816353;	0.801824118803512
0.713002279292930;	0.186625950404434;	0.204279908289931;	0.178863500299330;	0.163534769272135;	0.147730115589050;	0.189903562991357;	0.236766051410671;	0.116494328069737;	0.135151992941147;	0.300834484176998;	0.624539311959639;	0.123602629348169;	0.123200183127913;	0.119608183406067;	0.118734656607400;	0.092018925294457;	0.087077124857754;	0.089432666041462;	0.088270740015658;	0.089611650462996;	0.090668116586907;	0.093103982677007;	0.091350076685237;	0.090998721775949;	0.090093693145450;	0.098406769490536;	0.093965243808260;	0.095351658123268;	0.102875246033776;	0.097895298591782;	0.100543973418235;	0.107955070627235;	0.103797313139271;	0.106972914277912;	0.115299540418495;	0.112861152718248;	0.115601704284385;	0.120563201523789;	0.126228104907573;	0.124762390033152;	0.129469339302508;	0.131796417410273;	0.138112086541053;	0.146592299141129;	0.145491085776854;	0.151798066236070;	0.155578259254484;	0.156947564561247;	0.165194854993772;	0.173041318002122;	0.181536472337394;	0.178559617092045;	0.184666016447931;	0.189511816960473;	0.195480701221966;	0.197977936286424;	0.202531133050853;	0.208834699142655;	0.217026511389170;	0.216843047765085;	0.222701754955030;	0.229072479906761;	0.237507762712600;	0.241776308879590;	0.242296604078535;	0.247484920036464;	0.251336087473073;	0.256385784078141;	0.259084127695459;	0.265025302327804;	0.271304065472947;	0.276067709089649;	0.278971976337869;	0.277379945953549;	0.281329179459606;	0.286129779995978;	0.293181172236339;	0.299256379702824;	0.305272379869561;	0.310790025524216;	0.316938213641281;	0.322016332590325;	0.328613186746170;	0.333670376085659;	0.339668813367400;	0.345573956555178;	0.352513242995101;	0.352804665865739;	0.357590733042951;	0.362058990092080;	0.365967851407131;	0.371512019691845;	0.371729465905351;	0.374522503821661;	0.374084049895166;	0.382235741685750;	0.384344550968404;	0.394520423777617;	0.403079261692103;	0.411689715438068;	0.421478599328410;	0.431703529142505;	0.442172050562782;	0.455184214921269;	0.461319873546470;	0.474757771619519;	0.486637843541290;	0.500602376626988;	0.513629041454458;	0.529003308079010;	0.542695796524181;	0.557590784537165;	0.590695071821738;	0.618591974867210;	0.642917602341224;	0.670368652639462;	0.699769395300470;	0.719593505988611;	0.811509031883537
0.729512949175362;	0.210997433113250;	0.228244602435911;	0.200076261425575;	0.182632885265699;	0.164727761967295;	0.208053750587763;	0.253086116067323;	0.129631058155457;	0.149646959704332;	0.312435765632578;	0.633472705953391;	0.134814906413950;	0.133645122491026;	0.128999470145683;	0.128302172432366;	0.101441538975193;	0.095924192251409;	0.098419130995694;	0.096984613686009;	0.098263902166956;	0.099485938256969;	0.101991315486913;	0.099842417524954;	0.099329272016040;	0.098455552805699;	0.107150596891315;	0.102404851351040;	0.103738911073749;	0.111667644774128;	0.106270694984251;	0.109018879174718;	0.116814236656450;	0.112408754932453;	0.115469274319917;	0.124494406242031;	0.121865508341200;	0.124892588639523;	0.129376300412907;	0.135271471275037;	0.133745321164034;	0.138674758280449;	0.141607648178682;	0.148177588998294;	0.157037130537969;	0.155648840074960;	0.162188566292797;	0.165456629640056;	0.167017405756009;	0.175545022044529;	0.183656779361599;	0.192421013454519;	0.189717600300340;	0.196067152438793;	0.201268103208446;	0.207448758227835;	0.209719236273117;	0.214240178488946;	0.220730861718299;	0.229145527669171;	0.228198832674519;	0.234178444256188;	0.240685907427574;	0.249299108023261;	0.253654653757475;	0.254112957467704;	0.259423704602933;	0.263365218406676;	0.268546583938149;	0.271384151136961;	0.277449577788468;	0.283860222471405;	0.288727373409460;	0.291719581253061;	0.290542179950090;	0.294539866422981;	0.299396782902788;	0.306534371334008;	0.312681709494299;	0.318766104038222;	0.324343889876354;	0.330556885789405;	0.335680623593492;	0.342345934428349;	0.347440604925775;	0.353392584782576;	0.359343452926182;	0.366335881453241;	0.366618664660614;	0.371440556189723;	0.375947704532317;	0.379892616182834;	0.385493361420381;	0.385609709410403;	0.388345364255586;	0.387828846501419;	0.396036599310871;	0.398151501303711;	0.408371829780041;	0.416954484488373;	0.425576205659089;	0.435362218894026;	0.445577513106261;	0.456024301838336;	0.469016099413955;	0.475116394217521;	0.488530579557227;	0.500379318261852;	0.514311656218606;	0.527299211849107;	0.542626945067817;	0.556220103763135;	0.571061236742200;	0.604012472327972;	0.631737833432144;	0.655891901004384;	0.683127614099117;	0.712244266777424;	0.731833008523993;	0.821224828402030
