0.000000000000000;	0.082101477491493;	0.042964866029774;	0.037561507505279;
0.004184169853853;	0.003205811544070;	0.001808826753202;	0.001442801987882;
0.003530435252568;	0.002762226858835;	0.001560476371910;	0.001230568763536;
0.003130033240876;	0.002385649183713;	0.001339066773972;	0.001071224953898;
0.002927009852912;	0.002202998597449;	0.001231402894544;	0.000991785476480;
0.002784559256409;	0.002018964599306;	0.001120694661398;	0.000922385523749;
0.006565270381261;	0.005873972765813;	0.005052778299500;	0.029202978945181;
0.002456352008526;	0.001803626572103;	0.001003362593970;	0.000858377114217;
0.002405020798679;	0.001794123080482;	0.000999887629817;	0.000845680768245;
0.002564427132036;	0.001878201394869;	0.001043325242327;	0.000882380995217;
0.002357761310210;	0.001746575755262;	0.000973109181925;	0.000851943501222;
0.002516919035793;	0.001844316865888;	0.001073815945852;	0.001701457160228;
0.002439965686025;	0.001838498529762;	0.001091583839387;	0.001951355538664;
0.002340264572366;	0.001718877346288;	0.000961247609230;	0.000909753459519;
0.002474370890585;	0.001846420174025;	0.001034809006292;	0.000960011510420;
0.009812629746467;	0.015441998832879;	0.029158149635848;	0.009354698286969;
0.002917994676424;	0.002509991352768;	0.001533991117392;	0.002879820409443;
0.002608421714707;	0.002222280705682;	0.001347788549858;	0.001321804224466;
0.002522545544009;	0.002036755130468;	0.001204587560529;	0.001141193088074;
0.002878225709396;	0.002313759307734;	0.001469734667711;	0.002991826370269;
0.002676649024201;	0.002133750404216;	0.001314041982962;	0.002153492082922;
0.002538200452384;	0.002142653348901;	0.001302410924770;	0.001541596443689;
0.002801259540639;	0.002215407615609;	0.001359254802005;	0.002230938032012;
0.002962452633141;	0.002530573273059;	0.001590836800916;	0.002833102842111;
0.002699297372238;	0.002163423318580;	0.001315578566779;	0.001984656123229;
0.002936536791003;	0.002568701420574;	0.001618771543028;	0.002976948064403;
0.003027097732024;	0.002470048496774;	0.001665328945384;	0.002613611757452;
0.003124207889688;	0.002771773489405;	0.001813680033950;	0.002690246904863;
0.002849675791325;	0.002470840039754;	0.001679120793203;	0.003060581528487;
0.003217210561027;	0.002766069805740;	0.001783845781051;	0.002574553668939;
