0.117430475217357;	0.079416700762522;	0.078087198982466;	0.047303471109767;
0.008003545216595;	0.004781762761721;	0.000000000000000;	0.000000000000000;
0.006647623943748;	0.004319983147706;	0.000000000000000;	0.000000000000000;
0.006022002449403;	0.003685460708736;	0.000000000000000;	0.000000000000000;
0.005753523456464;	0.003415179016324;	0.000000000000000;	0.000000000000000;
0.005594874636714;	0.003006477715985;	0.000000000000000;	0.000000000000000;
0.005138145988541;	0.002814893927715;	0.000000000000000;	0.002249851744887;
0.004936952379865;	0.002798445486740;	0.000000000000000;	0.004499703489773;
0.004781061258660;	0.002865896316148;	0.000000000000000;	0.001999158043449;
0.005161597852121;	0.002948923312954;	0.000000000000000;	0.001569113821100;
0.004711202661774;	0.002828504154430;	0.000000000000000;	0.001820421581434;
0.004897889573940;	0.002702634409854;	0.000000000000000;	0.004878804522143;
0.004581103493442;	0.002741228873873;	0.000000000000000;	0.034531482529637;
0.004653484926900;	0.002764254100524;	0.000000000000000;	0.009466983071171;
0.004888030320253;	0.003040980771878;	0.000000000000000;	0.005170608504272;
0.004860116036264;	0.002866685236596;	0.000000029257426;	0.007592518584534;
0.004718289493565;	0.004195930593097;	0.000000058514851;	0.025316479528377;
0.004509635601344;	0.004006065868401;	0.000000057862678;	0.021393132113432;
0.004639227790840;	0.003596920532087;	0.002323964119230;	0.010399571283262;
0.004992734521617;	0.003584892273514;	0.002079223107470;	0.015139562915506;
0.004795588131494;	0.003493074499187;	0.002092214934271;	0.047708016236158;
0.004365948174289;	0.003992993969941;	0.002078352107471;	0.026652908814016;
0.005044756518390;	0.003579246878822;	0.001951460331507;	0.026453315863793;
0.004858486073176;	0.004485587573931;	0.001945683105370;	0.044006006991889;
0.004805535995320;	0.003660102669030;	0.001803501636940;	0.039723169423243;
0.004630358878197;	0.004698138459888;	0.001707479344495;	0.040204825023084;
0.005255211219465;	0.003869780133266;	0.002990097025702;	0.048897421265599;
0.004949946674288;	0.005126928186397;	0.005691750767795;	0.043647993538589;
0.004490331401111;	0.004189439693326;	0.005249368611689;	0.048097075510671;
0.005297920528026;	0.005028098953202;	0.004930695460981;	0.045101698578997;
0.004865640238736;	0.004600688626145;	0.004559790822207;	0.042870577593469;
0.004741699315612;	0.005307436135312;	0.005438629143721;	0.045542275441555;
0.005337966755507;	0.005010124640866;	0.007700006204124;	0.045711923588014;
0.004983164142077;	0.005559771702079;	0.009967170202739;	0.045742600606534;
0.004759757807522;	0.005180417492326;	0.009780748214042;	0.043617898448657;
0.005471507953308;	0.006066009600405;	0.009875484844797;	0.045239752222126;
0.004744126690524;	0.005718201580983;	0.011275820535909;	0.041818779527961;
0.005222510926744;	0.005956966677867;	0.013622217756743;	0.044597897170315;
0.005261775074301;	0.005890832713434;	0.015812850911618;	0.041037028728395;
0.004820097831708;	0.006176460810141;	0.015855091080837;	0.041116872300600;
0.005544983152664;	0.006528047602236;	0.017942711760351;	0.041658655994276;
0.005306444609595;	0.006121652127494;	0.020260962793499;	0.038434477920977;
0.004849663025894;	0.006642669339628;	0.021965843668943;	0.040725459150076;
0.005683583060186;	0.006530794966780;	0.023311334607311;	0.038143310141542;
0.005439133386252;	0.006655468216445;	0.025588659182926;	0.038447753633320;
0.004914326982674;	0.007088561759322;	0.025768333687663;	0.039943975097493;
0.005723898103463;	0.006653515443911;	0.026909617985783;	0.037790887048053;
0.005724174912670;	0.006790995651500;	0.028853212632122;	0.036691982071312;
0.004725212373628;	0.007237363044996;	0.030287873052693;	0.038067201686021;
0.005782653691412;	0.006948632955204;	0.033317693972516;	0.036385115327684;
0.005787791417900;	0.007506879038069;	0.034002812157627;	0.037033270125106;
0.004984503375206;	0.007456084224877;	0.034626909181754;	0.035903294836676;
0.005796942993624;	0.006949558765387;	0.036279095755021;	0.035376705533078;
0.005750925567778;	0.007623819574675;	0.035362933348573;	0.035277761537278;
0.005104771672219;	0.007427681775354;	0.035837657321212;	0.034570719689922;
0.005771464612218;	0.007449844224424;	0.037276720167214;	0.037877210260865;
0.005834585204065;	0.007617556306527;	0.038153207129196;	0.036915974134940;
0.005268602599597;	0.007637205341317;	0.037370302212367;	0.035855969783866;
0.005764666703248;	0.007231458659885;	0.037514326431660;	0.036817341219291;
0.005776727894897;	0.007753830463158;	0.037299722737645;	0.033961681756919;
0.005353325812552;	0.008045949930084;	0.038912326346119;	0.032918675106857;
0.006035298370135;	0.007650005804136;	0.037840714140838;	0.032214644758459;
0.005725614478452;	0.007161668628399;	0.037671532039087;	0.031696435449882;
0.005495745769685;	0.007821483355283;	0.039214686892633;	0.031005276395645;
0.006029599748475;	0.008004928539075;	0.037046122926066;	0.030327313290199;
0.006191596692910;	0.007826257291023;	0.035212955064604;	0.029772578996260;
0.005495944884415;	0.007633450189377;	0.033638181473728;	0.028947473583213;
0.006320930667312;	0.007950961456836;	0.034147054711735;	0.029070878491901;
0.005982489499266;	0.007630696788387;	0.033090401141943;	0.028109564144277;
0.005515422306864;	0.007702841178796;	0.031653878532239;	0.027007416149688;
0.006408796847000;	0.007646154172257;	0.031729433031066;	0.027071109180411;
0.006316094345066;	0.008001557961777;	0.031048240273599;	0.025486214046310;
0.005378593278167;	0.008083788173419;	0.029807364929052;	0.024214101526939;
0.006328838904944;	0.008051966932195;	0.028076248994401;	0.024683944288505;
0.006575364618443;	0.007822497007964;	0.027476743701242;	0.023983821362304;
0.006500143895251;	0.007474778119475;	0.026700070330144;	0.022366196575606;
0.005840181059918;	0.007937569656420;	0.025396934110106;	0.021476596612390;
0.006680415642659;	0.008004790534375;	0.024644775352241;	0.020759520580775;
0.006520438648103;	0.007994197819788;	0.024060996215267;	0.019864260438326;
0.005795692140720;	0.007908090696594;	0.022846461291022;	0.019326058168681;
0.006700376649833;	0.007621771879446;	0.022227938171824;	0.018502608318867;
0.006987811760583;	0.007874279063091;	0.023323478461631;	0.017709974959085;
0.006946965527220;	0.007966778317056;	0.022975753468558;	0.017354753587218;
0.006145074954261;	0.008028880540587;	0.020488276067371;	0.017100292568100;
0.007402492731555;	0.008021339880665;	0.018776715822272;	0.016273988578744;
0.007155686580696;	0.007943751309162;	0.018121562103547;	0.015474862807421;
0.007261438966326;	0.007843741319800;	0.017661876724448;	0.015110264175305;
0.006612031059064;	0.008028149894127;	0.016959472728213;	0.014680583135328;
0.007452142700566;	0.008260298623537;	0.016406380232702;	0.014183916372062;
0.007617920809189;	0.008333746413092;	0.015462345861676;	0.013749699296480;
0.007559184769982;	0.008381776524876;	0.014844078545304;	0.013182340046249;
0.006927285345524;	0.008359779902191;	0.014432259100574;	0.012668919598197;
0.007398998558787;	0.008378732459777;	0.013837613106803;	0.012418343307266;
0.007905782254703;	0.008447293328813;	0.013372762914623;	0.012157232767872;
0.007962683605082;	0.008616532959264;	0.012786642480745;	0.011922768619657;
0.007738595681176;	0.008883948624828;	0.012324516425961;	0.011711548104358;
0.006674976950535;	0.008780574687467;	0.011927544803155;	0.011480361586640;
0.007844583391247;	0.008918382911009;	0.011580116145458;	0.011202910748389;
0.007666179671761;	0.008887092142783;	0.011385750359405;	0.010931139447201;
0.007400443144777;	0.008875989450731;	0.011265845033683;	0.010588618220796;
0.007140196529217;	0.008909247949994;	0.010900123047284;	0.010330973332237;
0.005944100105734;	0.009034943970685;	0.010451834648012;	0.010248161151313;
0.007130716712043;	0.008932493008817;	0.010193507529601;	0.010057225616222;
0.005794275224409;	0.008756774582179;	0.009981938338857;	0.009806417016158;
0.005958096069737;	0.008561667005039;	0.009777222709699;	0.009540357040608;
0.005796221424386;	0.007887460305348;	0.009572991838472;	0.009215773217762;
0.005574815740572;	0.007833281767848;	0.009275974630856;	0.008854008580498;
0.005545723083408;	0.007692828436414;	0.008938575938378;	0.008449169349711;
0.005616844770076;	0.007626292892364;	0.008639214472478;	0.007937337959324;
0.005463580612684;	0.007481199209882;	0.008363334693804;	0.007422739904251;
0.005319296360560;	0.007308123305956;	0.007887391634229;	0.006978548091865;
0.005150787477785;	0.007116658677691;	0.007346914031928;	0.006571465032710;
0.004982598975418;	0.006927325885506;	0.006944883902758;	0.006152980642374;
0.004768468409653;	0.006774984927263;	0.006544525606812;	0.005765316087469;
0.004994023913540;	0.006625156052762;	0.006152360873841;	0.005426783011512;
0.004843875133435;	0.006439107164439;	0.005772779289594;	0.005105025335473;
0.004790565570477;	0.006244662890331;	0.005416188017378;	0.004812364199017;
0.004622952562803;	0.006082489028923;	0.005106096089408;	0.004514081854465;
0.004493811651016;	0.006054583711272;	0.004781793665022;	0.004235700708296;
