0.118707895194575;	0.078841215150259;	0.043601230897638;	0.037975380441433;
0.123345901993386;	0.082796391201659;	0.045798615720463;	0.039606698892841;
0.126512435907644;	0.085305193934489;	0.047171071503775;	0.040667193962101;
0.129182500926304;	0.087455895329063;	0.048348064351201;	0.041569093215134;
0.131542626389370;	0.089288740170842;	0.049344106753487;	0.042348491252963;
0.133741471318365;	0.090964748121124;	0.050251831120984;	0.043067313572454;
0.135834788013866;	0.092487454556498;	0.051070668191238;	0.043733906042941;
0.141137956293539;	0.097271238928784;	0.055215126530929;	0.071660205553837;
0.142984235069596;	0.098624392387344;	0.055945643586815;	0.072281822906430;
0.144793033753589;	0.099969867951539;	0.056673404587728;	0.072898457872366;
0.146727414177695;	0.101378592312490;	0.057434129598964;	0.073542411537381;
0.148507826985292;	0.102687307582755;	0.058144458827808;	0.074170361374601;
0.150406251283225;	0.104063256065234;	0.058925664811843;	0.075527305491316;
0.152254984161707;	0.105442878944220;	0.059726011067928;	0.077121424022171;
0.154037919774939;	0.106738911331701;	0.060434342288731;	0.077800852385547;
0.155926249885049;	0.108137342331202;	0.061201172369043;	0.078520009324847;
0.163711221051744;	0.121341329421037;	0.087838182613024;	0.086149425231396;
0.165925272220665;	0.123255441875381;	0.088969920657354;	0.088443191696451;
0.167922611010049;	0.124958948888717;	0.089984395642029;	0.089437885792902;
0.169860154461612;	0.126515351814054;	0.090890534370559;	0.090300459636945;
0.172058223345017;	0.128267363377046;	0.091986898413548;	0.092649280831329;
0.174112982565578;	0.129888520655245;	0.092969418809793;	0.094307267411464;
0.176073845178893;	0.131528055699580;	0.093953196462197;	0.095474230601058;
0.178239952811314;	0.133224498102909;	0.094977264496258;	0.097197973528506;
0.180517653924706;	0.135151939581360;	0.096169228866256;	0.099355908686959;
0.182617624376272;	0.136815364424075;	0.097164888051078;	0.100852678225898;
0.184885333955915;	0.138776932618841;	0.098380010160257;	0.103122330591978;
0.187241480668983;	0.140680483973461;	0.099657181708332;	0.105082834552116;
0.189670219814169;	0.142812991176865;	0.101040418125682;	0.107107812945949;
0.191888171163414;	0.144709659526417;	0.102317648880398;	0.109406693288006;
0.194406899739894;	0.146845103375658;	0.103679706323160;	0.111335268854249;
0.196793063640935;	0.148878917018343;	0.105009937977411;	0.113592255907734;
0.199254231929573;	0.151084007382123;	0.106502210351648;	0.115720554541427;
0.201907806586708;	0.153374693275857;	0.108116036864390;	0.118153286366745;
0.204543002470590;	0.155774365820102;	0.109858797035169;	0.120461785901055;
0.207065025356556;	0.158030190013495;	0.111452243511087;	0.122804784889379;
0.209973104608122;	0.160659001000548;	0.113342738404679;	0.125388424643226;
0.212599431191462;	0.163098206984748;	0.115139675403689;	0.127694858706446;
0.215557966464539;	0.165861791113285;	0.117344120026573;	0.130691175360417;
0.218422553584344;	0.168489655850318;	0.119353405330375;	0.133010792753313;
0.221345855150190;	0.171312019003473;	0.121656592194323;	0.136168697119847;
0.224500734842913;	0.174279729394435;	0.124037348808871;	0.138750592399066;
0.227628955358309;	0.177263061272509;	0.126594223631228;	0.141799052392697;
0.230679719630629;	0.180285640757641;	0.129158106452704;	0.144633716101785;
0.234075320409332;	0.183547895481730;	0.132041926607900;	0.147720649544095;
0.237432622837993;	0.186821994015432;	0.134938788400353;	0.150835596622768;
0.240747329565640;	0.190191141231940;	0.137946635862209;	0.154211374157429;
0.244292850050630;	0.193638956116575;	0.141103817796978;	0.157382609568058;
0.247954829219504;	0.197231529880706;	0.144443033831157;	0.160930962747549;
0.251366412898576;	0.200815665262137;	0.147846888784088;	0.164381055572511;
0.255229848062443;	0.204711250912012;	0.151716194356351;	0.168066580428991;
