0.000000000000000;	0.075492848675503;	0.037969639590625;	0.032953388708008;
0.003166533914258;	0.002508802732830;	0.001372455783312;	0.001060495069261;
0.002670065018661;	0.002150701394574;	0.001176992847427;	0.000901899253032;
0.002360125463065;	0.001832844841779;	0.000996042402285;	0.000779398037829;
0.002198844928995;	0.001676007950282;	0.000907724367497;	0.000718822319491;
0.002093316695500;	0.001522706435375;	0.000818837070255;	0.000666592470487;
0.005303168279673;	0.004783784372285;	0.004144458339691;	0.027926299510896;
0.001846278776058;	0.001353153458561;	0.000730517055886;	0.000621617352592;
0.001808798683993;	0.001345475564195;	0.000727761000913;	0.000616634965937;
0.001934380424106;	0.001408724360951;	0.000760725011236;	0.000643953665015;
0.001780412807597;	0.001308715270265;	0.000710329228844;	0.000627949837220;
0.001898424297933;	0.001375948482478;	0.000781205984035;	0.001356944116715;
0.001848732878482;	0.001379622878987;	0.000800346256085;	0.001594118530855;
0.001782935613232;	0.001296032387481;	0.000708331220803;	0.000679428363376;
0.001888330110110;	0.001398430999501;	0.000766830080312;	0.000719156939300;
0.007784971166695;	0.013203987089835;	0.026637010243981;	0.007629415906549;
0.002214051168921;	0.001914112454345;	0.001131738044330;	0.002293766465055;
0.001997338789384;	0.001703507013335;	0.001014474984675;	0.000994694096451;
0.001937543451563;	0.001556402925338;	0.000906138728530;	0.000862573844043;
0.002198068883405;	0.001752011562992;	0.001096364042989;	0.002348821194385;
0.002054759220561;	0.001621157278199;	0.000982520396245;	0.001657986580135;
0.001960862613315;	0.001639535044335;	0.000983777652403;	0.001166963189594;
0.002166107632421;	0.001696442403329;	0.001024068034061;	0.001723742927448;
0.002277701113391;	0.001927441478450;	0.001191964369998;	0.002157935158453;
0.002099970451566;	0.001663424842716;	0.000995659184822;	0.001496769538939;
0.002267709579643;	0.001961568194765;	0.001215122109179;	0.002269652366081;
0.002356146713068;	0.001903551354620;	0.001277171548074;	0.001960503960137;
0.002428739145185;	0.002132507203404;	0.001383236417350;	0.002024978393833;
0.002217951349246;	0.001896668349552;	0.001277230754717;	0.002298880342058;
0.002518728576480;	0.002135443849240;	0.001362057442761;	0.001928575566243;
0.002386163901041;	0.002033813642685;	0.001330231654251;	0.002256987053485;
0.002461168288637;	0.002205090363780;	0.001492272374237;	0.002128298633693;
0.002653574657136;	0.002290685893734;	0.001613826512742;	0.002432731825318;
0.002635195883881;	0.002399672544245;	0.001742760170779;	0.002308499534310;
0.002522022885966;	0.002255824193393;	0.001593446475918;	0.002342998988324;
0.002908079251566;	0.002628810987053;	0.001890494893591;	0.002583639753847;
0.002626326583340;	0.002439205984200;	0.001796936999010;	0.002306434063219;
0.002958535273077;	0.002763584128538;	0.002204444622884;	0.002996316653971;
0.002864587119805;	0.002627864737033;	0.002009285303802;	0.002319617392896;
0.002923301565846;	0.002822363153155;	0.002303186863948;	0.003157904366534;
0.003154879692723;	0.002967710390962;	0.002380756614548;	0.002581895279219;
0.003128220515395;	0.002983331878075;	0.002556874822357;	0.003048459993631;
