0.000000000000000;	0.022687977348269;	0.012581892283155;	0.005482602419833;
0.003769273223058;	0.002939529374106;	0.001470482102991;	0.001150851213215;
0.003172999353989;	0.002533606862404;	0.001264539772339;	0.000979859943657;
0.002815348609549;	0.002163859976779;	0.001076336284514;	0.000848944158376;
0.002628024709716;	0.001982813451602;	0.000984045108742;	0.000783319236856;
0.002509449074191;	0.001797331986562;	0.000890665974075;	0.000726914567513;
0.005805726960217;	0.005162442398924;	0.004336546314790;	0.030753378291974;
0.002207418270177;	0.001601751216347;	0.000794873911842;	0.000681629237162;
0.002158635170910;	0.001596884025899;	0.000792041128668;	0.000673602906634;
0.002307915171019;	0.001665300385051;	0.000826355879223;	0.000701351516202;
0.002119265283015;	0.001548229785872;	0.000770430145927;	0.000685429312236;
0.002258476098322;	0.001616884580318;	0.000851239310268;	0.001548925250145;
0.002186272590295;	0.001618993494463;	0.000869684597084;	0.001821146773905;
0.002112729047812;	0.001522429788682;	0.000763739568140;	0.000744666542678;
0.002231248871713;	0.001642717420889;	0.000824439224950;	0.000785831734456;
0.008480641537181;	0.013668367771691;	0.030050800878857;	0.008064099949448;
0.002584875341807;	0.002276756625489;	0.001231441987742;	0.002670192896885;
0.002329871136535;	0.002024191145378;	0.001100192071796;	0.001114542019135;
0.002264699742366;	0.001835625705461;	0.000976679001838;	0.000951792588899;
0.002564725012275;	0.002047373658611;	0.001189300919621;	0.002752864409474;
0.002396131918843;	0.001896185431434;	0.001061534153931;	0.001927922961298;
0.002271297746556;	0.001933048785721;	0.001058199716205;	0.001325842559923;
0.002517124149175;	0.001973353469022;	0.001100732797171;	0.001995009769971;
0.002633052694765;	0.002267233496262;	0.001286717964236;	0.002539653961402;
0.002429742952808;	0.001935295249899;	0.001065535018565;	0.001734314945755;
0.002607408087891;	0.002308741959717;	0.001308210183131;	0.002669347394163;
0.002719192867640;	0.002197825446647;	0.001385311928772;	0.002299116256746;
0.002782511222938;	0.002501052517631;	0.001494091364095;	0.002360287858617;
0.002540439413589;	0.002206316608385;	0.001385970976340;	0.002723089635525;
0.002883034787037;	0.002489440372627;	0.001465525891212;	0.002238235322913;
0.002724688091504;	0.002362530387064;	0.001433860191419;	0.002649339852985;
0.002795768180707;	0.002572725207633;	0.001613690974880;	0.002486646840281;
0.003020532048220;	0.002645886571760;	0.001756370821158;	0.002845283967852;
0.002984499156308;	0.002785281573606;	0.001903277723385;	0.002683433570355;
0.002851249193020;	0.002612121653353;	0.001733097521647;	0.002732934994342;
0.003283315421482;	0.003042358401415;	0.002060839533294;	0.002998507034486;
0.002953289537677;	0.002823166984959;	0.001960123227451;	0.002663968061517;
0.003322227310352;	0.003175514763672;	0.002433170145629;	0.003491993560866;
0.003216309378371;	0.003021554256739;	0.002206467780341;	0.002650792470665;
0.003263531651928;	0.003242942241441;	0.002542929093764;	0.003680149518109;
0.003524350864548;	0.003400365237294;	0.002625398416609;	0.002936015186088;
0.003487137266220;	0.003399891132912;	0.002847422241812;	0.003510737392906;
0.003383817552817;	0.003462576444389;	0.002848249146992;	0.003239201858966;
0.003773173940442;	0.003702464588885;	0.003219955714542;	0.003519661895145;
0.003717434540919;	0.003716746252171;	0.003234133650158;	0.003546487525192;
0.003649630678864;	0.003836079292807;	0.003358830343697;	0.003859230131287;
0.003915771147473;	0.003889385654459;	0.003534901587301;	0.003586401686058;
0.004031356784185;	0.004042899712799;	0.003745725322567;	0.004029740431249;
0.003730293204829;	0.004058395330182;	0.003828050156605;	0.003912743268939;
0.004236621170799;	0.004362741982421;	0.004375692922512;	0.004159679306754;
0.004311852921415;	0.004456513208543;	0.004195763354333;	0.004367595015928;
0.004093214869507;	0.004517838435318;	0.004641420253509;	0.004228491239464;
0.004368500251943;	0.004483449620382;	0.004505035571134;	0.004537118937788;
0.004503359947731;	0.004757425364128;	0.004766532316186;	0.004506320887071;
0.004274430670187;	0.004663157355023;	0.004787022163788;	0.004676094185966;
0.004712091087020;	0.005004269365922;	0.005264536666782;	0.005373588519498;
0.004741649510869;	0.005030671478250;	0.005224656883523;	0.004930992626989;
0.004619799626481;	0.005064218844533;	0.005349559818647;	0.005424415348147;
0.004805330621787;	0.005083569841369;	0.005448534451240;	0.005343563662826;
0.004931544254997;	0.005292758597854;	0.005599326153377;	0.005282155712133;
0.004953763581098;	0.005556515507829;	0.006127965214288;	0.005573104018407;
0.005133822469968;	0.005411377478949;	0.005708887773281;	0.005452098095959;
0.005117457064491;	0.005522618155922;	0.006316081223556;	0.005766242871186;
0.005130674588315;	0.005665733288247;	0.006271814731140;	0.005680213464017;
0.005466678504451;	0.005883834923002;	0.006380166260145;	0.005999307045557;
0.005539590222895;	0.005861063847049;	0.006305315045853;	0.005918894768952;
0.005255834306662;	0.005727429399586;	0.006255855468259;	0.006008722096215;
0.005858003355558;	0.006236416955701;	0.006870221086987;	0.006413121980762;
0.005607646526852;	0.005950390484823;	0.006438270748082;	0.006178779073450;
0.005527385911699;	0.006062782197621;	0.006742803160123;	0.006324350558758;
0.006046464108456;	0.006325417083731;	0.006936229654211;	0.006693348261702;
0.006110287988393;	0.006493288066479;	0.007102176904178;	0.006418348868527;
0.005722376237242;	0.006361359118187;	0.006958674638735;	0.006578322656659;
0.006272603060532;	0.006622207157656;	0.007084329618931;	0.006922475796483;
0.006464542945384;	0.006735629830533;	0.007316783197353;	0.006923212032231;
0.006392198029507;	0.006598238406516;	0.007165859234958;	0.006759794439227;
