0.000000000000000;	0.024059412522749;	0.014189993064842;	0.006339590414794;
0.008834386060344;	0.004684656482688;	0.000000000000000;	0.000000000000000;
0.007354185259183;	0.004266201912387;	0.000000000000000;	0.000000000000000;
0.006655325105397;	0.003685759969116;	0.000000000000000;	0.000000000000000;
0.006399311564439;	0.003451571265862;	0.000000000000000;	0.000000000000000;
0.006193456220926;	0.003073072700550;	0.000000000000000;	0.000000000000000;
0.005728104382214;	0.002907214641504;	0.000000000000000;	0.002295664760120;
0.005508872390481;	0.002897056562776;	0.000000000000000;	0.004591329520240;
0.005342994563733;	0.002970714830051;	0.000000000000000;	0.001993728230422;
0.005762827680796;	0.003081916420723;	0.000000000000000;	0.001540523723101;
0.005272825839384;	0.002985242503956;	0.000000000000000;	0.001762430878595;
0.005474969038393;	0.002875242670176;	0.000000000000000;	0.004554857603574;
0.005132072526779;	0.002924636026260;	0.000000000000000;	0.029934718597728;
0.005190645828967;	0.002958401873965;	0.000000000000000;	0.009191043076003;
0.005477082516248;	0.003252063855344;	0.000000000000000;	0.005077016110704;
0.005468590286705;	0.003082201783369;	0.000000029575242;	0.007347171392684;
0.005307871394803;	0.004326293097409;	0.000000059150483;	0.023691108091481;
0.005062714113269;	0.004183513596859;	0.000000058491175;	0.020695393613006;
0.005219337088025;	0.003829059396788;	0.002182396951086;	0.010283877948755;
0.005626449264876;	0.003868119066534;	0.001957087860324;	0.014938819026230;
0.005400732790634;	0.003784198345451;	0.001986826263934;	0.045464978535916;
0.004899219834577;	0.004335256712479;	0.001984710287151;	0.026383545398094;
0.005684097080070;	0.003881168291905;	0.001877606447259;	0.026338071477137;
0.005475077672944;	0.004880312142827;	0.001883267287402;	0.043105085154133;
0.005402085169383;	0.003985543573506;	0.001752452817411;	0.040044944544798;
0.005208358118937;	0.005133080948336;	0.001674000206315;	0.040885188261141;
0.005917429317353;	0.004221605640050;	0.002918925217306;	0.049828426402079;
0.005572499819588;	0.005612013207843;	0.005477594963397;	0.045206120248065;
0.005036283035032;	0.004606467938118;	0.005074995295287;	0.049884788884070;
0.005960900784788;	0.005542902251055;	0.004826652282332;	0.047447171557837;
0.005469873467023;	0.005069327171567;	0.004513827429428;	0.045398249460372;
0.005308706814194;	0.005865879176206;	0.005365157648727;	0.048322374654484;
0.006000010516941;	0.005548562506396;	0.007560383943108;	0.048968399523582;
0.005587426298519;	0.006160988317106;	0.009828457405403;	0.049180733285482;
0.005321183682583;	0.005752220449545;	0.009728514486262;	0.047114007311170;
0.006134001023609;	0.006745244239386;	0.009927040150987;	0.049124593085024;
0.005303021610773;	0.006365340606027;	0.011329129680681;	0.045575115000931;
0.005831685471748;	0.006636382264958;	0.013666418100175;	0.048772032455089;
0.005880812426644;	0.006576622732117;	0.015987924191493;	0.045018622349834;
0.005360239388365;	0.006897773923936;	0.016025458058666;	0.045205088897209;
0.006177995195624;	0.007293371831946;	0.018141444770874;	0.045943922864945;
0.005910764379509;	0.006850909610035;	0.020692755567829;	0.042426037956947;
0.005367742196475;	0.007433260585626;	0.022571824127374;	0.045074015888160;
0.006312270519775;	0.007312915112620;	0.023973614474653;	0.042247061302451;
0.006030591538127;	0.007456409997699;	0.026468363293492;	0.042624399140870;
0.005415946102557;	0.007941722943629;	0.026884690145734;	0.044335567603441;
0.006329607396191;	0.007456607058205;	0.028112000213640;	0.041941934130709;
0.006313798476577;	0.007614207636383;	0.030243599945175;	0.040725053819530;
0.005181829500103;	0.008110871634735;	0.032031854666204;	0.042297430428198;
0.006357850313506;	0.007780799822604;	0.035329021665639;	0.040414963696254;
0.006353514154671;	0.008404713809274;	0.036243202392481;	0.041152215534827;
0.005435335057550;	0.008342338229951;	0.037117825134517;	0.039899803215110;
0.006335298986970;	0.007772431454196;	0.038995671323509;	0.039312219801061;
0.006269094687202;	0.008515923661348;	0.038226890688726;	0.039212713868615;
0.005533142325705;	0.008287770672859;	0.038878038834461;	0.038426154989194;
0.006265856219779;	0.008303892063226;	0.040571676411620;	0.042125211855831;
0.006318780308747;	0.008478389012742;	0.041705126315910;	0.041076656128794;
0.005671956593408;	0.008487252313200;	0.040972193785438;	0.039904277153248;
0.006212648003456;	0.008022523799914;	0.041277122105835;	0.040978459487053;
0.006206065958808;	0.008591814546502;	0.041146541677223;	0.037795076024350;
0.005721822110786;	0.008896209500806;	0.043034511538945;	0.036632040235215;
0.006455393546266;	0.008439685962682;	0.041947565727426;	0.035844126870945;
0.006100101194899;	0.007884586540655;	0.041837597662537;	0.035258401912586;
0.005827089128382;	0.008595222792432;	0.043627220725739;	0.034466512240082;
0.006394251429692;	0.008775312478722;	0.041263107391698;	0.033696674836537;
0.006543552689894;	0.008557623588031;	0.039247619197412;	0.033058344380841;
0.005770953676318;	0.008325561947959;	0.037508786382820;	0.032113970448249;
0.006638942838736;	0.008648735232272;	0.038085116591331;	0.032222902186049;
0.006257102361298;	0.008279982097445;	0.036889721655871;	0.031119441471369;
0.005733153194304;	0.008334940959508;	0.035264242872839;	0.029859288770436;
0.006658572390383;	0.008249536733048;	0.035318313545006;	0.029889263709728;
0.006537901725596;	0.008607495250890;	0.034517462440893;	0.028090830478003;
0.005531070022508;	0.008670916977607;	0.033086619042377;	0.026640680430686;
0.006506779430608;	0.008608294792206;	0.031101273806727;	0.027112052526098;
