0.000000000000000;	0.022395873384220;	0.013340683280147;	0.006030820144800;
0.006369183535255;	0.004290747861805;	0.002504895922207;	0.002212297550538;
0.005424222880303;	0.003739773133708;	0.002188923829542;	0.001906640979486;
0.004883499669457;	0.003349111679650;	0.001955734439051;	0.001708363631033;
0.004729767133432;	0.003227337584139;	0.001879466910054;	0.001645331654570;
0.004498912504664;	0.003031863287350;	0.001760773263718;	0.001552962938878;
0.006807798747424;	0.005445636396836;	0.004240705628172;	0.017210637009104;
0.004115821514432;	0.002819357170871;	0.001640268069519;	0.001475663983628;
0.004044600872537;	0.002806800222355;	0.001634876112931;	0.001448970239876;
0.004337074844358;	0.002992864453503;	0.001739690257854;	0.001538128369353;
0.004044364625381;	0.002839966913144;	0.001654283501903;	0.001468193917057;
0.004218685386484;	0.002944513454467;	0.001742489446336;	0.001955702773941;
0.004063876322734;	0.002898362842845;	0.001726579094371;	0.002009088693827;
0.004006436574279;	0.002845848222743;	0.001662894312810;	0.001540423660166;
0.004288488557965;	0.003068499700287;	0.001792660446905;	0.001634477357769;
0.009848971436680;	0.012574838030742;	0.020351284025088;	0.007841431185403;
0.004634031606760;	0.003580335864082;	0.002192910254030;	0.002916209609301;
0.004330495211534;	0.003367490982250;	0.002055065716736;	0.001966992475333;
0.004351926892121;	0.003295255569765;	0.001981116085223;	0.001841852553031;
0.004871547422543;	0.003701715728197;	0.002309606533566;	0.003323389896975;
0.004628015822674;	0.003522051454258;	0.002169262056079;	0.002758585555458;
0.004393750318512;	0.003556105860148;	0.002182852671962;	0.002333438901756;
0.004862102305851;	0.003677586635495;	0.002263676966059;	0.002946249622654;
0.005110031131452;	0.004168348175077;	0.002616997385966;	0.003647533297303;
0.004715443215153;	0.003647832236994;	0.002250235056563;	0.002953366485835;
0.005068636500957;	0.004267291950836;	0.002702567602024;	0.003990760004663;
0.005273910017462;	0.004112522062881;	0.002681696795257;	0.003814267736984;
0.005458266196144;	0.004643801611140;	0.002997829902006;	0.004040168610829;
0.004920335734573;	0.004129135970394;	0.002737566800395;	0.004364701043590;
0.005707142095067;	0.004768893543565;	0.003066551809672;	0.004158323757228;
0.005345397958602;	0.004487836329266;	0.002943178222379;	0.004532893270750;
0.005469691929105;	0.004841723141555;	0.003223724244724;	0.004565289878100;
0.005951346681527;	0.005061218065637;	0.003457209053699;	0.005173933342137;
0.005853931643799;	0.005239564158994;	0.003637469672166;	0.004982927446353;
0.005573667445106;	0.004971217879783;	0.003441478430450;	0.005093278155515;
0.006481729516704;	0.005820770030774;	0.004075088761977;	0.005734068347177;
0.005777598121664;	0.005333360502725;	0.003772176780162;	0.005080783260719;
0.006487441533020;	0.006010437526400;	0.004520905692963;	0.006680986466257;
0.006271066298677;	0.005743746030539;	0.004191818646876;	0.005155858238238;
0.006344657865865;	0.006106679198041;	0.004672829566608;	0.007097989384704;
0.006794394945061;	0.006387292148489;	0.004829822000161;	0.005720629535260;
0.006765241835501;	0.006450309468446;	0.005192373730144;	0.006839081938819;
0.006482709057026;	0.006469292013356;	0.005177399704187;	0.006298094650136;
0.007210318414423;	0.006943657074759;	0.005728698638381;	0.006853472860870;
0.007111197811180;	0.006997206688193;	0.005857020501780;	0.006911330827751;
0.006964091061387;	0.007193674059838;	0.006131753170364;	0.007523324269930;
0.007374692734341;	0.007260256640413;	0.006269791546401;	0.006943042562476;
0.007599900975500;	0.007608914147774;	0.006770128126743;	0.007832442934421;
0.007051420105436;	0.007587438666527;	0.006942192923452;	0.007592469007851;
0.007893934896186;	0.008133136252556;	0.007735083338620;	0.008032566790386;
0.008055544442826;	0.008363905341244;	0.007723724491743;	0.008471106429739;
0.007605027757582;	0.008401770224297;	0.008336606713044;	0.008166053028011;
0.008027981903790;	0.008385732178666;	0.008207301207093;	0.008730114350208;
0.008260463916938;	0.008873782281390;	0.008782537931153;	0.008696689369876;
0.007793137677097;	0.008638150533387;	0.008751567355883;	0.008955932863673;
0.008586743962221;	0.009360496582176;	0.009755533161471;	0.010302850380368;
0.008512526048500;	0.009296689206780;	0.009631589856998;	0.009439474129411;
0.008294068449770;	0.009368361911727;	0.009960914731122;	0.010344467912159;
0.008507772024697;	0.009373092262215;	0.010107613806438;	0.010151881724458;
0.008661112469144;	0.009686449992334;	0.010425460096025;	0.010026159149190;
0.008709309854250;	0.010154891911188;	0.011390455637956;	0.010562777271403;
0.008789522928178;	0.009756253928349;	0.010607219844219;	0.010231625836411;
