0.000000000000000;	0.064675908265583;	0.000000000000000;	0.000000000000000;
0.006629652131889;	0.004280999617461;	0.002342077687264;	0.002068498209753;
0.005636764694990;	0.003746302220006;	0.002046643780622;	0.001782709315819;
0.005077550865848;	0.003353357891395;	0.001828611700512;	0.001597319995016;
0.004920993031945;	0.003230368977942;	0.001757301560900;	0.001538385097023;
0.004685174134396;	0.003029171217415;	0.001646323001577;	0.001452020347851;
0.006814788427702;	0.005280058853989;	0.003965059762341;	0.017869551835958;
0.004281927818985;	0.002825314323237;	0.001533650645000;	0.001385754115899;
0.004204005057805;	0.002819101558862;	0.001528609165590;	0.001359257579780;
0.004510364888714;	0.003004103171914;	0.001626610391094;	0.001441768982158;
0.004200658431511;	0.002859118958188;	0.001546755074280;	0.001378876255024;
0.004378639105864;	0.002952934819504;	0.001629227632324;	0.001887103393582;
0.004209968761522;	0.002914917219337;	0.001614351453237;	0.001947442990037;
0.004156929907148;	0.002869836320723;	0.001554806182478;	0.001456565740688;
0.004447827801093;	0.003098677527036;	0.001676137517856;	0.001543110142030;
0.009650564509017;	0.011978233139307;	0.021175504483766;	0.007376498612704;
0.004761814283147;	0.003631981264393;	0.002050371189663;	0.002873921572333;
0.004457566147032;	0.003430768997055;	0.001929666055310;	0.001883206746383;
0.004492137480647;	0.003349834846192;	0.001858271031696;	0.001753530121814;
0.005012901221740;	0.003740416741792;	0.002166436838218;	0.003298808400566;
0.004766841038811;	0.003568649725475;	0.002035030244460;	0.002713229365787;
0.004505014454428;	0.003642643420005;	0.002048601819196;	0.002266512053581;
0.005010454748041;	0.003722584719073;	0.002123266672390;	0.002903286634128;
0.005225698730502;	0.004256975497183;	0.002455411593031;	0.003626047968381;
0.004849583801873;	0.003704805244801;	0.002110404204508;	0.002917654923883;
0.005164742701018;	0.004372147559325;	0.002535534866788;	0.003990477555403;
0.005416226876703;	0.004158846517613;	0.002534559900413;	0.003804180929375;
0.005560842460743;	0.004762106348677;	0.002825767665099;	0.004023372115698;
0.005011361554523;	0.004208885943246;	0.002584926766686;	0.004397454881864;
0.005825838627803;	0.004881067644814;	0.002890615377318;	0.004142503412458;
0.005447234474998;	0.004582172894019;	0.002776814765840;	0.004557696973271;
0.005547202021239;	0.004976836404036;	0.003050067054669;	0.004577570202630;
0.006058253288491;	0.005160167987830;	0.003284319228177;	0.005207479696391;
0.005931556763210;	0.005375624751565;	0.003465731265472;	0.004998259960380;
0.005645578316625;	0.005095522819614;	0.003274224152003;	0.005133428649601;
0.006564350422103;	0.005969319025835;	0.003887013625914;	0.005766501269602;
0.005835620021058;	0.005485974900960;	0.003604202530392;	0.005101311018665;
0.006542020379356;	0.006141866693708;	0.004352057019677;	0.006765621549422;
0.006345232599543;	0.005891025657331;	0.004030677774667;	0.005153174786282;
0.006367245963935;	0.006257038537992;	0.004504770244067;	0.007210600573343;
0.006856776904434;	0.006552460243843;	0.004668499425451;	0.005717614755685;
0.006808084959416;	0.006578886544965;	0.005053801107652;	0.006905745111501;
0.006493874410949;	0.006644173948016;	0.005037772465208;	0.006333268255493;
0.007254835379106;	0.007079940335019;	0.005601033431390;	0.006888608681366;
0.007138112669570;	0.007143270114257;	0.005737251531888;	0.006949052781464;
0.006945132499675;	0.007367283586643;	0.006013535941729;	0.007597080974071;
0.007406889748509;	0.007391962650161;	0.006171188233963;	0.006962108953331;
0.007613848887264;	0.007732603347932;	0.006683753287428;	0.007890510220027;
0.007004676758997;	0.007753105695613;	0.006875738526950;	0.007642499008380;
0.007889813325876;	0.008236521504326;	0.007703641685552;	0.008064563520143;
0.008039252781659;	0.008504221042641;	0.007662752868287;	0.008526457233448;
0.007538320022651;	0.008534702798872;	0.008342500594091;	0.008194780980631;
0.008007943567520;	0.008474065949405;	0.008199296695072;	0.008793143577762;
0.008217800143034;	0.008990183961740;	0.008790523171056;	0.008728653180880;
0.007717266471981;	0.008751013035261;	0.008775308176538;	0.009022593524710;
0.008519048339297;	0.009427292518712;	0.009810648096595;	0.010408888900378;
0.008451461624974;	0.009380846521336;	0.009688676465283;	0.009490653988222;
0.008190853496454;	0.009447335231831;	0.010037751950353;	0.010455970643612;
0.008434285856942;	0.009412613395548;	0.010207104626547;	0.010241917773420;
0.008574046929141;	0.009750956186320;	0.010530630789030;	0.010090163097132;
0.008577000675036;	0.010210967722524;	0.011552444509409;	0.010631734369341;
0.008709305132329;	0.009799283505458;	0.010727050742799;	0.010302370537523;
0.008660238231135;	0.010013055681977;	0.011919703265724;	0.010891096120009;
0.008560105584566;	0.010158367501242;	0.011801377385831;	0.010636918401505;
0.008997779837699;	0.010417495995048;	0.011930271124268;	0.011149782465976;
0.008935627127880;	0.010225063021800;	0.011704394888543;	0.010874028811438;
0.008379092662256;	0.009905658722028;	0.011563133294841;	0.010978229054925;
0.009210753491100;	0.010657563322858;	0.012614981247851;	0.011596376058356;
0.008637276476919;	0.009989849722513;	0.011662445418830;	0.011030453158864;
0.008425432786064;	0.010096839506786;	0.012158001578859;	0.011204787479518;
0.008995069147877;	0.010318328877924;	0.012307808336126;	0.011683437263976;
0.008932157555276;	0.010419329060721;	0.012447557436134;	0.011023646282181;
0.008276553963542;	0.010075635639442;	0.012042227784037;	0.011186274198856;
0.008820431351235;	0.010226876256021;	0.012003426903039;	0.011546543696364;
0.008875476949496;	0.010209202875881;	0.012224516696426;	0.011345025771514;
0.008560543601174;	0.009783356724962;	0.011749308842181;	0.010870286290030;
0.008229686913289;	0.009793705831673;	0.011714103785727;	0.010944066181496;
0.008683757207200;	0.009978481193390;	0.011824383996835;	0.010866991613593;
0.008533762649446;	0.009887518921180;	0.011797564876124;	0.010814626634293;
0.007932128625154;	0.009429609453176;	0.011237333525439;	0.010572860845766;
0.008374971120929;	0.009587764163689;	0.011613155196731;	0.010514821353151;
0.008735803097955;	0.010082039736129;	0.012527490613347;	0.010777043342255;
0.008526838798994;	0.009783608549786;	0.011859560852059;	0.010665362183898;
0.007860840042312;	0.009237391168513;	0.010972012533551;	0.010386816094153;
0.008395754133751;	0.009338150416523;	0.010856185121557;	0.010127043934269;
0.008194484659727;	0.009203711445009;	0.010822833514375;	0.010075863218000;
0.008137815619394;	0.009086881677434;	0.010714424386629;	0.009994366496180;
0.007731570935704;	0.008878160074577;	0.010463113723552;	0.009799889032027;
0.008163784696268;	0.009114879752779;	0.010616216860826;	0.009825856638637;
0.008082612397116;	0.008898988420300;	0.010109487069146;	0.009673863683140;
0.008029855819650;	0.008916762556895;	0.010295095022325;	0.009470542102475;
0.007571506667881;	0.008564310452148;	0.009853398929843;	0.009260401165384;
0.007769116832333;	0.008633374713458;	0.009923407598387;	0.009300436426085;
0.007926049375582;	0.008618943102942;	0.009754206457476;	0.009268632848925;
0.007914714937987;	0.008598486019719;	0.009659925694668;	0.009248556038656;
0.007786740164709;	0.008552131722238;	0.009544530301191;	0.009185719835212;
0.007185696450532;	0.008195236436450;	0.009291960942932;	0.008969485192467;
0.007710013519788;	0.008407226966261;	0.009346366745218;	0.009039458886052;
0.007591727029788;	0.008338949453805;	0.009361945143156;	0.008992854292687;
0.007406261134183;	0.008212911625093;	0.009273251711885;	0.008806166898338;
0.007219338195479;	0.008056308981468;	0.009042656329759;	0.008773066020769;
0.006637934509571;	0.007776226357208;	0.008796210868099;	0.008643287679993;
0.007134526531054;	0.007945432427778;	0.008898753841460;	0.008729189491029;
0.006438975839773;	0.007543922867104;	0.008623458111098;	0.008501106064638;
0.006443073488340;	0.007474818545177;	0.008598417495998;	0.008436060583779;
0.006183600839315;	0.007126977036992;	0.008358591929738;	0.008234689113222;
0.006018771371607;	0.006988649361423;	0.008214125990253;	0.008070392503925;
0.005913755728285;	0.006845907208314;	0.008051142932706;	0.007886843074714;
0.005868110976711;	0.006763896751860;	0.007964498914887;	0.007633446173567;
0.005711226407638;	0.006605285964715;	0.007813317621771;	0.007407955632376;
0.005498517549181;	0.006342590599805;	0.007441469161083;	0.007114920822816;
0.005302971226742;	0.006118973458137;	0.007169331039341;	0.006875459651367;
0.005117440483822;	0.005917732029626;	0.006954279643024;	0.006593016771107;
0.004912990126380;	0.005699545024855;	0.006678559172277;	0.006364752494676;
0.004904852931677;	0.005589228961051;	0.006507903431578;	0.006180708011523;
0.004722710093387;	0.005374602379643;	0.006236083993279;	0.005958888405266;
0.004596116041981;	0.005205052520011;	0.006037581859066;	0.005764118624422;
0.004424405651504;	0.005018464086996;	0.005818701513505;	0.005535782821710;
0.004292202540089;	0.004877546694270;	0.005607045210096;	0.005353213577769;
0.004159819049614;	0.004714138737176;	0.005399284948139;	0.005158782528929;
0.004026964625599;	0.004579312851863;	0.005242727707663;	0.005008927834404;
0.003854293103458;	0.004407371520092;	0.005050911423764;	0.004816827709627;
0.003837070171235;	0.004307010697823;	0.004870073152946;	0.004663898650723;
0.003686548502795;	0.004148304682692;	0.004702438593870;	0.004511546342270;
0.003543968534614;	0.003998182640951;	0.004547670855497;	0.004369517400944;
0.003385355567110;	0.003824266783780;	0.004361452436103;	0.004148261240415;
0.003239009577839;	0.003660711310324;	0.004179416323201;	0.004003699811484;
0.003122536447181;	0.003515334583565;	0.004006955649129;	0.003832756826925;
0.002984405717956;	0.003361558006219;	0.003814949520965;	0.003663519779110;
0.002853690881835;	0.003212409932314;	0.003642280950844;	0.003529932497915;
0.002753555406484;	0.003086513949031;	0.003493035557835;	0.003441842622889;
0.002605335975662;	0.002942145459609;	0.003325729075582;	0.003270908377082;
0.002597280237113;	0.002862699304678;	0.003200521460079;	0.003151296966231;
0.002514924726977;	0.002789774964516;	0.003092224574224;	0.003128693684727;
0.002331110976974;	0.002608572503574;	0.002912053504163;	0.002589429864729;
0.002256482626140;	0.002527186759986;	0.002825028418967;	0.002827654579197;
0.002159456373167;	0.002419247864012;	0.002712038020013;	0.002857336688719;
0.001992322549985;	0.002241205253892;	0.002525297268006;	0.002420818944070;
0.001865484659202;	0.002095928149247;	0.002366125616390;	0.002249092014721;
0.001739037970702;	0.001955000863045;	0.002202309886600;	0.002018196741213;
0.001639761937566;	0.001838041879606;	0.002056348860928;	0.001992525931554;
0.001535780624084;	0.001722717746652;	0.001929473230078;	0.001837933908773;
0.001436194614151;	0.001609117909246;	0.001802137062814;	0.001706167013857;
0.001354826166732;	0.001512697629780;	0.001686823496203;	0.001583184072915;
0.001276776677149;	0.001426431094675;	0.001583373573698;	0.001502689747707;
0.001216057256156;	0.001357320551390;	0.001499773491325;	0.001417744835718;
0.001143189243592;	0.001285488706764;	0.001410896205044;	0.001363510996877;
0.001139785331966;	0.001251760456404;	0.001369713723796;	0.001312773933738;
0.001070343809138;	0.001178999506925;	0.001297718162227;	0.001230129756833;
0.000994823908536;	0.001100959593139;	0.001214320180947;	0.001158840076953;
0.000921327993478;	0.001020112803141;	0.001126363725806;	0.001061118177831;
0.000840732670955;	0.000931518540042;	0.001029512748401;	0.000981090117125;
0.000773966478556;	0.000857300765641;	0.000946781348026;	0.000896174688650;
0.000708777944888;	0.000783614107512;	0.000863730584476;	0.000818055708838;
0.000649639734270;	0.000716966007268;	0.000784904833912;	0.000747263496554;
0.000595422816049;	0.000658200653240;	0.000721097811525;	0.000687491619061;
0.000545065449075;	0.000602563018090;	0.000660083681049;	0.000628266637913;
0.000499663320586;	0.000549415856354;	0.000598980582608;	0.000571781931342;
0.000459447295129;	0.000506586128015;	0.000553262749207;	0.000528611743822;
0.000420976574019;	0.000462510439368;	0.000508271768156;	0.000483349154897;
0.000382187047594;	0.000416389968589;	0.000456986285324;	0.000441445563125;
0.000370931796723;	0.000414554255282;	0.000447453430396;	0.000423686241404;
0.000332279491885;	0.000372059205258;	0.000409276421113;	0.000382125072158;
0.000290606780128;	0.000324281752057;	0.000355612684114;	0.000334845863528;
0.000261939738084;	0.000294144188919;	0.000322296899821;	0.000301301973561;
0.000228197842725;	0.000257812604077;	0.000283843251290;	0.000263704597942;
0.000196286147664;	0.000221433724120;	0.000243294665551;	0.000226177486453;
0.000169478216586;	0.000191229548839;	0.000210047872212;	0.000195841144953;
0.000144125622842;	0.000163174085411;	0.000179965467554;	0.000166996734730;
0.000117604129922;	0.000133335854774;	0.000147072786126;	0.000136978864142;
0.000092925649555;	0.000104993119536;	0.000115259611966;	0.000108305051666;
0.000070537695683;	0.000079581873031;	0.000087110989617;	0.000082522274747;
0.000051383731466;	0.000057661019550;	0.000062893650893;	0.000059833957924;
0.000035725678513;	0.000039917121338;	0.000043598600966;	0.000041373025412;
0.000022477716016;	0.000024807136434;	0.000026829412952;	0.000025745462641;
0.000013199408411;	0.000014353983516;	0.000015389737081;	0.000014879928086;
0.000006869963610;	0.000007312620274;	0.000007722893654;	0.000007564298021;
0.000002846974287;	0.000002918070523;	0.000003001164364;	0.000003015884712;
0.000001852624055;	0.000001883803993;	0.000001917988646;	0.000001939914582;
0.000001207335751;	0.000001219758040;	0.000001234740591;	0.000001247037973;
0.000000725910099;	0.000000731087843;	0.000000737301893;	0.000000743614847;
0.000000419947270;	0.000000421980915;	0.000000424442172;	0.000000427339196;
0.000000231246963;	0.000000232022468;	0.000000232966367;	0.000000234185855;
0.000000116113080;	0.000000116388555;	0.000000116728341;	0.000000117188819;
0.000000051327567;	0.000000051427841;	0.000000051550545;	0.000000051693660;
0.000000018189502;	0.000000018221650;	0.000000018262499;	0.000000018302889;
0.000000005035673;	0.000000005045684;	0.000000005058906;	0.000000005067399;
0.000000001053019;	0.000000001055895;	0.000000001059741;	0.000000001060935;
0.000000000149917;	0.000000000150512;	0.000000000151257;	0.000000000151265;
0.000000000014137;	0.000000000014212;	0.000000000014325;	0.000000000014316;
0.000000000001072;	0.000000000001081;	0.000000000001093;	0.000000000001091;
0.000000000000059;	0.000000000000060;	0.000000000000061;	0.000000000000061;
0.000000000000005;	0.000000000000005;	0.000000000000005;	0.000000000000005;
0.000000000000001;	0.000000000000001;	0.000000000000001;	0.000000000000001;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
