0.000000000000000;	0.015140283623954;	0.006676209417739;	0.006159260948867;
0.001472749625586;	0.001090442741675;	0.000517466148953;	0.000434306109608;
0.001256617100579;	0.000928798898839;	0.000443298658904;	0.000372958086864;
0.001138120083207;	0.000793075795396;	0.000387246718477;	0.000335044327701;
0.001100967152906;	0.000735412289891;	0.000364610281551;	0.000321388897554;
0.001062721290081;	0.000675459893812;	0.000340964663707;	0.000307140541954;
0.001709127372709;	0.001333227043356;	0.001022460511096;	0.010833652279347;
0.000992956390638;	0.000626775703425;	0.000322822599549;	0.000298670265401;
0.000981756306618;	0.000625700548796;	0.000322929948253;	0.000301504236653;
0.001065969549689;	0.000670461411275;	0.000345080885772;	0.000318071562763;
0.001005523125151;	0.000643312102921;	0.000334283073467;	0.000313561350773;
0.001043755254511;	0.000657060233108;	0.000345872053783;	0.000423605383722;
0.001030158058339;	0.000666127587843;	0.000350816500692;	0.000460559866511;
0.001033292566111;	0.000669220123496;	0.000349644898285;	0.000344230583765;
0.001108421797878;	0.000729123947867;	0.000377877538138;	0.000362486923743;
0.002218067197468;	0.003608714463892;	0.009956956153449;	0.001798001523718;
0.001165545388879;	0.000833686480484;	0.000430902727132;	0.000650396507110;
0.001142142299539;	0.000821721703791;	0.000449493337295;	0.000443711004669;
0.001164443084111;	0.000814514543317;	0.000438962909788;	0.000423705109839;
0.001279609169333;	0.000888015546122;	0.000492353506663;	0.000746349701127;
0.001247656827909;	0.000865114483261;	0.000474513625584;	0.000630717165802;
0.001212734907551;	0.000903120320344;	0.000494299949681;	0.000546982113016;
0.001345498183603;	0.000925926041658;	0.000505616282786;	0.000689838571159;
0.001379068223834;	0.001038914567442;	0.000569480536569;	0.000815068342339;
0.001350823907161;	0.000949315869084;	0.000520303353179;	0.000698133150512;
0.001401188285609;	0.001086414624560;	0.000599575119988;	0.000927501366758;
0.001511443067759;	0.001068852193494;	0.000639761110730;	0.000881618907171;
0.001541404391510;	0.001210782981225;	0.000696863191420;	0.000944472147883;
0.001430143554605;	0.001089561819127;	0.000645349977810;	0.001024583109695;
0.001668285879345;	0.001270764316992;	0.000724390471878;	0.000987280894037;
0.001577079490381;	0.001207431204594;	0.000702041351610;	0.001090608766282;
0.001639885794838;	0.001327969358119;	0.000792744789100;	0.001100783291200;
0.001782253898298;	0.001376741411427;	0.000847433571423;	0.001256591857011;
0.001767745625101;	0.001446658205258;	0.000906055781998;	0.001223146626063;
0.001732703283553;	0.001401679827693;	0.000863568231120;	0.001276285544452;
0.001995794841636;	0.001633331292824;	0.001016415076278;	0.001433641770238;
0.001819498473654;	0.001536880650737;	0.000979284751920;	0.001303527456444;
0.002043967280080;	0.001715735920582;	0.001167773223214;	0.001706661267177;
0.002028121494545;	0.001682751755586;	0.001098145292730;	0.001356679023220;
0.002043455502020;	0.001783026151614;	0.001218684928291;	0.001857827447689;
